"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","nFORCE__Active__c"
"a0pWE000006bNLiYAM","false","RER00049","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k9YAA","","","Retail_Pricing_1","300am00000riIl2AAE","nFORCE.LocalFlowRuleEngine:rule-engine","2023-09-29","42921267445133187","true"
"a0pWE000006bNLZYA2","false","RER00040","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k2YAA","","","Retrieve_Pricing_Options_for_Mortgage_Retail_and_Commercial","300am00000riHiwAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkburEAB","true"
"a0pWE000006bNLaYAM","false","RER00041","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k6YAA","","","Display_Offers","300am00000riHjqAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-22","a0Xam00000AkbusEAB","true"
"a0pWE000006bNLbYAM","false","RER00042","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k3YAA","","","Master_LoanAutoDecision","300am00000riIkEAAU","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbutEAB","true"
"a0pWE000006bNLcYAM","false","RER00043","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k1YAA","","","Credit_Card_Calc_Credit_Limit","300am00000riIk5AAE","nFORCE.FlowRuleEngine:rule-engine","2020-05-01","a0Xam00000AkbuuEAB","true"
"a0pWE000006bNLdYAM","false","RER00044","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k7YAA","","","Generate_Proposed_Pricing_Option","300am00000riHiyAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkbuvEAB","true"
"a0pWE000006bNLeYAM","false","RER00045","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k8YAA","","","Credit_Request_Preprocessing","300am00000riHiuAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbuwEAB","true"
"a0pWE000006bNLfYAM","false","RER00046","2026-07-05T09:56:57.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWE000004l2k4YAA","","","LoanAutoPolExc","300am00000riHj3AAE","nFORCE.FlowRuleEngine:rule-engine","2020-04-20","a0Xam00000AkbuxEAB","true"
"a0pWD000002vqNSYAY","false","RER00034","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWD000000siFSYAY","SRC-01","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","a338c000000OC0IAAW","false"
"a0pWD000002vqNTYAY","false","RER00035","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWD000000siFZYAY","CLA Inspection placeholder in Document Manager
SRC-02","2028-06-05","InspectionPlaceholder","3008c000001JVlUAAW","nFORCE.FlowRuleEngine:rule-engine","2025-07-08","a338c000000OC0JAAW","true"
"a0pWD000002vqNWYAY","false","RER00038","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-08-21T15:29:17.000Z","005al00000RVvFOAA1","2026-08-21T15:29:17.000Z","","","","a0nWD000000siFeYAI","CLA Inspection placeholder in Document Manager","2027-12-05","InspectionPlaceholder","3005f0000019sljAAA","nFORCE.FlowRuleEngine:rule-engine","2025-01-06","abc123","true"
"a0pWD000002vqNXYAY","false","RER00039","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-08-21T15:29:17.000Z","005al00000RVvFOAA1","2026-08-21T15:29:17.000Z","","","","a0nWD000000siFfYAI","","2042-01-01","Initial_Loan_Auto_Decision","3005f000001YRNcAAO","nFORCE.FlowRuleEngine:rule-engine","2022-01-01","def456","true"
"a0pWD000002vqNUYAY","false","RER00036","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWD000000siFfYAI","","2031-06-06","Master_LoanAutoDecision","3008c000001JVlJAAW","nFORCE.FlowRuleEngine:rule-engine","2027-07-25","nSource000OC0I","false"
"a0pWD000002vqNVYAY","false","RER00037","2026-04-07T19:25:49.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","005al00000RVcKvAAL","2026-08-21T13:11:11.000Z","","","","a0nWD000000siFeYAI","CLA Inspection placeholder in Document Manager","2028-06-05","InspectionPlaceholder","3008c000001JVlUAAW","nFORCE.FlowRuleEngine:rule-engine","2025-07-08","nSource0OC0J","true"
