"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","AutorabitExtId__c"
"a0XWD000002y3Gn2AI","005al00000RVcKvAAL","false","Online Banking General","","tmmg-OnlineBankingGeneral00-00","","false","","false","false","","tmmg-OnlineBankingGeneral00-00","42368030182145365","",""
"a0XWD000002y3GZ2AY","005al00000RVcKvAAL","false","CP Group_S","","CP_UIConfig_S","","false","","false","false","","","42426248425203683","",""
"a0XWD000002y3GY2AY","005al00000RVcKvAAL","false","CP Group_PC_B","","CP_UIConfig_PC_B","","false","","false","false","a0XWD000002y3GX2AY","","42441637495453175","",""
"a0XWD000002y3Gl2AI","005al00000RVcKvAAL","false","Incoming DomesticMaintenance","","tmmg-incomingdomestic-00","","false","","false","false","","tmmg-incomingdomestic-00","424503142081752871","",""
"a0XWD000002y3GT2AY","005al00000RVcKvAAL","false","CP Group_M_01","","CP_UIConfig_M_01","","false","","false","false","","","42464756623077839","",""
"a0XWD000002y3GP2AY","005al00000RVcKvAAL","false","DT1 - Group","Business Account","DT1 - App","Online Application","false","","false","false","a0XWD000002hCBD2A2","","42489519205494621","DT1-Descirption",""
"a0XWD000002y3GU2AY","005al00000RVcKvAAL","false","CP Group_M_02","","CP_UIConfig_M_02","","false","","false","false","a0XWD000002y3GT2AY","","4257359111357276","",""
"a0XWD000002y3Ge2AI","005al00000RVcKvAAL","false","CP UIConfig_QP_Prod_Select","","CP_UIConfig_QP_Prod_Select","","false","","false","false","","","42597781057786087","",""
"a0XWD000002y3Gr2AI","005al00000RVcKvAAL","false","CP Group_PI","","CP_Group_PI","","false","","false","false","a0XWD000002y3Gs2AI","","42598429762521614","",""
"a0XWD000002y3Gv2AI","005al00000RVcKvAAL","false","CP Group_A","","CP_UIConfig_A","","false","","false","false","a0XWD000002y3Gs2AI","","42668987580423819","",""
"a0XWD000002y3Gt2AI","005al00000RVcKvAAL","false","CP Group_LT","","CP_Group_LT","","false","","false","false","a0XWD000002y3Gs2AI","","42673131332051536","",""
"a0XWD000002y3GW2AY","005al00000RVcKvAAL","false","CP Group_M_04","","CP_UIConfig_M_04","","false","","false","false","a0XWD000002y3GT2AY","","42683608751546278","",""
"a0XWD000002y3Gd2AI","005al00000RVcKvAAL","false","CP UIConfig_QP_Post_Save","","CP_UIConfig_QP_Post_Save","","false","","false","false","a0XWD000002y3Gc2AI","","42696566775936216","",""
"a0XWD000002y3Gf2AI","005al00000RVcKvAAL","false","Priority Manager Sample View","","pm-sample-tabs","Priority Manager","false","","false","false","","","42733846488970299","",""
"a0XWD000002y3Gp2AI","005al00000RVcKvAAL","false","Wire Transfer Bundle","","tmmg-WireTransferBundle00-00","","false","","false","false","","tmmg-WireTransferBundle00-00","42738613727112277","",""
"a0XWD000002y3GQ2AY","005al00000RVcKvAAL","false","DT2-Group","Loan","DT2-App","Customer Dashboard","false","","false","false","a0XWD000002hCBD2A2","","42754425689368252","",""
"a0XWD000002y3Gs2AI","005al00000RVcKvAAL","false","CP Group_LO","","CP_Group_LO","","false","","false","false","","","42792010306096565","",""
"a0XWD000002y3Gu2AI","005al00000RVcKvAAL","false","CP Group_IR","","CP_Group_IR","","false","","false","false","a0XWD000002y3Gs2AI","","42821210396974891","",""
"a0XWD000002y3Gm2AI","005al00000RVcKvAAL","false","ACH Origination","","tmmg-ACHOrigination00-00","","false","","false","false","","tmmg-ACHOrigination00-00","42857492652523047","",""
"a0XWD000002y3DD2AY","005al00000RVcKvAAL","false","CRE Financing Questionnaire","","","","false","","false","true","","","42903181595034252","",""
"a0XWD000002y3Gh2AI","005al00000RVcKvAAL","false","Product Package Deal Proposal","","PPDealProp","","false","","false","false","","","42904795160609748","",""
"a0XWD000002y3GR2AY","005al00000RVcKvAAL","false","San group","","test2","","false","","false","false","","","42932928528581350","",""
"a0XWD000002y3DB2AY","005al00000RVcKvAAL","false","Individual KYC","Individual Account","ind-questionnaire","","false","","false","true","","ind-questionnaire","42944583575018160","",""
"a0XWD000002y3Gc2AI","005al00000RVcKvAAL","false","CP UIConfig_QP_01","","CP_UIConfig_QP_01","","false","","false","false","","","42947460186763433","",""
"a0XWD000002y3Gq2AI","005al00000RVcKvAAL","false","Custom Retail Loan","","custom-retail","","false","","false","false","","custom-retail","654654983652136549876251","",""
"a0XWD000002y3GS2AY","005al00000RVcKvAAL","false","TM ACH Origination","","tm-ach-origination","","false","","false","false","","tm-ach-origination","81401621360604189","",""
