"Id","IsDeleted","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Remaining__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a1WWD000002k5z02AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004919172966902","a1WWD000002VOzR","005al00000RVcKvAAL"
"a1WWD000002k5K12AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004970698759921","test1","005al00000RVcKvAAL"
"a1WWD000002k4kc2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005096709756212","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k4b22AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005271022823040","a1WWD000002VbAU","005al00000RVcKvAAL"
"a1WWD000002k4z12AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005308720118849","a1WWD000002Vb0d","005al00000RVcKvAAL"
"a1WWD000002k5w02AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005335915853853","a1WWD000002Vayx","005al00000RVcKvAAL"
"a1WWD000002k5dG2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005479111017586","Budgets-07","005al00000RVcKvAAL"
"a1WWD000002k6Cf2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005486890256528","Budgets-01","005al00000RVcKvAAL"
"a1WWD000002k4ua2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005501132421752","a1WWD000002VOzU","005al00000RVcKvAAL"
"a1WWD000002WF1u2AG","false","FE15428229","","Automated credit analysis and risk assessment parameters","true","false","477.34","158.7538","96.8278","82.2628","6.3097","-107.5179","-58.7538","96.4405","-463.66","684.61","431.24","417.56","354.75","27.21","-253.37","415.89","42005505772755189","LLC BI  Budget 001-3b8992","005al00000RVcKvAAL"
"a1WWD000002k4ar2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005618063695660","a1WWD000002Vb0f","005al00000RVcKvAAL"
"a1WWD000002k5zH2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005951469275685","a1WWD000002Vaz0","005al00000RVcKvAAL"
"a1WWD000002k64i2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006022804508636","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k6HN2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006314240288444","Hello","005al00000RVcKvAAL"
"a1WWD000002k5qv2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006386737716676","Services budget","005al00000RVcKvAAL"
"a1WWD000002k4U92AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006496418103568","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k62j2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006551266358527","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k4hH2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006750724435821","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k52D2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006873925098","a1WWD000002Vb0b","005al00000RVcKvAAL"
"a1WWD000002k5j12AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006900704995073","test1","005al00000RVcKvAAL"
"a1WWD000002k50e2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42007268255068019","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k4cP2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42007387754276180","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5Wq2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42007458961858222","new annual budget","005al00000RVcKvAAL"
"a1WWD000002k4X62AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42007979921135440","Budgets-02","005al00000RVcKvAAL"
"a1WWD000002k53P2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008129560443613","Budgets-05","005al00000RVcKvAAL"
"a1WWD000002k6GQ2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008358607694036","Test User Budget","005al00000RVcKvAAL"
"a1WWD000002k6Aa2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008418491168880","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k4lG2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008423790677032","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k4Jm2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008667578494591","a1WWD000002Vaz4","005al00000RVcKvAAL"
"a1WWD000002k6582AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008821639980953","RS budget 79","005al00000RVcKvAAL"
"a1WWD000002k52G2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008976716985645","a1WWD000002Vb0e","005al00000RVcKvAAL"
"a1WWD000002k5XV2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42008988361063781","a1WWD000002VOhh","005al00000RVcKvAAL"
"a1WWD000002k5nm2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009269240773884","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k4s82AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009326474417546","Budgets-06","005al00000RVcKvAAL"
"a1WWD000002k4y82AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009424714283160","LLC BI  Budget 003-95ae78","005al00000RVcKvAAL"
"a1WWD000002k4kK2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009524661645979","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5e02AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009590782757736","Residential Construction Budget Template","005al00000RVcKvAAL"
"a1WWD000002k5c52AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009641079246038","RS budget 98","005al00000RVcKvAAL"
"a1WWD000002k4Nr2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009720945758572","Budget-1","005al00000RVcKvAAL"
"a1WWD000002k4RB2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009839061961177","LLC BI  Budget 010-6b5a1e","005al00000RVcKvAAL"
"a1WWD000002k5qa2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42009899722953573","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5eY2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010189149984839","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k4Pj2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010294964999846","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k5N42AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010299535164429","Residential Construction Budget Template","005al00000RVcKvAAL"
"a1WWD000002k5mi2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010351327937559","LLC BI  Budget 008-248f83","005al00000RVcKvAAL"
"a1WWD000002k5o02AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010492881862707","a1WWD000002VhFf","005al00000RVcKvAAL"
"a1WWD000002k61h2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010543345187689","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5Tr2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010573099898286","a1WWD000002VhFg","005al00000RVcKvAAL"
"a1WWD000002k4N52AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010695451285674","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5Oq2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42010732980215484","CLA Simple Budget 1 Template Update","005al00000RVcKvAAL"
"a1WWD000002k6562AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011206654146504","RS budget 87","005al00000RVcKvAAL"
"a1WWD000002k5xS2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011543968131219","Commercial Construction Budget Template","005al00000RVcKvAAL"
"a1WWD000002k54q2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011557855215298","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k61G2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011622897268795","RS budget 1","005al00000RVcKvAAL"
"a1WWD000002k5Ys2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011659400578994","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k4QV2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011670225641920","NcinoRecord-01","005al00000RVcKvAAL"
"a1WWD000002k67X2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011852690795824","LLC BI  Budget 009-ce2be7","005al00000RVcKvAAL"
"a1WWD000002k61P2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011860651920702","Budgets-04","005al00000RVcKvAAL"
"a1WWD000002k5fA2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011888707967192","CLA Complex Budget 1 Template10","005al00000RVcKvAAL"
"a1WWD000002k4JL2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42011978116128499","a1WWD000002VOhg","005al00000RVcKvAAL"
"a1WWD000002k4SH2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012048918610604","a1WWD000002VbDX","005al00000RVcKvAAL"
"a1WWD000002k5uP2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012127770469249","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k61b2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012276389982232","CLA Simple Budget 1 Template Update","005al00000RVcKvAAL"
"a1WWD000002k6Bu2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012281525225401","a1WWD000002Vb0a","005al00000RVcKvAAL"
"a1WWD000002k5wb2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012294696702405","a1WWD000002VbDa","005al00000RVcKvAAL"
"a1WWD000002k5Zs2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012390642291323","Product budget","005al00000RVcKvAAL"
"a1WWD000002k6Am2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012595679199313","Exc F Source - from CINUIExcVCFetchExNameEB","005al00000RVcKvAAL"
"a1WWD000002k59h2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012731567581297","New Budgets 01","005al00000RVcKvAAL"
"a1WWD000002k5792AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012778290669427","a1WWD000002VbAL","005al00000RVcKvAAL"
"a1WWD000002k5BC2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012834512228795","a1WWD000002VbAM","005al00000RVcKvAAL"
"a1WWD000002k4iv2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012924520322930","a1WWD000002Vb0f","005al00000RVcKvAAL"
"a1WWD000002k66B2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42012973399073014","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5tM2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013065258837903","Budgets-05","005al00000RVcKvAAL"
"a1WWD000002k5ch2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013164093177312","a1WWD000002VhFe","005al00000RVcKvAAL"
"a1WWD000002k6DE2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013397417969054","Office Renovation - Suite 400","005al00000RVcKvAAL"
"a1WWD000002WF2c2AG","false","","a1WWD000002WF2S2AW","","false","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013481852284536","a1WWD000002Vb0a","005al00000RVcKvAAL"
"a1WWD000002k5Z02AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013595345073467","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k4uO2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013772405611869","a1WWD000002VOhd","005al00000RVcKvAAL"
"a1WWD000002k5bJ2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42013970506750413","a1WWD000002Vb0g","005al00000RVcKvAAL"
"a1WWD000002k4xS2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42014055457282028","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k69t2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42014153788326695","Programming Budget","005al00000RVcKvAAL"
"a1WWD000002k55A2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42014318699567180","Commercial Construction Budget Template","005al00000RVcKvAAL"
"a1WWD000002k5ij2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42014399192397204","New Rec 62 updated","005al00000RVcKvAAL"
"a1WWD000002k4tU2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42014659963422653","Elite budget","005al00000RVcKvAAL"
"a1WWD000002k4wn2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42014740702345481","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k4mC2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42014866877186562","LLC BI  Budget 003-c93a45","005al00000RVcKvAAL"
"a1WWD000002k4YU2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015036789172626","Swimming Pool Construction Budget Template","005al00000RVcKvAAL"
"a1WWD000002k4Rl2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015092832664541","a1WWD000002Vayz","005al00000RVcKvAAL"
"a1WWD000002k64K2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015187743806973","a1WWD000002Vb0f","005al00000RVcKvAAL"
"a1WWD000002WF3R2AW","false","","","this is a description from me","true","false","0.0","2127.6995","0.0","0.0","0.0","100.0","-2027.6995","0.0","213.0","4532.0","213.0","0.0","0.0","0.0","-4319.0","0.0","42015382099793331","nov24","005al00000RVcKvAAL"
"a1WWD000002k4R42AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015472206593652","LLC BI  Budget 003-95ae78","005al00000RVcKvAAL"
"a1WWD000002k5lU2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015480903676006","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k5X72AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015521620596130","LLC BI  Budget 001-686539","005al00000RVcKvAAL"
"a1WWD000002k56R2AQ","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015678511869642","LLC BI  Budget 008-248f83","005al00000RVcKvAAL"
"a1WWD000002k4Ll2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42015824056297019","9969JPD894656593","005al00000RVcKvAAL"
"a1WWD000002k5uk2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016081882508480","Hello","005al00000RVcKvAAL"
"a1WWD000002k6232AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016088265655261","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k6Bv2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016425998803921","a1WWD000002Vb0b","005al00000RVcKvAAL"
"a1WWD000002k5VZ2AY","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016458803315014","CLA Simple Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k4Tn2AI","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016581244491518","CLA Complex Budget 1 Template","005al00000RVcKvAAL"
"a1WWD000002k6242AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016709739856379","CLA Simple Budget 2 Template","005al00000RVcKvAAL"
"a1WWD000002k5rx2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016720380829946","a1WWD000002Vayw","005al00000RVcKvAAL"
"a1WWD000002k57e2AA","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42016874663836625","a1WWD000002VhE8","005al00000RVcKvAAL"
