"Id","IsDeleted","LLC_BI__Amount_Budgeted__c","LLC_BI__Budget__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","Name"
"a1UWD000005gD102AE","false","50000.0","a1WWD000002V39R2AS","Hard cost","Plumbing","","150.0","","","0.0","100.0","3.3333","50000.0","","0.0","13njzml60u9p8l3783","CLA-BD-0001573"
"a1UWD000005gD112AE","false","550.0","a1WWD000002V39U2AS","Soft cost","Surveys","","501.0","","","0.0","100.0","","550.0","","","1516aiydques6zylkp","CLA-BD-0001574"
"a1UWD000005gD122AE","false","","a1WWD000002V39V2AS","Hard cost","Doors","","212.0","","","0.0","","","0.0","","","1e883ba1xdyxe9ugyd","CLA-BD-0001575"
"a1UWD000005gD132AE","false","800.0","a1WWD000002V38f2AC","","Water & Sewer Inspection","","30.0","","","0.0","100.0","0.0533","800.0","","","1fh74hg0mkihq7o9q2","CLA-BD-0001576"
"a1UWD000005gD142AE","false","","a1WWD000002V39P2AS","Hard cost","HVAC","","180.0","","","0.0","","","0.0","","","1mblcygaxd64ioxdjx","CLA-BD-0001577"
"a1UWD000005gD152AE","false","","a1WWD000002V39P2AS","Soft cost","Architectural & Engineering","","2.0","","","0.0","","","0.0","","","1qzf3txc45cp1q084l","CLA-BD-0001578"
"a1UWD000005gD162AE","false","","a1WWD000002V39Q2AS","Hard cost","Insulation","","190.0","","","0.0","","","0.0","","","1r3u13md22mtywk87p","CLA-BD-0001579"
"a1UWD000005gD172AE","false","85000.0","a1WWD000002V38g2AC","","Tile & Carpet","","230.0","","","0.0","100.0","5.6667","85000.0","","","1u773ylypqs3p21s5c","CLA-BD-0001580"
"a1UWD000005gD182AE","false","64100.0","a1WWD000002V39R2AS","Hard cost","Framing & Trusses","","60.0","","","0.0","100.0","4.2733","64100.0","","0.0","1xzk3aoi3l1xo8lmdd","CLA-BD-0001581"
"a1UWD000005gD192AE","false","1200.0","a1WWD000002V39S2AS","","Permits / Fees","","10.0","0.0","","75.0","25.0","0.0649","300.0","","900.0","246l4or91vsp542g7o","CLA-BD-0001582"
"a1UWD000005gD1A2AU","false","","a1WWD000002V39R2AS","Hard cost","Siding","","130.0","","","0.0","","0.0","0.0","","","25z4m1wwon3cak9y56","CLA-BD-0001583"
"a1UWD000005gD1B2AU","false","","a1WWD000002V38h2AC","Land cost","Offsite Expenses","","30.0","","","0.0","","0.0","0.0","","","26jct880ewup6v8lol","CLA-BD-0001584"
"a1UWD000005gD1C2AU","false","12000.0","a1WWD000002V38f2AC","","Asphalt / Driveway","","270.0","","","0.0","100.0","0.8","12000.0","","","26s62nn1nlfk50v6bo","CLA-BD-0001585"
"a1UWD000005gD1D2AU","false","","a1WWD000002V39S2AS","","Electrical","","160.0","","","0.0","","0.0","0.0","","","28a4d40tnuolc27o5b","CLA-BD-0001586"
"a1UWD000005gD1E2AU","false","","a1WWD000002V39R2AS","Hard cost","Landscaping","","250.0","","","0.0","","0.0","0.0","","","2b51z8zb7apd2fhz5q","CLA-BD-0001587"
"a1UWD000005gD1F2AU","false","","a1WWD000002V39W2AS","","Tile & Carpet","","230.0","","","0.0","","0.0","0.0","","","2b8b2vb1s4zch845b3","CLA-BD-0001588"
"a1UWD000005gD1G2AU","false","","a1WWD000002V39R2AS","Soft cost","Title Insurance/Recording","","7.0","","","0.0","","0.0","0.0","","","2kcz9xfo8yz87ysln1","CLA-BD-0001589"
"a1UWD000005gD1H2AU","false","","a1WWD000002V39P2AS","Hard cost","Exterior Doors","","90.0","","","0.0","","","0.0","","","2vhlgv4im1tjt6209z","CLA-BD-0001590"
"a1UWD000005gD1I2AU","false","2600.0","a1WWD000002V39P2AS","Soft cost","Taxes","","310.0","","","0.0","100.0","","2600.0","","","2vkt443rn29ildhpza","CLA-BD-0001591"
"a1UWD000005gD1J2AU","false","1800.0","a1WWD000002V39S2AS","","Insurance","","330.0","","","0.0","100.0","0.0973","1800.0","","","2xhepsbgfdlblvzgui","CLA-BD-0001592"
"a1UWD000005gD1K2AU","false","","a1WWD000002V38h2AC","Hard cost","Contingency - Hard Costs","","400.0","","","0.0","","0.0","0.0","","","31kmos82hblfc49esb","CLA-BD-0001593"
"a1UWD000005gD1L2AU","false","","a1WWD000002V39U2AS","Hard cost","Electrical","","205.0","","","0.0","","","0.0","","","32jh5hq5xkdbuljkqq","CLA-BD-0001594"
"a1UWD000005gD1M2AU","false","2300.0","a1WWD000002V39U2AS","Soft cost","Taxes","","507.0","","","0.0","100.0","","2300.0","","","3584t7ziq376p5yp87","CLA-BD-0001595"
"a1UWD000005gD1N2AU","false","900.0","a1WWD000002V39W2AS","","Impact Fees","","20.0","","","0.0","100.0","0.036","900.0","","","36pv41dzuvcbdvhbeg","CLA-BD-0001596"
"a1UWD000005gD1O2AU","false","","a1WWD000002V39R2AS","Hard cost","Tile & Carpet","","230.0","","","0.0","","0.0","0.0","","","39w6f0bbi19hqlw6z7","CLA-BD-0001597"
"a1UWD000005gD1P2AU","false","800.0","a1WWD000002V39W2AS","","Water & Sewer Inspection","","30.0","0.0","","100.0","0.0","0.032","0.0","","800.0","3byj4lren2ag1dksm0","CLA-BD-0001598"
"a1UWD000005gD1Q2AU","false","","a1WWD000002V39R2AS","Hard cost","Drywall","","200.0","","","0.0","","0.0","0.0","","","3jspuk7j9vg24pdox7","CLA-BD-0001599"
"a1UWD000005gD1R2AU","false","","a1WWD000002V39P2AS","Hard cost","Sheathing","","70.0","","","0.0","","","0.0","","","3o1bry7q4cjktfc5hf","CLA-BD-0001600"
"a1UWD000005gD1S2AU","false","800.0","a1WWD000002V39P2AS","Soft cost","Water & Sewer Inspection","","30.0","","","0.0","100.0","","800.0","","","3pjcpr6fln7nr3dine","CLA-BD-0001601"
"a1UWD000005gD1T2AU","false","215000.0","a1WWD000002V38h2AC","Hard cost","Steel","","50.0","","","0.0","100.0","14.3333","215000.0","","0.0","3tl8puv1h1t465kx6d","CLA-BD-0001602"
"a1UWD000005gD1U2AU","false","35000.0","a1WWD000002V38h2AC","Interest reserve","Reserves","","10.0","","","0.0","100.0","2.3333","35000.0","","0.0","40lf47p1or5ilnt8te","CLA-BD-0001603"
"a1UWD000005gD1V2AU","false","0.0","a1WWD000002V38n2AC","","Monument sign base construction Lang to verify if applicable","","31.0","","","0.0","0.0","0.0","0.0","","","42003800543953596","CLA-BD-0001604"
"a1UWD000005gD1W2AU","false","0.0","a1WWD000002V38m2AC","","Fire Sprinkler Service","","38.0","","","0.0","0.0","","0.0","","","42006179628680453","CLA-BD-0001605"
"a1UWD000005gD1X2AU","false","0.0","a1WWD000002V3942AC","","Hydraulic Elevators","","24.0","","","0.0","0.0","","0.0","","","42007030948151132","CLA-BD-0001606"
"a1UWD000005gD1Y2AU","false","0.0","a1WWD000002V38l2AC","","H.V.A.C. System","","74.0","","","0.0","0.0","","0.0","","","42008526340204509","CLA-BD-0001607"
"a1UWD000005gD1Z2AU","false","0.0","a1WWD000002V3952AC","","Landscaping","","3.0","","","0.0","0.0","","0.0","","","42008886009401468","CLA-BD-0001608"
"a1UWD000005gD1a2AE","false","0.0","a1WWD000002V38k2AC","","Wood Doors","","56.0","","","0.0","0.0","0.0","0.0","","","42010236927702882","CLA-BD-0001609"
"a1UWD000005gD1b2AE","false","0.0","a1WWD000002V38j2AC","","Masonry/Building","","52.0","","","0.0","0.0","0.0","0.0","","","42011428190945228","CLA-BD-0001610"
"a1UWD000005gD1c2AE","false","0.0","a1WWD000002V38o2AC","","New Curb & Gutter","","11.0","","","0.0","0.0","","0.0","","","42012252656625286","CLA-BD-0001611"
"a1UWD000005gD1d2AE","false","0.0","a1WWD000002V38n2AC","","Power Management System","","83.0","","","0.0","0.0","0.0","0.0","","","42012271291755343","CLA-BD-0001612"
"a1UWD000005gD1e2AE","false","0.0","a1WWD000002V38j2AC","","Corporate Decor Package Installation","","93.0","","","0.0","0.0","0.0","0.0","","","42012805993276533","CLA-BD-0001613"
"a1UWD000005gD1f2AE","false","0.0","a1WWD000002V38o2AC","","Bollard w/ Covers","","37.0","","","0.0","0.0","","0.0","","","42013434522099267","CLA-BD-0001614"
"a1UWD000005gD1g2AE","false","0.0","a1WWD000002V38j2AC","","Misc.","","47.0","","","0.0","0.0","0.0","0.0","","","42014202664223534","CLA-BD-0001615"
"a1UWD000005gDge2AE","false","","a1WWD000002WF2P2AW","Interest reserve","","","","","","0.0","","","0.0","","","42014999791060901","CLA-BD-0004155"
"a1UWD000005gD1h2AE","false","0.0","a1WWD000002V39E2AS","","Insurance","","24.0","","","0.0","0.0","","0.0","","","42015579615665214","CLA-BD-0001616"
"a1UWD000005gDgk2AE","false","","a1WWD000002WF2V2AW","Hard cost","","","","","","0.0","","","0.0","","","42016833877654325","CLA-BD-0004161"
"a1UWD000005gD1i2AE","false","0.0","a1WWD000002V38m2AC","","Concrete slabs/curbs (do not include in building slab)","","25.0","","","0.0","0.0","","0.0","","","42019299027759777","CLA-BD-0001617"
"a1UWD000005gD1j2AE","false","0.0","a1WWD000002V39F2AS","","Site Stripping (ADA)","","17.0","","","0.0","0.0","","0.0","","","42020557801493655","CLA-BD-0001618"
"a1UWD000005gD1k2AE","false","0.0","a1WWD000002V38n2AC","","Electrical site work/labor","","29.0","","","0.0","0.0","0.0","0.0","","","42022652245580224","CLA-BD-0001619"
"a1UWD000005gD1l2AE","false","0.0","a1WWD000002V3932AC","","Electrical","","28.0","","","0.0","0.0","","0.0","","","42022983826811000","CLA-BD-0001620"
"a1UWD000005gD1m2AE","false","0.0","a1WWD000002V38n2AC","","Plumbing sit work","","32.0","","","0.0","0.0","0.0","0.0","","","42023171616854588","CLA-BD-0001621"
"a1UWD000005gD1n2AE","false","0.0","a1WWD000002V38o2AC","","New electric service","","4.0","","","0.0","0.0","","0.0","","","42023818634564518","CLA-BD-0001622"
"a1UWD000005gD1o2AE","false","0.0","a1WWD000002V38o2AC","","Storm Drain","","26.0","","","0.0","0.0","","0.0","","","42024790846166051","CLA-BD-0001623"
"a1UWD000005gD1p2AE","false","0.0","a1WWD000002V39G2AS","","Roofing","","19.0","","","0.0","0.0","","0.0","","","42025827091636179","CLA-BD-0001624"
"a1UWD000005gD1q2AE","false","0.0","a1WWD000002V38n2AC","","H.V.A.C. System","","74.0","","","0.0","0.0","0.0","0.0","","","42026795436380355","CLA-BD-0001625"
"a1UWD000005gD1r2AE","false","0.0","a1WWD000002V3942AC","","Change Orders","","36.0","","","0.0","0.0","","0.0","","","42027044582944251","CLA-BD-0001626"
"a1UWD000005gD1s2AE","false","0.0","a1WWD000002V38j2AC","","Drywall & Metal Studs","","66.0","","","0.0","0.0","0.0","0.0","","","42027690381246883","CLA-BD-0001627"
"a1UWD000005gD1t2AE","false","0.0","a1WWD000002V38m2AC","","New Curb & Gutter","","11.0","","","0.0","0.0","","0.0","","","42031167881185246","CLA-BD-0001628"
"a1UWD000005gD1u2AE","false","0.0","a1WWD000002V39E2AS","","Flooring","","5.0","","","0.0","0.0","","0.0","","","42031244008092582","CLA-BD-0001629"
"a1UWD000005gD1v2AE","false","0.0","a1WWD000002V38n2AC","","Glass & Glazing","","65.0","","","0.0","0.0","0.0","0.0","","","42033310899781592","CLA-BD-0001630"
"a1UWD000005gD1w2AE","false","0.0","a1WWD000002V38m2AC","","Wood Doors","","56.0","","","0.0","0.0","","0.0","","","42033887111654060","CLA-BD-0001631"
"a1UWD000005gD1x2AE","false","0.0","a1WWD000002V38n2AC","","Erosion & Dust Control","","39.0","","","0.0","0.0","0.0","0.0","","","42037830347995003","CLA-BD-0001632"
"a1UWD000005gD1y2AE","false","0.0","a1WWD000002V38l2AC","","100 ft secondary service","","84.0","","","0.0","0.0","","0.0","","","42039647581210968","CLA-BD-0001633"
"a1UWD000005gD1z2AE","false","0.0","a1WWD000002V39F2AS","","Demo","","9.0","","","0.0","0.0","","0.0","","","42043006114336266","CLA-BD-0001634"
"a1UWD000005gD202AE","false","0.0","a1WWD000002V38k2AC","","Off site fire hydrant","","8.0","","","0.0","0.0","0.0","0.0","","","42047763384823975","CLA-BD-0001635"
"a1UWD000005gD212AE","false","0.0","a1WWD000002V38j2AC","","Rough Carpentry Labor","","61.0","","","0.0","0.0","0.0","0.0","","","42047792845450525","CLA-BD-0001636"
"a1UWD000005gD222AE","false","0.0","a1WWD000002V38k2AC","","Termite Treat","","80.0","","","0.0","0.0","0.0","0.0","","","42050029878559894","CLA-BD-0001637"
"a1UWD000005gD232AE","false","0.0","a1WWD000002V38l2AC","","Concrete paving","","34.0","","","0.0","0.0","","0.0","","","42051469737584911","CLA-BD-0001638"
"a1UWD000005gD242AE","false","0.0","a1WWD000002V38j2AC","","Power Management System","","83.0","","","0.0","0.0","0.0","0.0","","","42051867876017697","CLA-BD-0001639"
"a1UWD000005gD252AE","false","0.0","a1WWD000002V38j2AC","","New approaches","","13.0","","","0.0","0.0","0.0","0.0","","","42056559749628752","CLA-BD-0001640"
"a1UWD000005gD262AE","false","0.0","a1WWD000002V38o2AC","","F.R.P. and marlite","","86.0","","","0.0","0.0","","0.0","","","42056615487107387","CLA-BD-0001641"
"a1UWD000005gD272AE","false","0.0","a1WWD000002V3952AC","","Fee","","31.0","","","0.0","0.0","","0.0","","","42060164371550255","CLA-BD-0001642"
"a1UWD000005gD282AE","false","0.0","a1WWD000002V38j2AC","","Retaining wall","","23.0","","","0.0","0.0","0.0","0.0","","","42062508593277154","CLA-BD-0001643"
"a1UWD000005gD292AE","false","0.0","a1WWD000002V38m2AC","","Storm Drain","","26.0","","","0.0","0.0","","0.0","","","42063503383945182","CLA-BD-0001644"
"a1UWD000005gD2A2AU","false","0.0","a1WWD000002V38o2AC","","Power pole - new or relocate","","5.0","","","0.0","0.0","","0.0","","","42064023618862981","CLA-BD-0001645"
"a1UWD000005gD2B2AU","false","0.0","a1WWD000002V38k2AC","","Caulking","","91.0","","","0.0","0.0","0.0","0.0","","","42066963267732755","CLA-BD-0001646"
"a1UWD000005gD2C2AU","false","0.0","a1WWD000002V38k2AC","","New sidewalk","","12.0","","","0.0","0.0","0.0","0.0","","","42070749256541448","CLA-BD-0001647"
"a1UWD000005gD2D2AU","false","0.0","a1WWD000002V3952AC","","Glass/Glazing","","15.0","","","0.0","0.0","","0.0","","","42071870016872688","CLA-BD-0001648"
"a1UWD000005gD2E2AU","false","0.0","a1WWD000002V38k2AC","","Fire Hydrant","","40.0","","","0.0","0.0","0.0","0.0","","","42074115976229400","CLA-BD-0001649"
"a1UWD000005gD2F2AU","false","0.0","a1WWD000002V38m2AC","","Retaining wall","","23.0","","","0.0","0.0","","0.0","","","42078481765653346","CLA-BD-0001650"
"a1UWD000005gD2G2AU","false","0.0","a1WWD000002V38l2AC","","New electric service","","4.0","","","0.0","0.0","","0.0","","","42079602027855579","CLA-BD-0001651"
"a1UWD000005gD2H2AU","false","0.0","a1WWD000002V38o2AC","","Corporate Decor Package Installation","","93.0","","","0.0","0.0","","0.0","","","42079948125664200","CLA-BD-0001652"
"a1UWD000005gD2I2AU","false","0.0","a1WWD000002V38j2AC","","Site Demolition","","22.0","","","0.0","0.0","0.0","0.0","","","42082004042846828","CLA-BD-0001653"
"a1UWD000005gDgq2AE","false","","a1WWD000002WF2l2AG","Soft cost","","","","","","0.0","","","0.0","","","42082107406657991","CLA-BD-0004167"
"a1UWD000005gD2J2AU","false","0.0","a1WWD000002V38j2AC","","Street light - new or relocate","","6.0","","","0.0","0.0","0.0","0.0","","","42083187871115089","CLA-BD-0001654"
"a1UWD000005gD2K2AU","false","0.0","a1WWD000002V38m2AC","","F.R.P. and marlite","","86.0","","","0.0","0.0","","0.0","","","42083285943037480","CLA-BD-0001655"
"a1UWD000005gD2L2AU","false","0.0","a1WWD000002V38k2AC","","Survey","","18.0","","","0.0","0.0","0.0","0.0","","","42083669500719493","CLA-BD-0001656"
"a1UWD000005gD2M2AU","false","0.0","a1WWD000002V3942AC","","Termite Control","","2.0","","","0.0","0.0","","0.0","","","42087744710881220","CLA-BD-0001657"
"a1UWD000005gD2N2AU","false","0.0","a1WWD000002V38m2AC","","Finish Carpentry Labor","","60.0","","","0.0","0.0","","0.0","","","42090711677144580","CLA-BD-0001658"
"a1UWD000005gD2O2AU","false","0.0","a1WWD000002V38n2AC","","Telephone Pole","","7.0","","","0.0","0.0","0.0","0.0","","","42091238065097831","CLA-BD-0001659"
"a1UWD000005gD2P2AU","false","0.0","a1WWD000002V38n2AC","","Termite Treat","","80.0","","","0.0","0.0","0.0","0.0","","","42091426912283058","CLA-BD-0001660"
"a1UWD000005gD2Q2AU","false","0.0","a1WWD000002V38k2AC","","Metal Fab","","78.0","","","0.0","0.0","0.0","0.0","","","42091973157217482","CLA-BD-0001661"
"a1UWD000005gD2R2AU","false","0.0","a1WWD000002V38j2AC","","Finish Lumber & Doors","","54.0","","","0.0","0.0","0.0","0.0","","","42092016281648116","CLA-BD-0001662"
"a1UWD000005gD2S2AU","false","0.0","a1WWD000002V39E2AS","","Roof Structure (Trusses, Sheeting, Labor)","","18.0","","","0.0","0.0","","0.0","","","42094483155452463","CLA-BD-0001663"
"a1UWD000005gD2T2AU","false","0.0","a1WWD000002V3952AC","","Cast in Place Concrete","","5.0","","","0.0","0.0","","0.0","","","42094782709694942","CLA-BD-0001664"
"a1UWD000005gD2U2AU","false","0.0","a1WWD000002V3942AC","","Roofing &Sheetmetal Flashing","","12.0","","","0.0","0.0","","0.0","","","42095981641623231","CLA-BD-0001665"
"a1UWD000005gD2V2AU","false","0.0","a1WWD000002V38k2AC","","EIFS / Lath & Plaster","","70.0","","","0.0","0.0","0.0","0.0","","","42098629311718182","CLA-BD-0001666"
"a1UWD000005gDkt2AE","false","","a1WWD000002WF392AG","Land cost","","","","0.0","","0.0","","","0.0","","0.0","42100508929119014","CLA-BD-0004418"
"a1UWD000005gD2W2AU","false","0.0","a1WWD000002V38n2AC","","Preasure Washing","","43.0","","","0.0","0.0","0.0","0.0","","","42100594967130562","CLA-BD-0001667"
"a1UWD000005gD2X2AU","false","0.0","a1WWD000002V38m2AC","","Caulking","","91.0","","","0.0","0.0","","0.0","","","42100600051446052","CLA-BD-0001668"
"a1UWD000005gD2Y2AU","false","0.0","a1WWD000002V38k2AC","","Structural Steel","","53.0","","","0.0","0.0","0.0","0.0","","","42101798022132876","CLA-BD-0001669"
"a1UWD000005gD2Z2AU","false","0.0","a1WWD000002V3942AC","","Misc. Specialities","","22.0","","","0.0","0.0","","0.0","","","42101996008507641","CLA-BD-0001670"
"a1UWD000005gDgb2AE","false","","a1WWD000002WF1o2AG","Soft cost","","","","","","0.0","","0.0","0.0","","","42102410066083966","CLA-BD-0004152"
"a1UWD000005gD2a2AE","false","0.0","a1WWD000002V38l2AC","","Concrete Foundation( Include building slab)","","51.0","","","0.0","0.0","","0.0","","","42104100113768622","CLA-BD-0001671"
"a1UWD000005gD2b2AE","false","0.0","a1WWD000002V38k2AC","","Telephone Underground","","33.0","","","0.0","0.0","0.0","0.0","","","42104357375124720","CLA-BD-0001672"
"a1UWD000005gD2c2AE","false","0.0","a1WWD000002V38m2AC","","Misc. S.S.","","71.0","","","0.0","0.0","","0.0","","","42107220109866682","CLA-BD-0001673"
"a1UWD000005gD2d2AE","false","0.0","a1WWD000002V3942AC","","Finish Carpentry/Millwork","","10.0","","","0.0","0.0","","0.0","","","42111558550203643","CLA-BD-0001674"
"a1UWD000005gD2e2AE","false","0.0","a1WWD000002V3932AC","","Allowance - Drywall Support/Finishing","","34.0","","","0.0","0.0","","0.0","","","42112367510241670","CLA-BD-0001675"
"a1UWD000005gD2f2AE","false","0.0","a1WWD000002V3952AC","","Doors/Frames/Hardware","","14.0","","","0.0","0.0","","0.0","","","42113567375639095","CLA-BD-0001676"
"a1UWD000005gD2g2AE","false","0.0","a1WWD000002V38k2AC","","H.V.A.C. System","","74.0","","","0.0","0.0","0.0","0.0","","","42119829699042329","CLA-BD-0001677"
"a1UWD000005gD2h2AE","false","0.0","a1WWD000002V38j2AC","","Storm Drain","","16.0","","","0.0","0.0","0.0","0.0","","","42120283923994352","CLA-BD-0001678"
"a1UWD000005gD2i2AE","false","0.0","a1WWD000002V38l2AC","","Storm Drain","","16.0","","","0.0","0.0","","0.0","","","42120515209213295","CLA-BD-0001679"
"a1UWD000005gD2j2AE","false","0.0","a1WWD000002V38m2AC","","100 ft secondary service","","84.0","","","0.0","0.0","","0.0","","","42120558764785134","CLA-BD-0001680"
"a1UWD000005gDgu2AE","false","","a1WWD000002WF2p2AG","Financing cost","","","","0.0","","0.0","","","0.0","","0.0","42120563733890791","CLA-BD-0004171"
"a1UWD000005gD2k2AE","false","0.0","a1WWD000002V38m2AC","","Fire Extinguishers","","87.0","","","0.0","0.0","","0.0","","","42121943078265832","CLA-BD-0001681"
"a1UWD000005gDgm2AE","false","","a1WWD000002WF2X2AW","Hard cost","","","","","","0.0","","","0.0","","","42122094186860492","CLA-BD-0004163"
"a1UWD000005gD2l2AE","false","0.0","a1WWD000002V3932AC","","Allowance - Precast Concrete Pane","","35.0","","","0.0","0.0","","0.0","","","42124444925824813","CLA-BD-0001682"
"a1UWD000005gD2m2AE","false","0.0","a1WWD000002V38n2AC","","Misc. S.S.","","71.0","","","0.0","0.0","0.0","0.0","","","42125139353640797","CLA-BD-0001683"
"a1UWD000005gD2n2AE","false","0.0","a1WWD000002V39G2AS","","Plumbing","","3.0","","","0.0","0.0","","0.0","","","42126172705459088","CLA-BD-0001684"
"a1UWD000005gD2o2AE","false","0.0","a1WWD000002V3932AC","","Allowance - Add'l Steel Support","","33.0","","","0.0","0.0","","0.0","","","42126509928471038","CLA-BD-0001685"
"a1UWD000005gD2p2AE","false","0.0","a1WWD000002V38l2AC","","TABC - Air Balance (Required)","","75.0","","","0.0","0.0","","0.0","","","42127415792635494","CLA-BD-0001686"
"a1UWD000005gD2q2AE","false","0.0","a1WWD000002V38j2AC","","Electrical Material","","82.0","","","0.0","0.0","0.0","0.0","","","42127476512218292","CLA-BD-0001687"
"a1UWD000005gD2r2AE","false","0.0","a1WWD000002V38n2AC","","Concrete paving","","34.0","","","0.0","0.0","0.0","0.0","","","42127541142377645","CLA-BD-0001688"
"a1UWD000005gD2s2AE","false","0.0","a1WWD000002V38n2AC","","Relocate Transformer","","17.0","","","0.0","0.0","0.0","0.0","","","42129003874722946","CLA-BD-0001689"
"a1UWD000005gD2t2AE","false","0.0","a1WWD000002V38m2AC","","Street paving and markings","","14.0","","","0.0","0.0","","0.0","","","42131370689877292","CLA-BD-0001690"
"a1UWD000005gD2u2AE","false","0.0","a1WWD000002V38l2AC","","Misc.","","92.0","","","0.0","0.0","","0.0","","","42131633645504016","CLA-BD-0001691"
"a1UWD000005gD2v2AE","false","0.0","a1WWD000002V38m2AC","","Street light - new or relocate","","6.0","","","0.0","0.0","","0.0","","","42133736661274333","CLA-BD-0001692"
"a1UWD000005gD2w2AE","false","0.0","a1WWD000002V38o2AC","","Landscaping w/ Irrigation (Required)","","36.0","","","0.0","0.0","","0.0","","","42135302851514648","CLA-BD-0001693"
"a1UWD000005gD2x2AE","false","0.0","a1WWD000002V3932AC","","Ceramic Tile","","17.0","","","0.0","0.0","","0.0","","","42135302876964231","CLA-BD-0001694"
"a1UWD000005gD2y2AE","false","0.0","a1WWD000002V38j2AC","","Ceramic tile","","69.0","","","0.0","0.0","0.0","0.0","","","42138773329333436","CLA-BD-0001695"
"a1UWD000005gD2z2AE","false","0.0","a1WWD000002V38k2AC","","Landscaping w/ Irrigation (Required)","","36.0","","","0.0","0.0","0.0","0.0","","","42139471662776275","CLA-BD-0001696"
"a1UWD000005gDkv2AE","false","","a1WWD000002WF3B2AW","Financing cost","","","","0.0","","0.0","","","0.0","","0.0","42139493388053470","CLA-BD-0004420"
