"Id","OwnerId","IsDeleted","Name","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c"
"a1WWD000002WF3V2AW","005al00000RVcKvAAL","false","RS budget 79","","","","true","false","0.0","653.0","76.0","34.0","0.0","0.0","0.0","42300371430717217","859.2105","44.7368","0.0","0.0","55.2632","-759.2105","0.0","42.0","-577.0"
"a1WWD000002WF1f2AG","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template6","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42304333346098753","","","","","","","","0.0","0.0"
"a1WWD000002WF2b2AG","005al00000RVcKvAAL","false","a1WWD000002Vb0Z","","a1WWD000002WF2R2AW","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42316373225256196","","","","","","","","0.0","0.0"
"a1WWD000002WF1M2AW","005al00000RVcKvAAL","false","Intake budget","","","","true","false","0.0","634.0","6645.0","643.0","0.0","0.0","0.0","42319798035310692","9.541","9.6764","0.0","0.0","90.3236","90.459","0.0","6002.0","6011.0"
"a1WWD000002WF1z2AG","005al00000RVcKvAAL","false","LLC BI  Budget 006-fa9477","FP48314546","","Regulatory compliance monitoring and reporting setup","true","true","796.11","346.66","610.92","744.95","450.86","677.42","745.76","42334391227945246","56.7439","121.939","73.8002","110.8852","-152.2523","43.2561","122.0716","-930.14","264.26"
"a1WWD000002V38a2AC","005al00000RVcKvAAL","false","NCinoKiwi2","","","","true","false","0.0","2323.0","23.0","0.0","0.0","0.0","0.0","42337171345700553","10100.0","0.0","0.0","0.0","100.0","-10000.0","0.0","23.0","-2300.0"
"a1WWD000002WF1h2AG","005al00000RVcKvAAL","false","New Budgets8","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42341965078005218","","","","","","","","0.0","0.0"
"a1WWD000002WF1i2AG","005al00000RVcKvAAL","false","New Budgets 019","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42365078452996694","","","","","","","","0.0","0.0"
"a1WWD000002WF1s2AG","005al00000RVcKvAAL","false","LLC BI  Budget 009-ce2be7","JP79468828","","Document collection and verification workflow settings","false","true","743.58","289.72","889.57","245.61","254.55","525.01","852.0","42365424697629410","32.5685","27.61","28.6149","59.0184","-11.1987","67.4315","95.7766","-99.62","599.85"
"a1WWD000002V38Z2AS","005al00000RVcKvAAL","false","NcinoKiwi","","","","true","false","0.0","328323.0","121.0","0.0","0.0","0.0","0.0","42421096470004076","271341.3223","0.0","0.0","0.0","100.0","-271241.3223","0.0","121.0","-328202.0"
"a1WWD000002WF1X2AW","005al00000RVcKvAAL","false","semi annual budget","","","","true","false","0.0","874638.0","643.0","7643.0","0.0","0.0","0.0","42426512277583364","136024.5723","1188.647","0.0","0.0","-1088.647","-135924.5723","0.0","-7000.0","-873995.0"
"a1WWD000002WF3r2AG","005al00000RVcKvAAL","false","Budgets-07","","","Updated","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42431947860788097","","","","","","","","0.0","0.0"
"a1WWD000002WF3O2AW","005al00000RVcKvAAL","false","a1WWD000002VhFk","","a1WWD000002WF3E2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42434396610872899","","","","","","","","0.0","0.0"
"a1WWD000002WF1y2AG","005al00000RVcKvAAL","false","LLC BI  Budget 005-854d6d","IF34860157","","Financial covenant monitoring and exception handling rules","true","true","773.41","319.29","198.42","531.42","380.17","53.0","567.81","42438016406332788","160.9162","267.8258","191.5986","26.711","-557.6101","-60.9162","286.1657","-1106.41","-120.87"
"a1WWD000002WF2X2AW","005al00000RVcKvAAL","false","a1WWD000002Vaz3","","","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42441297649653385","","","","","","","","0.0","0.0"
"a1WWD000002WF2W2AW","005al00000RVcKvAAL","false","a1WWD000002Vaz2","","","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4244714908868016","","","","","","","","0.0","0.0"
"a1WWD000002WF3P2AW","005al00000RVcKvAAL","false","a1WWD000002VhFl","","a1WWD000002WF3F2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42458141159765271","","","","","","","","0.0","0.0"
"a1WWD000002WF262AG","005al00000RVcKvAAL","false","a1WWD000002VOhf","","a1WWD000002WF1m2AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42480348567430575","","","","","","","","0.0","0.0"
"a1WWD000002WF3J2AW","005al00000RVcKvAAL","false","a1WWD000002VhFf","","a1WWD000002WF392AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42486210644941915","","","","","","","","0.0","0.0"
"a1WWD000002WF3c2AG","005al00000RVcKvAAL","false","commit 1","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42494417578743115","","","","","","","","0.0","0.0"
"a1WWD000002WF2O2AW","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42494850104407022","","","","","","","","0.0","0.0"
"a1WWD000002WF1I2AW","005al00000RVcKvAAL","false","AA budget 3","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42499909363725076","","","","","","","","0.0","0.0"
"a1WWD000002WF1W2AW","005al00000RVcKvAAL","false","overall budget","","","","true","false","0.0","4638.0","87463.0","87643.0","0.0","0.0","0.0","42507880177204313","5.3028","100.2058","0.0","0.0","-0.2058","94.6972","0.0","-180.0","82825.0"
"a1WWD000002WF3a2AG","005al00000RVcKvAAL","false","Budget-3","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42509552184016810","","","","","","","","0.0","0.0"
"a1WWD000002WF2Z2AW","005al00000RVcKvAAL","false","a1WWD000002Vb0X","","a1WWD000002WF2P2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42510562019889270","","","","","","","","0.0","0.0"
"a1WWD000002WF1H2AW","005al00000RVcKvAAL","false","AA budget 2","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42513768554706735","","","","","","","","0.0","0.0"
"a1WWD000002WF2T2AW","005al00000RVcKvAAL","false","a1WWD000002Vayz","","","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42514287812110728","","","","","","","","0.0","0.0"
"a1WWD000002V39F2AS","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42516101622084174","","","","","","","","0.0","0.0"
"a1WWD000002WF2F2AW","005al00000RVcKvAAL","false","a1WWD000002VOzT","UT16525915","","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42518019588928430","","","","","","","","0.0","0.0"
"a1WWD000002WF1d2AG","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template4","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42521218731927283","","","","","","","","0.0","0.0"
"a1WWD000002V38l2AC","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42522583177688671","","","","","","","","0.0","0.0"
"a1WWD000002WF2l2AG","005al00000RVcKvAAL","false","a1WWD000002VbAN","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42522777691188572","","","","","","","","0.0","0.0"
"a1WWD000002WF1S2AW","005al00000RVcKvAAL","false","Security budget","","","","true","false","0.0","6364.0","7633.0","3644.0","0.0","0.0","0.0","42529092827833181","83.3748","47.7401","0.0","0.0","52.2599","16.6252","0.0","3989.0","1269.0"
"a1WWD000002WF292AG","005al00000RVcKvAAL","false","a1WWD000002VOzN","BN22010752","","","false","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42536974759837089","","","","","","","","0.0","0.0"
"a1WWD000002WF2k2AG","005al00000RVcKvAAL","false","a1WWD000002VbAM","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42541305121546706","","","","","","","","0.0","0.0"
"a1WWD000002V38m2AC","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","","","","true","true","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42542914142876583","","","","","","","","0.0","0.0"
"a1WWD000002WF392AG","005al00000RVcKvAAL","false","a1WWD000002VhE3","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42543241534994780","","","","","","","","0.0","0.0"
"a1WWD000002WF1q2AG","005al00000RVcKvAAL","false","LLC BI  Budget 007-1ebe92","IY48509876","","Document collection and verification workflow settings","true","true","654.82","830.31","115.55","887.41","746.71","857.27","598.77","42550194338467800","718.572","767.9879","646.2224","741.9039","-1234.6863","-618.572","518.1913","-1426.68","-714.76"
"a1WWD000002WF1b2AG","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template2","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42564744269480605","","","","","","","","0.0","0.0"
"a1WWD000002WF2P2AW","005al00000RVcKvAAL","false","a1WWD000002Vayv","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42566358459435729","","","","","","","","0.0","0.0"
"a1WWD000002WF3K2AW","005al00000RVcKvAAL","false","a1WWD000002VhFg","","a1WWD000002WF3A2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42570120052227501","","","","","","","","0.0","0.0"
"a1WWD000002V39h2AC","005al00000RVcKvAAL","false","Programming Budget","","","Budget for programming tools and classes_Metzger","true","false","3000.0","8000.0","10000.0","5000.0","0.0","0.0","0.0","42580408335031508","80.0","50.0","0.0","0.0","20.0","20.0","0.0","2000.0","2000.0"
"a1WWD000002WF3Q2AW","005al00000RVcKvAAL","false","a1WWD000002VhFm","","a1WWD000002WF3G2AW","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42585990832671986","","","","","","","","0.0","0.0"
"a1WWD000002WF2J2AW","005al00000RVcKvAAL","false","a1WWD000002VP0z","","a1WWD000002WF292AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42590069474470350","","","","","","","","0.0","0.0"
"a1WWD000002V39f2AC","005al00000RVcKvAAL","false","Hello","","","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42591324258334766","","","","","","","","0.0","0.0"
"a1WWD000002WF3C2AW","005al00000RVcKvAAL","false","a1WWD000002VhE6","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42597610177439537","","","","","","","","0.0","0.0"
"a1WWD000002WF2w2AG","005al00000RVcKvAAL","false","a1WWD000002VbDU","","a1WWD000002WF2m2AG","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42599788162910873","","","","","","","","0.0","0.0"
