"AutorabitExtId__c","Id","IsDeleted","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Remaining__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","Name","OwnerId"
"","a25Ka000003Td4OIAS","false","","","","true","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","425.0","","425.0","0.0","0.0","0.0","425.0","0.0","42825193374177769","RS budget `1","0058c00000BxeO9AAJ"
"","a25Ka000003Td4EIAS","false","","","","true","false","0.0","888.3011","1000.3052","0.0","0.0","-900.3052","-788.3011","0.0","-8850.0","8732.0","983.0","9833.0","0.0","0.0","-7749.0","0.0","42826301128788663","Product budget","0058c00000BxeO9AAJ"
"","a258c000004VBCZAA4","false","","a258c000004VBKUAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","42857882419607219","New Budgets","0058c00000BxeO9AAJ"
"","a258c000004VBCTAA4","false","","a258c000004VBJpAAO","Test Description","false","false","2000.0","1.0","0.6","0.0","0.0","99.0","99.0","0.0","495000.0","5000.0","500000.0","3000.0","0.0","0.0","495000.0","0.0","42861041786945068","CLA Complex Budget 1 Template - Update01","0058c00000BxeO9AAJ"
"","a25Ka000003Td4BIAS","false","","","","true","false","0.0","8.8774","303.7726","0.0","0.0","-203.7726","91.1226","0.0","-20039.0","873.0","9834.0","29873.0","0.0","0.0","8961.0","0.0","42890263054632906","Sales budget","0058c00000BxeO9AAJ"
"","a25Ka000003Td4CIAS","false","","","","true","false","7384.0","","","","","","","","-9571.0","983.0","0.0","2187.0","0.0","0.0","-983.0","0.0","42932763487803675","Revenue Budget","0058c00000BxeO9AAJ"
"","a25Ka000003Td4MIAS","false","","","","true","false","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42938810070504468","new annual budget","0058c00000BxeO9AAJ"
"","a258c000004VBK3AAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42940878705367836","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDXAA4","false","","","Sreekar Budget to start a new Business StartUp","true","false","0.0","50.0","0.0","0.0","0.0","100.0","50.0","0.0","10000.0","5000.0","10000.0","0.0","0.0","0.0","5000.0","0.0","42961264666946633","Sreekar StartUp","0058c00000BxeO9AAJ"
"","a258c000004VBCUAA4","false","","a258c000004VBKLAA4","Commercial construction budget for building and parking construction.","false","false","429300.0","57.3125","6.4333","32.1025","20.4667","64.9467","42.6875","4.7433","974201.0","859688.0","1500000.0","96499.0","481538.0","307000.0","640312.0","71150.0","5km030j6y3dyzx7o4o","Construction of Warehouse","0058c00000BxeO9AAJ"
"","a258c000004VBK4AAO","false","","a258c000004VBKLAA4","This budget is for the construction of a Walgreens.","false","false","5000.0","100.0","6.4333","0.0","100.0","93.2333","0.0","0.0","1398500.01","1500000.0","1500000.0","96499.99","0.0","1500000.0","0.0","0.0","96amx8tcv25dm4l1n8","Budget for the Construction of a Walgreens","0058c00000BxeO9AAJ"
"","a258c000004VBK5AAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","96gcetgjg69r55mb72","Swimming Pool Construction Budget Template","0058c00000BxeO9AAJ"
"","a258c000004VBK6AAO","false","","a258c000004VBK9AAO","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a254S0000006XjdQAE","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBK7AAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254S0000006XjeQAE","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBK8AAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254S0000006XjfQAE","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBK9AAO","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254S0000006XjgQAE","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKAAA4","false","","a258c000004VBKDAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a254W000002ZgNyQAK","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKBAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254W000002ZgNzQAK","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKCAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254W000002ZgO0QAK","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKDAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254W000002ZgO1QAK","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKEAA4","false","","a258c000004VBKHAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a254W000002i4CnQAI","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKFAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254W000002i4CoQAI","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKGAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254W000002i4CpQAI","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKHAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a254W000002i4CqQAI","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDTAA4","false","","a258c000004VBDWAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a255f000001fQo3AAE","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDUAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a255f000001fQo4AAE","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDVAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a255f000001fQo5AAE","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDWAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a255f000001fQo6AAE","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKNAA4","false","","a258c000004VBKQAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a258c000003SSUTAA4","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKOAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a258c000003SSUUAA4","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKPAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a258c000003SSUVAA4","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKQAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a258c000003SSUWAA4","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDPAA4","false","","a258c000004VBDSAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a25Ho000003PYydIAG","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDQAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25Ho000003PYyeIAG","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDRAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25Ho000003PYyfIAG","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBDSAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25Ho000003PYygIAG","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKRAA4","false","","a258c000004VBKUAA4","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a25Hu000005tejWIAQ","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKSAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25Hu000005tejXIAQ","CLA Simple Budget 1 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKTAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25Hu000005tejYIAQ","CLA Simple Budget 2 Template","0058c00000BxeO9AAJ"
"","a258c000004VBKUAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25Hu000005tejZIAQ","CLA Complex Budget 1 Template","0058c00000BxeO9AAJ"
"","a25bn000002bxRNAAY","false","","a25bn000002bxRQAAY","","false","false","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","500000.0","0.0","500000.0","0.0","0.0","0.0","500000.0","0.0","a25bn000002bxRNAAY","CLA Complex Budget 1 Template","005bn000003k2JdAAI"
"","a25bn000002bxROAAY","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25bn000002bxROAAY","CLA Simple Budget 1 Template","005bn000003k2JdAAI"
"","a25bn000002bxRPAAY","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25bn000002bxRPAAY","CLA Simple Budget 2 Template","005bn000003k2JdAAI"
"","a25bn000002bxRQAAY","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","a25bn000002bxRQAAY","CLA Complex Budget 1 Template","005bn000003k2JdAAI"
"","a258c000004VBKIAA4","false","","a258c000004VBKLAA4","This budget is for the construction of a Walgreens.","false","false","128999.99","100.0","0.0","0.0","100.0","91.4","0.0","0.0","1371000.01","1500000.0","1500000.0","0.0","0.0","1500000.0","0.0","0.0","dm3tvpla1o7g4whico","Budget for the Construction of a Walgreens","0058c00000BxeO9AAJ"
"","a258c000004VBCVAA4","false","","a258c000004VBKLAA4","","true","false","0.0","2.046","0.086","0.0","2.046","99.914","97.954","0.0","2497850.0","51150.0","2500000.0","2150.0","0.0","51150.0","2448850.0","0.0","ffw63azh7kgn5nrn4v","Stark Construction Loan Budget","0058c00000BxeO9AAJ"
"","a258c000004VBKJAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","m47rwh80tij7dno12c","Residential Construction Budget Template","0058c00000BxeO9AAJ"
"","a258c000002D5uQAAS","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","noumsrsw8zvk9qpfuj","Swimming Pool Construction Budget Template","0058c00000BxeO9AAJ"
"","a258c000004VBCWAA4","false","","a258c000004VBKLAA4","","false","false","0.0","0.4405","0.0892","0.0","0.4405","99.9108","99.5595","0.0","1848350.0","8150.0","1850000.0","1650.0","0.0","8150.0","1841850.0","0.0","nw7nlfncuclo988ede","Maple Construction Loan Budget","0058c00000BxeO9AAJ"
"","a258c000004VBCXAA4","false","","a258c000004VBKLAA4","This budget is for the construction of a warehouse","false","false","250.0","62.1741","0.0","35.9641","19.0","99.9833","37.8259","7.21","1499750.0","932612.0","1500000.0","0.0","539462.0","285000.0","567388.0","108150.0","t2mxuxi14ydm4lfqkv","Budget for the Construction of a Warehouse","0058c00000BxeO9AAJ"
"","a258c000004VBKKAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","t9fuq012tnzadfit8v","Residential Construction Budget Template","0058c00000BxeO9AAJ"
"","a258c000004VBKLAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","x93i7svko56i9otrvj","Commercial Construction Budget Template","0058c00000BxeO9AAJ"
"","a258c000004VBKMAA4","false","","","","true","true","0.0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","z2hxx1clp02cxmb4ba","Commercial Construction Budget Template","0058c00000BxeO9AAJ"
