"Id","IsDeleted","Name","ConnectionReceivedId","ConnectionSentId","LLC_BI__Data_Source__c","LLC_BI__External_Name__c","LLC_BI__Sort_Order__c","LLC_BI__lookupKey__c","LLC_BI__Data_Source_Section__c"
"a4L4x0000019ne6EAA","","42332020957371126","","","a4N4x0000017jP9EAI","","99.0","072035f2-4c1a-413d-8b9c-0fecda73e6c4",""
"a4L4x0000019ngwEAA","","42367175417279317","","","a4N4x0000017jP8EAI","","3.0","074f2139-69d6-4851-b886-d60da4890b42",""
"a4L4x0000019nieEAA","","42185642632178099","","","a4N4x0000017jP8EAI","","30.0","08feabb3-46b7-431b-814e-fadbb5a001e7",""
"a4L4x0000019ni9EAA","","42658293724649801","","","a4N4x0000017jP8EAI","","122.0","092864dd-bb4c-4249-b142-fd311f57fc4f",""
"a4L4x0000019ngZEAQ","","89808811-d882-4a00-b9b4-19bc1368359d","","","a4N4x0000017jP7EAI","","59.0","0952a196-9be0-4924-8716-ea02317fb824",""
"a4L4x0000019ndwEAA","","42014208779478872","","","a4N4x0000017jP9EAI","","193.0","0977bacb-8929-4356-ba2f-2e5b70585e6b",""
"a4L4x0000019ni6EAA","","42722085343273261","","","a4N4x0000017jP8EAI","","119.0","09e6f235-c526-4145-b344-891acd1b46b3",""
"a4L4x0000019neFEAQ","","42804928787208403","","","a4N4x0000017jP9EAI","","107.0","0a3f9bf1-7602-4389-9470-297ee9ec66fa",""
"a4L4x0000019ndNEAQ","","42746204592802741","","","a4N4x0000017jP9EAI","","30.0","0a76dfac-c93a-44b7-9d21-6e397895855c",""
"a4L4x0000019niCEAQ","","42157257595982955","","","a4N4x0000017jP8EAI","","118.0","0b476140-16b9-47e0-95a1-71dd506245fd",""
"a4L4x0000019niWEAQ","","42535828312445938","","","a4N4x0000017jP8EAI","","144.0","0b59d5b4-c26a-4342-a91c-aef4da3fc6a9",""
"a4L4x0000019ndBEAQ","","42290636271780339","","","a4N4x0000017jP9EAI","","143.0","0b8ba47f-e97d-4309-a110-9b7954bc2358",""
"a4L4x0000019nhHEAQ","","42083319819732684","","","a4N4x0000017jP8EAI","","86.0","0c25a191-d581-4545-aa95-6ed9404d5d69",""
"a4L4x0000019ndpEAA","","42525632173823773","","","a4N4x0000017jP9EAI","","112.0","0ce56091-9422-475a-beec-38b4c2212565",""
"a4L4x0000019ni1EAA","","42746005766774561","","","a4N4x0000017jP8EAI","","113.0","0d2c8ab8-bde1-489f-a677-364d7d89b4a8",""
"a4L4x0000019ndREAQ","","42832919608256817","","","a4N4x0000017jP9EAI","","77.0","0dcd896a-2e50-4fc7-bb7c-cfce35f86822",""
"a4L4x0000019nfmEAA","","42669701546096091","","","a4N4x0000017jP7EAI","","98.0","0deef1e4-29f8-4706-aaa6-ea11f81c93d8",""
"a4L4x0000019neyEAA","","42402604976031945","","","a4N4x0000017jP9EAI","","122.0","0e1fdf4f-bf6e-4cd7-ad75-502541e05971",""
"a4L4x0000019ndIEAQ","","42780763157159536","","","a4N4x0000017jP9EAI","","25.0","0f933d94-d536-4177-af55-d7f5ef541e34",""
"a4L4x0000019ninEAA","","42470911840639187","","","a4N4x0000017jP8EAI","","39.0","101a5fdf-eb50-46c6-9e91-76bc9645d314",""
"a4L4x0000019niMEAQ","","42698884048488755","","","a4N4x0000017jP8EAI","","134.0","105a1e39-587c-44ea-a871-7a60f4b52900",""
"a4L4x0000019ngqEAA","","42815874326000377","","","a4N4x0000017jP8EAI","","63.0","106ca7f5-449b-4cc0-8460-23caa993182e",""
"a4L4x0000019nh9EAA","","42982198837158367","","","a4N4x0000017jP8EAI","","71.0","119f9a2f-567b-410b-a1c3-341fae81eb08",""
"a4L4x0000019neiEAA","","4205945566746774","","","a4N4x0000017jP9EAI","","35.0","11c4182d-f0e4-49e3-9e3e-65d3fe8ef6f4",""
"a4L4x0000019ngIEAQ","","42382641256491801","","","a4N4x0000017jP7EAI","","29.0","12107d2b-125f-4aed-a847-d4c574fce672",""
"a4L4x0000019nfCEAQ","","42181570432496324","","","a4N4x0000017jP7EAI","","43.0","12a31d52-025e-4da2-8ee6-b02dc02a2f02",""
"a4L4x0000019nhDEAQ","","42072661904675553","","","a4N4x0000017jP8EAI","","82.0","13022b5b-df06-477e-92c4-be17f3d0bedf",""
"a4L4x0000019ngvEAA","","42161566975741706","","","a4N4x0000017jP8EAI","","2.0","138c018d-7b74-4d0a-9b56-8c8a12d97758",""
"a4L4x0000019ngXEAQ","","aecec559-d45c-45ab-89d2-623d9e6bc754","","","a4N4x0000017jP7EAI","","57.0","140d51c8-0630-446b-8a29-7416e0c88b26",""
"a4L4x0000019nj9EAA","","42543104477848312","","","a4N4x0000017jP8EAI","","154.0","1538c2b7-7a88-4327-8c64-03a20f70adf3",""
"a4L4x0000019nhqEAA","","42709063252129853","","","a4N4x0000017jP8EAI","","15.0","156aca6d-6c9a-4e57-a8ca-5dcc977205c7",""
"a4L4x0000019neZEAQ","","42006672098080664","","","a4N4x0000017jP9EAI","","162.0","16054bab-74ba-49d9-9d9d-36dcb1699917",""
"a4L4x0000019nilEAA","","42864620702977163","","","a4N4x0000017jP8EAI","","37.0","172029eb-13a6-4bfa-b47a-d1bc57aaeb69",""
"a4L4x0000019nbhEAA","","42584611985699927","","","a4N4x0000017jP9EAI","","221.0","1721f2cb-b22a-4c49-896d-045ed3371aa0",""
"a4L4x0000019ngfEAA","","5bb5b475-e245-4fa2-8e60-7f97497e979c","","","a4N4x0000017jP7EAI","","65.0","1747b0db-d7fa-4475-a4ef-bc0ba7480744",""
"a4L4x0000019ndgEAA","","42058825579547210","","","a4N4x0000017jP9EAI","","92.0","17787a70-551a-487f-9606-9a6a1bb14a07",""
"a4L4x0000019ngcEAA","","ff898a84-cfb1-457c-bfa8-f9fd225219c4","","","a4N4x0000017jP7EAI","","62.0","180d0ca2-c5d3-450a-ba3c-9f158f69751d",""
"a4L4x0000019newEAA","","42504395701497828","","","a4N4x0000017jP9EAI","","120.0","181a2531-25d1-4f3b-9287-66be572e2bf3",""
"a4L4x0000019nbKEAQ","","42206908041573163","","","a4N4x0000017jP9EAI","","175.0","18a6c1e8-6830-43b9-ab93-1f3f2063b036",""
"a4L4x0000019ndrEAA","","42738316166800889","","","a4N4x0000017jP9EAI","","114.0","18e72c31-3d58-4b7d-a455-2babfa70e8b3",""
"a4L4x0000019nh3EAA","","42684888099089333","","","a4N4x0000017jP8EAI","","81.0","19c3f8b1-36ff-452c-acc0-f81ccf25817a",""
"a4L4x0000019nhPEAQ","","42468374740861233","","","a4N4x0000017jP8EAI","","94.0","19cf0c40-9ce0-4aaf-bf89-3f7e7e2cb70b",""
"a4L4x0000019ngpEAA","","42126939727270009","","","a4N4x0000017jP8EAI","","62.0","1a18ac17-14fe-4374-80e5-0a76d42d27fb",""
"a4L4x0000019nhIEAQ","","42793878462823855","","","a4N4x0000017jP8EAI","","87.0","1a2f678f-a1cd-480c-a8dc-a91e3bf57119",""
"a4L4x0000019nctEAA","","42497289255187035","","","a4N4x0000017jP9EAI","","125.0","1ad1a2af-bb80-44a3-ba3e-19b6cd7b28a9",""
"a4L4x0000019njFEAQ","","42096516320406475","","","a4N4x0000017jP8EAI","","57.0","1d1fa0cc-45c0-4f89-a125-eb57d7416899",""
"a4L4x0000019niGEAQ","","42432003052018263","","","a4N4x0000017jP8EAI","","128.0","1d8ff353-0519-4354-b55d-961abac9b28b",""
"a4L4x0000019nbfEAA","","42724692828950814","","","a4N4x0000017jP9EAI","","219.0","1da7ae00-e95b-430c-83f7-96f574fe230f",""
"a4L4x0000019nhfEAA","","42884355870794025","","","a4N4x0000017jP8EAI","","4.0","1deb3789-c988-4a77-b5f0-8759662be667",""
"a4L4x0000019ndcEAA","","42802520656082619","","","a4N4x0000017jP9EAI","","88.0","1df6de73-146c-4d9c-bbde-09515962996f",""
"a4L4x0000019neWEAQ","","42299118787259330","","","a4N4x0000017jP9EAI","","209.0","1e48aab2-e88f-4461-bad8-0ed47a142d3a",""
"a4L4x0000019ng7EAA","","f6e46d1d-4035-4777-ac0d-895ff5bd3e19","","","a4N4x0000017jP7EAI","","101.0","1e6dcf0c-fdb5-42a9-8593-3adeaf8a55f8",""
"a4L4x0000019nbtEAA","","42342847655741077","","","a4N4x0000017jP9EAI","","17.0","1ef5580c-c798-4e26-bf32-7aa81b95e563",""
"a4L4x0000019ndmEAA","","42197342661415742","","","a4N4x0000017jP9EAI","","109.0","1fc81386-ef41-4e90-a017-eb18f5dec216",""
"a4L4x0000019nhgEAA","","42902163088219132","","","a4N4x0000017jP8EAI","","5.0","20186267-8e6f-4e46-b4cd-5142c00b8b9f",""
"a4L4x0000019ne7EAA","","42251670542199066","","","a4N4x0000017jP9EAI","","100.0","2032a01e-3ead-429a-9be2-920af7ddd1a0",""
"a4L4x0000019ng1EAA","","42305787392785047","","","a4N4x0000017jP7EAI","","18.0","20b11a22-09de-422a-a4cd-408d6f75fffa",""
"a4L4x0000019nfgEAA","","9fd13a9d-bb2d-4274-af12-da86a85c1c5a","","","a4N4x0000017jP7EAI","","92.0","21cfcad4-06c7-47a7-8960-feb051349d79",""
"a4L4x0000019niIEAQ","","42823416692359051","","","a4N4x0000017jP8EAI","","130.0","21f226f4-d375-4e88-b212-83a54073b59e",""
"a4L4x0000019ne5EAA","","42022879255102551","","","a4N4x0000017jP9EAI","","202.0","21f7e5bd-9174-4efe-9e1a-0ef41846d11b",""
"a4L4x0000019nfdEAA","","35bf754f-f43d-4c6d-bb7c-dbc504ac8b48","","","a4N4x0000017jP7EAI","","89.0","222dd17f-f2eb-4c36-86e7-a5ef093ff477",""
"a4L4x0000019neGEAQ","","42092134307388445","","","a4N4x0000017jP9EAI","","108.0","230aa549-13bd-4b86-bbd5-c9bb68ab3012",""
"a4L4x0000019nebEAA","","42619445671722400","","","a4N4x0000017jP9EAI","","164.0","24870189-6aea-493f-a2f1-533611176c3d",""
"a4L4x0000019nbGEAQ","","42870538581882900","","","a4N4x0000017jP9EAI","","171.0","24b04118-d48c-49cd-9611-41935d220c84",""
"a4L4x0000019niXEAQ","","42875707157343051","","","a4N4x0000017jP8EAI","","145.0","2527c87b-b6d8-46e0-b3b6-bddaef685cf5",""
"a4L4x0000019nflEAA","","42909067803259369","","","a4N4x0000017jP7EAI","","97.0","257bb26a-db60-4d16-a9e0-242b5e4282a2",""
"a4L4x0000019ncWEAQ","","42052951564784491","","","a4N4x0000017jP9EAI","","65.0","25aaaf9e-4ea0-4c24-bf0d-3ba173e796b6",""
"a4L4x0000019nfsEAA","","8a0978a4-34ad-4367-8b59-bc68529e69f4","","","a4N4x0000017jP7EAI","","110.0","25d47989-0c0e-4eb6-a06f-3040ce722a49",""
"a4L4x0000019ncxEAA","","42683709497697816","","","a4N4x0000017jP9EAI","","129.0","261856a6-daaf-4df7-96f6-5ccb4019e2f8",""
"a4L4x0000019ng0EAA","","42173251183442578","","","a4N4x0000017jP7EAI","","17.0","26c735d2-7e16-4625-822a-b1a8c92525d7",""
"a4L4x0000019nc9EAA","","42167990490560161","","","a4N4x0000017jP9EAI","","52.0","26e5dffa-7a64-4260-b191-c7902c2e3448",""
"a4L4x0000019nibEAA","","42577053432916026","","","a4N4x0000017jP8EAI","","27.0","276e8f56-d3a0-443f-8ef4-239c4c93c162",""
"a4L4x0000019nimEAA","","42295739971684638","","","a4N4x0000017jP8EAI","","38.0","2841eeb3-c251-4004-b857-e9fd32658a71",""
"a4L4x0000019ncDEAQ","","42878917114688405","","","a4N4x0000017jP9EAI","","59.0","286e2731-7ed4-4f08-8f7b-d898f235109e",""
"a4L4x0000019nedEAA","","42992950291851966","","","a4N4x0000017jP9EAI","","166.0","29122904-ed23-4b22-b9d7-9dacd4b3ca26",""
"a4L4x0000019nezEAA","","42310663982946692","","","a4N4x0000017jP7EAI","","0.0","29509fc4-8e8e-4db3-851b-b197ba7793d1",""
"a4L4x0000019nhJEAQ","","42946946664901295","","","a4N4x0000017jP8EAI","","88.0","2a29eac1-585c-48fc-92f9-fbc580b59d53",""
"a4L4x0000019nbMEAQ","","42803465517455772","","","a4N4x0000017jP9EAI","","177.0","2a91fc91-a6ac-4eec-aa16-f8b60dfab964",""
"a4L4x0000019nhAEAQ","","42655766470746219","","","a4N4x0000017jP8EAI","","72.0","2c021859-e0b6-45b5-a8e9-f404bfd1b6db",""
"a4L4x0000019nesEAA","","42953469419478261","","","a4N4x0000017jP9EAI","","116.0","2c2ff039-85d1-456a-b39f-f00d27a09f99",""
"a4L4x0000019ndLEAQ","","42856209809385954","","","a4N4x0000017jP9EAI","","28.0","2cabc30f-a42a-4bc5-81a2-05132b753377",""
"a4L4x0000019nbwEAA","","42832812367672478","","","a4N4x0000017jP9EAI","","20.0","2d3f5d54-7dc6-4d98-a045-ff8b6ef0005f",""
"a4L4x0000019ncJEAQ","","42894488913689003","","","a4N4x0000017jP9EAI","","54.0","2e19c321-3bc6-4cb4-9c2e-9aa6704fd1bc",""
"a4L4x0000019nhwEAA","","42111215461843506","","","a4N4x0000017jP8EAI","","21.0","2e8cb226-e319-4fb1-a45b-69bf5fc247ff",""
"a4L4x0000019nfnEAA","","3bcef80f-ea1c-4336-ac89-d182234900db","","","a4N4x0000017jP7EAI","","99.0","2ed2ad92-ee1d-4c3d-9322-18b26476ca89",""
"a4L4x0000019neJEAQ","","42196646579350935","","","a4N4x0000017jP9EAI","","155.0","301d42bd-657a-41c3-9c66-0a9c29df45a1",""
"a4L4x0000019nivEAA","","42774584821408284","","","a4N4x0000017jP8EAI","","47.0","3068c2a8-7a99-403b-8b87-fb2e63ae2118",""
"a4L4x0000019nhTEAQ","","42100245168975974","","","a4N4x0000017jP8EAI","","98.0","3210067e-943d-4401-aa62-0a4910eda149",""
"a4L4x0000019ne3EAA","","42235908575908306","","","a4N4x0000017jP9EAI","","200.0","328dfda8-0592-4035-939f-e5c2772fd8b0",""
"a4L4x0000019nj3EAA","","42598102125405818","","","a4N4x0000017jP8EAI","","148.0","32bae0b6-156e-4537-87cc-007ee210b0c6",""
"a4L4x0000019ndGEAQ","","42897170690618976","","","a4N4x0000017jP9EAI","","148.0","32c072ac-00b5-4c5a-9a29-856e3433d3e7",""
"a4L4x0000019ndKEAQ","","42141182718604303","","","a4N4x0000017jP9EAI","","27.0","32e31c12-8781-4e5f-9441-70b57eb4d8d3",""
"a4L4x0000019nbHEAQ","","42536099727638272","","","a4N4x0000017jP9EAI","","172.0","33a6a319-331e-4d86-9768-4405cca9a239",""
"a4L4x0000019ngNEAQ","","42976845306928672","","","a4N4x0000017jP7EAI","","34.0","33b61044-e60f-4c2c-8a7c-1dd8b34fa1be",""
"a4L4x0000019nexEAA","","42592377114891069","","","a4N4x0000017jP9EAI","","121.0","33d0e9c6-f448-42e6-8de6-ab32d0e0f78d",""
"a4L4x0000019nceEAA","","42555544246590901","","","a4N4x0000017jP9EAI","","73.0","33e9fe1a-8ff2-4219-981e-ab7b1be19279",""
"a4L4x0000019nghEAA","","2bffe1d2-a126-49f2-91c3-6541e39dbe07","","","a4N4x0000017jP7EAI","","67.0","365a42b4-6a3e-4922-861f-a50840b45d14",""
"a4L4x0000019ncCEAQ","","42526751452295764","","","a4N4x0000017jP9EAI","","58.0","370003ef-7776-4553-85e6-0d6698e4b98f",""
"a4L4x0000019ngFEAQ","","42196542935887893","","","a4N4x0000017jP7EAI","","26.0","387367f1-d891-40ed-b9c8-36db9a9182df",""
"a4L4x0000019neLEAQ","","42990359736054847","","","a4N4x0000017jP9EAI","","157.0","38799c8a-d152-415f-a67e-ae4e74daa169",""
"a4L4x0000019neeEAA","","42685726745006615","","","a4N4x0000017jP9EAI","","167.0","3acc8e0b-5f5f-49f7-91eb-2c0d8122c59b",""
"a4L4x0000019ngAEAQ","","55b976a1-410e-4e32-96b5-6e79762f4ea1","","","a4N4x0000017jP7EAI","","104.0","3ad2ce62-a9f8-4ffe-a8f9-ebb2f86a544a",""
"a4L4x0000019nfOEAQ","","da5389f3-9c38-46be-be92-c67df7e24601","","","a4N4x0000017jP7EAI","","74.0","3b27fee9-646e-496b-abb7-ad1b206044fb",""
"a4L4x0000019neQEAQ","","42726381007686146","","","a4N4x0000017jP9EAI","","203.0","3bac35e2-b31d-4a1e-af99-b76a1526de0b",""
"a4L4x0000019ndUEAQ","","42167785579457575","","","a4N4x0000017jP9EAI","","80.0","3c088963-af8d-4748-985f-0db049ee7edd",""
"a4L4x0000019nbgEAA","","42921065806493371","","","a4N4x0000017jP9EAI","","220.0","3c4ce336-916e-42d0-b72d-b3e5ba132b8d",""
"a4L4x0000019ncAEAQ","","42425443941413471","","","a4N4x0000017jP9EAI","","43.0","3cf6a5d0-3d71-44b6-8aa8-786ef2873091",""
"a4L4x0000019nc1EAA","","42172872749458553","","","a4N4x0000017jP9EAI","","44.0","3d2b8a14-dbe7-4873-8ebd-a194f342f484",""
"a4L4x0000019ncvEAA","","42627804387365402","","","a4N4x0000017jP9EAI","","127.0","3dd89c70-e128-4648-ac1b-f36d048ffba1",""
"a4L4x0000019neEEAQ","","42232189995844778","","","a4N4x0000017jP9EAI","","106.0","3e28bb92-f001-4f13-bd2e-59a152e86821",""
"a4L4x0000019nd9EAA","","42888495481392710","","","a4N4x0000017jP9EAI","","141.0","3ebb2c8d-29e7-4cea-b577-887eabef826b",""
"a4L4x0000019ni3EAA","","42509968095921200","","","a4N4x0000017jP8EAI","","115.0","3ec10765-5c67-4392-8505-5cef2fd4b7f5",""
"a4L4x0000019nd1EAA","","42235021475611638","","","a4N4x0000017jP9EAI","","133.0","3f11e3ad-f921-4059-9d1e-e730e05c750d",""
"a4L4x0000019ncbEAA","","42264296728071726","","","a4N4x0000017jP9EAI","","70.0","3f6f156d-2940-46e8-9c7e-f65f08d0b985",""
"a4L4x0000019ne8EAA","","42228735396115501","","","a4N4x0000017jP9EAI","","98.0","3ff31525-f84f-443e-8791-58e0d1e05f50",""
"a4L4x0000019nioEAA","","42035166137834633","","","a4N4x0000017jP8EAI","","40.0","40160a22-d534-465e-8df9-015fbbd92cb4",""
"a4L4x0000019ndbEAA","","42622917081068339","","","a4N4x0000017jP9EAI","","87.0","42053fa5-8b5c-4761-a891-d9aabe3fca8b",""
"a4L4x0000019nbzEAA","","42640118200223537","","","a4N4x0000017jP9EAI","","23.0","42094c5f-ffec-49c4-b51a-d3890427cfaa",""
"a4L4x0000019ncpEAA","","42082703472965209","","","a4N4x0000017jP9EAI","","12.0","42ee3952-e4c7-4476-a5a6-ee8dcbcbf93d",""
"a4L4x0000019nirEAA","","42313369292552683","","","a4N4x0000017jP8EAI","","43.0","4333def3-8e68-4549-aca2-2b98e3d7d4ca",""
"a4L4x0000019nbFEAQ","","42697077142481942","","","a4N4x0000017jP9EAI","","170.0","43c39eef-3700-46ce-afba-52c0143802d6",""
"a4L4x0000019ngJEAQ","","42244795703667533","","","a4N4x0000017jP7EAI","","30.0","43c92860-bd12-427d-a480-1a5a10c19068",""
"a4L4x0000019nhyEAA","","42166864472041693","","","a4N4x0000017jP8EAI","","110.0","43e4ac7f-d150-4ae8-9457-487cbabe76fe",""
"a4L4x0000019nbVEAQ","","42580989739368167","","","a4N4x0000017jP9EAI","","186.0","44948485-d937-4431-bdb0-34c073d892c6",""
"a4L4x0000019ncjEAA","","42803494104332294","","","a4N4x0000017jP9EAI","","6.0","44b0ba79-7dd0-458b-9f17-828ad6474f82",""
"a4L4x0000019nggEAA","","dd016c6b-4ef3-4242-868d-00c9abf3d12e","","","a4N4x0000017jP7EAI","","66.0","45d4f511-d80d-43f8-8963-f882012b0a02",""
"a4L4x0000019nfKEAQ","","c415cd45-55bb-4c34-9fd3-8d7d593dd444","","","a4N4x0000017jP7EAI","","51.0","464d351c-c1b4-430d-9193-b145f24b4754",""
"a4L4x0000019ndTEAQ","","42920668547598208","","","a4N4x0000017jP9EAI","","79.0","465922ba-f382-4cec-95f0-e46affb880cf",""
"a4L4x0000019ni4EAA","","42419330950182122","","","a4N4x0000017jP8EAI","","116.0","46c51bd4-18f5-483c-8c56-d75b62638eaf",""
"a4L4x0000019nbbEAA","","42841313155753391","","","a4N4x0000017jP9EAI","","215.0","470dbc8c-dea5-456d-b2af-ff7d09cd9c47",""
"a4L4x0000019neSEAQ","","42339304622174276","","","a4N4x0000017jP9EAI","","205.0","4826992d-d726-430a-a821-43d7e2d20683",""
"a4L4x0000019nbIEAQ","","42745919477660607","","","a4N4x0000017jP9EAI","","173.0","48617d30-e1d0-49f8-b122-9d443ac44e5b",""
"a4L4x0000019nbZEAQ","","42577363098049554","","","a4N4x0000017jP9EAI","","213.0","4882a825-5436-445d-a158-3ed9129fe260",""
"a4L4x0000019nguEAA","","42203165780901698","","","a4N4x0000017jP8EAI","","1.0","4902efae-3509-4bc9-84e0-c311df0ed49e",""
"a4L4x0000019njDEAQ","","42816971297778571","","","a4N4x0000017jP8EAI","","52.0","49a096da-0d87-4922-bb37-9f1b9f52c0fa",""
"a4L4x0000019nbUEAQ","","42361317124370651","","","a4N4x0000017jP9EAI","","185.0","4b4de72a-74dc-49ba-a466-993aeb08f706",""
"a4L4x0000019ncgEAA","","42532345724304543","","","a4N4x0000017jP9EAI","","3.0","4bd75f87-1d57-4981-9d3e-d1f22785c68b",""
"a4L4x0000019neYEAQ","","42876448230171676","","","a4N4x0000017jP9EAI","","211.0","4d734d0d-8d22-469a-9ddb-85c15682ef8d",""
"a4L4x0000019ncaEAA","","42338877042695882","","","a4N4x0000017jP9EAI","","69.0","4d7d79f2-a8d9-4426-ad86-2793fdfad2b0",""
"a4L4x0000019niTEAQ","","42836463571565713","","","a4N4x0000017jP8EAI","","142.0","4daf52f9-b632-460c-a650-f79a463af98a",""
"a4L4x0000019nc5EAA","","42827874440000710","","","a4N4x0000017jP9EAI","","48.0","4eb47837-a531-4443-aa64-11689993aa38",""
"a4L4x0000019nbWEAQ","","42749951696837479","","","a4N4x0000017jP9EAI","","187.0","4f522b1f-3de8-44bb-a224-c5ec4ae6a2a7",""
"a4L4x0000019nccEAA","","42381723546748652","","","a4N4x0000017jP9EAI","","71.0","4fa8004a-04b9-4fb2-9a73-08c5fcf01d75",""
"a4L4x0000019nhaEAA","","42181330102292400","","","a4N4x0000017jP8EAI","","105.0","5072bfd9-9eae-47ff-900f-c265f5bd65f6",""
"a4L4x0000019nczEAA","","42734057172313815","","","a4N4x0000017jP9EAI","","131.0","50d69a45-0d9f-4018-80bc-503554cf24e0",""
"a4L4x0000019ngoEAA","","42075698709317406","","","a4N4x0000017jP8EAI","","61.0","5139a20d-925f-43f7-ad81-9857aacfcdf4",""
"a4L4x0000019niKEAQ","","42694635293131818","","","a4N4x0000017jP8EAI","","132.0","5160f5d8-68ce-47a1-9602-34f1bb191ec7",""
"a4L4x0000019niJEAQ","","42280734270650728","","","a4N4x0000017jP8EAI","","131.0","518a1930-6bd6-410a-ab13-7d5adf796d71",""
"a4L4x0000019nboEAA","","42504973224825535","","","a4N4x0000017jP9EAI","","1.0","51bea22c-a497-40d2-926c-04580b945787",""
"a4L4x0000019nbYEAQ","","42719116706344286","","","a4N4x0000017jP9EAI","","212.0","52f4e3f1-3545-474c-b0a7-f1c68890a5b2",""
"a4L4x0000019nh8EAA","","42108863532110642","","","a4N4x0000017jP8EAI","","70.0","536ed884-84c2-4810-b408-c25344fc5c73",""
"a4L4x0000019nd2EAA","","42907901125247181","","","a4N4x0000017jP9EAI","","134.0","54b4ee2b-bc61-4869-8b93-825cb6a740b7",""
"a4L4x0000019nffEAA","","885ecfa8-7d34-43fb-a9b8-38f111528c45","","","a4N4x0000017jP7EAI","","91.0","5664da46-6260-4880-ab0d-a75374e6dea0",""
"a4L4x0000019nd7EAA","","42106577930241172","","","a4N4x0000017jP9EAI","","139.0","5716d221-6c6a-458f-a8a5-48e6f5429a6d",""
"a4L4x0000019ndhEAA","","42336407858074777","","","a4N4x0000017jP9EAI","","93.0","57fe588c-a24b-4001-8747-b3659dad4576",""
"a4L4x0000019ndYEAQ","","42239798583115469","","","a4N4x0000017jP9EAI","","84.0","581fcec3-5c39-496d-adaa-c4380c5d665c",""
"a4L4x0000019nixEAA","","42887668815713532","","","a4N4x0000017jP8EAI","","49.0","587adba0-c75a-4177-aaf3-42480e08b3bc",""
"a4L4x0000019nh2EAA","","42621072749797615","","","a4N4x0000017jP8EAI","","80.0","58fd34f1-b237-4455-af81-171dea00438d",""
"a4L4x0000019niPEAQ","","42171323308059709","","","a4N4x0000017jP8EAI","","137.0","59aa30c8-6c12-4b39-b445-2d74cb8599f6",""
"a4L4x0000019neoEAA","","42603592343174211","","","a4N4x0000017jP9EAI","","40.0","5af15fb5-d18a-4363-8110-058fa0768aa9",""
"a4L4x0000019nhiEAA","","42486218312527886","","","a4N4x0000017jP8EAI","","7.0","5b7a28e7-e42a-4bc9-ac37-3513308abae8",""
"a4L4x0000019nfeEAA","","4d2fb33a-667f-4808-9720-ad23ced1f0a0","","","a4N4x0000017jP7EAI","","90.0","5c4ea625-3caa-440d-9347-7bc83e256a11",""
"a4L4x0000019nduEAA","","42328485416480119","","","a4N4x0000017jP9EAI","","191.0","5ce4a671-411a-4afc-a10c-f3d2e1f02d96",""
"a4L4x0000019ncYEAQ","","42721479615216632","","","a4N4x0000017jP9EAI","","67.0","5d0f26a3-2a9f-427c-9e92-4cbad5586f03",""
"a4L4x0000019nhpEAA","","42027845416640901","","","a4N4x0000017jP8EAI","","14.0","5d189686-c10a-4859-a5ca-a7e93dd70933",""
