"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Data__c","nFORCE__Icon__c","nFORCE__Parameters__c","nFORCE__Script_Resource_Eight__c","nFORCE__Script_Resource_Eleven__c","nFORCE__Script_Resource_Fifteen__c","nFORCE__Script_Resource_Five__c","nFORCE__Script_Resource_Four__c","nFORCE__Script_Resource_Fourteen__c","nFORCE__Script_Resource_Nine__c","nFORCE__Script_Resource_One__c","nFORCE__Script_Resource_Seven__c","nFORCE__Script_Resource_Six__c","nFORCE__Script_Resource_Ten__c","nFORCE__Script_Resource_Thirteen__c","nFORCE__Script_Resource_Three__c","nFORCE__Script_Resource_Twelve__c","nFORCE__Script_Resource_Two__c","nFORCE__Stylesheet_Resource_Eight__c","nFORCE__Stylesheet_Resource_Five__c","nFORCE__Stylesheet_Resource_Four__c","nFORCE__Stylesheet_Resource_Nine__c","nFORCE__Stylesheet_Resource_One__c","nFORCE__Stylesheet_Resource_Seven__c","nFORCE__Stylesheet_Resource_Six__c","nFORCE__Stylesheet_Resource_Ten__c","nFORCE__Stylesheet_Resource_Three__c","nFORCE__Stylesheet_Resource_Two__c","nFORCE__Type__c","nFORCE__View__c","nFORCE__lookupKey__c","nFORCE__Is_Angular__c","nFORCE__Is_Knockout__c","nFORCE__Is_Narrative__c"
"a17WE00006w0TCAYA2","005al00000RVcKvAAL","false","LifeCycle.Default_Widget","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","LLC_BI__default_widget_app","","","","","","","LLC_BI__default_widget_viewModel","","","","","","","","","","","Knockout","&lt;table class=&quot;table&quot;&gt; &lt;tr&gt; &lt;th&gt;Date&lt;/th&gt; &lt;th&gt;Assigned To&lt;/th&gt; &lt;th&gt;Actual Approver&lt;/th&gt; &lt;th&gt;Status&lt;/th&gt; &lt;th&gt;Comments&lt;/th&gt; &lt;/tr&gt; &lt;!-- ko foreach: approvalHistory --&gt; &lt;!-- ko foreach: steps --&gt; &lt;tr&gt; &lt;td data-bind=&quot;dateText: theDate&quot; /&gt; &lt;td&gt; &lt;span data-bind=&quot;text: originalActor.lastName&quot; /&gt;, &lt;span data-bind=&quot;text: originalActor.firstName&quot; /&gt; &lt;/td&gt; &lt;td&gt; &lt;span data-bind=&quot;text: assignedActor.lastName&quot; /&gt;, &lt;span data-bind=&quot;text: assignedActor.firstName&quot; /&gt; &lt;/td&gt; &lt;td data-bind=&quot;text: status&quot; /&gt; &lt;td data-bind=&quot;text: comments&quot; /&gt; &lt;/tr&gt; &lt;!-- /ko --&gt; &lt;!-- /ko --&gt; &lt;/table&gt;","42012380679034215","false","true","false"
"a17WE00006w0TCBYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42012670141461340","false","true","true"
"a17WE00006w0TCCYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42012708286261744","false","true","true"
"a17WE00006w0TCDYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","maxSize: 12000000;","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42014048416585417","false","true","true"
"a17WE00006w0TCEYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42018358874732145","false","true","true"
"a17WE00006w0TCFYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42019731193786528","false","true","true"
"a17WE00006w0TCGYA2","005al00000RVcKvAAL","false","LifeCycle.Spread_Base","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","filterSpreadsByLoanId:true","","","","","","","","","","","","","","","","","","","","","","","","","","Knockout","","42019869126211525","false","true","false"
"a17WE00006w0TCHYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42021457814913074","false","true","true"
"a17WE00006w0TCIYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42022262857844741","false","true","true"
"a17WE00006w0TCJYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42022535694149425","false","true","true"
"a17WE00006w0TCKYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42024448316466186","false","true","true"
"a17WE00006w0TCLYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42024659914533810","false","true","true"
"a17WE00006w0TCMYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42024676911492140","false","true","true"
"a17WE00006w0TCNYA2","005al00000RVcKvAAL","false","LifeCycle.Payment_Structure_Summary","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","debug:true;group:loan;route:payment-structure","","","","","","","","LLC_BI__payment_structure_summary_app","","","","","nFORCE__screen_models","","LLC_BI__payment_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;payment_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42025868797945178","false","true","false"
"a17WE00006w0TCOYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42026223736916614","false","true","true"
"a17WE00006w0TCPYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42026836738603062","false","true","true"
"a17WE00006w0TCQYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42028050319989754","false","true","true"
"a17WE00006w0TCRYA2","005al00000RVcKvAAL","false","Snapshot Credit Memo Widget","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","isDataSnapshot","","","","","","","","","","","","","","","","","","","","","","","","","","Angular","","42029531708286539","true","false","false"
"a17WE00006w0TCSYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","A lender or anyone in the credit process with the need to do so can add their commentary/recommendations in this section with formatting options to help make the text as meaningful as they would like.     We need to do this deal!","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42031280262574724","false","true","true"
"a17WE00006w0TCTYA2","005al00000RVcKvAAL","false","LifeCycle.Default_Widget","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","LLC_BI__default_widget_app","","","","","","","LLC_BI__default_widget_viewModel","","","","","","","","","","","Knockout","&lt;table class=&quot;table&quot;&gt; &lt;tr&gt; &lt;th&gt;Date&lt;/th&gt; &lt;th&gt;Assigned To&lt;/th&gt; &lt;th&gt;Actual Approver&lt;/th&gt; &lt;th&gt;Status&lt;/th&gt; &lt;th&gt;Comments&lt;/th&gt; &lt;/tr&gt; &lt;!-- ko foreach: approvalHistory --&gt; &lt;!-- ko foreach: steps --&gt; &lt;tr&gt; &lt;td data-bind=&quot;dateText: theDate&quot; /&gt; &lt;td&gt; &lt;span data-bind=&quot;text: originalActor.name&quot; /&gt; &lt;/td&gt; &lt;td&gt; &lt;span data-bind=&quot;text: assignedActor.name&quot; /&gt; &lt;/td&gt; &lt;td data-bind=&quot;text: status&quot; /&gt; &lt;td data-bind=&quot;text: comments&quot; /&gt; &lt;/tr&gt; &lt;!-- /ko --&gt; &lt;!-- /ko --&gt; &lt;/table&gt;","42031584059579587","false","true","false"
"a17WE00006w0TCUYA2","005al00000RVcKvAAL","false","Risk_Grade_Worksheet","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","readOnly:true;","","","","","","","","LLC_BI__risk_grade_worksheet_app","","","","","LLC_BI__risk_grade_worksheet_viewModel","","LLC_BI__risk_grade_models","","","","","LLC_BI__risk_grade_worksheet_css","","","","","","Knockout","&lt;div data-bind=&quot;template: {name: &#39;riskGradeWorksheet-template&#39;}&quot; /&gt;","42032992665764978","false","true","false"
"a17WE00006w0TCVYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42035494044136814","false","true","true"
"a17WE00006w0TCWYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42038034802002766","false","true","true"
"a17WE00006w0TCXYA2","005al00000RVcKvAAL","false","Risk_Grade_Worksheet","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","readOnly:true;","","","","","","","","LLC_BI__risk_grade_worksheet_app","","","","","LLC_BI__risk_grade_worksheet_viewModel","","LLC_BI__risk_grade_models","","","","","LLC_BI__risk_grade_worksheet_css","","","","","","Knockout","&lt;div data-bind=&quot;template: {name: &#39;riskGradeWorksheet-template&#39;}&quot; /&gt;","42038913078336659","false","true","false"
"a17WE00006w0TCYYA2","005al00000RVcKvAAL","false","LifeCycle.Spread_Base","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","filterSpreadsByLoanId:true","","","","","","","","","","","","","","","","","","","","","","","","","","Knockout","","42040829916412133","false","true","false"
"a17WE00006w0TCZYA2","005al00000RVcKvAAL","false","LifeCycle.Rate_Structure_Summary","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","debug:true;group:loan;route:rate-structure","","","","","","","","LLC_BI__rate_structure_summary_app","","","","","nFORCE__screen_models","","LLC_BI__rate_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;rate_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42043654200079066","false","true","false"
"a17WE00006w0TCaYAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42043953148275438","false","true","true"
"a17WE00006w0TCbYAM","005al00000RVcKvAAL","false","LifeCycle.Rate_Structure_Summary","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","debug:true;group:loan;route:rate-structure","","","","","","","","LLC_BI__rate_structure_summary_app","","","","","nFORCE__screen_models","","LLC_BI__rate_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;rate_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42046113043352469","false","true","false"
