"Id","OwnerId","IsDeleted","Name","LLC_BI__City__c","LLC_BI__Country__c","LLC_BI__Is_Current__c","LLC_BI__Monthly_Housing_Expense__c","LLC_BI__Months_At_Residence__c","LLC_BI__Postal_Code__c","LLC_BI__Residence_Type__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a1GWD00000Pkrkg2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkg","","","false","","","","Home Buyer (Mobile Home)","","","Physical",""
"a1GWD00000Pkrkh2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkh","","","false","","","","Home Buyer","","","Mailing",""
"a1GWD00000Pkrki2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrki","","","false","","","","Unknown","","","Physical",""
"a1GWD00000Pkrkj2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkj","","","false","","","","Home Buyer","","","Physical",""
"a1GWD00000Pkrkk2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkk","","","false","","","","Renter","","","PO Box",""
"a1GWD00000Pkrkl2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkl","","","false","","","","Home Buyer","","","Mailing",""
"a1GWD00000Pkrkm2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkm","","","false","","","","Renter","","","Mailing",""
"a1GWD00000Pkrkn2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkn","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000Pkrko2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrko","","","false","","","","Home Owner (Mobile Home)","","","Physical",""
"a1GWD00000Pkrkp2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkp","","","false","","","","Renter","","","Mailing",""
"a1GWD00000Pkrkq2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkq","","","false","","","","Home Owner (Mobile Home)","","","Mailing",""
"a1GWD00000Pkrkr2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkr","","","false","","","","Renter","","","PO Box",""
"a1GWD00000Pkrks2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrks","","","false","","","","Unknown","","","Physical",""
"a1GWD00000Pkrkt2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkt","","","false","","","","Renter","","","Physical",""
"a1GWD00000Pkrku2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrku","","","false","","","","Home Buyer (Mobile Home)","","","Mailing",""
"a1GWD00000Pkrkv2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkv","","","false","","","","Home Buyer (Mobile Home)","","","Mailing",""
"a1GWD00000Pkrkw2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkw","","","false","","","","Renter","","","Mailing",""
"a1GWD00000Pkrkx2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkx","","","false","","","","Home Owner","","","Physical",""
"a1GWD00000Pkrky2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrky","","","false","","","","Home Buyer","","","PO Box",""
"a1GWD00000Pkrkz2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkz","","","false","","","","Home Buyer (Mobile Home)","","","Mailing",""
"a1GWD00000Pkrl02AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl0","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000Pkrl12AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl1","","","false","","","","Home Owner (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrl22AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl2","","","false","","","","Renter","","","PO Box",""
"a1GWD00000Pkrl32AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl3","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000Pkrl42AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl4","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000Pkrl52AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl5","","","false","","","","Home Buyer (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrl62AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl6","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000Pkrl72AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl7","","","false","","","","Unknown","","","PO Box",""
"a1GWD00000Pkrl82AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl8","","","false","","","","Home Buyer","","","Mailing",""
"a1GWD00000Pkrl92AB","005al00000RVcKvAAL","false","a1GWD00000Pkrl9","","","false","","","","Lives with relatives or others","","","PO Box",""
"a1GWD00000PkrlA2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlA","","","false","","","","Home Buyer (Mobile Home)","","","PO Box",""
"a1GWD00000PkrlB2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlB","","","false","","","","Unknown","","","PO Box",""
"a1GWD00000PkrlC2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlC","","","false","","","","Home Buyer (Mobile Home)","","","Physical",""
"a1GWD00000PkrlD2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlD","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000PkrlE2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlE","","","false","","","","Unknown","","","Mailing",""
"a1GWD00000PkrlF2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlF","","","false","","","","Home Owner","","","PO Box",""
"a1GWD00000PkrlG2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlG","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000PkrlH2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlH","","","false","","","","Unknown","","","Physical",""
"a1GWD00000PkrlI2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlI","","","false","","","","Home Buyer","","","PO Box",""
"a1GWD00000PkrlJ2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlJ","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000PkrlK2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlK","","","false","","","","Unknown","","","Physical",""
"a1GWD00000PkrlL2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlL","","","false","","","","Renter","","","Physical",""
"a1GWD00000PkrlM2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlM","","","false","","","","Home Buyer","","","Mailing",""
"a1GWD00000PkrlN2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlN","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000PkrlO2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlO","","","false","","","","Unknown","","","Mailing",""
"a1GWD00000PkrlP2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlP","","","false","","","","Lives with relatives or others","","","Mailing",""
"a1GWD00000PkrlQ2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlQ","","","false","","","","Unknown","","","Mailing",""
"a1GWD00000PkrlR2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlR","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000PkrlS2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlS","","","false","","","","Home Owner","","","Physical",""
"a1GWD00000PkrlT2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlT","","","false","","","","Lives with relatives or others","","","PO Box",""
"a1GWD00000PkrlU2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlU","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000PkrlV2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlV","","","false","","","","Home Owner","","","PO Box",""
"a1GWD00000PkrlW2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlW","","","false","","","","Home Owner (Mobile Home)","","","Mailing",""
"a1GWD00000PkrlX2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlX","","","false","","","","Home Owner","","","PO Box",""
"a1GWD00000PkrlY2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlY","","","false","","","","Home Buyer (Mobile Home)","","","Physical",""
"a1GWD00000PkrlZ2AR","005al00000RVcKvAAL","false","a1GWD00000PkrlZ","","","false","","","","Home Owner (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrla2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrla","","","false","","","","Renter","","","Physical",""
"a1GWD00000Pkrlb2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlb","","","false","","","","Lives with relatives or others","","","PO Box",""
"a1GWD00000Pkrlc2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlc","","","false","","","","Unknown","","","Physical",""
"a1GWD00000Pkrld2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrld","","","false","","","","Home Buyer (Mobile Home)","","","Physical",""
"a1GWD00000Pkrle2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrle","","","false","","","","Renter","","","PO Box",""
"a1GWD00000Pkrlf2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlf","","","false","","","","Home Owner (Mobile Home)","","","Physical",""
"a1GWD00000Pkrlg2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlg","","","false","","","","Unknown","","","Physical",""
"a1GWD00000Pkrlh2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlh","","","false","","","","Home Buyer (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrli2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrli","","","false","","","","Renter","","","PO Box",""
"a1GWD00000Pkrlj2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlj","","","false","","","","Unknown","","","Mailing",""
"a1GWD00000Pkrlk2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlk","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000Pkrll2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrll","","","false","","","","Renter","","","PO Box",""
"a1GWD00000Pkrlm2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlm","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000Pkrln2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrln","","","false","","","","Unknown","","","Mailing",""
"a1GWD00000Pkrlo2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlo","","","false","","","","Home Owner (Mobile Home)","","","Physical",""
"a1GWD00000Pkrlp2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlp","","","false","","","","Home Buyer (Mobile Home)","","","Mailing",""
"a1GWD00000Pkrlq2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlq","","","false","","","","Unknown","","","PO Box",""
"a1GWD00000Pkrlr2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlr","","","false","","","","Home Owner (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrls2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrls","","","false","","","","Home Owner (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrlt2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlt","","","false","","","","Lives with relatives or others","","","PO Box",""
"a1GWD00000Pkrlu2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlu","","","false","","","","Renter","","","PO Box",""
"a1GWD00000Pkrlv2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlv","","","false","","","","Renter","","","Physical",""
"a1GWD00000Pkrlw2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlw","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000Pkrlx2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlx","","","false","","","","Renter","","","Physical",""
"a1GWD00000Pkrly2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrly","","","false","","","","Home Buyer","","","PO Box",""
"a1GWD00000Pkrlz2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrlz","","","false","","","","Unknown","","","Physical",""
"a1GWD00000Pkrm02AB","005al00000RVcKvAAL","false","a1GWD00000Pkrm0","","","false","","","","Home Buyer (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrm12AB","005al00000RVcKvAAL","false","a1GWD00000Pkrm1","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000Pkrm22AB","005al00000RVcKvAAL","false","a1GWD00000Pkrm2","","","false","","","","Home Buyer (Mobile Home)","","","Physical",""
"a1GWD00000Pkrm32AB","005al00000RVcKvAAL","false","a1GWD00000Pkrm3","","","false","","","","Home Owner","","","Physical",""
"a1GWD00000Pkrm42AB","005al00000RVcKvAAL","false","a1GWD00000Pkrm4","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000PlLgv2AF","005al00000RVcKvAAL","false","a1GWD00000PlLgv","","","false","","","","Home Buyer","","","Mailing",""
