"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Category__c"
"a238c0000054J8YAAU","false","CLA-BD-0009588","a258c000004VBK4AAO","12000.0","Asphalt / Driveway","","270.0","","","0.0","100.0","0.8","12000.0","","","26s62nn1nlfk50v6bo",""
"a238c0000054IjGAAU","false","CLA-BD-0008246","a258c000004VBCWAA4","","Electrical","","160.0","","","0.0","","0.0","0.0","","","28a4d40tnuolc27o5b",""
"a238c0000054IjHAAU","false","CLA-BD-0008247","a258c000004VBCUAA4","","Landscaping","","250.0","","","0.0","","0.0","0.0","","","2b51z8zb7apd2fhz5q","Hard cost"
"a238c0000054IjIAAU","false","CLA-BD-0008248","a258c000004VBCVAA4","","Tile & Carpet","","230.0","","","0.0","","0.0","0.0","","","2b8b2vb1s4zch845b3",""
"a238c0000054IjJAAU","false","CLA-BD-0008249","a258c000004VBCUAA4","","Title Insurance/Recording","","7.0","","","0.0","","0.0","0.0","","","2kcz9xfo8yz87ysln1","Soft cost"
"a238c0000054J8ZAAU","false","CLA-BD-0009589","a258c000004VBKLAA4","","Exterior Doors","","90.0","","","0.0","","","0.0","","","2vhlgv4im1tjt6209z","Hard cost"
"a238c0000054J8aAAE","false","CLA-BD-0009590","a258c000004VBKLAA4","2600.0","Taxes","","310.0","","","0.0","100.0","","2600.0","","","2vkt443rn29ildhpza","Soft cost"
"a238c0000054IjKAAU","false","CLA-BD-0008250","a258c000004VBCWAA4","1800.0","Insurance","","330.0","","","0.0","100.0","0.0973","1800.0","","","2xhepsbgfdlblvzgui",""
"a238c0000054IjLAAU","false","CLA-BD-0008251","a258c000004VBCXAA4","","Contingency - Hard Costs","","400.0","","","0.0","","0.0","0.0","","","31kmos82hblfc49esb","Hard cost"
"a238c0000054J8bAAE","false","CLA-BD-0009591","a258c000004VBKJAA4","","Electrical","","205.0","","","0.0","","","0.0","","","32jh5hq5xkdbuljkqq","Hard cost"
"a238c0000054J8cAAE","false","CLA-BD-0009592","a258c000004VBKJAA4","2300.0","Taxes","","507.0","","","0.0","100.0","","2300.0","","","3584t7ziq376p5yp87","Soft cost"
"a238c0000054IjMAAU","false","CLA-BD-0008252","a258c000004VBCVAA4","900.0","Impact Fees","","20.0","","","0.0","100.0","0.036","900.0","","","36pv41dzuvcbdvhbeg",""
"a238c0000054IjNAAU","false","CLA-BD-0008253","a258c000004VBCUAA4","","Tile & Carpet","","230.0","","","0.0","","0.0","0.0","","","39w6f0bbi19hqlw6z7","Hard cost"
"a238c0000054IjOAAU","false","CLA-BD-0008254","a258c000004VBCVAA4","800.0","Water & Sewer Inspection","","30.0","0.0","","100.0","0.0","0.032","0.0","","800.0","3byj4lren2ag1dksm0",""
"a238c0000054IjPAAU","false","CLA-BD-0008255","a258c000004VBCUAA4","","Drywall","","200.0","","","0.0","","0.0","0.0","","","3jspuk7j9vg24pdox7","Hard cost"
"a238c0000054J8dAAE","false","CLA-BD-0009593","a258c000004VBKLAA4","","Sheathing","","70.0","","","0.0","","","0.0","","","3o1bry7q4cjktfc5hf","Hard cost"
"a238c0000054J8eAAE","false","CLA-BD-0009594","a258c000004VBKLAA4","800.0","Water & Sewer Inspection","","30.0","","","0.0","100.0","","800.0","","","3pjcpr6fln7nr3dine","Soft cost"
"a238c0000054IjQAAU","false","CLA-BD-0008256","a258c000004VBCXAA4","215000.0","Steel","","50.0","","","0.0","100.0","14.3333","215000.0","","0.0","3tl8puv1h1t465kx6d","Hard cost"
"a238c0000054IjRAAU","false","CLA-BD-0008257","a258c000004VBCXAA4","35000.0","Reserves","","10.0","","","0.0","100.0","2.3333","35000.0","","0.0","40lf47p1or5ilnt8te","Interest reserve"
"a238c0000054J8fAAE","false","CLA-BD-0009595","a258c000004VBK1AAO","0.0","Monument sign base construction Lang to verify if applicable","","31.0","","","0.0","0.0","0.0","0.0","","","42003800543953596",""
"a238c0000054J8gAAE","false","CLA-BD-0009596","a258c000004VBJxAAO","0.0","Fire Sprinkler Service","","38.0","","","0.0","0.0","","0.0","","","42006179628680453",""
"a238c0000054J8hAAE","false","CLA-BD-0009597","a258c000004VBJuAAO","0.0","Hydraulic Elevators","","24.0","","","0.0","0.0","","0.0","","","42007030948151132",""
"a238c0000054J8iAAE","false","CLA-BD-0009598","a258c000004VBJwAAO","0.0","H.V.A.C. System","","74.0","","","0.0","0.0","","0.0","","","42008526340204509",""
"a238c0000054J8jAAE","false","CLA-BD-0009599","a258c000004VBJyAAO","0.0","Landscaping","","3.0","","","0.0","0.0","","0.0","","","42008886009401468",""
"a238c0000054J8kAAE","false","CLA-BD-0009600","a258c000004VBJtAAO","0.0","Wood Doors","","56.0","","","0.0","0.0","0.0","0.0","","","42010236927702882",""
"a238c0000054J8lAAE","false","CLA-BD-0009601","a258c000004VBJsAAO","0.0","Masonry/Building","","52.0","","","0.0","0.0","0.0","0.0","","","42011428190945228",""
"a238c0000054J8mAAE","false","CLA-BD-0009602","a258c000004VBK2AAO","0.0","New Curb & Gutter","","11.0","","","0.0","0.0","","0.0","","","42012252656625286",""
"a238c0000054J8nAAE","false","CLA-BD-0009603","a258c000004VBK1AAO","0.0","Power Management System","","83.0","","","0.0","0.0","0.0","0.0","","","42012271291755343",""
"a238c0000054J8oAAE","false","CLA-BD-0009604","a258c000004VBJsAAO","0.0","Corporate Decor Package Installation","","93.0","","","0.0","0.0","0.0","0.0","","","42012805993276533",""
"a238c0000054J8pAAE","false","CLA-BD-0009605","a258c000004VBK2AAO","0.0","Bollard w/ Covers","","37.0","","","0.0","0.0","","0.0","","","42013434522099267",""
"a238c0000054J8qAAE","false","CLA-BD-0009606","a258c000004VBJsAAO","0.0","Misc.","","47.0","","","0.0","0.0","0.0","0.0","","","42014202664223534",""
"a238c0000054J8rAAE","false","CLA-BD-0009607","a258c000004VBJqAAO","0.0","Insurance","","24.0","","","0.0","0.0","","0.0","","","42015579615665214",""
"a238c0000054J8sAAE","false","CLA-BD-0009608","a258c000004VBJxAAO","0.0","Concrete slabs/curbs (do not include in building slab)","","25.0","","","0.0","0.0","","0.0","","","42019299027759777",""
"a238c0000054J8tAAE","false","CLA-BD-0009609","a258c000004VBJvAAO","0.0","Site Stripping (ADA)","","17.0","","","0.0","0.0","","0.0","","","42020557801493655",""
"a238c0000054J8uAAE","false","CLA-BD-0009610","a258c000004VBK1AAO","0.0","Electrical site work/labor","","29.0","","","0.0","0.0","0.0","0.0","","","42022652245580224",""
"a238c0000054J8vAAE","false","CLA-BD-0009611","a258c000004VBJrAAO","0.0","Electrical","","28.0","","","0.0","0.0","","0.0","","","42022983826811000",""
"a238c0000054J8wAAE","false","CLA-BD-0009612","a258c000004VBK1AAO","0.0","Plumbing sit work","","32.0","","","0.0","0.0","0.0","0.0","","","42023171616854588",""
"a238c0000054J8xAAE","false","CLA-BD-0009613","a258c000004VBK2AAO","0.0","New electric service","","4.0","","","0.0","0.0","","0.0","","","42023818634564518",""
"a238c0000054J8yAAE","false","CLA-BD-0009614","a258c000004VBK2AAO","0.0","Storm Drain","","26.0","","","0.0","0.0","","0.0","","","42024790846166051",""
"a238c0000054J8zAAE","false","CLA-BD-0009615","a258c000004VBJzAAO","0.0","Roofing","","19.0","","","0.0","0.0","","0.0","","","42025827091636179",""
"a238c0000054J90AAE","false","CLA-BD-0009616","a258c000004VBK1AAO","0.0","H.V.A.C. System","","74.0","","","0.0","0.0","0.0","0.0","","","42026795436380355",""
"a238c0000054J91AAE","false","CLA-BD-0009617","a258c000004VBJuAAO","0.0","Change Orders","","36.0","","","0.0","0.0","","0.0","","","42027044582944251",""
"a238c0000054J92AAE","false","CLA-BD-0009618","a258c000004VBJsAAO","0.0","Drywall & Metal Studs","","66.0","","","0.0","0.0","0.0","0.0","","","42027690381246883",""
"a238c0000054J93AAE","false","CLA-BD-0009619","a258c000004VBJxAAO","0.0","New Curb & Gutter","","11.0","","","0.0","0.0","","0.0","","","42031167881185246",""
"a238c0000054J94AAE","false","CLA-BD-0009620","a258c000004VBJqAAO","0.0","Flooring","","5.0","","","0.0","0.0","","0.0","","","42031244008092582",""
"a238c0000054J95AAE","false","CLA-BD-0009621","a258c000004VBK1AAO","0.0","Glass & Glazing","","65.0","","","0.0","0.0","0.0","0.0","","","42033310899781592",""
"a238c0000054J96AAE","false","CLA-BD-0009622","a258c000004VBJxAAO","0.0","Wood Doors","","56.0","","","0.0","0.0","","0.0","","","42033887111654060",""
"a238c0000054J97AAE","false","CLA-BD-0009623","a258c000004VBK1AAO","0.0","Erosion & Dust Control","","39.0","","","0.0","0.0","0.0","0.0","","","42037830347995003",""
"a238c0000054J98AAE","false","CLA-BD-0009624","a258c000004VBJwAAO","0.0","100 ft secondary service","","84.0","","","0.0","0.0","","0.0","","","42039647581210968",""
"a238c0000054J99AAE","false","CLA-BD-0009625","a258c000004VBJvAAO","0.0","Demo","","9.0","","","0.0","0.0","","0.0","","","42043006114336266",""
"a238c0000054J9AAAU","false","CLA-BD-0009626","a258c000004VBJtAAO","0.0","Off site fire hydrant","","8.0","","","0.0","0.0","0.0","0.0","","","42047763384823975",""
"a238c0000054J9BAAU","false","CLA-BD-0009627","a258c000004VBJsAAO","0.0","Rough Carpentry Labor","","61.0","","","0.0","0.0","0.0","0.0","","","42047792845450525",""
"a238c0000054J9CAAU","false","CLA-BD-0009628","a258c000004VBJtAAO","0.0","Termite Treat","","80.0","","","0.0","0.0","0.0","0.0","","","42050029878559894",""
"a238c0000054J9DAAU","false","CLA-BD-0009629","a258c000004VBJwAAO","0.0","Concrete paving","","34.0","","","0.0","0.0","","0.0","","","42051469737584911",""
"a238c0000054J9EAAU","false","CLA-BD-0009630","a258c000004VBJsAAO","0.0","Power Management System","","83.0","","","0.0","0.0","0.0","0.0","","","42051867876017697",""
"a238c0000054J9FAAU","false","CLA-BD-0009631","a258c000004VBJsAAO","0.0","New approaches","","13.0","","","0.0","0.0","0.0","0.0","","","42056559749628752",""
"a238c0000054J9GAAU","false","CLA-BD-0009632","a258c000004VBK2AAO","0.0","F.R.P. and marlite","","86.0","","","0.0","0.0","","0.0","","","42056615487107387",""
"a238c0000054J9HAAU","false","CLA-BD-0009633","a258c000004VBJyAAO","0.0","Fee","","31.0","","","0.0","0.0","","0.0","","","42060164371550255",""
"a238c0000054J9IAAU","false","CLA-BD-0009634","a258c000004VBJsAAO","0.0","Retaining wall","","23.0","","","0.0","0.0","0.0","0.0","","","42062508593277154",""
"a238c0000054J9JAAU","false","CLA-BD-0009635","a258c000004VBJxAAO","0.0","Storm Drain","","26.0","","","0.0","0.0","","0.0","","","42063503383945182",""
"a238c0000054J9KAAU","false","CLA-BD-0009636","a258c000004VBK2AAO","0.0","Power pole - new or relocate","","5.0","","","0.0","0.0","","0.0","","","42064023618862981",""
"a238c0000054J9LAAU","false","CLA-BD-0009637","a258c000004VBJtAAO","0.0","Caulking","","91.0","","","0.0","0.0","0.0","0.0","","","42066963267732755",""
"a238c0000054J9MAAU","false","CLA-BD-0009638","a258c000004VBJtAAO","0.0","New sidewalk","","12.0","","","0.0","0.0","0.0","0.0","","","42070749256541448",""
"a238c0000054J9NAAU","false","CLA-BD-0009639","a258c000004VBJyAAO","0.0","Glass/Glazing","","15.0","","","0.0","0.0","","0.0","","","42071870016872688",""
"a238c0000054J9OAAU","false","CLA-BD-0009640","a258c000004VBJtAAO","0.0","Fire Hydrant","","40.0","","","0.0","0.0","0.0","0.0","","","42074115976229400",""
"a238c0000054J9PAAU","false","CLA-BD-0009641","a258c000004VBJxAAO","0.0","Retaining wall","","23.0","","","0.0","0.0","","0.0","","","42078481765653346",""
"a238c0000054J9QAAU","false","CLA-BD-0009642","a258c000004VBJwAAO","0.0","New electric service","","4.0","","","0.0","0.0","","0.0","","","42079602027855579",""
"a238c0000054J9RAAU","false","CLA-BD-0009643","a258c000004VBK2AAO","0.0","Corporate Decor Package Installation","","93.0","","","0.0","0.0","","0.0","","","42079948125664200",""
"a238c0000054J9SAAU","false","CLA-BD-0009644","a258c000004VBJsAAO","0.0","Site Demolition","","22.0","","","0.0","0.0","0.0","0.0","","","42082004042846828",""
"a238c0000054J9TAAU","false","CLA-BD-0009645","a258c000004VBJsAAO","0.0","Street light - new or relocate","","6.0","","","0.0","0.0","0.0","0.0","","","42083187871115089",""
"a238c0000054J9UAAU","false","CLA-BD-0009646","a258c000004VBJxAAO","0.0","F.R.P. and marlite","","86.0","","","0.0","0.0","","0.0","","","42083285943037480",""
"a238c0000054J9VAAU","false","CLA-BD-0009647","a258c000004VBJtAAO","0.0","Survey","","18.0","","","0.0","0.0","0.0","0.0","","","42083669500719493",""
"a238c0000054J9WAAU","false","CLA-BD-0009648","a258c000004VBJuAAO","0.0","Termite Control","","2.0","","","0.0","0.0","","0.0","","","42087744710881220",""
"a238c0000054J9XAAU","false","CLA-BD-0009649","a258c000004VBJxAAO","0.0","Finish Carpentry Labor","","60.0","","","0.0","0.0","","0.0","","","42090711677144580",""
"a238c0000054J9YAAU","false","CLA-BD-0009650","a258c000004VBK1AAO","0.0","Telephone Pole","","7.0","","","0.0","0.0","0.0","0.0","","","42091238065097831",""
"a238c0000054J9ZAAU","false","CLA-BD-0009651","a258c000004VBK1AAO","0.0","Termite Treat","","80.0","","","0.0","0.0","0.0","0.0","","","42091426912283058",""
"a238c0000054J9aAAE","false","CLA-BD-0009652","a258c000004VBJtAAO","0.0","Metal Fab","","78.0","","","0.0","0.0","0.0","0.0","","","42091973157217482",""
"a238c0000054J9bAAE","false","CLA-BD-0009653","a258c000004VBJsAAO","0.0","Finish Lumber & Doors","","54.0","","","0.0","0.0","0.0","0.0","","","42092016281648116",""
"a238c0000054J9cAAE","false","CLA-BD-0009654","a258c000004VBJqAAO","0.0","Roof Structure (Trusses, Sheeting, Labor)","","18.0","","","0.0","0.0","","0.0","","","42094483155452463",""
"a238c0000054J9dAAE","false","CLA-BD-0009655","a258c000004VBJyAAO","0.0","Cast in Place Concrete","","5.0","","","0.0","0.0","","0.0","","","42094782709694942",""
"a238c0000054J9eAAE","false","CLA-BD-0009656","a258c000004VBJuAAO","0.0","Roofing &Sheetmetal Flashing","","12.0","","","0.0","0.0","","0.0","","","42095981641623231",""
"a238c0000054J9fAAE","false","CLA-BD-0009657","a258c000004VBJtAAO","0.0","EIFS / Lath & Plaster","","70.0","","","0.0","0.0","0.0","0.0","","","42098629311718182",""
"a238c0000054J9gAAE","false","CLA-BD-0009658","a258c000004VBK1AAO","0.0","Preasure Washing","","43.0","","","0.0","0.0","0.0","0.0","","","42100594967130562",""
"a238c0000054J9hAAE","false","CLA-BD-0009659","a258c000004VBJxAAO","0.0","Caulking","","91.0","","","0.0","0.0","","0.0","","","42100600051446052",""
"a238c0000054J9iAAE","false","CLA-BD-0009660","a258c000004VBJtAAO","0.0","Structural Steel","","53.0","","","0.0","0.0","0.0","0.0","","","42101798022132876",""
"a238c0000054J9jAAE","false","CLA-BD-0009661","a258c000004VBJuAAO","0.0","Misc. Specialities","","22.0","","","0.0","0.0","","0.0","","","42101996008507641",""
"a238c0000054J9kAAE","false","CLA-BD-0009662","a258c000004VBJwAAO","0.0","Concrete Foundation( Include building slab)","","51.0","","","0.0","0.0","","0.0","","","42104100113768622",""
"a238c0000054J9lAAE","false","CLA-BD-0009663","a258c000004VBJtAAO","0.0","Telephone Underground","","33.0","","","0.0","0.0","0.0","0.0","","","42104357375124720",""
"a238c0000054J9mAAE","false","CLA-BD-0009664","a258c000004VBJxAAO","0.0","Misc. S.S.","","71.0","","","0.0","0.0","","0.0","","","42107220109866682",""
"a238c0000054J9nAAE","false","CLA-BD-0009665","a258c000004VBJuAAO","0.0","Finish Carpentry/Millwork","","10.0","","","0.0","0.0","","0.0","","","42111558550203643",""
"a238c0000054J9oAAE","false","CLA-BD-0009666","a258c000004VBJrAAO","0.0","Allowance - Drywall Support/Finishing","","34.0","","","0.0","0.0","","0.0","","","42112367510241670",""
"a238c0000054J9pAAE","false","CLA-BD-0009667","a258c000004VBJyAAO","0.0","Doors/Frames/Hardware","","14.0","","","0.0","0.0","","0.0","","","42113567375639095",""
"a238c0000054J9qAAE","false","CLA-BD-0009668","a258c000004VBJtAAO","0.0","H.V.A.C. System","","74.0","","","0.0","0.0","0.0","0.0","","","42119829699042329",""
"a238c0000054J9rAAE","false","CLA-BD-0009669","a258c000004VBJsAAO","0.0","Storm Drain","","16.0","","","0.0","0.0","0.0","0.0","","","42120283923994352",""
"a238c0000054J9sAAE","false","CLA-BD-0009670","a258c000004VBJwAAO","0.0","Storm Drain","","16.0","","","0.0","0.0","","0.0","","","42120515209213295",""
"a238c0000054J9tAAE","false","CLA-BD-0009671","a258c000004VBJxAAO","0.0","100 ft secondary service","","84.0","","","0.0","0.0","","0.0","","","42120558764785134",""
"a238c0000054J9uAAE","false","CLA-BD-0009672","a258c000004VBJxAAO","0.0","Fire Extinguishers","","87.0","","","0.0","0.0","","0.0","","","42121943078265832",""
"a238c0000054J9vAAE","false","CLA-BD-0009673","a258c000004VBJrAAO","0.0","Allowance - Precast Concrete Pane","","35.0","","","0.0","0.0","","0.0","","","42124444925824813",""
"a238c0000054J9wAAE","false","CLA-BD-0009674","a258c000004VBK1AAO","0.0","Misc. S.S.","","71.0","","","0.0","0.0","0.0","0.0","","","42125139353640797",""
"a238c0000054J9xAAE","false","CLA-BD-0009675","a258c000004VBJzAAO","0.0","Plumbing","","3.0","","","0.0","0.0","","0.0","","","42126172705459088",""
"a238c0000054J9yAAE","false","CLA-BD-0009676","a258c000004VBJrAAO","0.0","Allowance - Add'l Steel Support","","33.0","","","0.0","0.0","","0.0","","","42126509928471038",""
"a238c0000054J9zAAE","false","CLA-BD-0009677","a258c000004VBJwAAO","0.0","TABC - Air Balance (Required)","","75.0","","","0.0","0.0","","0.0","","","42127415792635494",""
"a238c0000054JA0AAM","false","CLA-BD-0009678","a258c000004VBJsAAO","0.0","Electrical Material","","82.0","","","0.0","0.0","0.0","0.0","","","42127476512218292",""
"a238c0000054JA1AAM","false","CLA-BD-0009679","a258c000004VBK1AAO","0.0","Concrete paving","","34.0","","","0.0","0.0","0.0","0.0","","","42127541142377645",""
"a238c0000054JA2AAM","false","CLA-BD-0009680","a258c000004VBK1AAO","0.0","Relocate Transformer","","17.0","","","0.0","0.0","0.0","0.0","","","42129003874722946",""
"a238c0000054JA3AAM","false","CLA-BD-0009681","a258c000004VBJxAAO","0.0","Street paving and markings","","14.0","","","0.0","0.0","","0.0","","","42131370689877292",""
"a238c0000054JA4AAM","false","CLA-BD-0009682","a258c000004VBJwAAO","0.0","Misc.","","92.0","","","0.0","0.0","","0.0","","","42131633645504016",""
"a238c0000054JA5AAM","false","CLA-BD-0009683","a258c000004VBJxAAO","0.0","Street light - new or relocate","","6.0","","","0.0","0.0","","0.0","","","42133736661274333",""
"a238c0000054JA6AAM","false","CLA-BD-0009684","a258c000004VBK2AAO","0.0","Landscaping w/ Irrigation (Required)","","36.0","","","0.0","0.0","","0.0","","","42135302851514648",""
"a238c0000054JA7AAM","false","CLA-BD-0009685","a258c000004VBJrAAO","0.0","Ceramic Tile","","17.0","","","0.0","0.0","","0.0","","","42135302876964231",""
"a238c0000054JA8AAM","false","CLA-BD-0009686","a258c000004VBJsAAO","0.0","Ceramic tile","","69.0","","","0.0","0.0","0.0","0.0","","","42138773329333436",""
"a238c0000054JA9AAM","false","CLA-BD-0009687","a258c000004VBJtAAO","0.0","Landscaping w/ Irrigation (Required)","","36.0","","","0.0","0.0","0.0","0.0","","","42139471662776275",""
"a238c0000054JAAAA2","false","CLA-BD-0009688","a258c000004VBK1AAO","0.0","Metal Doors & Frames","","55.0","","","0.0","0.0","0.0","0.0","","","42140101747352513",""
"a238c0000054JABAA2","false","CLA-BD-0009689","a258c000004VBJwAAO","0.0","Soils","","20.0","","","0.0","0.0","","0.0","","","42141757935740925",""
"a238c0000054JACAA2","false","CLA-BD-0009690","a258c000004VBJwAAO","0.0","Masonry/Building","","52.0","","","0.0","0.0","","0.0","","","42142266196638552",""
"a238c0000054JADAA2","false","CLA-BD-0009691","a258c000004VBJtAAO","0.0","Concrete slabs/curbs (do not include in building slab)","","25.0","","","0.0","0.0","0.0","0.0","","","42144165853619653",""
"a238c0000054JAEAA2","false","CLA-BD-0009692","a258c000004VBK1AAO","0.0","Caulking","","91.0","","","0.0","0.0","0.0","0.0","","","42144349486105000",""
"a238c0000054JAFAA2","false","CLA-BD-0009693","a258c000004VBJtAAO","0.0","Rough Carpentry Material","","62.0","","","0.0","0.0","0.0","0.0","","","42144835079246204",""
"a238c0000054JAGAA2","false","CLA-BD-0009694","a258c000004VBJsAAO","0.0","Grade fill / cut","","21.0","","","0.0","0.0","0.0","0.0","","","42145957793102473",""
"a238c0000054JAHAA2","false","CLA-BD-0009695","a258c000004VBJxAAO","0.0","Metal Fab","","78.0","","","0.0","0.0","","0.0","","","42148086709066408",""
"a238c0000054JAIAA2","false","CLA-BD-0009696","a258c000004VBK2AAO","0.0","Trash Enclosure","","24.0","","","0.0","0.0","","0.0","","","42148199149905205",""
"a238c0000054JAJAA2","false","CLA-BD-0009697","a258c000004VBK1AAO","0.0","Structural Steel","","53.0","","","0.0","0.0","0.0","0.0","","","42150253823520313",""
"a238c0000054JAKAA2","false","CLA-BD-0009698","a258c000004VBK2AAO","0.0","Soils","","20.0","","","0.0","0.0","","0.0","","","42150371992029531",""
"a238c0000054JALAA2","false","CLA-BD-0009699","a258c000004VBK1AAO","0.0","Service Yard Conc/CMU","","44.0","","","0.0","0.0","0.0","0.0","","","42152597713371686",""
