"AutorabitExtId__c","Id","IsDeleted","LLC_BI__Branch_Id__c","LLC_BI__City__c","LLC_BI__County__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Institution__c","LLC_BI__Location__Latitude__s","LLC_BI__Location__Longitude__s","LLC_BI__Location__c","LLC_BI__Mortgage_License_State__c","LLC_BI__Mortgage_License__c","LLC_BI__NMLS__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Zip_Code__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a1TVx00000F44ZFMAZ","a1TWD000001ox7l2AA","false","","","","","","","","","","","","IL","","","/""813154123/""","DT-5180-Record01-DoubleQuote","005al00000RVcKvAAL"
"a1TVx00000F44ZGMAZ","a1TWD000001ox7m2AA","false","","","","","","","","","","","","","","","//""Test123//""","doublequote-DT5180","005al00000RVcKvAAL"
"a1TVx00000F44ZHMAZ","a1TWD000001ox7n2AA","false","50001","NJ","","","","","","","","","","CT","CA","16529","42769899187814773","QA Branch for RollBack","005al00000RVcKvAAL"
"a1TVx00000F44ZIMAZ","a1TWD000001ox7o2AA","false","50002","NJ","","","","","","","","","","CT","CA","16529","42969312541966432","QA Branch for RollBack-002","005al00000RVcKvAAL"
"a1TVx00000F44ZJMAZ","a1TWD000001ox7p2AA","false","","","","","","","","","","","","","","","42425639847007241","NewBranch-July-10-OnPremise","005al00000RVcKvAAL"
"a1TVx00000F44ZKMAZ","a1TWD000001ox7q2AA","false","","","","","","","","","","","","","","","42927478242879563","NewBranch-July-10-OnPremise-01","005al00000RVcKvAAL"
"a1TVx00000F44ZLMAZ","a1TWD000001ox7r2AA","false","","Hyd","","","","","","","","","","CA","Hitech City","580008","42969916523147144","Test-For-Rollback-0712-001","005al00000RVcKvAAL"
"a1TVx00000F44ZMMAZ","a1TWD000001ox7s2AA","false","","","","","","","","","","","","","","","42104574955904923","rollBackOrg","005al00000RVcKvAAL"
"a1TVx00000F44ZNMAZ","a1TWD000001ox7t2AA","false","","","","","","","","","","","","","","","42681371586193062","Hyd Telangana dev 01","005al00000RVcKvAAL"
"a1TVx00000F44ZOMAZ","a1TWD000001ox7u2AA","false","","","","","","","","","","","","","","","42683783043332395","Hyd Qa","005al00000RVcKvAAL"
"a1TVx00000F44ZPMAZ","a1TWD000001ox7v2AA","false","","","","","","","","","","","","","","","42017857270307298","Hyd dev","005al00000RVcKvAAL"
"a1TVx00000F44ZQMAZ","a1TWD000001ox7w2AA","false","","Wilmington","","","","","","","","","","","","","4.22704E+16","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44ZRMAZ","a1TWD000001ox7x2AA","false","502","Mumbai","","","","","","","","","","","","","4.21749E+16","Mumbai","005al00000RVcKvAAL"
"a1TVx00000F44ZSMAZ","a1TWD000001ox7y2AA","false","1213","Hyderabad","","","","","","","","","","","Mindspace","500036","42277346657862025","AR-Branch-Test","005al00000RVcKvAAL"
"a1TVx00000F44ZTMAZ","a1TWD000001ox7z2AA","false","","","","","","","","","","","","","","","12312231987262","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44ZUMAZ","a1TWD000001ox802AA","false","00-00-00","London","","","","","","","","","","","","","42984981530106460","London City","005al00000RVcKvAAL"
"a1TVx00000F44ZVMAZ","a1TWD000001ox812AA","false","00-00-01","Manchester","","","","","","","","","","","","","42816112327745586","Manchester","005al00000RVcKvAAL"
"a1TVx00000F44ZWMAZ","a1TWD000001ox822AA","false","4","","","","","","","","","","","","","","4.21E+16","Toulouse","005al00000RVcKvAAL"
"a1TVx00000F44ZXMAZ","a1TWD000001ox832AA","false","","","","","","","","","","","","","","","4.29E+16","Barcelona","005al00000RVcKvAAL"
"a1TVx00000F44ZYMAZ","a1TWD000001ox842AA","false","","","","","","","","","","","","","","","4.25E+16","Rome","005al00000RVcKvAAL"
"a1TVx00000F44ZZMAZ","a1TWD000001ox852AA","false","","","","","","","","","","","","","","","4.20E+16","Naples","005al00000RVcKvAAL"
"a1TVx00000F44ZaMAJ","a1TWD000001ox862AA","false","00-00-02","Bristol","","","","","","","","","","","","","42623705816678938","Bristol","005al00000RVcKvAAL"
"a1TVx00000F44ZbMAJ","a1TWD000001ox872AA","false","00-00-03","Liverpool","","","","","","","","","","","","","42234277122631192","Liverpool","005al00000RVcKvAAL"
"a1TVx00000F44ZcMAJ","a1TWD000001ox882AA","false","2","Paris","","","","","","","","","","","","","42187439089132066","Paris","005al00000RVcKvAAL"
"a1TVx00000F44ZdMAJ","a1TWD000001ox892AA","false","3","Marseille","","","","","","","","","","","","","42232433769901310","Marseille","005al00000RVcKvAAL"
"a1TVx00000F44ZeMAJ","a1TWD000001ox8A2AQ","false","4","Toulouse","","","","","","","","","","","","","42113662998770322","Toulouse01","005al00000RVcKvAAL"
"a1TVx00000F44ZfMAJ","a1TWD000001ox8B2AQ","false","","Madrid","","","","","","","","","","","","","42060257462079232","Madrid","005al00000RVcKvAAL"
"a1TVx00000F44ZgMAJ","a1TWD000001ox8C2AQ","false","","Barcelona","","","","","","","","","","","","","42899159769439821","Barcelona","005al00000RVcKvAAL"
"a1TVx00000F44ZhMAJ","a1TWD000001ox8D2AQ","false","","Valencia","","","","","","","","","","","","","42950805545528693","Valencia","005al00000RVcKvAAL"
"a1TVx00000F44ZiMAJ","a1TWD000001ox8E2AQ","false","","Seville","","","","","","","","","","","","","42304069554666446","Seville","005al00000RVcKvAAL"
"a1TVx00000F44ZjMAJ","a1TWD000001ox8F2AQ","false","","Rome","","","","","","","","","","","","","42475652994774891","Rome","005al00000RVcKvAAL"
"a1TVx00000F44ZkMAJ","a1TWD000001ox8G2AQ","false","","Milan","","","","","","","","","","","","","42193729222229818","Milan","005al00000RVcKvAAL"
"a1TVx00000F44ZlMAJ","a1TWD000001ox8H2AQ","false","","Naples","","","","","","","","","","","","","42041492848728951","Naples","005al00000RVcKvAAL"
"a1TVx00000F44ZmMAJ","a1TWD000001ox8I2AQ","false","","Turin","","","","","","","","","","","","","42696661317723472","Turin","005al00000RVcKvAAL"
"a1TVx00000F44ZnMAJ","a1TWD000001ox8J2AQ","false","","Berlin","","","","","","","","","","","","","42161013540773511","Berlin","005al00000RVcKvAAL"
"a1TVx00000F44ZoMAJ","a1TWD000001ox8K2AQ","false","","Hamburg","","","","","","","","","","","","","42757967926654723","Hamburg","005al00000RVcKvAAL"
"a1TVx00000F44ZpMAJ","a1TWD000001ox8L2AQ","false","","Munich","","","","","","","","","","","","","42287382038643938","Munich","005al00000RVcKvAAL"
"a1TVx00000F44ZqMAJ","a1TWD000001ox8M2AQ","false","","Cologne","","","","","","","","","","","","","42737723738240624","Cologne","005al00000RVcKvAAL"
"a1TVx00000F44ZrMAJ","a1TWD000001ox8N2AQ","false","52","Bangalore","","","","","","","","","","","KA","560064","42800838010681455","QA - Branch 002","005al00000RVcKvAAL"
"a1TVx00000F44ZsMAJ","a1TWD000001ox8O2AQ","false","53","myCity","","","","","","","","","","","myStreet","123456","42483464176160371","QA - Branch 003","005al00000RVcKvAAL"
"a1TVx00000F44ZtMAJ","a1TWD000001ox8P2AQ","false","54","myCityTest","","","","","","","","","","","myStreetTest","560066","42576448528245971","QA - Branch 004-0712 Update","005al00000RVcKvAAL"
"a1TVx00000F44ZuMAJ","a1TWD000001ox8Q2AQ","false","","","","","","","","","","","","","","","42611603063655638","SriBranchesTest1","005al00000RVcKvAAL"
"a1TVx00000F44ZvMAJ","a1TWD000001ox8R2AQ","false","","","","","","","","","","","","","","","4.22773E+16","AR-Branch-Test","005al00000RVcKvAAL"
"a1TVx00000F44ZwMAJ","a1TWD000001ox8S2AQ","false","","","","","","","","","","","","","","","1.23122E+13","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44ZxMAJ","a1TWD000001ox8T2AQ","false","00-00-00","","","","","","","","","","","","","","4.2985E+16","London City","005al00000RVcKvAAL"
"a1TVx00000F44ZyMAJ","a1TWD000001ox8U2AQ","false","00-00-01","","","","","","","","","","","","","","4.28161E+16","Manchester","005al00000RVcKvAAL"
"a1TVx00000F44ZzMAJ","a1TWD000001ox8V2AQ","false","00-00-02","","","","","","","","","","","","","","4.26237E+16","Bristol","005al00000RVcKvAAL"
"a1TVx00000F44a0MAB","a1TWD000001ox8W2AQ","false","00-00-03","","","","","","","","","","","","","","4.22343E+16","Liverpool","005al00000RVcKvAAL"
"a1TVx00000F44a1MAB","a1TWD000001ox8X2AQ","false","2","","","","","","","","","","","","","","4.21874E+16","Paris","005al00000RVcKvAAL"
"a1TVx00000F44a2MAB","a1TWD000001ox8Y2AQ","false","3","","","","","","","","","","","","","","4.22324E+16","Marseille","005al00000RVcKvAAL"
"a1TVx00000F44a3MAB","a1TWD000001ox8Z2AQ","false","4","","","","","","","","","","","","","","4.21137E+16","Toulouse","005al00000RVcKvAAL"
"a1TVx00000F44a4MAB","a1TWD000001ox8a2AA","false","1","","","","","","","","","","","","","","4.27724E+16","Lyon","005al00000RVcKvAAL"
"a1TVx00000F44a5MAB","a1TWD000001ox8b2AA","false","","","","","","","","","","","","","","","4.20603E+16","Madrid","005al00000RVcKvAAL"
"a1TVx00000F44a6MAB","a1TWD000001ox8c2AA","false","","","","","","","","","","","","","","","4.28992E+16","Barcelona","005al00000RVcKvAAL"
"a1TVx00000F44a7MAB","a1TWD000001ox8d2AA","false","","","","","","","","","","","","","","","4.29508E+16","Valencia","005al00000RVcKvAAL"
"a1TVx00000F44a8MAB","a1TWD000001ox8e2AA","false","","","","","","","","","","","","","","","4.23041E+16","Seville","005al00000RVcKvAAL"
"a1TVx00000F44a9MAB","a1TWD000001ox8f2AA","false","","","","","","","","","","","","","","","4.24757E+16","Rome","005al00000RVcKvAAL"
"a1TVx00000F44aAMAR","a1TWD000001ox8g2AA","false","","","","","","","","","","","","","","","4.21937E+16","Milan","005al00000RVcKvAAL"
"a1TVx00000F44aBMAR","a1TWD000001ox8h2AA","false","","","","","","","","","","","","","","","4.20415E+16","Naples","005al00000RVcKvAAL"
"a1TVx00000F44aCMAR","a1TWD000001ox8i2AA","false","","","","","","","","","","","","","","","4.26967E+16","Turin","005al00000RVcKvAAL"
"a1TVx00000F44aDMAR","a1TWD000001ox8j2AA","false","","","","","","","","","","","","","","","4.2161E+16","Berlin","005al00000RVcKvAAL"
"a1TVx00000F44aEMAR","a1TWD000001ox8k2AA","false","","","","","","","","","","","","","","","4.2758E+16","Hamburg","005al00000RVcKvAAL"
"a1TVx00000F44aFMAR","a1TWD000001ox8l2AA","false","","","","","","","","","","","","","","","4.22874E+16","Munich","005al00000RVcKvAAL"
"a1TVx00000F44aGMAR","a1TWD000001ox8m2AA","false","","","","","","","","","","","","","","","4.27377E+16","Cologne","005al00000RVcKvAAL"
"a1TVx00000F44aHMAR","a1TWD000001ox8n2AA","false","52","","","","","","","","","","","","","","4.28008E+16","QA - Branch 002","005al00000RVcKvAAL"
"a1TVx00000F44aIMAR","a1TWD000001ox8o2AA","false","53","","","","","","","","","","","","","","4.24835E+16","QA - Branch 003","005al00000RVcKvAAL"
"a1TVx00000F44aJMAR","a1TWD000001ox8p2AA","false","54","","","","","","","","","","","","","","4.25764E+16","QA - Branch 004","005al00000RVcKvAAL"
"a1TVx00000F44aKMAR","a1TWD000001ox8q2AA","false","","","","","","","","","","","","","","","42361086499466592","Shiva","005al00000RVcKvAAL"
"a1TVx00000F44aLMAR","a1TWD000001ox8r2AA","false","","","","","","","","","","","","","","","42333043214236547","AR-Branch-Test","005al00000RVcKvAAL"
"a1TVx00000F44aMMAR","a1TWD000001ox8s2AA","false","","","","","","","","","","","","","","","42008723670610623","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44aNMAR","a1TWD000001ox8t2AA","false","00-00-00","","","","","","","","","","","","","","42683844897478206","London City","005al00000RVcKvAAL"
"a1TVx00000F44aOMAR","a1TWD000001ox8u2AA","false","00-00-01","","","","","","","","","","","","","","42462934753303422","Manchester","005al00000RVcKvAAL"
"a1TVx00000F44aPMAR","a1TWD000001ox8v2AA","false","00-00-02","","","","","","","","","","","","","","42350301403076650","Bristol","005al00000RVcKvAAL"
"a1TVx00000F44aQMAR","a1TWD000001ox8w2AA","false","00-00-03","","","","","","","","","","","","","","42179091323594253","Liverpool","005al00000RVcKvAAL"
"a1TVx00000F44aRMAR","a1TWD000001ox8x2AA","false","2","","","","","","","","","","","","","","42755239377688318","Paris","005al00000RVcKvAAL"
"a1TVx00000F44aSMAR","a1TWD000001ox8y2AA","false","3","","","","","","","","","","","","","","42204662098425817","Marseille","005al00000RVcKvAAL"
"a1TVx00000F44aTMAR","a1TWD000001ox8z2AA","false","4","","","","","","","","","","","","","","42802425444024057","Toulouse","005al00000RVcKvAAL"
"a1TVx00000F44aUMAR","a1TWD000001ox902AA","false","1","","","","","","","","","","","","","","42034969807242332","Lyon","005al00000RVcKvAAL"
"a1TVx00000F44aVMAR","a1TWD000001ox912AA","false","","","","","","","","","","","","","","","42512510861018358","yuga002","005al00000RVcKvAAL"
"a1TVx00000F44aWMAR","a1TWD000001ox922AA","false","","","","","","","","","","","","","","","42854073507995564","sree001","005al00000RVcKvAAL"
"a1TVx00000F44aXMAR","a1TWD000001ox932AA","false","","","","","","","","","","","","","","","42656466536907181","shiva001","005al00000RVcKvAAL"
"a1TVx00000F44aYMAR","a1TWD000001ox942AA","false","","","","","","","","","","","","","","","42474661479286286","yugandhar","005al00000RVcKvAAL"
"a1TVx00000F44aZMAR","a1TWD000001ox952AA","false","123","Hyderabad","","","","","","","","","","AL","Test","500049","dryrun","DryRunBranchUpdate","005al00000RVcKvAAL"
"a1TVx00000F44aaMAB","a1TWD000001ox962AA","false","500","Bangalore","","","","","","","","","","AL","Yelahanka","560064","42768501582727041","Bangalore-01-Update","005al00000RVcKvAAL"
"a1TVx00000F44abMAB","a1TWD000001ox972AA","false","501","Delhi","","","","","","","","","","DE","Central","","42464158971677016","Delhi","005al00000RVcKvAAL"
"a1TVx00000F44acMAB","a1TWD000001ox982AA","false","502","Mumbai","","","","","","","","","","MT","Andheri East","","42067240581307215","Mumbai","005al00000RVcKvAAL"
"a1TVx00000F44adMAB","a1TWD000001ox992AA","false","0987","Los Angeles","","","","34.077054","118.232158","XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}LLC_BI__Location__c, xmlizable=[Location  latitude='34.077054'
 longitude='118.232158'
]
}","","","","CA","635 Academy Road","90012","9930JPD323915477","Wilmington - South","005al00000RVcKvAAL"
"a1TVx00000F44aeMAB","a1TWD000001ox9A2AQ","false","235576","New York","","","","40.736248","73.979397","XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}LLC_BI__Location__c, xmlizable=[Location  latitude='40.736248'
 longitude='73.979397'
]
}","","","","NY","342 E 22nd Street","10010","9951JPD359895839","Wrightsville","005al00000RVcKvAAL"
"a1TVx00000F44afMAB","a1TWD000001ox9B2AQ","false","123456","Salt Lake City","","","","40.769539","-111.882204","XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}LLC_BI__Location__c, xmlizable=[Location  latitude='40.769539'
 longitude='-111.882204'
]
}","","","","UT","303 B Street D","84103","9997JPD205456783","Elon","005al00000RVcKvAAL"
"a1TVx00000F44agMAB","a1TWD000001ox9C2AQ","false","234456","Dallas","","","","32.761075","96.743745","XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}LLC_BI__Location__c, xmlizable=[Location  latitude='32.761075'
 longitude='96.743745'
]
}","","","","TX","3514 Hancock Street","75210","9900JPD377393056","Wilmington - Main","005al00000RVcKvAAL"
"a1TVx00000F44ahMAB","a1TWD000001ox9D2AQ","false","34567","Minneapolis","","","","44.927774","93.254569","XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}LLC_BI__Location__c, xmlizable=[Location  latitude='44.927774'
 longitude='93.254569'
]
}","","","","MN","4125 14th Avenue S.","55407","9984JPD281370293","Mortgage Office","005al00000RVcKvAAL"
"a1TVx00000F44aiMAB","a1TWD000001ox9E2AQ","false","13647","Wilmington","","","","","","","","","","NC","200 Parker Farm Dr.","28403","9920JPD541539548","Mayfaire","005al00000RVcKvAAL"
"a1TVx00000F44ajMAB","a1TWD000001ox9F2AQ","false","","","","","","","","","","","","","","","a0B4W000013fbnWUAQ","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44akMAB","a1TWD000001ox9G2AQ","false","","","","","","","","","","","","","","","a0B4W000013nB5mUAE","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44alMAB","a1TWD000001ox9H2AQ","false","00001","Lyon","","","","","","","","","","","","","42772430318932776","Lyon","005al00000RVcKvAAL"
"a1TVx00000F44amMAB","a1TWD000001ox9I2AQ","false","","","","","","","","","","","","","","","1234567","testbranch","005al00000RVcKvAAL"
"a1TVx00000F44anMAB","a1TWD000001ox9J2AQ","false","","","","","","","","","","","","","","","a0BHo00000SbBMhMAN","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44aoMAB","a1TWD000001ox9K2AQ","false","","","","","","","","","","","","","","","a0BHo00000Z61mFMAR","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44apMAB","a1TWD000001ox9L2AQ","false","","","","","","","","","","","","","","","a0B5f000000wKEUEA2","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44aqMAB","a1TWD000001ox9M2AQ","false","","Wilmington","","","","","","","","","","NC","6770 Parker Farm Dr.","","42835746243659106","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44arMAB","a1TWD000001ox9N2AQ","false","765","Chicago","","","","","","","","","","","","","42626787492044930","Porters Neck","005al00000RVcKvAAL"
"a1TVx00000F44asMAB","a1TWD000001ox9O2AQ","false","987","Los Angeles","","","","","","","","","","","","","42843763899037384","Wilmington - South","005al00000RVcKvAAL"
"a1TVx00000F44atMAB","a1TWD000001ox9P2AQ","false","235576","New York","","","","","","","","","","","","","42703771139595463","Wrightsville","005al00000RVcKvAAL"
"a1TVx00000F44auMAB","a1TWD000001ox9Q2AQ","false","13647","Wilmington","","","","","","","","","","","","","42071450135742569","Mayfaire","005al00000RVcKvAAL"
"a1TVx00000F44avMAB","a1TWD000001ox9R2AQ","false","","","","","","","","","","","","","","","42877500523650933","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44awMAB","a1TWD000001ox9S2AQ","false","123456","Salt Lake City","","","","","","","","","","","","","42368424779358749","Elon","005al00000RVcKvAAL"
"a1TVx00000F44axMAB","a1TWD000001ox9T2AQ","false","234456","Dallas","","","","","","","","","","","","","42360584062232166","Wilmington - Main","005al00000RVcKvAAL"
"a1TVx00000F44ayMAB","a1TWD000001ox9U2AQ","false","34567","Minneapolis","","","","","","","","","","","","","42769082616097902","Mortgage Office","005al00000RVcKvAAL"
"a1TVx00000F44azMAB","a1TWD000001ox9V2AQ","false","","","","","","","","","","","","","","","42695571527410544","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44b0MAB","a1TWD000001ox9W2AQ","false","1","Lyon","","","","","","","","","","","","","42499872189968753","Lyon","005al00000RVcKvAAL"
"a1TVx00000F44b1MAB","a1TWD000001ox9X2AQ","false","","","","","","","","","","","","","","","42258906314280969","testbranch","005al00000RVcKvAAL"
"a1TVx00000F44b2MAB","a1TWD000001ox9Y2AQ","false","","","","","","","","","","","","","","","42416311335156033","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44b3MAB","a1TWD000001ox9Z2AQ","false","","","","","","","","","","","","","","","42358446733668515","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44b4MAB","a1TWD000001ox9a2AA","false","","Wilmington","","","","","","","","","","","","","42270443632939777","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44b5MAB","a1TWD000001ox9b2AA","false","502","Mumbai","","","","","","","","","","","","","42174878218385524","Mumbai","005al00000RVcKvAAL"
"a1TVx00000F44b6MAB","a1TWD000001ox9c2AA","false","","","","","","","","","","","","","","","42415870883794925","yugandhar","005al00000RVcKvAAL"
"a1TVx00000F44b7MAB","a1TWD000001ox9d2AA","false","","","","","","","","","","","","","","","42061944136217463","AR-Branch-Test","005al00000RVcKvAAL"
"a1TVx00000F44b8MAB","a1TWD000001ox9e2AA","false","","","","","","","","","","","","","","","42733754761864548","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44b9MAB","a1TWD000001ox9f2AA","false","00-00-00","","","","","","","","","","","","","","42448226048589507","London City","005al00000RVcKvAAL"
"a1TVx00000F44bAMAR","a1TWD000001ox9g2AA","false","00-00-01","","","","","","","","","","","","","","42156247875525457","Manchester","005al00000RVcKvAAL"
"a1TVx00000F44bBMAR","a1TWD000001ox9h2AA","false","00-00-02","","","","","","","","","","","","","","42107209303086111","Bristol","005al00000RVcKvAAL"
"a1TVx00000F44bCMAR","a1TWD000001ox9i2AA","false","00-00-03","","","","","","","","","","","","","","42639511287688878","Liverpool","005al00000RVcKvAAL"
"a1TVx00000F44bDMAR","a1TWD000001ox9j2AA","false","2","","","","","","","","","","","","","","42293712836484811","Paris","005al00000RVcKvAAL"
"a1TVx00000F44bEMAR","a1TWD000001ox9k2AA","false","3","","","","","","","","","","","","","","42465746428404646","Marseille","005al00000RVcKvAAL"
"a1TVx00000F44bFMAR","a1TWD000001ox9l2AA","false","4","","","","","","","","","","","","","","42922698034785802","Toulouse","005al00000RVcKvAAL"
"a1TVx00000F44bGMAR","a1TWD000001ox9m2AA","false","1","","","","","","","","","","","","","","42454585925874847","Lyon","005al00000RVcKvAAL"
"a1TVx00000F44bHMAR","a1TWD000001ox9n2AA","false","","","","","","","","","","","","","","","42908385675770247","yuga002","005al00000RVcKvAAL"
"a1TVx00000F44bIMAR","a1TWD000001ox9o2AA","false","","","","","","","","","","","","","","","42863944570508979","sree001","005al00000RVcKvAAL"
"a1TVx00000F44bJMAR","a1TWD000001ox9p2AA","false","","","","","","","","","","","","","","","42133008054906237","shiva001","005al00000RVcKvAAL"
"a1TVx00000F44bKMAR","a1TWD000001ox9q2AA","false","500","Bangalore","","","","","","","","","","","","","42237348444565984","Bangalore-01-Update","005al00000RVcKvAAL"
"a1TVx00000F44bLMAR","a1TWD000001ox9r2AA","false","501","Delhi","","","","","","","","","","","","","42499039503797229","Delhi","005al00000RVcKvAAL"
"a1TVx00000F44bMMAR","a1TWD000001ox9s2AA","false","123","Hyderabad","","","","","","","","","","","","","42190284021862019","DryRunBranchUpdate","005al00000RVcKvAAL"
"a1TVx00000F44bNMAR","a1TWD000001ox9t2AA","false","","","","","","","","","","","","","","","42688140578202281","nCino HQ","005al00000RVcKvAAL"
"a1TVx00000F44bOMAR","a1TWD000001ox9u2AA","false","","","","","","","","","","","","","","","42556808141361141","AR-Branch-Test","005al00000RVcKvAAL"
"a1TVx00000F44bPMAR","a1TWD000001ox9v2AA","false","","","","","","","","","","","","","","","42734200522325551","Wilmington","005al00000RVcKvAAL"
"a1TVx00000F44bQMAR","a1TWD000001ox9w2AA","false","00-00-00","","","","","","","","","","","","","","42577231055011455","London City","005al00000RVcKvAAL"
"a1TVx00000F44bRMAR","a1TWD000001ox9x2AA","false","00-00-01","","","","","","","","","","","","","","42274779313703465","Manchester","005al00000RVcKvAAL"
"a1TVx00000F44bSMAR","a1TWD000001ox9y2AA","false","00-00-02","","","","","","","","","","","","","","42988947593818078","Bristol","005al00000RVcKvAAL"
"a1TVx00000F44bTMAR","a1TWD000001ox9z2AA","false","00-00-03","","","","","","","","","","","","","","42411064840140098","Liverpool","005al00000RVcKvAAL"
"a1TVx00000F44bUMAR","a1TWD000001oxA02AI","false","2","","","","","","","","","","","","","","42279391654438389","Paris","005al00000RVcKvAAL"
"a1TVx00000F44bVMAR","a1TWD000001oxA12AI","false","3","","","","","","","","","","","","","","42845433248219925","Marseille","005al00000RVcKvAAL"
"a1TVx00000F44bWMAR","a1TWD000001oxA22AI","false","4","","","","","","","","","","","","","","42719697186726534","Toulouse","005al00000RVcKvAAL"
"a1TVx00000F44bXMAR","a1TWD000001oxA32AI","false","1","","","","","","","","","","","","","","42320211082405515","Lyon","005al00000RVcKvAAL"
"a1TVx00000F44bYMAR","a1TWD000001oxA42AI","false","","","","","","","","","","","","","","","42570158968376822","Madrid","005al00000RVcKvAAL"
"a1TVx00000F44bZMAR","a1TWD000001oxA52AI","false","","","","","","","","","","","","","","","42121796842634294","Barcelona","005al00000RVcKvAAL"
"a1TVx00000F44baMAB","a1TWD000001oxA62AI","false","","","","","","","","","","","","","","","42437320316804799","Valencia","005al00000RVcKvAAL"
"a1TVx00000F44bbMAB","a1TWD000001oxA72AI","false","","","","","","","","","","","","","","","42389538408666396","Seville","005al00000RVcKvAAL"
"a1TVx00000F44bcMAB","a1TWD000001oxA82AI","false","","","","","","","","","","","","","","","42773917280795988","Rome","005al00000RVcKvAAL"
"a1TVx00000F44bdMAB","a1TWD000001oxA92AI","false","","","","","","","","","","","","","","","42355439235128091","Milan","005al00000RVcKvAAL"
"a1TVx00000F44beMAB","a1TWD000001oxAA2AY","false","","","","","","","","","","","","","","","42006549178672748","Naples","005al00000RVcKvAAL"
"a1TVx00000F44bfMAB","a1TWD000001oxAB2AY","false","","","","","","","","","","","","","","","42193764134776161","Turin","005al00000RVcKvAAL"
"a1TVx00000F44bgMAB","a1TWD000001oxAC2AY","false","","","","","","","","","","","","","","","42514520954281698","Berlin","005al00000RVcKvAAL"
"a1TVx00000F44bhMAB","a1TWD000001oxAD2AY","false","","","","","","","","","","","","","","","42461941698516664","Hamburg","005al00000RVcKvAAL"
