"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","nFORCE__Description__c","nFORCE__lookupKey__c","LastViewedDate","LastReferencedDate"
"a0oWD00000GDaQ1YAL","005al00000RVcKvAAL","false","Construction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","42287488552732632","",""
"a0oWD00000GDaPpYAL","005al00000RVcKvAAL","false","Credit Request","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Context for Credit Request Rules","42331471435935127","",""
"a0oWD00000GDaPqYAL","005al00000RVcKvAAL","false","Loan Policy Exception","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42372261594631684","",""
"a0oWD00000GVe85YAD","005al00000RVcKvAAL","false","Omnichannel","2026-07-20T15:29:57.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","","42378505971424353","",""
"a0oWD00000GVe84YAD","005al00000RVcKvAAL","false","WK Esign","2026-07-20T15:29:57.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Used to Generate Wk Docs under the context of another user","42394018476471176","",""
"a0oWD00000GDaPVYA1","005al00000RVcKvAAL","false","Construction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","42434025943246173","",""
"a32bn000000i7qgAAA","005bn000003k2JdAAI","","Loan Decisioning","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42455223340738733","",""
"a0oWD00000GDaPWYA1","005al00000RVcKvAAL","false","Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42457566708738680","",""
"a0oWD00000GDaPXYA1","005al00000RVcKvAAL","false","Construction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","42493771740904212","",""
"a32bn000000i7qdAAA","005bn000003k2JdAAI","","Filter Pricing Options by DTI","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Filters the pricing options based on the current max DTI","42523683381155171","",""
"a0oWD00000GVe81YAD","005al00000RVcKvAAL","false","Loan Policy Exception","2026-07-20T15:29:57.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42656621866521845","",""
"a0oWD00000GVe9fYAD","005al00000RVcKvAAL","false","Loan Decisioning","2026-07-20T15:30:03.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42681825916088200","",""
"a0oWD00000GDaPYYA1","005al00000RVcKvAAL","false","a32Hu000004edQQ","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","","42708528872186975","",""
"a32bn000000i7qcAAA","005bn000003k2JdAAI","","Retrieve Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Create the pricing option(s) based on information in the Loan.","42746958261630058","",""
"a32bn000000i7qjAAA","005bn000003k2JdAAI","","Construction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","4277770875596515","",""
"a32bn000000i7qiAAA","005bn000003k2JdAAI","","Contruction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","42826512048831054","",""
"a32bn000000i7qeAAA","005bn000003k2JdAAI","","Credit Request","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Context for Credit Request Rules","42849460327380551","",""
"a32bn000000i7qkAAA","005bn000003k2JdAAI","","Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42887688779647590","",""
"a0oWD00000GVe83YAD","005al00000RVcKvAAL","false","Credit Request","2026-07-20T15:29:57.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Context for Credit Request Rules","42926573904268813","",""
"a0oWD00000GDaPZYA1","005al00000RVcKvAAL","false","Filter Pricing Options by DTI","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Filters the pricing options based on the current max DTI","42932704164636551","",""
"a32bn000000i7qfAAA","005bn000003k2JdAAI","","Proposed Pricing Option","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Create the proposed pricing option based on information in the loan.","42938486352320978","",""
"a0oWD00000GDaPaYAL","005al00000RVcKvAAL","false","Lightning-Record-002-Context","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Lightning-Record-002-Context","5190845620965","",""
"a0oWD00000GDaPbYAL","005al00000RVcKvAAL","false","Lightning-Record-001-Context","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Lightning-Record-001-Context","98712564123","",""
"a0oWD00000GVe9dYAD","005al00000RVcKvAAL","false","Credit Card Online Application","2026-07-20T15:30:03.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","","a0Wam000003bbtJEAQ","",""
"a0oWD00000GDaPcYAL","005al00000RVcKvAAL","false","Loan Decisioning","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","a328c000002sgLpAAI","",""
"a0oWD00000GDaPdYAL","005al00000RVcKvAAL","false","DocMan","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","","a328c000002sgLqAAI","",""
"a0oWD00000GDaPeYAL","005al00000RVcKvAAL","false","Retrieve Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Create the pricing option(s) based on information in the Loan.","a328c000002sgLrAAI","",""
"a0oWD00000GDaPfYAL","005al00000RVcKvAAL","false","Filter Pricing Options by DTI","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Filters the pricing options based on the current max DTI","a328c000002sgLsAAI","",""
"a0oWD00000GDaPgYAL","005al00000RVcKvAAL","false","Credit Request","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Context for Credit Request Rules","a328c000002sgLtAAI","",""
"a0oWD00000GDaPhYAL","005al00000RVcKvAAL","false","Proposed Pricing Option","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","Create the proposed pricing option based on information in the loan.","a328c000002sgLuAAI","",""
"a0oWD00000GDaPiYAL","005al00000RVcKvAAL","false","Loan Policy Exception","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","a328c000002sgLvAAI","",""
"a0oWD00000GDaPjYAL","005al00000RVcKvAAL","false","Contruction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","a328c000002sgLwAAI","",""
"a0oWD00000GDaPkYAL","005al00000RVcKvAAL","false","Construction Loan Administration","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Contruction Loan Administration context is used to group flows related to CLA activities","a328c000003sBuxAAE","",""
"a0oWD00000GDaPlYAL","005al00000RVcKvAAL","false","Pricing Options","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","a328c000003sBuyAAE","",""
"a0oWD00000GDaPrYAL","005al00000RVcKvAAL","false","DocMan","2026-06-25T06:42:22.000Z","005al00000RVcKvAAL","2026-07-23T12:34:05.000Z","005al00000RVvFOAA1","2026-07-23T12:34:05.000Z","","","b1zuwdlyusnu1n6luo","",""
