"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","AutorabitExtId__c"
"a2HKU0000004sPd2AI","false","SC-000133650","a2FKU0000004vx42AA","1.01","nRetail__Third_Party_Related_List","","a2HKU0000004sEK2AY","LLC_BI__Service_Mgmt__r","","03561619447516044","LLC_BI__Service_Mgmt__c","","","false","","false",""
"a2HKU0000004sI92AI","false","SC-000133186","a2FKU0000004vnN2AQ","0.0","nRetail__Decision_Overview","","","","Decision_Overview","03711600720268232","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sIY2AY","false","SC-000133211","a2FKU0000004vyB2AQ","0.0","nRetail__Underwriting_Overview","","","","Underwriting_Overview","04461663700626418","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sEs2AI","false","SC-000132983","a2FKU0000004vvU2AQ","1.01","","","","","Risk Rating","04551619447516057","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sIn2AI","false","SC-000133226","a2FKU0000004vmX2AQ","1.01","nPortal__SBL_Others_Involved_Multi_Record","","","","","04571666029078196","Contact","","","false","","false",""
"a2HKU0000004sQ62AI","false","SC-000133679","a2FKU0000004vpf2AA","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2HKU0000004sFd2AI","LLC_BI__Legal_Entities__r","HMDA","05841620937672802","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sIr2AI","false","SC-000133230","a2FKU0000004vw12AA","1.01","SBL_Eligibility_Loan","","","","","05921666029078200","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sTt2AI","false","SC-000133914","a2FKU0000004vou2AA","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","a2HKU0000004sPf2AI","LLC_BI__Entity_Compliances__r","Entity Compliance","06051619447516050","LLC_BI__Entity_Compliance__c","","","false","","false",""
"a2HKU0000004sI72AI","false","SC-000133184","a2FKU0000004vjA2AQ","0.0","LLC_BI__Add_Income","","","","Add Income","06621600720268231","LLC_BI__Income__c","","","false","","false",""
"a2HKU0000004sH62AI","false","SC-000133121","a2FKU0000004vmA2AQ","1.01","","","","","","067D2D70_3459_4578_A06B_114373202526","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sEU2AY","false","SC-000132959","a2FKU0000004vuC2AQ","0.0","LLC_BI__Payment_Component_Extended_Fields","","","","","08271619447516047","LLC_BI__Pricing_Payment_Component__c","","","false","","false",""
"a2HKU0000004sIe2AI","false","SC-000133217","a2FKU0000004vkn2AA","1.01","SBL_Approver_2_Details","","","","","08911663700626421","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sCB2AY","false","SC-000132816","a2FKU0000004vm02AA","1.0","","","","","Change Memo","08981560278867804","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sEb2AI","false","SC-000132966","a2FKU0000004vqM2AQ","1.01","","","","","Loan Compliance","09111619447516050","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sEL2AY","false","SC-000132950","a2FKU0000004vlt2AA","1.01","UI_Loan_Compliance_Certifications","","","","","09371619447516043","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sGK2AY","false","SC-000133073","a2FKU0000004vkx2AA","0.0","nRetail__Asset_Schedule","","","","Asset Schedule","09511602764632531","nRetail__Asset__c","","","false","","false",""
"a2HKU0000004sDL2AY","false","SC-000132888","a2FKU0000004vnW2AQ","1.01","","","","","","1002","Account","","","false","","false",""
"a2HKU0000004sDM2AY","false","SC-000132889","a2FKU0000004vuo2AA","1.01","","","","","","1010","LLC_BI__Treasury_Service__c","","0.0","false","","false",""
"a2HKU0000004sPJ2AY","false","SC-000133630","a2FKU0000004vuo2AA","2.01","","","a2HKU0000004sDM2AY","LLC_BI__Product_Package__r","","1011","LLC_BI__Product_Package__c","","0.0","false","","false",""
"a2HKU0000004sTk2AI","false","SC-000133905","a2FKU0000004vuo2AA","3.01","LLC_BI__UI_Product_Summary","","a2HKU0000004sPJ2AY","LLC_BI__Treasury_Services__r","","1012","LLC_BI__Treasury_Service__c","","0.0","false","","false",""
"a2HKU0000004sPk2AI","false","SC-000133657","a2FKU0000004vr82AA","2.01","UI_Loan_Loan_Team_Members","","a2HKU0000004sEm2AI","LLC_BI__Loan_Teams__r","","10221619447516055","LLC_BI__LoanTeam__c","","","false","","false",""
"a2HKU0000004sJ02AI","false","SC-000133239","a2FKU0000004vmn2AA","1.01","SBL_OA_Credit_Check","","","","","10271666029078212","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sF22AI","false","SC-000132993","a2FKU0000004vqU2AQ","1.01","UI_Loan_Details","","","","","10291619447516064","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sDN2AY","false","SC-000132890","a2FKU0000004vlZ2AQ","1.01","","","","","Loan Relationship","1104","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPK2AY","false","SC-000133631","a2FKU0000004vlZ2AQ","2.01","UI_Borrowing_Structure","","a2HKU0000004sDN2AY","LLC_BI__Legal_Entities__r","Borrowing Structure","1105","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sDO2AY","false","SC-000132891","a2FKU0000004vwt2AA","1.0","","","","","Tasks","1106","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPL2AY","false","SC-000133632","a2FKU0000004vwt2AA","2.0","LLC_BI__UI_Tasks","","a2HKU0000004sDO2AY","Tasks","Tasks","1107","Task","","","false","","false",""
"a2HKU0000004sDP2AY","false","SC-000132892","a2FKU0000004vpc2AA","1.0","","","","","HMDA","1110","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPM2AY","false","SC-000133633","a2FKU0000004vpc2AA","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2HKU0000004sDP2AY","LLC_BI__Legal_Entities__r","HMDA","1111","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sDQ2AY","false","SC-000132893","a2FKU0000004vqa2AA","0.0","UI_Loan_Details","","","","Loan Details","1114","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDR2AY","false","SC-000132894","a2FKU0000004vuO2AQ","0.0","UI_Loan_Pricing","","","","Pricing","1115","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sDS2AY","false","SC-000132895","a2FKU0000004vvD2AQ","0.0","LLC_BI__UI_Referral_Information","","","","Referral","1116","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004s9S2AQ","false","SC-000132647","a2FKU0000004vi12AA","0.0","IBCL_Retail_Balance_Details","","","","Balance Details","1117","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004s9T2AQ","false","SC-000132648","a2FKU0000004vi22AA","0.0","IBCL_Booked_Details","","","","Booked Details","1118","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sDT2AY","false","SC-000132896","a2FKU0000004vqZ2AQ","0.0","LLC_BI__UI_Loan_Summary","","","","Loan Details","1119","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDU2AY","false","SC-000132897","a2FKU0000004vqq2AA","0.0","LLC_BI__UI_CRA_Loan_Information","","","","Loan Information","1120","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDV2AY","false","SC-000132898","a2FKU0000004viR2AQ","0.0","LLC_BI__UI_CRA_Action_Taken","","","","Action Taken","1121","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDW2AY","false","SC-000132899","a2FKU0000004vus2AA","0.0","LLC_BI__UI_CRA_Property_Location","","","","Property Location","1122","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDX2AY","false","SC-000132900","a2FKU0000004vto2AA","0.0","LLC_BI__UI_CRA_Other","","","","Other","1123","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDY2AY","false","SC-000132901","a2FKU0000004vkX2AQ","0.0","LLC_BI__UI_HMDA_Application_Loan_Information","","","","Application or Loan Information","1124","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDZ2AY","false","SC-000132902","a2FKU0000004viQ2AQ","0.0","LLC_BI__UI_HMDA_Action_Taken","","","","Action Taken","1125","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDa2AI","false","SC-000132903","a2FKU0000004vur2AA","0.0","LLC_BI__UI_HMDA_Property_Location","","","","Property Location","1126","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDb2AI","false","SC-000132904","a2FKU0000004vqu2AA","0.0","LLC_BI__UI_HMDA_Loan_Lifecycle","","","","Loan Lifecycle","1127","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sDc2AI","false","SC-000132905","a2FKU0000004vr72AA","1.01","","","","","","1130","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPN2AY","false","SC-000133634","a2FKU0000004vr72AA","2.01","UI_Loan_Loan_Team_Members","","a2HKU0000004sDc2AI","LLC_BI__Loan_Teams__r","","1131","LLC_BI__LoanTeam__c","","","false","","false",""
"a2HKU0000004sDd2AI","false","SC-000132906","a2FKU0000004vu22AA","1.01","","","","","","1132","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPO2AY","false","SC-000133635","a2FKU0000004vu22AA","2.01","CM_Participations","","a2HKU0000004sDd2AI","LLC_BI__Participations__r","","1133","LLC_BI__Participation__c","","","false","","false",""
"a2HKU0000004sER2AY","false","SC-000132956","a2FKU0000004vof2AA","1.01","LLC_BI__Enhanced_Fee_Loan_Aggregate_Summary","","","","","11331619447516046","LLC_BI__Fee_Loan_Aggregate__c","","","false","","false",""
"a2HKU0000004sDe2AI","false","SC-000132907","a2FKU0000004vvX2AQ","1.01","","","","","","1134","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPP2AY","false","SC-000133636","a2FKU0000004vvX2AQ","2.01","UI_Risk_Rating","","a2HKU0000004sDe2AI","LLC_BI__Risk_Rating_Review__r","","1135","LLC_BI__Annual_Review__c","","","false","","false",""
"a2HKU0000004sDf2AI","false","SC-000132908","a2FKU0000004vjV2AQ","1.01","","","","","","1139","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPQ2AY","false","SC-000133637","a2FKU0000004vjV2AQ","2.01","UI_Loan_Adverse_Action","","a2HKU0000004sDf2AI","LLC_BI__Adverse_Actions__r","","1140","LLC_BI__Adverse_Action__c","","","false","","false",""
"a2HKU0000004sDg2AI","false","SC-000132909","a2FKU0000004vtI2AQ","1.01","","","","","","1143","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPR2AY","false","SC-000133638","a2FKU0000004vtI2AQ","2.01","UI_Loan_Memo","","a2HKU0000004sDg2AI","LLC_BI__Change_Memos__r","","1144","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false",""
"a2HKU0000004sDh2AI","false","SC-000132910","a2FKU0000004vpQ2AQ","1.01","","","","","","1145","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPS2AY","false","SC-000133639","a2FKU0000004vpQ2AQ","2.01","UI_Loan_Fees","","a2HKU0000004sDh2AI","LLC_BI__Fees__r","","1146","LLC_BI__Fee__c","","","false","","false",""
"a2HKU0000004sDi2AI","false","SC-000132911","a2FKU0000004vwp2AA","1.01","","","","","","1147","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPT2AY","false","SC-000133640","a2FKU0000004vwp2AA","2.01","UI_Stage_History","","a2HKU0000004sDi2AI","LLC_BI__Opportunity_History__r","","1148","LLC_BI__Opportunity_History__c","","","false","","false",""
"a2HKU0000004sDj2AI","false","SC-000132912","a2FKU0000004vtO2AQ","1.01","UI_Loan_Narrative","","","","","1149","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sCg2AI","false","SC-000132847","a2FKU0000004vxw2AA","1.01","LLC_BI__Prod_Pkg_UI_Related_Pledge_Schedule","","","","","11921563816286757","LLC_BI__Loan_Collateral2__c","","","false","","false",""
"a2HKU0000004sIj2AI","false","SC-000133222","a2FKU0000004vj82AA","0.0","LLC_BI__Add_Income","","","","Add Income","12345678901234","LLC_BI_Income__c","","","false","","false",""
"a2HKU0000004sTu2AI","false","SC-000133915","a2FKU0000004vl32AA","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","","a2HKU0000004sPv2AI","LLC_BI__Contingent_Liabilties__r","","12611620937672789","LLC_BI__Contingent_Liabilty__c","","0.0","false","","false",""
"a2HKU0000004sEZ2AY","false","SC-000132964","a2FKU0000004vuX2AQ","1.01","RequiredLoanFieldsToCreateRateOrPayment","","","","","12931619447516049","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sPj2AI","false","SC-000133656","a2FKU0000004vpe2AA","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2HKU0000004sEi2AI","LLC_BI__Legal_Entities__r","HMDA","13451619447516054","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sWk2AI","false","SC-000134091","a2FKU0000004vow2AA","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","a2HKU0000004sQh2AI","LLC_BI__Entity_Compliances__r","Entity Compliance","14191663700626425","LLC_BI__Entity_Compliance__c","","","false","","false",""
"a2HKU0000004sQ22AI","false","SC-000133675","a2FKU0000004vu02AA","2.02","UI_Participations","","a2HKU0000004sFR2AY","LLC_BI__Participations__r","","14251620937672797","LLC_BI__Participation__c","","0.0","false","","false",""
"a2HKU0000004sP62AI","false","SC-000133617","a2FKU0000004vr02AA","2.01","LLC_BI__UI_Loan_Products","","a2HKU0000004sCe2AI","LLC_BI__Legal_Entities__r","","14431562008947621","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sIA2AY","false","SC-000133187","a2FKU0000004vpi2AA","0.0","","","","","HMDA","14911600720268232","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sFQ2AY","false","SC-000133017","a2FKU0000004vka2AA","1.01","UI_Loan_Details","","","","","15121620937672796","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sGR2AY","false","SC-000133080","a2FKU0000004vpj2AA","0.0","","","","","HMDA","15181602764632533","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sPx2AI","false","SC-000133670","a2FKU0000004vm32AA","2.0","LLC_BI__UI_Memo_Action","","a2HKU0000004sFL2AY","LLC_BI__Change_Memos__r","Change Memo","15761620937672794","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false",""
"a2HKU0000004sHR2AY","false","SC-000133142","a2FKU0000004vlI2AQ","1.01","","","","","","159896624004440362141","LLC_BI__Deposit__c","","0.0","false","","false",""
"a2HKU0000004sPv2AI","false","SC-000133668","a2FKU0000004vl32AA","2.02","","","a2HKU0000004sFB2AY","LLC_BI__Legal_Entities__r","","16071620937672788","LLC_BI__Legal_Entities__c","","0.0","false","","false",""
"a2HKU0000004sFh2AI","false","SC-000133034","a2FKU0000004vqN2AQ","1.01","","","","","Loan Compliance","16491620937672804","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sFM2AY","false","SC-000133013","a2FKU0000004vpY2AQ","0.0","LLC_BI__UI_Fees_Summary","","","","Fees Summary","17931620937672794","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sQU2AY","false","SC-000133703","a2FKU0000004vr52AA","2.02","LLC_BI__UI_Loan_Team_Members","","a2HKU0000004sH82AI","LLC_BI__Loan_Teams__r","","18242913_7068_407A_924F_1B6574362754","LLC_BI__LoanTeam__c","","","false","","false",""
"a2HKU0000004sEi2AI","false","SC-000132973","a2FKU0000004vpe2AA","1.0","","","","","HMDA","19101619447516054","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sI52AI","false","SC-000133182","a2FKU0000004viw2AA","0.0","IBCL_Add_Debt","","","","Add Debt","19421600720268230","LLC_BI__Debt__c","","","false","","false",""
"a2HKU0000004sHI2AY","false","SC-000133133","a2FKU0000004vmv2AA","1.01","OA_Contact_Info","","","","","19461598381728144","Contact","","0.0","false","","false",""
"a2HKU0000004sCk2AI","false","SC-000132851","a2FKU0000004vun2AA","1.01","","","","","","19571567002572391","LLC_BI__Treasury_Service__c","","0.0","false","","false",""
"a2HKU0000004sFk2AI","false","SC-000133037","a2FKU0000004voI2AQ","1.01","LLC_BI__Draws_History_Summary","","","","Disbursements Summary","20011620937672805","LLC_BI__Budget__c","","","false","","false",""
"a2HKU0000004sP12AI","false","SC-000133612","a2FKU0000004vm02AA","2.0","IBCL_loan_UI_Memo_Action_cm","","a2HKU0000004sCB2AY","LLC_BI__Change_Memos__r","Change Memo","20241560278867805","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false",""
"a2HKU0000004sQm2AI","false","SC-000133721","a2FKU0000004vpg2AA","10.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2HKU0000004sIa2AI","LLC_BI__Legal_Entities__r","","20841663700626419","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sIP2AY","false","SC-000133202","a2FKU0000004vow2AA","1.01","","","","","Entity Compliance","21181663700626408","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sCf2AI","false","SC-000132846","a2FKU0000004vxQ2AQ","1.01","LLC_BI__Product_Package_Collateral_Schedule","","","","","21401563816286757","LLC_BI__Collateral__c","","","false","","false",""
"a2HKU0000004sEa2AI","false","SC-000132965","a2FKU0000004vou2AA","1.01","","","","","Entity Compliance","21931619447516049","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sQp2AI","false","SC-000133724","a2FKU0000004vlc2AA","2.02","Small_Biz_Authorized_Signers","","a2HKU0000004sIi2AI","LLC_BI__Legal_Entities__r","","22431663700626424","LLC_BI__Legal_Entities__c","","0.0","false","","false",""
"a2HKU0000004sFj2AI","false","SC-000133036","a2FKU0000004voL2AQ","1.01","LLC_BI__Draws_Overview_Summary","","","","Disbursements Summary","24271620937672805","LLC_BI__Budget__c","","","false","","false",""
"a2HKU0000004sFX2AY","false","SC-000133024","a2FKU0000004viT2AQ","0.0","LLC_BI__UI_CRA_Action_Taken","","","","Action Taken","24311620937672800","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sFK2AY","false","SC-000133011","a2FKU0000004vvV2AQ","1.01","","","","","Risk Rating","25271620937672793","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sEj2AI","false","SC-000132974","a2FKU0000004vqb2AA","0.0","LLC_BI__UI_Loan_Summary","","","","Loan Details","25371619447516054","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sIi2AI","false","SC-000133221","a2FKU0000004vlc2AA","1.01","","","","","","25751663700626426","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sOj2AI","false","SC-000133594","a2FKU0000004vom2AA","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2HKU0000004sF72AI","LLC_BI__Fees__r","","25811620937672786","LLC_BI__Fee__c","","","false","","false",""
"a2HKU0000004sF82AI","false","SC-000132999","a2FKU0000004vjI2AQ","1.01","LLC_BI__Add_Non_Standard_Fee","","","","","26141620937672787","LLC_BI__Fee__c","","","false","","false",""
"a2HKU0000004sIz2AI","false","SC-000133238","a2FKU0000004vw32AA","1.01","SBL_OA_Personal_Info_CIF","","","","","26161666029078208","Contact","","0.0","false","","false",""
"a2HKU0000004sQJ2AY","false","SC-000133692","a2FKU0000004vop2AA","10.0","LLC_BI__Manage_Fees_List_Enhanced","","a2HKU0000004sGF2AY","LLC_BI__Fees__r","","26681602764632529","LLC_BI__Fee__c","","","false","","false",""
"a2HKU0000004sTs2AI","false","SC-000133913","a2FKU0000004vl22AA","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","","a2HKU0000004sPe2AI","LLC_BI__Contingent_Liabilties__r","","26951619447516048","LLC_BI__Contingent_Liabilty__c","","0.0","false","","false",""
"a2HKU0000004sIa2AI","false","SC-000133213","a2FKU0000004vpg2AA","0.0","","","","","HMDA","27351663700626419","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sIx2AI","false","SC-000133236","a2FKU0000004vmK2AQ","1.01","NPORTAL__Beneficial_Owners_Connection_Info_OA","","","","","27851666029078204","LLC_BI__Connection__c","","","false","","false",""
"a2HKU0000004sCa2AI","false","SC-000132841","a2FKU0000004vpJ2AQ","1.01","LLC_BI__Exposure_Exclusion_Disable","","","","Exposure Exclusion Disable","27981562008947618","LLC_BI__Excluded_Exposure__c","","","false","","false",""
"a2HKU0000004sEO2AY","false","SC-000132953","a2FKU0000004vxx2AA","1.01","LLC_BI__UI_Related_Collateral_Pledge_Schedule","","","","","28171619447516045","LLC_BI__Loan_Collateral2__c","","","false","","false",""
"a2HKU0000004sId2AI","false","SC-000133216","a2FKU0000004vpI2AQ","1.01","SBL_Exposure_Details","","","","","28451663700626421","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sFZ2AY","false","SC-000133026","a2FKU0000004vtq2AA","0.0","LLC_BI__UI_CRA_Other","","","","Other","28511620937672800","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sI12AI","false","SC-000133178","a2FKU0000004vx72AA","0.0","","","","","Third Party Management","29021600720268229","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sQd2AI","false","SC-000133712","a2FKU0000004voo2AA","10.0","LLC_BI__Manage_Fees_List_Enhanced","","a2HKU0000004sHy2AI","LLC_BI__Fees__r","","29071600720268228","LLC_BI__Fee__c","","","false","","false",""
"a2HKU0000004sQl2AI","false","SC-000133720","a2FKU0000004vx52AA","10.0","nRetail__Third_Party_Related_List","","a2HKU0000004sIV2AY","LLC_BI__Service_Mgmt__r","","29591663700626416","LLC_BI__Service_Mgmt__c","","","false","","false",""
"a2HKU0000004sFC2AY","false","SC-000133003","a2FKU0000004vlb2AA","1.01","","","","","Loan Relationship","30401620937672789","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sFG2AY","false","SC-000133007","a2FKU0000004vv12AA","0.0","LLC_BI__Pricing_Summary","","","","Rate Structure","30611620937672792","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sQS2AY","false","SC-000133701","a2FKU0000004vmA2AQ","2.02","ATBK__LoanCollateral2_ReviewSubmit","","a2HKU0000004sH62AI","LLC_BI__Loan_Collateral__r","","31756954_4020_4E5F_B337_5B41145F0D0A","LLC_BI__Loan_Collateral2__c","","","false","","false",""
"a2HKU0000004sQ72AI","false","SC-000133680","a2FKU0000004vov2AA","2.01","LLC_BI__HMDA_Entity_Relationship_Name","","a2HKU0000004sFg2AI","LLC_BI__Legal_Entities__r","Relationship","31881620937672803","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sFg2AI","false","SC-000133033","a2FKU0000004vov2AA","1.01","","","","","Entity Compliance","32101620937672803","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sH22AI","false","SC-000133117","a2FKU0000004vjF2AQ","1.01","ODAO_Beneficiary_Information","","","","","3245958756453","LLC_BI__Beneficiary__c","","","false","","false",""
"a2HKU0000004sQM2AY","false","SC-000133695","a2FKU0000004vlW2AQ","2.02","IBCL_Credit_Auth_Joint_Intent","","a2HKU0000004sGS2AY","LLC_BI__Legal_Entities__r","","33401602764632534","LLC_BI__Legal_Entities__c","","0.0","false","","false",""
"a2HKU0000004sEP2AY","false","SC-000132954","a2FKU0000004vol2AA","1.01","","","","","","33491619447516045","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sCX2AY","false","SC-000132838","a2FKU0000004vxC2AQ","1.01","LLC_BI__Total_Exposure_Summary","","","","Total Exposure Summary","33521562008947617","Account","","","false","","false",""
"a2HKU0000004sHr2AI","false","SC-000133168","a2FKU0000004vkB2AQ","0.0","nRetail__Applicant_Schedule","","","","Applicants","33621600720268225","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sQT2AY","false","SC-000133702","a2FKU0000004vqP2AQ","2.02","ATBK__LoanCovenant_ReviewSubmit","","a2HKU0000004sH72AI","LLC_BI__Loan_Covenants__r","","3374510A_5817_4A55_B02D_1738531F3235","LLC_BI__Loan_Covenant__c","","","false","","false",""
