"Id","OwnerId","IsDeleted","Name","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Primary_Button_Text__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","AutorabitExtId__c"
"a2DKU0000000YEy2AM","0058c00000BxeO9AAJ","false","187869","a2BKU0000009wvV2AQ","false","200.0","a2EKU0000004oxD2AQ","a2EKU0000004oxG2AQ","00961602764613611","","","false","false","true","","","retail-loan--post-approval-ui-approval-details","<a href=""/a2GKU0000004WDU"" target=""_blank"">Approval Details</a>","{{IF=""A OR B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Next_Steps__c"" IS=""Submit for Approval""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.Next_Steps__c"" IS=""Manual Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000YEm2AM","0058c00000BxeO9AAJ","false","187857","a2BKU0000009wvV2AQ","false","460.0","a2EKU0000004oxF2AQ","a2EKU0000004oxF2AQ","01071602764613604","","","false","false","false","","","retail-loan--post-approval-ui-underwriting-summary2","<a href=""/a2GKU0000004WDP"" target=""_blank"">Underwriting Details1</a>","",""
"a2DKU0000000XKz2AM","0058c00000BxeO9AAJ","false","184398","a2BKU0000009wxc2AA","false","1770.0","","a2EKU0000004p7J2AQ","0108582525","","","false","false","false","","","sba-manage-fees-booked-lob-pwc","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000YBf2AM","0058c00000BxeO9AAJ","false","187664","a2BKU0000009wxQ2AQ","true","1500.0","a2EKU0000004owx2AA","a2EKU0000004owz2AA","01111663700614616","","","false","false","false","","","small-business-loan-post-approval-ui-underwriting-summary2","<a href=""/a2GKU0000004WCT"" target=""_blank"">Underwriting Details1</a>","{{IF=""A OR B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Next_Steps__c"" IS=""Manual Underwriting""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.cm_Next_Steps__c"" IS=""Manual Underwriting - Counter Offer""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XHj2AM","0058c00000BxeO9AAJ","false","184196","a2BKU0000009wxY2AQ","false","1.0","","a2EKU0000004p432AA","013F314A09","","","false","true","true","","","sba-change-of-ownership-parent-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XGx2AM","0058c00000BxeO9AAJ","false","184148","a2BKU0000009wxo2AA","true","3.0","","a2EKU0000004p3H2AQ","014408276C","","","false","false","false","","","lob-sba-paycheck-draws---disbursements2","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XFc2AM","0058c00000BxeO9AAJ","false","184065","a2BKU0000009wxh2AA","false","3.0","","a2EKU0000004p1w2AA","01504B6354","","","false","false","false","","","lob-sba-paycheck-reg-w","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XNR2A2","0058c00000BxeO9AAJ","false","184550","a2BKU0000009wxf2AA","false","30.0","","a2EKU0000004oyi2AA","01551610041033798","","","false","false","false","","","first-draw-loan-next-steps","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XIe2AM","0058c00000BxeO9AAJ","false","184253","a2BKU0000009wxi2AA","true","70.0","","a2EKU0000004p4y2AA","015A070B46","","","false","false","false","","","lob-loan-post-pricing-required-fields-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000YC42AM","0058c00000BxeO9AAJ","false","187689","a2BKU0000009wxR2AQ","false","30.0","a2EKU0000004ovu2AA","a2EKU0000004ovv2AA","02031666029062600","","","false","false","false","","","small-business-loan-online-application-your-business","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Are_you_applying_with_a_Business__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XFQ2A2","0058c00000BxeO9AAJ","false","184053","a2BKU0000009wxs2AA","true","1.0","","a2EKU0000004p1k2AA","021E0A6B19","","","false","false","false","","","loanbooked-stage-docprep","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Partner_True__c"" IS=""FALSE""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XEO2A2","0058c00000BxeO9AAJ","false","183989","a2BKU0000009wxu2AA","false","0.0","","a2EKU0000004p0i2AA","023C437369","","","false","false","false","","","lob-loan-post-syndications-summary","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XLI2A2","0058c00000BxeO9AAJ","false","184417","a2BKU0000009wxh2AA","false","2020.0","","a2EKU0000004p7c2AA","0245214678","","","false","false","false","","","sba-paycheck-manage-fees-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000YWk2AM","0058c00000BxeO9AAJ","false","188971","a2BKU0000009wv12AA","false","8500050.0","","a2EKU0000004of22AA","02581615577844334","","","false","false","false","a2BKU0000009wu32AA","","comm-accel-loan-cra","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XLi2AM","0058c00000BxeO9AAJ","false","184443","a2BKU0000009wxx2AA","false","30.0","","a2EKU0000004p822AA","025A0C5D0E","","","false","true","false","","","loan-stage-docprep-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XOu2AM","0058c00000BxeO9AAJ","false","184641","a2BKU0000009wxu2AA","false","3.0","","a2EKU0000004p0B2AQ","02620F1D0F","","","false","false","false","","","lobloanbooked-loan-compliance","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XOC2A2","0058c00000BxeO9AAJ","false","184597","a2BKU0000009wxa2AA","false","1.0","","a2EKU0000004ozT2AQ","0262566257","","","false","true","true","","","lobloanbooked-collateral","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000YEj2AM","0058c00000BxeO9AAJ","false","187854","a2BKU0000009wvV2AQ","false","350.0","","a2EKU0000004owh2AA","02651602764613602","","","false","false","false","","","retail-loan--post-approval-ui-manage-fees","<a href=""/a2GKU0000004WDN"" target=""_blank"">Enhanced Fees Management</a>","",""
"a2DKU0000000X0u2AE","0058c00000BxeO9AAJ","false","183153","a2BKU0000009wv32AA","false","1400.0","","a2EKU0000004omP2AQ","02781620937670269","","","false","false","false","","","booked-approved-details2","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XJq2AM","0058c00000BxeO9AAJ","false","184327","a2BKU0000009wxX2AQ","false","8.0","","a2EKU0000004p6A2AQ","03012B741C","","","false","false","false","","","post-tdr-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XLE2A2","0058c00000BxeO9AAJ","false","184413","a2BKU0000009wxU2AQ","false","1000.0","","a2EKU0000004p7Y2AQ","033E295438","","","false","true","false","","","action-generate-credit-memo1-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XIn2AM","0058c00000BxeO9AAJ","false","184262","a2BKU0000009wxY2AQ","false","50.0","","a2EKU0000004p572AA","0352601C4D","","","false","false","false","","","lob-loan-post-budget-administration2-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XG92AM","0058c00000BxeO9AAJ","false","184098","a2BKU0000009wxh2AA","false","0.0","","a2EKU0000004p2T2AQ","03697B5402","","","false","false","false","","","lob-sba-paycheck-entity-compliance2","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000Wzt2AE","0058c00000BxeO9AAJ","false","183090","a2BKU0000009wv32AA","false","8500060.0","a2EKU0000004om32AA","a2EKU0000004olV2AQ","03921620937670241","","","false","false","false","","","booked-certifications","<a href=""/a2GKU0000004WB0"" target=""_blank"">Certifications</a>","",""
"a2DKU0000000XK02AM","0058c00000BxeO9AAJ","false","184337","a2BKU0000009wxq2AA","false","999.0","","a2EKU0000004p6K2AQ","040572773E","","","false","false","true","","","lob-loan-pre-processing-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XIN2A2","0058c00000BxeO9AAJ","false","184236","a2BKU0000009wxo2AA","false","0.0","","a2EKU0000004p4h2AA","04106B3924","","","false","true","true","","","ongoing-fee1-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XEo2AM","0058c00000BxeO9AAJ","false","184015","a2BKU0000009wxe2AA","false","150.0","","a2EKU0000004p182AA","0412280C54","","","false","true","false","","","action-lob-loan-post-change-product","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Partner_True__c"" IS=""FALSE""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000YEp2AM","0058c00000BxeO9AAJ","false","187860","a2BKU0000009wvV2AQ","false","710.0","a2EKU0000004ovS2AQ","a2EKU0000004owj2AA","04281602764613605","","","false","false","false","","","retail-loan--post-approval-ui-hmda","<a href=""/a2GKU0000004WDQ"" target=""_blank"">HMDA</a>","",""
"a2DKU0000000Xyf2AE","0058c00000BxeO9AAJ","false","186858","a2BKU0000009wvX2AQ","true","35.0","a2EKU0000004ova2AA","a2EKU0000004ovJ2AQ","04391603130192613","","","false","false","false","","","secured-retail-loan-online-application--individual-other-involved--verification","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000X0b2AE","0058c00000BxeO9AAJ","false","183134","a2BKU0000009wv32AA","false","2510.0","a2EKU0000004om52AA","a2EKU0000004om52AA","04391620937670260","","","false","false","false","","","booked-borrowing-structure","<a href=""/a2GKU0000004WBN"" target=""_blank"">Borrowing Structure Information</a>","",""
"a2DKU0000000XOB2A2","0058c00000BxeO9AAJ","false","184596","a2BKU0000009wxZ2AQ","true","99.0","","a2EKU0000004ozS2AQ","04541A2F1D","","","false","false","false","","","pp-approval-info","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XEE2A2","0058c00000BxeO9AAJ","false","183979","a2BKU0000009wxb2AA","false","1.0","","a2EKU0000004p0Y2AQ","04581A1722","","","false","false","false","","","loan-stage-booked","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Partner_True__c"" IS=""FALSE""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XIZ2A2","0058c00000BxeO9AAJ","false","184248","a2BKU0000009wxU2AQ","false","20.0","","a2EKU0000004p4t2AA","046766647A","","","false","false","false","","","lob-loan-industry-specific-information-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000WzU2AU","0058c00000BxeO9AAJ","false","183065","a2BKU0000009wv22AA","false","3000.0","","a2EKU0000004okO2AQ","04681619447513224","","","false","false","false","","","post-approval-collateral","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XGj2AM","0058c00000BxeO9AAJ","false","184134","a2BKU0000009wxk2AA","false","8.0","","a2EKU0000004p332AA","050274215C","","","false","false","false","","","action-lob-sba-paycheck-change-product","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XJn2AM","0058c00000BxeO9AAJ","false","184324","a2BKU0000009wxn2AA","false","20.0","","a2EKU0000004p672AA","0511417A4E","","","false","false","false","","","loan-pricing-model-post-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000YC62AM","0058c00000BxeO9AAJ","false","187691","a2BKU0000009wxR2AQ","false","50.0","a2EKU0000004ovv2AA","a2EKU0000004ox82AA","05361666029062601","","","false","false","false","","","small-business-loan-online-application-business-info","<a href=""/a2GKU0000004WCd"" target=""_blank"">SBL Business Info</a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Are_you_applying_with_a_Business__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000YCI2A2","0058c00000BxeO9AAJ","false","187703","a2BKU0000009wxR2AQ","false","55.0","a2EKU0000004ovu2AA","a2EKU0000004ow32AA","05671666029062610","","","false","false","false","a2BKU0000009wxO2AQ","","small-business-loan-online-application-know-your-business","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Are_you_applying_with_a_Business__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XKJ2A2","0058c00000BxeO9AAJ","false","184356","a2BKU0000009wxm2AA","false","1300.0","","a2EKU0000004p6d2AA","057E322A11","","","false","false","false","","","sba-form-19200-lob-pwc","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XMF2A2","0058c00000BxeO9AAJ","false","184476","a2BKU0000009wxx2AA","false","4.0","","a2EKU0000004p8Z2AQ","057F715769","","","false","false","true","","","action-pp-credit-action-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XFu2AM","0058c00000BxeO9AAJ","false","184083","a2BKU0000009wxp2AA","false","300.0","","a2EKU0000004p2E2AQ","061E167905","","","false","false","false","","","lob-sba-paycheck-sba-form-912","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000Wzh2AE","0058c00000BxeO9AAJ","false","183078","a2BKU0000009wv22AA","false","10900.0","","a2EKU0000004okq2AA","06311619447513231","","","false","false","false","","","post-approval-adverse-actions","<a href=""/a2GKU0000004WAf"" target=""_blank"">Adverse Actions</a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Roll_Up_Adverse_Action__c"" GREATER=""0""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XLc2AM","0058c00000BxeO9AAJ","false","184437","a2BKU0000009wxr2AA","false","11020.0","","a2EKU0000004p7w2AA","06402F7C22","","","false","false","false","","","referral-information-approved-m-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000YCE2A2","0058c00000BxeO9AAJ","false","187699","a2BKU0000009wxR2AQ","false","100.0","a2EKU0000004ow12AA","a2EKU0000004oxA2AQ","06451666029062607","","","false","false","false","","","small-business-loan-online-application-income","<a href=""/a2GKU0000004WCe"" target=""_blank"">Online Income Information</a>","",""
"a2DKU0000000XHr2AM","0058c00000BxeO9AAJ","false","184204","a2BKU0000009wxp2AA","false","0.0","","a2EKU0000004p4B2AQ","06654D0647","","","false","false","false","","","lob-loan-post-modification-renewal-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000Wzi2AE","0058c00000BxeO9AAJ","false","183079","a2BKU0000009wv22AA","false","11000.0","","a2EKU0000004okq2AA","06811619447513232","","","false","false","false","","","post-approval-adverse-actions","<a href=""/a2GKU0000004WAf"" target=""_blank"">Adverse Actions</a>","",""
"a2DKU0000000Wz72AE","0058c00000BxeO9AAJ","false","183042","a2BKU0000009wv22AA","false","4300.0","a2EKU0000004olN2AQ","a2EKU0000004okk2AA","07061619447513216","","","false","false","false","","","post-approval-approved-fees","<a href=""/a2GKU0000004WAa"" target=""_blank"">Fees Approved</a>","",""
"a2DKU0000000XMH2A2","0058c00000BxeO9AAJ","false","184478","a2BKU0000009wxg2AA","true","0.0","","a2EKU0000004p8b2AA","0746176B2B","","","false","false","true","","","lobuopcustom-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XIG2A2","0058c00000BxeO9AAJ","false","184229","a2BKU0000009wxY2AQ","false","0.0","","a2EKU0000004p4a2AA","074C6E6022","","","false","true","true","","","booked-sba-la-injections-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XJA2A2","0058c00000BxeO9AAJ","false","184285","a2BKU0000009wxh2AA","false","2.0","","a2EKU0000004p5U2AQ","07532F486B","","","false","false","false","","","lobloanbooked-cra-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000Wzj2AE","0058c00000BxeO9AAJ","false","183080","a2BKU0000009wv22AA","true","1000.0","","a2EKU0000004olM2AQ","07631619447513232","","","false","false","false","","","post-approval-loan-information23","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000YBi2AM","0058c00000BxeO9AAJ","false","187667","a2BKU0000009wxQ2AQ","true","1837.0","","a2EKU0000004ovd2AA","07851663700614617","","","false","false","false","","","small-business-loan-post-approval-ui-policy-exceptions","<a href=""/"" target=""_blank""> </a>","{{IF=""A AND B AND C""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" NOT=""Qualification""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" NOT=""Credit Underwriting""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" NOT=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XNk2AM","0058c00000BxeO9AAJ","false","184569","a2BKU0000009wxb2AA","false","50.0","","a2EKU0000004oz12AA","07861610550757144","","","false","false","false","","","ppp-loan-submission-details","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XOc2AM","0058c00000BxeO9AAJ","false","184623","a2BKU0000009wxm2AA","false","0.0","","a2EKU0000004ozt2AA","08001C2672","","","false","false","true","","","lobloanbooked-add-entity","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000YBu2AM","0058c00000BxeO9AAJ","false","187679","a2BKU0000009wxQ2AQ","true","1.0","a2EKU0000004ox32AA","a2EKU0000004ox42AA","08191663700614629","","","false","false","false","","","small-business-loan-post-approval-ui-authorized-signers","<a href=""/a2GKU0000004WCa"" target=""_blank"">Borrowing Structure Information</a>","",""
"a2DKU0000000XFo2AM","0058c00000BxeO9AAJ","false","184077","a2BKU0000009wxa2AA","false","20.0","","a2EKU0000004p282AA","0845117964","","","false","false","false","","","lob-sba-paycheck-compliance","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XJX2A2","0058c00000BxeO9AAJ","false","184308","a2BKU0000009wxu2AA","false","10.0","","a2EKU0000004p5r2AA","085A0E2E50","","","false","true","false","","","sba-form-g845-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000Wzv2AE","0058c00000BxeO9AAJ","false","183092","a2BKU0000009wv32AA","false","8500070.0","a2EKU0000004om32AA","a2EKU0000004om92AA","08821620937670242","","","false","false","false","","","booked-loan-compliance","<a href=""/a2GKU0000004WBQ"" target=""_blank"">Loan Compliance Screen</a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__HMDA_Record_Type__c"" IS=""HMDA-Effective-2018""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XKQ2A2","0058c00000BxeO9AAJ","false","184363","a2BKU0000009wxa2AA","false","1360.0","","a2EKU0000004p6k2AA","09175C4D3B","","","false","false","false","","","syndication-participation-lob-pwc","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XM42AM","0058c00000BxeO9AAJ","false","184465","a2BKU0000009wxd2AA","true","11500.0","","a2EKU0000004p8O2AQ","095A1E7A09","","","false","false","false","","","change-of-ownership-booked-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000Wyg2AE","0058c00000BxeO9AAJ","false","183015","a2BKU0000009wv22AA","false","8500030.0","a2EKU0000004ol22AA","a2EKU0000004okR2AQ","09891619447513203","","","false","false","false","a2BKU0000009wu12AA","","post-approval-reg-w","<a href=""/"" target=""_blank""> </a>","",""
