"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Is_Booked__c","LLC_BI__Stage__c","LLC_BI__Stage_and_Status__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Is_Closed__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Activate__c","LLC_BI__Is_Covenant__c"
"a1Vbn000008IqjnEAC","","P-0000001418","a0tbn000008H0TdAAK","false","Approval / Loan Committee","","Open","42289368612454748","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnhEAE","","P-0000001447","a0tbn000008f3QTAAY","false","Processing","","Open","42307285382504822","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKneEAE","","P-0000001444","a0tbn000008f3QTAAY","false","Credit Underwriting","","Open","42307838036208184","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjYEAS","","P-0000001403","a0tbn000008H0TeAAK","false","Final Review","","Open","42311920148400908","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnfEAE","","P-0000001445","a0tbn000008f3QTAAY","false","Final Review","","Open","42321896685659483","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnkEAE","","P-0000001450","a0tbn000008f3QTAAY","true","Booked","","Open","42326302881235000","true","5.0","Complete","false","false","false","false"
"a1Vbn000008IqjzEAC","","P-0000001430","a0tbn000008H0TfAAK","false","Credit Underwriting","","Open","42328201126475064","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjfEAC","","P-0000001410","a0tbn000008H0TeAAK","true","Complete","","Paid Off","42333311739061630","true","4.0","Complete","false","false","false","false"
"a1Vbn000008IqjyEAC","","P-0000001429","a0tbn000008H0TfAAK","false","Proposal","","Open","42346690216886193","false","0.0","Application","false","false","false","false"
"a1Vbn000008kKnpEAE","","P-0000001455","a0tbn000008f3QVAAY","false","Final Review","","Open","42347769698202500","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnuEAE","","P-0000001460","a0tbn000008f3QVAAY","false","Closing","","Open","42349065783046134","false","4.0","Processing","false","false","false","false"
"a1Vbn000007ly38EAA","","P-0000001393","a0tbn000007pcYnAAI","true","Complete","","Superseded","42360125116925121","true","","","false","false","false","false"
"a1Vbn000008kKnvEAE","","P-0000001461","a0tbn000008f3QVAAY","false","Booked","","Open","42360955069231332","false","5.0","Complete","false","false","false","false"
"a1Vbn000007lxzpEAA","","P-0000001388","a0tbn000007pcYhAAI","true","Complete","","Withdrawn","42387736653082924","true","","","false","false","false","false"
"a1Vbn000007lxzqEAA","","P-0000001389","a0tbn000007pcYnAAI","true","Complete","","Charge-Off","42392758309550288","true","","","false","false","false","false"
"a1Vbn000008IqjlEAC","","P-0000001416","a0tbn000008H0TdAAK","false","Credit Underwriting","","Open","42405001107757427","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjcEAC","","P-0000001407","a0tbn000008H0TeAAK","false","Closing","","Open","42413067997295242","true","3.0","Closing","false","false","false","false"
"a1Vbn000008Iqk9EAC","","P-0000001440","a0tbn000008H0TfAAK","true","Complete","","Charge-Off","42423877773246567","true","4.0","Complete","false","false","false","false"
"a1Vbn000008Iqk7EAC","","P-0000001438","a0tbn000008H0TfAAK","true","Complete","","Paid Off","42437189036814996","true","4.0","Complete","false","false","false","false"
"a1Vbn000008Iqk5EAC","","P-0000001436","a0tbn000008H0TfAAK","false","Boarding","","Open","42441629150054946","true","3.0","Closing","false","false","false","false"
"a1Vbn000008IqkAEAS","","P-0000001441","a0tbn000008H0TfAAK","true","Complete","","Superseded","42445240949195175","true","4.0","Complete","false","false","false","false"
"a1Vbn000008IqjgEAC","","P-0000001411","a0tbn000008H0TeAAK","true","Complete","","Paid Out","42451596888552537","true","4.0","Complete","false","false","false","false"
"a1Vbn000008IqjZEAS","","P-0000001404","a0tbn000008H0TeAAK","false","Approval / Loan Committee","","Open","42455430877190057","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKo7EAE","","P-0000001473","a0tbn000008f3QUAAY","false","Complete","","Declined","42482251374158444","false","5.0","Complete","false","false","false","false"
"a1Vbn000008IqjoEAC","","P-0000001419","a0tbn000008H0TdAAK","false","Processing","","Open","42498710742688966","false","2.0","Processing","false","false","false","false"
"a1Vbn000008IqjhEAC","","P-0000001412","a0tbn000008H0TeAAK","true","Complete","","Charge-Off","42498849953667734","true","4.0","Complete","false","false","false","false"
"a1Vbn000007lxziEAA","","P-0000001381","a0tbn000007pcYmAAI","true","Complete","","Withdrawn","42504440978148069","true","","","false","false","false","false"
"a1Vbn000008IqjsEAC","","P-0000001423","a0tbn000008H0TdAAK","true","Booked","","Open","42525076716427293","true","4.0","Complete","false","false","true","true"
"a1Vbn000008IqjXEAS","","P-0000001402","a0tbn000008H0TeAAK","false","Credit Underwriting","","Open","42528026878180374","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjiEAC","","P-0000001413","a0tbn000008H0TeAAK","true","Complete","","Superseded","42549097239514139","true","4.0","Complete","false","false","false","false"
"a1Vbn000008IqjeEAC","","P-0000001409","a0tbn000008H0TeAAK","true","Booked","","Open","42562721547335659","true","4.0","Complete","false","false","true","true"
"a1Vbn000008IqjWEAS","","P-0000001401","a0tbn000008H0TeAAK","false","Proposal","","Open","42571981351958906","false","0.0","Application","false","false","false","false"
"a1Vbn000008kKnrEAE","","P-0000001457","a0tbn000008f3QVAAY","false","Complete","","Declined","42583855493631616","false","5.0","Complete","false","false","false","false"
"a1Vbn000007ly37EAA","","P-0000001392","a0tbn000007pcYnAAI","true","Complete","","Paid Out","42594119522185663","true","","","false","false","false","false"
"a1Vbn000008IqjdEAC","","P-0000001408","a0tbn000008H0TeAAK","false","Boarding","","Open","42595052855377222","true","3.0","Closing","false","false","false","false"
"a1Vbn000008Iqk6EAC","","P-0000001437","a0tbn000008H0TfAAK","true","Booked","","Open","42596099360975773","true","4.0","Complete","false","false","true","true"
"a1Vbn000008IqjrEAC","","P-0000001422","a0tbn000008H0TdAAK","false","Boarding","","Open","42604065965975896","true","3.0","Closing","false","false","false","false"
"a1Vbn000008kKniEAE","","P-0000001448","a0tbn000008f3QTAAY","false","Doc Prep","","Open","42609897463919981","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKnjEAE","","P-0000001449","a0tbn000008f3QTAAY","false","Closing","","Open","42623867158312222","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKnsEAE","","P-0000001458","a0tbn000008f3QVAAY","false","Processing","","Open","42630074661238464","false","4.0","Processing","false","false","false","false"
"a1Vbn000008IqjaEAC","","P-0000001405","a0tbn000008H0TeAAK","false","Processing","","Open","42632565977887193","false","2.0","Processing","false","false","false","false"
"a1Vbn000008kKnwEAE","","P-0000001462","a0tbn000008f3QVAAY","false","Complete","","Paid Out","42645873328937911","false","5.0","Complete","false","false","false","false"
"a1Vbn000008kKo2EAE","","P-0000001468","a0tbn000008f3QUAAY","false","Qualification","","Open","42647237968139926","false","1.0","Application","false","false","false","false"
"a1Vbn000008IqjtEAC","","P-0000001424","a0tbn000008H0TdAAK","true","Complete","","Paid Off","42648536619989446","true","4.0","Complete","false","false","false","false"
"a1Vbn000008kKo3EAE","","P-0000001469","a0tbn000008f3QUAAY","false","Final Review","","Open","42654148242738856","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000007lxzlEAA","","P-0000001384","a0tbn000007pcYmAAI","true","Booked","","Open","42661069912691303","true","","","false","false","true","true"
"a1Vbn000008IqjmEAC","","P-0000001417","a0tbn000008H0TdAAK","false","Final Review","","Open","42670197237948406","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjjEAC","","P-0000001414","a0tbn000008H0TdAAK","false","Qualification","","Open","42675642923758743","false","0.0","Application","false","false","false","false"
"a1Vbn000007ly3AEAQ","","P-0000001395","a0tbn000007pcYlAAI","true","Booked","","Open","42737780582785158","true","","","false","false","true","true"
"a1Vbn000007lxzrEAA","","P-0000001390","a0tbn000007pcYlAAI","false","Boarding","","Open","42763073530970611","true","","","false","false","false","false"
"a1Vbn000007lxzjEAA","","P-0000001382","a0tbn000007pcYnAAI","true","Booked","","Open","42765171373795013","true","","","false","false","true","true"
"a1Vbn000008kKnoEAE","","P-0000001454","a0tbn000008f3QVAAY","false","Proposal","","Open","42771060881473324","false","1.0","Application","false","false","false","false"
"a1Vbn000008IqjwEAC","","P-0000001427","a0tbn000008H0TdAAK","true","Complete","","Superseded","42779578763527605","true","4.0","Complete","false","false","false","false"
"a1Vbn000008kKngEAE","","P-0000001446","a0tbn000008f3QTAAY","false","Approval/Loan Committee","","Open","42784112132207686","false","3.0","Approval","false","false","false","false"
"a1Vbn000008kKntEAE","","P-0000001459","a0tbn000008f3QVAAY","false","Doc Prep","","Open","42803673854183773","false","4.0","Processing","false","false","false","false"
"a1Vbn000008IqjuEAC","","P-0000001425","a0tbn000008H0TdAAK","true","Complete","","Paid Out","42818559409962045","true","4.0","Complete","false","false","false","false"
"a1Vbn000008kKncEAE","","P-0000001442","a0tbn000008f3QTAAY","false","Qualification","","Open","42824191924453776","false","1.0","Application","false","false","false","false"
"a1Vbn000008kKo6EAE","","P-0000001472","a0tbn000008f3QUAAY","false","Proposal","","Open","42835318274435484","false","1.0","Application","false","false","false","false"
"a1Vbn000008kKoBEAU","","P-0000001477","a0tbn000008f3QUAAY","false","Complete","","Withdrawn","42849893141154388","false","5.0","Complete","false","false","false","false"
"a1Vbn000007ly3EEAQ","","P-0000001399","a0tbn000007pcYlAAI","true","Complete","","Superseded","42863430379180184","true","","","false","false","false","false"
"a1Vbn000008IqjvEAC","","P-0000001426","a0tbn000008H0TdAAK","true","Complete","","Charge-Off","42867702963263176","true","4.0","Complete","false","false","false","false"
"a1Vbn000008kKo0EAE","","P-0000001466","a0tbn000008f3QTAAY","false","Complete","","Declined","42890164854529083","false","5.0","Complete","false","false","false","false"
"a1Vbn000008kKnnEAE","","P-0000001453","a0tbn000008f3QVAAY","false","Credit Underwriting","","Open","42893256392090359","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnzEAE","","P-0000001465","a0tbn000008f3QVAAY","false","Complete","","Withdrawn","42894252642438335","false","5.0","Complete","false","false","false","false"
"a1Vbn000007ly3BEAQ","","P-0000001396","a0tbn000007pcYlAAI","true","Complete","","Paid Out","42899497712244036","true","","","false","false","false","false"
"a1Vbn000008kKndEAE","","P-0000001443","a0tbn000008f3QTAAY","false","Proposal","","Open","42904946551218339","false","1.0","Application","false","false","false","false"
"a1Vbn000008kKo8EAE","","P-0000001474","a0tbn000008f3QUAAY","false","Doc Prep","","Open","42935360461464610","false","4.0","Processing","false","false","false","false"
"a1Vbn000008IqjxEAC","","P-0000001428","a0tbn000008H0TfAAK","false","Qualification","","Open","42941027314850923","false","0.0","Application","false","false","false","false"
"a1Vbn000007lxzoEAA","","P-0000001387","a0tbn000007pcYmAAI","true","Complete","","Superseded","42943282293060057","true","","","false","false","false","false"
"a1Vbn000008IqjqEAC","","P-0000001421","a0tbn000008H0TdAAK","false","Closing","","Open","42949656083546025","true","3.0","Closing","false","false","false","false"
"a1Vbn000007lxzkEAA","","P-0000001383","a0tbn000007pcYnAAI","false","Boarding","","Open","42968527835317500","true","","","false","false","false","false"
"a1Vbn000008kKnqEAE","","P-0000001456","a0tbn000008f3QVAAY","false","Approval/Loan Committee","","Open","42993833183506077","false","3.0","Approval","false","false","false","false"
"a1Vbn000007lxzKEAQ","","P-0000000007","a0tbn000007pcYkAAI","true","Booked","","Hold","a1Vbn000007lxzKEAQ","false","","","false","false","false","false"
"a1Vbn000007lxzLEAQ","","P-0000000009","a0tbn000007pcYkAAI","true","Booked","","Open","a1Vbn000007lxzLEAQ","false","","","false","false","false","false"
"a1Vbn000007ly3FEAQ","","P-0000001370","a0tbn000007pcYhAAI","false","Boarding","","Open","a1Vbn000007ly3HEAQ","true","","","false","false","false","false"
"a1Vbn000007ly3GEAQ","","P-0000001371","a0tbn000007pcYhAAI","true","Booked","","Open","a1Vbn000007ly3IEAQ","true","","","false","false","true","true"
"a1Vbn000007lxzZEAQ","","P-0000001372","a0tbn000007pcYhAAI","true","Complete","","Charge-Off","a1Vbn000007ly3JEAQ","true","","","false","false","false","false"
"a1Vbn000007lxzaEAA","","P-0000001373","a0tbn000007pcYhAAI","true","Complete","","Paid Out","a1Vbn000007ly3KEAQ","true","","","false","false","false","false"
"a1Vbn000007lxzbEAA","","P-0000001374","a0tbn000007pcYhAAI","true","Complete","","Superceded","a1Vbn000007ly3LEAQ","true","","","false","false","false","false"
"a1Vbn000007lxzcEAA","","P-0000001375","a0tbn000007pcYfAAI","false","Boarding","","Open","a1Vbn000007ly3MEAQ","true","","","false","false","false","false"
"a1Vbn000007lxzdEAA","","P-0000001376","a0tbn000007pcYfAAI","true","Booked","","Open","a1Vbn000007ly3NEAQ","true","","","false","false","true","true"
"a1Vbn000007lxzeEAA","","P-0000001377","a0tbn000007pcYfAAI","true","Complete","","Charge-Off","a1Vbn000007ly3OEAQ","true","","","false","false","false","false"
"a1Vbn000007lxzfEAA","","P-0000001378","a0tbn000007pcYfAAI","true","Complete","","Paid Out","a1Vbn000007ly3PEAQ","true","","","false","false","false","false"
"a1Vbn000007lxzWEAQ","","P-0000001367","a0tbn000007pcYkAAI","true","Booked","","Hold","a1Vbn000007ly3QEAQ","false","","","false","false","false","false"
"a1Vbn000007lxzXEAQ","","P-0000001368","a0tbn000007pcYkAAI","true","Booked","","Open","a1Vbn000007ly3REAQ","false","","","false","false","false","false"
"a1Vbn000007lxzgEAA","","P-0000001379","a0tbn000007pcYfAAI","true","Complete","","Superceded","a1Vbn000007ly3SEAQ","true","","","false","false","false","false"
"a1Vbn000008kKoCEAU","","P-0000001478","a0tbn000008f3QWAAY","false","Complete","","Paid Out","jj9d83j09secw84","false","5.0","Complete","false","false","false","false"
"a1Vbn000008kKoDEAU","","P-0000001479","a0tbn000008f3QWAAY","false","Proposal","","Open","jj9d83j09secw85","false","1.0","Application","false","false","false","false"
"a1Vbn000008kKoEEAU","","P-0000001480","a0tbn000008f3QWAAY","false","Final Review","","Open","jj9d83j09secw86","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008kKoFEAU","","P-0000001481","a0tbn000008f3QWAAY","false","Approval/Loan Committee","","Open","jj9d83j09secw87","false","3.0","Approval","false","false","false","false"
"a1Vbn000008kKoGEAU","","P-0000001482","a0tbn000008f3QWAAY","false","Complete","","Declined","jj9d83j09secw88","false","5.0","Complete","false","false","false","false"
"a1Vbn000008kKoHEAU","","P-0000001483","a0tbn000008f3QWAAY","false","Processing","","Open","jj9d83j09secw89","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKoIEAU","","P-0000001484","a0tbn000008f3QWAAY","false","Complete","","Withdrawn","jj9d83j09secw90","false","5.0","Complete","false","false","false","false"
"a1Vbn000008kKoJEAU","","P-0000001485","a0tbn000008f3QWAAY","false","Doc Prep","","Open","jj9d83j09secw91","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKoKEAU","","P-0000001486","a0tbn000008f3QWAAY","false","Closing","","Open","jj9d83j09secw92","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKoLEAU","","P-0000001487","a0tbn000008f3QWAAY","false","Booked","","Open","jj9d83j09secw93","false","5.0","Complete","false","false","false","false"
"a1Vbn000008kKoMEAU","","P-0000001488","a0tbn000008f3QWAAY","false","Qualification","","Open","jj9d83j09secw94","false","1.0","Application","false","false","false","false"
"a1Vbn000008kKoNEAU","","P-0000001489","a0tbn000008f3QWAAY","false","Credit Underwriting","","Open","jj9d83j09secw95","false","2.0","Underwriting","false","false","false","false"
