"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Row_Number__c","LLC_BI__Title__c","LLC_BI__lookupKey__c","LLC_BI__Group_Type__c","LLC_BI__Is_Summary_Group__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Total_Type__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Color__c"
"a16bn00000108d4AAA","","Total Pro Forma DS","a19bn000001uMdPAAU","false","false","false","true","","30.0","Pro Forma Debt Service","42017108418753674","Financial","false","Debt Service","false","","","","Standard","false","","false",""
"a16bn00000108IWAAY","","Net Farm Income","a19bn000001uMUTAA2","false","false","false","true","","70.0","Farm Income","42020288825167884","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ZqAAI","","Net Cash Provided by Financing","a19bn000001uMUzAAM","false","true","false","true","","71.0","Cash Provided by Financing","42020311423315643","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ezAAA","","Change in Net Intangibles","a19bn000001uMdZAAU","false","false","false","true","","141.0","Change in Net Intangibles","42020686727650154","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108gHAAQ","","Estimated Value","a19bn000001uMdgAAE","false","false","false","true","","8000.0","Estimated Value","42020776820091236","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108cJAAQ","","Net Profit/(Loss)","a19bn000001uMdIAAU","false","true","false","true","","70.0","Net Profit/(Loss)","42020912471766237","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108dFAAQ","","Net Cash Income","a19bn000001uMdQAAU","false","true","false","true","","100.0","Net Cash Income","42021911595128920","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108bDAAQ","","Total Taxes Paid","a19bn000001uMV6AAM","false","false","false","true","","85.0","Taxes Paid","42022446136432261","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108aEAAQ","","Total Other Non-Current Assets","a19bn000001uMV1AAM","false","false","false","true","","20.0","Other Non-Current Assets","42024311777662746","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108WoAAI","","Income/(Loss) from REMICS","a19bn000001uMUpAAM","false","false","false","false","","50.0","Income/(Loss) from Real Estate Mortgage Investment Conduits","42026303096664249","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ZnAAI","","Change in Net Intangibles","a19bn000001uMUzAAM","false","false","false","true","","31.0","Change in Net Intangibles","42026397997138926","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108W4AAI","","Deductions","a19bn000001uMUjAAM","false","false","false","true","","30.0","Deductions","42027631129189426","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108WJAAY","","Rental Real Estate Income","a19bn000001uMUlAAM","false","false","false","true","","10.0","Rental Real Estate Income","42028102407887780","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108IaAAI","","Accrual Debt Service","a19bn000001uMUTAA2","false","false","false","true","","97.5","Accrual Debt Service","42031230089226123","Financial","false","","false","","","","Standard","false","","false",""
"a16bn00000108VCAAY","","Total Liabilities","a19bn000001uMUdAAM","false","true","false","true","","60.0","Total Liabilities (SubT)","42031530976963424","Financial","false","Total Liabilities","false","","","","Standard","false","","false",""
"a16bn00000108V3AAI","","Gross Cash Flow (subT)","a19bn000001uMUbAAM","false","false","false","true","","70.0","Gross Cash Flow (Subtotal)","42031917807374217","Financial","false","Cash Flow","false","","","","Standard","false","","false",""
"a16bn00000108c1AAA","","Total Assets","a19bn000001uMdGAAU","false","true","false","true","","30.0","Total Assets","42033736906888553","Financial","false","Total Assets","false","","","","Standard","false","","false",""
"a16bn00000108c4AAA","","Total Other Assets","a19bn000001uMdGAAU","false","false","false","true","","20.0","Other Assets","42035581648098537","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108abAAA","","Cash Flow","a19bn000001uMV2AAM","false","false","false","true","","70.0","Cash Flow","42036165618102399","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108fpAAA","","Gross Fixed Assets","a19bn000001uMdfAAE","false","false","false","true","","13.75","Gross Fixed Assets","42037235039626120","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108dpAAA","","Extraordinary and Non-Cash Items","a19bn000001uMdSAAU","false","false","false","true","","161.0","Extraordinary and Non-Cash Items","42038260923002367","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108eAAAQ","","Unexplained Difference","a19bn000001uMdUAAU","false","false","false","true","","51.0","Unexplained Difference","42039520825157807","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108bGAAQ","","Total Cash Collected from Sales","a19bn000001uMdBAAU","false","false","false","true","","10.0","Cash Collected from Sales","42039838499007529","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108XKAAY","","Cash Flow Coverage","a19bn000001uMUvAAM","false","false","false","true","","41.0","Cash Flow Coverage","42041699086251785","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108ZtAAI","","Net/Sales/Revenue","a19bn000001uMV0AAM","false","false","false","true","","10.0","Sales","42041846286779299","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108gOAAQ","","Effective Gross Income","a19bn000001uMdhAAE","false","false","false","true","","3000.0","Effective Gross Income","42042373976708451","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108dnAAA","","Change in Net Intangibles","a19bn000001uMdSAAU","false","false","false","true","","141.0","Change in Net Intangibles","42042805586749591","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108W9AAI","","Shareholder Pro Rata Share Items","a19bn000001uMUjAAM","false","false","false","true","","70.0","Shareholder Pro Rata Share Items","42043758080970147","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108cWAAQ","","Net Farm Income/(Loss)","a19bn000001uMdKAAU","false","true","false","true","","30.0","Net Farm Income/(Loss)","42043783317622273","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108fFAAQ","","Activity","a19bn000001uMdaAAE","false","false","false","true","","61.0","Activity","42043971898039451","Decimal","false","None","true","","","","Standard","false","","false",""
"a16bn00000108evAAA","","CASH AFTER DEBT AMORT","a19bn000001uMdZAAU","false","true","false","true","","111.0","Cash After Debt Amort","42044466318799150","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108eXAAQ","","Profit Before Extraordinary Items","a19bn000001uMdXAAU","false","true","false","true","","100.0","Profit Before Extraordinary Items","42044775931922490","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108buAAA","","Book Income Taxes","a19bn000001uMdEAAU","false","false","false","true","","70.0","Book Income Taxes","42045339232913156","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108e4AAA","","Growth (%)","a19bn000001uMdTAAU","false","false","false","true","","71.0","Growth (%)","42045770598728661","Percentage","false","None","true","","","","Standard","false","","false",""
"a16bn00000108WyAAI","","Cash Flow Coverage","a19bn000001uMUsAAM","false","false","false","true","","40.0","Cash Flow Coverage","42045998388581972","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108dcAAA","","Taxes Paid","a19bn000001uMdSAAU","false","false","false","true","","61.0","Taxes Paid","42046252363911252","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108egAAA","","Total Shareholders Equity","a19bn000001uMdYAAU","false","false","false","true","","70.0","EQUITY","42046740833139189","Financial","false","Total Equity","false","","","","Standard","false","","false",""
"a16bn00000108aVAAQ","","Total Vacancy","a19bn000001uMV2AAM","false","false","false","true","","15.0","Vacancy Amount","42046740887284265","Percentage","false","None","true","","","","Standard","false","","false",""
"a16bn00000108VJAAY","","Leverage","a19bn000001uMUeAAM","false","false","false","true","","50.0","Leverage","42048261040793549","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108XNAAY","","Net Cash from Funding","a19bn000001uMUtAAM","false","false","false","true","","210.0","Cash from Funding","42049042469228401","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108XIAAY","","Historical Debt Service","a19bn000001uMUvAAM","false","false","false","true","","21.0","Historical Debt Service","42050526769431370","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108WzAAI","","Total Cash Collected from Sales","a19bn000001uMUtAAM","false","false","false","true","","10.0","Cash Collected from Sales","42053977794890033","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108dGAAQ","","Cash Effect Debt Amortization","a19bn000001uMdQAAU","false","false","false","true","","110.0","Debt Amortization","42054360948296131","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ZvAAI","","Gross Profit","a19bn000001uMV0AAM","false","true","false","true","","30.0","Gross Profit","42055668142317345","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108eeAAA","","Total Non-Current Liabilities","a19bn000001uMdYAAU","false","false","false","true","","50.0","NON-CURRENT LIABILITIES","42056250032197753","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108aLAAQ","","Total Other Current Liabilities","a19bn000001uMV1AAM","false","false","false","true","","40.0","Other Current Liabilities","42060337680222585","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108eKAAQ","","Net Change in Borrowing","a19bn000001uMdWAAU","false","false","false","true","","51.0","Change in Borrowing","42060390475032798","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108XEAAY","","Total Extraordinary & Non-Cash Items","a19bn000001uMUtAAM","false","false","false","true","","170.0","Extraordinary & Non-Cash Items","42060446102752023","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108cXAAQ","","Total Farm Expenses","a19bn000001uMdKAAU","false","false","false","true","","20.0","Farm Expenses","42060554277573406","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108coAAA","","Coverage","a19bn000001uMdNAAU","false","false","false","true","","80.0","Coverage","42060616215433002","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108fJAAQ","","Total Adjustments to Net Worth","a19bn000001uMdbAAE","false","false","false","true","","31.0","Adjustments to Net Worth","42063510840686859","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108XGAAY","","Total Changes in Equity Accounts","a19bn000001uMUuAAM","false","false","false","true","","30.0","Changes in Equity Accounts","42063657807280141","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108cNAAQ","","Total Cost of Goods Sold","a19bn000001uMdIAAU","false","false","false","true","","20.0","Cost of Goods Sold","42065286762229107","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108gzAAA","","Depreciation & Amortization","a19bn000001uMdjAAE","false","false","false","true","","8000.0","Depreciation & Amortization","42066129644917193","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ItAAI","","Leverage","a19bn000001uMUVAA2","false","false","false","true","","50.0","Leverage","42068181686069055","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108aPAAQ","","Total Shareholders Equity","a19bn000001uMV1AAM","false","false","false","true","","70.0","Equity","42068863604086693","Financial","false","Total Equity","false","","","","Standard","false","","false",""
"a16bn00000108g5AAA","","Net Worth Calcs","a19bn000001uMdfAAE","false","false","false","true","","85.0","Net Worth Calcs","42069066714241818","Financial","false","Adjusted Total Equity","true","","","","Standard","false","","false",""
"a16bn00000108W7AAI","","International Transactions","a19bn000001uMUjAAM","false","false","false","true","","45.0","International Transactions","42071124520964601","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108WgAAI","","Gross Income","a19bn000001uMUoAAM","false","false","false","true","","40.0","Gross Income","42072593586691800","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108bEAAQ","","Tax Detail","a19bn000001uMV6AAM","false","false","false","true","","87.5","Tax Detail","42073953782139117","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108bBAAQ","","Profit Before Taxes","a19bn000001uMV6AAM","false","false","false","false","","70.0","Profit Before Taxes","42074272585317340","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108afAAA","","Loan Assumption 2","a19bn000001uMV2AAM","false","false","false","false","","75.0","Loan Assumption 2","42075065152313139","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108gYAAQ","","PGI","a19bn000001uMdiAAE","false","false","false","true","","1000.0","Potential Gross Income","42077384695665885","Financial","false","None","false","","LLC_BI.Spreads.PGI_Record_Total.Init","LLC_BI.Spreads.PGI_Record_Total.Update","Standard","false","","false",""
"a16bn00000108XZAAY","","CASH AFTER OPERATIONS","a19bn000001uMUwAAM","false","true","false","true","","41.0","Cash After Operations","42077843241754744","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108V8AAI","","Total Non-Current Assets","a19bn000001uMUdAAM","false","false","false","true","","20.0","Non-Current Assets","42077899166301677","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108IQAAY","","Capital Expenditure","a19bn000001uMUSAA2","false","false","false","true","","100.0","Capex","42081219849447709","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ViAAI","","Cash After Operations","a19bn000001uMUhAAM","false","false","false","true","","50.0","Cash After Operations","42082745410298384","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108cVAAQ","","Recurring Farm Income","a19bn000001uMdKAAU","false","false","false","true","","10.0","Recurring Farm Income","42084769216597312","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108JUAAY","","Term Debt Service","a19bn000001uMUZAA2","false","false","false","true","","120.0","Term Debt Service","42085215176220322","Financial","false","Debt Service","false","","","","Standard","false","","false",""
"a16bn00000108WQAAY","","Total Stated Net Worth (subT)","a19bn000001uMUmAAM","false","true","false","true","","50.0","Stated Net Worth (Subtotal)","42085658571059736","Financial","false","Total Equity","false","","","","Standard","false","","false",""
"a16bn00000108gSAAQ","","Net Operating Income","a19bn000001uMdhAAE","false","false","false","true","","5000.0","Net Operating Income","42085722714464392","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108IPAAY","","End Cash on Hand/LoC Balance","a19bn000001uMUSAA2","false","false","false","true","","90.0","End Cash on Hand/LoC Balance","42085944210466073","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ahAAA","","Loan Metrics","a19bn000001uMV2AAM","false","false","false","true","","90.0","Loan Metrics","42085954747524712","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108VRAAY","","Total Other Income/(Expense)","a19bn000001uMUfAAM","false","false","false","true","","35.0","Other Income/(Expense)","42086020812855683","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108c8AAA","","Total Debt Service","a19bn000001uMdHAAU","false","false","false","true","","100.0","Debt Service","42088039285440683","Financial","false","Debt Service","false","","","","Standard","false","","false",""
"a16bn00000108e0AAA","","Leverage","a19bn000001uMdTAAU","false","false","false","true","","31.0","Leverage","42091917211387973","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108eaAAA","","Total Current Assets","a19bn000001uMdYAAU","false","false","false","true","","10.0","CURRENT ASSETS","42093744676073960","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108UvAAI","","Total Adjustments to Net Worth","a19bn000001uMUaAAM","false","false","false","true","","60.0","Adjustments to Net Worth","42094055306922268","Financial","false","Total Equity","false","","","","Standard","false","","false",""
"a16bn00000108WnAAI","","Income/(Loss) from Estates and Trusts","a19bn000001uMUpAAM","false","false","false","false","","40.0","Income/(Loss) from Estates and Trusts","42094983927426437","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108fsAAA","","Total Gross Intangibles","a19bn000001uMdfAAE","false","false","false","true","","22.5","Gross Intangibles","42095794339195828","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108JLAAY","","Net Worth Recon - Cost Basis","a19bn000001uMUXAA2","false","false","false","false","","10.0","Net Worth Recon - Cost Basis","42097554940414416","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108e3AAA","","Activity","a19bn000001uMdTAAU","false","false","false","true","","61.0","Activity","42098688723697985","Decimal","false","None","true","","","","Standard","false","","false",""
"a16bn00000108edAAA","","Total Current Liabilities","a19bn000001uMdYAAU","false","false","false","true","","40.0","CURRENT LIABILITIES","42102983620417055","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108fyAAA","","Total Other Current Liabilities","a19bn000001uMdfAAE","false","false","false","true","","40.0","Other Current Liabilities","42103143533524795","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108fqAAA","","Net Fixed Assets","a19bn000001uMdfAAE","false","false","false","true","","15.0","Net Fixed Assets","42103167371334758","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108eVAAQ","","Profit Before Taxes","a19bn000001uMdXAAU","false","true","false","true","","80.0","Profit Before Taxes","42103379587475932","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108e8AAA","","Total Adjustments to Net Worth","a19bn000001uMdUAAU","false","false","false","true","","31.0","Adjustments to Net Worth","42104496465864188","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108VUAAY","","Total Operating Expenses","a19bn000001uMUfAAM","false","false","false","true","","40.0","Operating Expenses","42108598172194680","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108VKAAY","","Coverage","a19bn000001uMUeAAM","false","false","false","true","","80.0","Coverage","42109158279076198","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108baAAA","","Schedule M-1 Group 2","a19bn000001uMdCAAU","false","false","false","true","","17.5","Schedule M-1 Group 2","42109643717974128","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108fVAAQ","","Net Change in Borrowing","a19bn000001uMddAAE","false","false","false","true","","51.0","Change in Borrowing","42112012626635531","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108XLAAY","","Net Change in Borrowing","a19bn000001uMUtAAM","false","false","false","true","","190.0","Change in Borrowing","42112529584343167","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108dYAAQ","","Total Unexplained Difference","a19bn000001uMdRAAU","false","false","false","true","","60.0","Unexplained Difference","42113486014208151","Financial","false","None","false","","","","Standard","false","","true",""
"a16bn00000108ZxAAI","","Net Operating Profit","a19bn000001uMV0AAM","false","true","false","true","","50.0","Operating Profit","42113512763173300","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108gQAAQ","","Total Operating Expenses","a19bn000001uMdhAAE","false","false","false","true","","4000.0","Operating Expenses","42115927026853362","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108I4AAI","","Total Assets","a19bn000001uMURAA2","false","false","false","true","","40.0","Total Assets (SubT)","42116623918468018","Financial","false","Total Assets","false","","","","Standard","false","","false",""
"a16bn00000108a5AAA","","Net Profit","a19bn000001uMV0AAM","false","false","false","true","","120.0","Net Profit","42118466229439331","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108W2AAI","","Schedule M-2 Analysis of Change in Capital Accounts","a19bn000001uMUiAAM","false","false","false","true","","19.84375","Schedule M-2 Analysis of Change in Capital Accounts","42121103822703737","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108V4AAI","","Total Debt Service","a19bn000001uMUbAAM","false","false","false","true","","80.0","Debt Service","42123279358765230","Financial","false","Debt Service","false","","","","Standard","false","","false",""
"a16bn00000108bcAAA","","Reconciliation Total","a19bn000001uMdCAAU","false","true","false","true","","29.84375","Schedule M-3 Part 2","42125063219443794","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108ICAAY","","Total Personal Liabilities","a19bn000001uMURAA2","false","false","false","true","","100.0","Personal Liabilities","42126142350172373","Financial","false","","false","","","","Standard","false","","false",""
"a16bn00000108exAAA","","Extraordinary and Non-Cash Items","a19bn000001uMdZAAU","false","false","false","true","","161.0","Extraordinary and Non-Cash Items","42127248769454618","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108JTAAY","","Cap Rplc & Term Debt Repay Cap","a19bn000001uMUZAA2","false","false","false","true","","110.0","Cap Rplc & Term Debt Repay Cap","42128054514948429","Financial","false","Cash Flow","false","","","","Standard","false","","false",""
"a16bn00000108fHAAQ","","Beginning Net Worth","a19bn000001uMdbAAE","false","false","false","true","","1.0","Beginning Net Worth","42129932407639596","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108VBAAY","","Total Non-Current Liabilities","a19bn000001uMUdAAM","false","false","false","true","","50.0","Non-Current Liabilities","42130884670010132","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108XkAAI","","Cash Paid for Plant and Investments","a19bn000001uMUwAAM","false","true","false","true","","151.0","Cash Paid for Plant and Investments","42133285085988096","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108fWAAQ","","Net Change in Other Funding","a19bn000001uMddAAE","false","false","false","true","","61.0","Change in Other Funding","42133793621654457","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108VOAAY","","Net Sales/Revenue","a19bn000001uMUfAAM","false","false","false","true","","10.0","Sales","42134059557875410","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108WDAAY","","Income (Loss) Reconciliation","a19bn000001uMUjAAM","false","false","false","true","","80.0","Income (Loss) Reconciliation","42135700876798981","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108VGAAY","","Prior Period Values","a19bn000001uMUeAAM","false","false","false","false","","20.0","Prior Period Values","42142463977098941","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108IqAAI","","Prior Period Values","a19bn000001uMUVAA2","false","false","false","true","","20.0","Prior Period Values","42142618565109364","Financial","false","None","true","","","","Standard","false","","false",""
"a16bn00000108VyAAI","","Schedule M-1 Group 2","a19bn000001uMUiAAM","false","false","false","true","","17.5","Schedule M-1 Group 2","42142690982458951","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108enAAA","","Cash Paid for Operating Costs","a19bn000001uMdZAAU","false","false","false","true","","31.0","Cash Paid for Operating Costs","42145171332049809","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108I3AAI","","Total Intermediate Assets","a19bn000001uMURAA2","false","false","false","true","","20.0","Intermediate Assets","42145825360752545","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108WqAAI","","Recurring Farm Income","a19bn000001uMUqAAM","false","false","false","true","","10.0","Recurring Farm Income","42149543493732939","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108XbAAI","","Taxes Paid","a19bn000001uMUwAAM","false","false","false","true","","61.0","Taxes Paid","42150054264829104","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108fnAAA","","Total Other Current Assets","a19bn000001uMdfAAE","false","false","false","true","","10.0","Other Current Assets","42152089077242861","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108X2AAI","","Cash After Operations","a19bn000001uMUtAAM","false","true","false","true","","50.0","Cash After Operations","42153786092146624","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108VjAAI","","Total Other Income/(Expense)","a19bn000001uMUhAAM","false","false","false","true","","60.0","Other Income/(Expense)","42154335002621319","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108d6AAA","","Total Cash Collected from Sales","a19bn000001uMdQAAU","false","false","false","true","","10.0","Cash Collected from Sales","42154883257577151","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108g6AAA","","Total Operating Expenses","a19bn000001uMdgAAE","false","false","false","true","","4000.0","Operating Expenses","42155554878480098","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108gTAAQ","","Excess  Cash Flow","a19bn000001uMdhAAE","false","false","false","true","","6000.0","Excess  Cash Flow","42155574117733181","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108c6AAA","","Total Adjustments to NW","a19bn000001uMdGAAU","false","false","false","true","","60.0","Adjustments to Net Worth","42156245030630951","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108b7AAA","","Gross Profit","a19bn000001uMV6AAM","false","true","false","true","","30.0","Gross Profit","42156568959405116","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108gAAAQ","","Net Profit","a19bn000001uMdeAAE","false","false","false","true","","120.0","Net Profit","42158289182914011","Financial","false","None","false","","","","Standard","false","","false",""
