"Id","IsDeleted","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c","Name"
"a3fDV000001T9yrYAC","false","a3YDV000000vWf52AE","a18DV0000033qMhYAI","1ba2d73f-0eab-492a-9bb5-8f540dadbf65","a3jbn000000le1t"
"a3fDV000001T9g4YAC","false","a3YDV000000vWfF2AU","a18DV0000033qMTYAY","1de1f8b6-13b2-420c-9f8d-d7985fd6c355","a4Wbn000000hSHB"
"a3fDV000001T9CYYA0","false","a3YDV000000vWet2AE","a18DV0000033b3gYAA","1ef02b47-2e79-4640-b0b9-68be6ef1d7de","a5x8c0000019SXj"
"a3fDV000001T9D3YAK","false","a3YDV000000vWeu2AE","a18DV0000033bHPYAY","2.077713740620268","a4T8c000000RKfp"
"a3fDV000001T9xhYAC","false","a3YDV000000vWfF2AU","a18DV0000033qWGYAY","2077ef02-a796-48e1-8f93-e1e993981938","a4Wbn000000hSI6"
"a3fDV000001T9BxYAK","false","a3YDV000000vWeu2AE","a18DV0000033b2sYAA","20b42979-4390-4b23-a559-4005eed23c6e","a5x8c0000019SX8"
"a3fDV000001T9M2YAK","false","a3YDV000000vXFS2A2","a18DV0000033r1iYAA","2154c17c-60f5-4529-b764-9a068e13ed47","a3fbn000000fu0d"
"a3fDV000001T9CPYA0","false","a3YDV000000vWet2AE","a18DV0000033b3GYAQ","23358c75-51e7-42f8-9278-36cebfca8e6c","a5x8c0000019SXa"
"a3fDV000001T9C6YAK","false","a3YDV000000vWeu2AE","a18DV0000033b30YAA","256de335-63f2-4677-a118-bb5617fae993","a5x8c0000019SXH"
"a3fDV000001T9CIYA0","false","a3YDV000000vWet2AE","a18DV0000033b3DYAQ","25932189-2d6f-460b-9bbb-07293904be76","a5x8c0000019SXT"
"a3fDV000001T9XqYAK","false","a3YDV000000vWfN2AU","a18DV0000033qWfYAI","26ba4c61-9af0-4e4f-803d-816f9f0c68c8","a3jbn000000ldzk"
"a3fDV000001T9YCYA0","false","a3YDV000000vXGA2A2","a18DV0000033qW5YAI","275c3351-275f-4184-b8ed-9aa60252e853","a5xbn000000JoxS"
"a3fDV000001T9PGYA0","false","a3YDV000000vWfZ2AU","a18DV0000033qhwYAA","2a35587c-a73b-4579-a193-77121ebac10f","a3fbn000000fu2V"
"a3fDV000001T9XQYA0","false","a3YDV000000vWfO2AU","a18DV0000033bXvYAI","2a46f31c-e15c-4f30-9ab9-36497f87a875","a3jbn000000le3d"
"a3fDV000001T9eeYAC","false","a3YDV000000vWeu2AE","a18DV0000033qx0YAA","2c555d31-e9ce-482b-b10b-456a933f3271","a3jbn000000le0f"
"a3fDV000001T9CKYA0","false","a3YDV000000vWet2AE","a18DV0000033b3FYAQ","2eabf8aa-195e-4b0f-9f00-272c33da270a","a5x8c0000019SXV"
"a3fDV000001T9NQYA0","false","a3YDV000000vXG22AM","a18DV0000033r1jYAA","2ee15010-187f-4f0c-8cb4-6a85b7096e89","a3fbn000000fu12"
"a3fDV000001T9cVYAS","false","a3YDV000000vWfR2AU","a18DV0000033qfpYAA","311a6fbe-2cdb-4c19-98b7-466884939601","a3fbn000000fu38"
"a3fDV000001T9r3YAC","false","a3YDV000000vXGV2A2","a18DV0000033qsYYAQ","318d5465-12ab-47ad-8d9d-bc1a666cf895","a3fbn000000fu3E"
"a3fDV000001T9CWYA0","false","a3YDV000000vWet2AE","a18DV0000033b3QYAQ","319033e2-c1a0-4095-98a0-a0855c5e3a8f","a5x8c0000019SXh"
"a3fDV000001T9L5YAK","false","a3YDV000000vWf12AE","a18DV0000033r5FYAQ","35dda343-6509-49f4-835e-31d393212945","a3jbn000000ldzd"
"a3fDV000001T9h3YAC","false","a3YDV000000vWf62AE","a18DV0000033qMpYAI","360920b9-6167-4fae-b3c3-98540e89c4b2","a3jbn000000le10"
"a3fDV000001T9C3YAK","false","a3YDV000000vWeu2AE","a18DV0000033b2yYAA","36d0566d-bafe-420e-9c67-b72e377e979b","a5x8c0000019SXE"
"a3fDV000001T9QWYA0","false","a3YDV000000vWfR2AU","a18DV0000033r1nYAA","37052c39-ac0e-4915-af42-2e87b5fc9478","a3fbn000000fu2u"
"a3fDV000001T9ytYAC","false","a3YDV000000vWf82AE","a18DV0000033qMiYAI","3b16f2aa-62dd-4662-a30d-92daaf3e4dbd","a3jbn000000le1u"
"a3fDV000001T9X0YAK","false","a3YDV000000vWfP2AU","a18DV0000033r5IYAQ","3b2a4081-8806-4888-94c9-82e0398ec71e","a4Wbn000000hSIE"
"a3fDV000001T9CFYA0","false","a3YDV000000vWex2AE","a18DV0000033b3AYAQ","3c53aa71-122f-424d-9182-1980307117cd","a5x8c0000019SXQ"
"a3fDV000001T9nhYAC","false","a3YDV000000vWfF2AU","a18DV0000033bXyYAI","3d16eaf5-f547-4194-ae2f-c9d0650fc432","a3jbn000000le3m"
"a3fDV000001T9NPYA0","false","a3YDV000000vXG12AM","a18DV0000033qiCYAQ","3e14b0a6-9a17-4366-b90b-4314b2bde7dc","a3fbn000000fu14"
"a3fDV000001T9gTYAS","false","a3YDV000000vWfO2AU","a18DV0000033qwBYAQ","4.907047069009352","a3fbn000000fu4O"
"a3fDV000001T9AiYAK","false","a3YDV000000vWf12AE","a18DV0000033b1JYAQ","42001148253103908","a4T8c000000RKh8"
"a3fDV000001T9EXYA0","false","a3YDV000000vWfB2AU","a18DV0000033bJVYAY","42001547333115702","a6A8c000000DJqe"
"a3fDV000001T9KtYAK","false","a3YDV000000vXJe2AM","a18DV0000033r48YAA","42002627748818817","Book Depreciation and Depletion"
"a3fDV000001T9UfYAK","false","a3YDV000000vXDz2AM","a18DV0000033r8OYAQ","42002974044073948","a5xbn000000Jorl"
"a3fDV000001T9FcYAK","false","a3YDV000000vWf12AE","a18DV0000033bKqYAI","42003538070411365","a4T8c000000RKh7"
"a3fDV000001T9gBYAS","false","a3YDV000000vXI32AM","a18DV0000033qwVYAQ","42004827692314123","a5xbn000000Jp2S"
"a3fDV000001T9G3YAK","false","a3YDV000000vWf52AE","a18DV0000033bPBYAY","42004838634453620","a5x8c0000019SWF"
"a3fDV000001T9SjYAK","false","a3YDV000000vWfL2AU","a18DV0000033r7QYAQ","42004917388097352","a9Ibn000001OAiK"
"a3fDV000001T9MXYA0","false","a3YDV000000vWfR2AU","a18DV0000033qu9YAA","42004950787191271","a3fbn000000fu0n"
"a3fDV000001T9ocYAC","false","a3YDV000000vXHT2A2","a18DV0000033bYEYAY","42005067749785657","a5xbn000000Jp3l"
"a3fDV000001T9ryYAC","false","a3YDV000000vXDz2AM","a18DV0000033qTnYAI","42005157975921176","a5xbn000000JoyV"
"a3fDV000001T9ioYAC","false","a3YDV000000vWf82AE","a18DV0000033qPDYAY","42005289273910646","a3jbn000000ldvz"
"a3fDV000001T9e1YAC","false","a3YDV000000vXJM2A2","a18DV0000033qnjYAA","42005521167689361","a5xbn000000JouY"
"a3fDV000001T9NDYA0","false","a3YDV000000vXFu2AM","a18DV0000033qiTYAQ","42005525296734278","a5xbn000000JooZ"
"a3fDV000001T9MYYA0","false","a3YDV000000vXFg2AM","a18DV0000033quAYAQ","42005924651224435","PFS - Total Long Term Liabs"
"a3fDV000001T9JXYA0","false","a3YDV000000vXEq2AM","a18DV0000033qUfYAI","42006515255709480","a5xbn000000JouI"
"a3fDV000001T9AhYAK","false","a3YDV000000vWf12AE","a18DV0000033b1IYAQ","42006771408039177","a3f8c000000BtOh"
"a3fDV000001T9LyYAK","false","a3YDV000000vXFO2A2","a18DV0000033qrJYAQ","42006912818009067","a5xbn000000Jont"
"a3fDV000001T9KeYAK","false","a3YDV000000vWet2AE","a18DV0000033qUdYAI","42007021442705426","a3jbn000000ldzV"
"a3fDV000001T9RgYAK","false","a3YDV000000vXGk2AM","a18DV0000033r6AYAQ","42007111795180129","a5xbn000000Jout"
"a3fDV000001T9kfYAC","false","a3YDV000000vXEP2A2","a18DV0000033qruYAA","42007989175371734","a5xbn000000JomL"
"a3fDV000001T9VWYA0","false","a3YDV000000vWf62AE","a18DV0000033qbBYAQ","42008349943930088","a3fbn000000fu4E"
"a3fDV000001T9bvYAC","false","a3YDV000000vXJX2A2","a18DV0000033qeyYAA","42008559008898611","a5xbn000000Jovo"
"a3fDV000001T9x2YAC","false","a3YDV000000vWfJ2AU","a18DV0000033qMKYAY","42008642009258345","a5xbn000000Jp53"
"a3fDV000001T9HUYA0","false","a3YDV000000vWfL2AU","a18DV0000033bQoYAI","42009060195795353","a5x8c0000019SXd"
"a3fDV000001T9MsYAK","false","a3YDV000000vXFm2AM","a18DV0000033r1SYAQ","42009711125713173","a5xbn000000JooG"
"a3fDV000001T9DFYA0","false","a3YDV000000vWet2AE","a18DV0000033bHdYAI","42010706101681554","a4T8c000000RKg2"
"a3fDV000001T9bKYAS","false","a3YDV000000vXDz2AM","a18DV0000033qymYAA","42011743364532367","a5xbn000000Jooj"
"a3fDV000001T9NAYA0","false","a3YDV000000vXFp2AM","a18DV0000033qiQYAQ","42012120490813337","a3fbn000000fu0z"
"a3fDV000001T9oeYAC","false","a3YDV000000vXHT2A2","a18DV0000033qpHYAQ","42012283481901670","a5xbn000000Jp4s"
"a3fDV000001T9WLYA0","false","a3YDV000000vXI62AM","a18DV0000033baIYAQ","42012619975900622","a5xbn000000Jp4t"
"a3fDV000001T9TdYAK","false","a3YDV000000vXGu2AM","a18DV0000033qNbYAI","42013135142460955","a5xbn000000Joqr"
"a3fDV000001T9JMYA0","false","a3YDV000000vWf02AE","a18DV0000033qdjYAA","42013272157055011","a3jbn000000ldz5"
"a3fDV000001T9eCYAS","false","a3YDV000000vXEG2A2","a18DV0000033qoBYAQ","42013308732847244","a5xbn000000JomA"
"a3fDV000001T9nEYAS","false","a3YDV000000vXJm2AM","a18DV0000033qtFYAQ","42013457506073838","a5xbn000000Jox9"
"a3fDV000001T9p6YAC","false","a3YDV000000vXGw2AM","a18DV0000033qp7YAA","42013516860269012","a5xbn000000Jp6D"
"a3fDV000001T9jxYAC","false","a3YDV000000vWfG2AU","a18DV0000033qZ1YAI","42013755949996119","a3jbn000000ldwR"
"a3fDV000001T9sUYAS","false","a3YDV000000vXJz2AM","a18DV0000033qU9YAI","42014002585433057","a5xbn000000Joyr"
"a3fDV000001T9U7YAK","false","a3YDV000000vXDz2AM","a18DV0000033r7yYAA","42015045725454134","a5xbn000000JorE"
"a3fDV000001T9WzYAK","false","a3YDV000000vXHB2A2","a18DV0000033r5IYAQ","42016570546758545","a5xbn000000Jp5r"
"a3fDV000001T9mCYAS","false","a3YDV000000vXDz2AM","a18DV0000033qmNYAQ","42016748685947829","a5xbn000000Jom7"
"a3fDV000001T9uTYAS","false","a3YDV000000vXDw2AM","a18DV0000033qY1YAI","42016848939716116","a5xbn000000Jotd"
"a3fDV000001T9DcYAK","false","a3YDV000000vWf72AE","a18DV0000033bISYAY","42017144063095372","a5x8c0000019SVg"
"a3fDV000001T9jQYAS","false","a3YDV000000vXHi2AM","a18DV0000033qZqYAI","42017409724041631","a3fbn000000fu1L"
"a3fDV000001T9cbYAC","false","a3YDV000000vXGc2AM","a18DV0000033qxzYAA","42017432839875413","a5xbn000000Jouo"
"a3fDV000001T9vkYAC","false","a3YDV000000vWf42AE","a18DV0000033qMAYAY","42017439086323372","a5xbn000000Jour"
"a3fDV000001T9QgYAK","false","a3YDV000000vXHz2AM","a18DV0000033qyRYAQ","42017760896973545","a5xbn000000JouX"
"a3fDV000001T9uUYAS","false","a3YDV000000vXE02AM","a18DV0000033qZjYAI","42018423292392327","a3fbn000000fu1a"
"a3fDV000001T9lMYAS","false","a3YDV000000vXEk2AM","a18DV0000033qs4YAA","42018830458842250","a5xbn000000Jomr"
"a3fDV000001T9gIYAS","false","a3YDV000000vXHn2AM","a18DV0000033r4uYAA","42019388904419443","a5xbn000000Jp2U"
"a3fDV000001T9yyYAC","false","a3YDV000000vXIK2A2","a18DV0000033qP4YAI","42019677373951580","a3fbn000000fu1s"
"a3fDV000001T9MAYA0","false","a3YDV000000vXFY2A2","a18DV0000033qrUYAQ","42019840176929864","PFS - Total Current Assets"
"a3fDV000001T9mTYAS","false","a3YDV000000vXG72AM","a18DV0000033qmrYAA","42019846450985923","a3jbn000000ldyc"
"a3fDV000001T9IvYAK","false","a3YDV000000vXEL2A2","a18DV0000033qUMYAY","42019883736624407","priorperiodtotalassets"
"a3fDV000001T9ruYAC","false","a3YDV000000vXDz2AM","a18DV0000033qTkYAI","42020813871012414","a5xbn000000JoyT"
"a3fDV000001T9A4YAK","false","a3YDV000000vWfG2AU","a18DV0000033b0aYAA","42020896523728298","a4T8c000000RKgo"
"a3fDV000001T9WnYAK","false","a3YDV000000vXJz2AM","a18DV0000033bYmYAI","42020978992893491","a5xbn000000Jp5q"
"a3fDV000001T9PdYAK","false","a3YDV000000vXIq2AM","a18DV0000033qi4YAA","42021296009640077","a3jbn000000ldxz"
"a3fDV000001T9xYYAS","false","a3YDV000000vXGZ2A2","a18DV0000033qhjYAA","42021503096760206","a5xbn000000Jp49"
"a3fDV000001T9LaYAK","false","a3YDV000000vXF22AM","a18DV0000033qk0YAA","42021525269233431","a5xbn000000Jone"
"a3fDV000001T9OrYAK","false","a3YDV000000vXDz2AM","a18DV0000033qPgYAI","42021542020625638","a5xbn000000JouF"
"a3fDV000001T9eKYAS","false","a3YDV000000vXEZ2A2","a18DV0000033r4nYAA","42021879997086714","a5xbn000000Jp1s"
"a3fDV000001T9kxYAC","false","a3YDV000000vXEX2A2","a18DV0000033qs0YAA","42021928305248727","a5xbn000000JomT"
"a3fDV000001T9eRYAS","false","a3YDV000000vXIe2AM","a18DV0000033qgZYAQ","42022056342799577","a3fbn000000fu43"
"a3fDV000001T9l3YAC","false","a3YDV000000vXDz2AM","a18DV0000033qsNYAQ","42023291495326490","a5xbn000000JomV"
"a3fDV000001T9OFYA0","false","a3YDV000000vXGD2A2","a18DV0000033r3gYAA","42023917512090525","a5xbn000000Joow"
"a3fDV000001T9W4YAK","false","a3YDV000000vXEK2A2","a18DV0000033qazYAA","42024178377093960","a5xbn000000Jp5T"
"a3fDV000001T9GiYAK","false","a3YDV000000vWf22AE","a18DV0000033bPsYAI","42024302527354687","a5x8c0000019SWu"
"a3fDV000001T9GDYA0","false","a3YDV000000vWf92AE","a18DV0000033bPLYAY","42024556916124545","a5x8c0000019SWP"
"a3fDV000001T9sRYAS","false","a3YDV000000vWex2AE","a18DV0000033qU6YAI","42024997235943344","a9Ibn000001OBFH"
"a3fDV000001T97hYAC","false","a3YDV000000vWes2AE","a18DV0000033axBYAQ","42025414100615894","a4T8c000000RKfX"
"a3fDV000001T9h8YAC","false","a3YDV000000vXFT2A2","a18DV0000033qMrYAI","42025458720534442","a5xbn000000Jp2m"
"a3fDV000001T9swYAC","false","a3YDV000000vXHz2AM","a18DV0000033qTMYAY","42025786334257036","a5xbn000000JozG"
"a3fDV000001T9DqYAK","false","a3YDV000000vWf62AE","a18DV0000033bIgYAI","42025899903046951","a4T8c000000RKgF"
"a3fDV000001T9jiYAC","false","a3YDV000000vXHo2AM","a18DV0000033qOyYAI","42025995583926255","a5xbn000000Jot6"
"a3fDV000001T9z2YAC","false","a3YDV000000vXFv2AM","a18DV0000033qP6YAI","42026161550737195","a3fbn000000fu1v"
"a3fDV000001T97jYAC","false","a3YDV000000vWes2AE","a18DV0000033axDYAQ","42026522670785201","a4T8c000000RKfZ"
"a3fDV000001T9pfYAC","false","a3YDV000000vXG62AM","a18DV0000033qQgYAI","42026755165253712","a5xbn000000Jp6O"
"a3fDV000001T9B6YAK","false","a3YDV000000vWf82AE","a18DV0000033b1vYAA","42026831584643461","a5x8c0000019SWH"
"a3fDV000001T9M4YAK","false","a3YDV000000vXFU2A2","a18DV0000033qrOYAQ","42027310696622795","Grain Inventory"
"a3fDV000001T9KlYAK","false","a3YDV000000vXK72AM","a18DV0000033qemYAA","42027654331915220","a3jbn000000ldzZ"
"a3fDV000001T9aaYAC","false","a3YDV000000vXFz2AM","a18DV0000033quyYAA","42027664149652102","a5xbn000000Jp1n"
"a3fDV000001T9lfYAC","false","a3YDV000000vXGd2AM","a18DV0000033qy7YAA","42027952478927468","a5xbn000000Joup"
"a3fDV000001T9qXYAS","false","a3YDV000000vXFm2AM","a18DV0000033bYgYAI","42028314112860402","a5xbn000000Jp6b"
"a3fDV000001T9qdYAC","false","a3YDV000000vWex2AE","a18DV0000033bYjYAI","42028714227407073","a9Ibn000001OBFl"
"a3fDV000001T9xaYAC","false","a3YDV000000vXDz2AM","a18DV0000033qhkYAA","42028733293924504","a5xbn000000Joum"
"a3fDV000001T9kHYAS","false","a3YDV000000vWfO2AU","a18DV0000033qZfYAI","42029369085448295","a3fbn000000fu1T"
"a3fDV000001T9y7YAC","false","a3YDV000000vXDz2AM","a18DV0000033qXBYAY","42029636825975028","a5xbn000000JowO"
"a3fDV000001T9JhYAK","false","a3YDV000000vXDz2AM","a18DV0000033qdKYAQ","42030037211802071","a5xbn000000Jp0g"
"a3fDV000001T9YKYA0","false","a3YDV000000vWeu2AE","a18DV0000033qVJYAY","42030078033208011","a3jbn000000ldzn"
"a3fDV000001T9HIYA0","false","a3YDV000000vWex2AE","a18DV0000033bQZYAY","42030337022669126","a5x8c0000019SXR"
"a3fDV000001T9LrYAK","false","a3YDV000000vXFJ2A2","a18DV0000033qkfYAA","42030461186321304","a5xbn000000Jonp"
"a3fDV000001T9zCYAS","false","a3YDV000000vXEH2A2","a18DV0000033qYIYAY","42030604414519093","a5xbn000000Jotl"
"a3fDV000001T9SLYA0","false","a3YDV000000vXGB2A2","a18DV0000033r7CYAQ","42030619860614724","a3fbn000000fu15"
"a3fDV000001T9WsYAK","false","a3YDV000000vXEU2A2","a18DV0000033qoMYAQ","42030684305773717","a5xbn000000JomS"
"a3fDV000001T97rYAC","false","a3YDV000000vWeu2AE","a18DV0000033axPYAQ","42031471398239590","a4T8c000000RKfh"
"a3fDV000001T97yYAC","false","a3YDV000000vWeu2AE","a18DV0000033axWYAQ","42031786448250890","a4T8c000000RKfm"
"a3fDV000001T9nvYAC","false","a3YDV000000vXHl2AM","a18DV0000033bY5YAI","42032433962819303","a5xbn000000Jp3c"
"a3fDV000001T9H4YAK","false","a3YDV000000vWeu2AE","a18DV0000033bQJYAY","42033071147437120","a5x8c0000019SXH"
"a3fDV000001T9uSYAS","false","a3YDV000000vWfB2AU","a18DV0000033qY0YAI","42033454744529648","a3jbn000000ldwd"
"a3fDV000001T9GeYAK","false","a3YDV000000vWf02AE","a18DV0000033bPoYAI","42033553273009142","a5x8c0000019SWq"
"a3fDV000001T9OQYA0","false","a3YDV000000vXG82AM","a18DV0000033r79YAA","42034290048318002","a5xbn000000Jop6"
"a3fDV000001T9g7YAC","false","a3YDV000000vXET2A2","a18DV0000033qwSYAQ","42034459509421864","a5xbn000000Jp2P"
"a3fDV000001T9CvYAK","false","a3YDV000000vWeu2AE","a18DV0000033bHHYAY","42035001978240440","a4T8c000000RKfl"
"a3fDV000001T9K6YAK","false","a3YDV000000vXHO2A2","a18DV0000033qdHYAQ","42035107475876078","a3fbn000000fu3Z"
"a3fDV000001T9t3YAC","false","a3YDV000000vXDz2AM","a18DV0000033qSwYAI","42035531830386669","a5xbn000000JozM"
"a3fDV000001T9DRYA0","false","a3YDV000000vWfL2AU","a18DV0000033bHsYAI","42036227027939021","a3f8c000000BtOI"
"a3fDV000001T9ZnYAK","false","a3YDV000000vWf22AE","a18DV0000033qVlYAI","42036450281253935","a3jbn000000le0P"
"a3fDV000001T9IKYA0","false","a3YDV000000vXEh2AM","a18DV0000033qeEYAQ","42036853972441191","a5xbn000000Jp0D"
"a3fDV000001T9fTYAS","false","a3YDV000000vXHV2A2","a18DV0000033qwYYAQ","42037903987826639","a3fbn000000fu4F"
"a3fDV000001T9fxYAC","false","a3YDV000000vXFX2A2","a18DV0000033qMPYAY","42038529671995972","a5xbn000000Jp2M"
"a3fDV000001T98dYAC","false","a3YDV000000vWf72AE","a18DV0000033ayxYAA","42039096204452531","a5x8c0000019SVg"
"a3fDV000001T9sfYAC","false","a3YDV000000vXDz2AM","a18DV0000033qSoYAI","42039182391154688","a5xbn000000Joz0"
"a3fDV000001T9x8YAC","false","a3YDV000000vXIH2A2","a18DV0000033qMNYAY","42039367529429173","a5xbn000000Jovm"
"a3fDV000001T9UFYA0","false","a3YDV000000vXDz2AM","a18DV0000033r86YAA","42039638585732742","a5xbn000000JorM"
"a3fDV000001T9mVYAS","false","a3YDV000000vXG82AM","a18DV0000033qmqYAA","42040131801254475","a3jbn000000ldye"
"a3fDV000001T9x0YAC","false","a3YDV000000vWfJ2AU","a18DV0000033qMJYAY","42040605129878923","a5xbn000000Jovl"
"a3fDV000001T9YDYA0","false","a3YDV000000vXDz2AM","a18DV0000033r5AYAQ","42040696825607202","a5xbn000000Jp1K"
"a3fDV000001T9iqYAC","false","a3YDV000000vWf82AE","a18DV0000033qPhYAI","42040858901049233","a3jbn000000ldw1"
"a3fDV000001T9JGYA0","false","a3YDV000000vXFm2AM","a18DV0000033qV1YAI","42041992581299586","a5xbn000000Jp0Z"
"a3fDV000001T9UEYA0","false","a3YDV000000vXDz2AM","a18DV0000033r85YAA","42042445433228487","a5xbn000000JorL"
"a3fDV000001T9UyYAK","false","a3YDV000000vXH42AM","a18DV0000033r8eYAA","42043089292204016","a5xbn000000Jory"
"a3fDV000001T9OLYA0","false","a3YDV000000vXG72AM","a18DV0000033r74YAA","42043557287641841","a5xbn000000Jop1"
"a3fDV000001T9AvYAK","false","a3YDV000000vWey2AE","a18DV0000033ayVYAQ","42043640088585893","a4T8c000000RKhG"
"a3fDV000001T9EMYA0","false","a3YDV000000vWfB2AU","a18DV0000033bJKYAY","42043930013523771","a3f8c000000BtOU"
"a3fDV000001T9TzYAK","false","a3YDV000000vXFm2AM","a18DV0000033qOGYAY","42044384985355567","a5xbn000000Jor7"
"a3fDV000001T99bYAC","false","a3YDV000000vWfB2AU","a18DV0000033b00YAA","42044559047676652","a5x8c0000019SVo"
"a3fDV000001T9e6YAC","false","a3YDV000000vXDz2AM","a18DV0000033qflYAA","42044944093806656","a5xbn000000Jom3"
"a3fDV000001T9BiYAK","false","a3YDV000000vWfR2AU","a18DV0000033b2ZYAQ","42045441625624557","a5x8c0000019SWt"
"a3fDV000001T9FEYA0","false","a3YDV000000vWfP2AU","a18DV0000033bKKYAY","42045589884110995","a5x8c0000019SVx"
"a3fDV000001T9UxYAK","false","a3YDV000000vXFz2AM","a18DV0000033r8aYAA","42045866350489813","a5xbn000000Jorx"
"a3fDV000001T9jJYAS","false","a3YDV000000vWes2AE","a18DV0000033qPXYAY","42046057770078020","a3jbn000000ldwD"
"a3fDV000001T9A2YAK","false","a3YDV000000vWfH2AU","a18DV0000033b0YYAQ","42046184178303178","a4T8c000000RKgm"
"a3fDV000001T9X9YAK","false","a3YDV000000vXHt2AM","a18DV0000033ba0YAA","42046633795826913","a5xbn000000Jp20"
"a3fDV000001T9msYAC","false","a3YDV000000vXGD2A2","a18DV0000033qtIYAQ","42046957016399075","a5xbn000000Jowm"
"a3fDV000001T9JZYA0","false","a3YDV000000vWet2AE","a18DV0000033qUgYAI","42047922919047870","a3fbn000000fu3R"
"a3fDV000001T9zHYAS","false","a3YDV000000vXDx2AM","a18DV0000033qPmYAI","42048272185438237","a3fbn000000fu1x"
"a3fDV000001T9qDYAS","false","a3YDV000000vXEk2AM","a18DV0000033qanYAA","42048378185141179","a5xbn000000Jp27"
"a3fDV000001T9ddYAC","false","a3YDV000000vXDz2AM","a18DV0000033qmlYAA","42048390439642041","a5xbn000000JovD"
"a3fDV000001T9dzYAC","false","a3YDV000000vXHz2AM","a18DV0000033qniYAA","42049546726818403","a5xbn000000JouX"
"a3fDV000001T9LPYA0","false","a3YDV000000vWeu2AE","a18DV0000033qVGYAY","42050503743104316","a3jbn000000ldzi"
"a3fDV000001T9EqYAK","false","a3YDV000000vWfO2AU","a18DV0000033bJwYAI","42050521841711685","a4T8c000000RKgf"
"a3fDV000001T9oDYAS","false","a3YDV000000vXJM2A2","a18DV0000033bbKYAQ","42050712732048313","a5xbn000000JouY"
"a3fDV000001T9MuYAK","false","a3YDV000000vXFm2AM","a18DV0000033r1UYAQ","42050862533708492","a5xbn000000JooI"
"a3fDV000001T98wYAC","false","a3YDV000000vWf82AE","a18DV0000033azDYAQ","42051165112535128","a5x8c0000019SVh"
"a3fDV000001T9NlYAK","false","a3YDV000000vWfL2AU","a18DV0000033r2pYAA","42051527232524811","a6Qbn000000HYOr"
"a3fDV000001T9iUYAS","false","a3YDV000000vWf52AE","a18DV0000033qOPYAY","42051828374719956","a3fbn000000fu19"
"a3fDV000001T9xsYAC","false","a3YDV000000vXGp2AM","a18DV0000033qLFYAY","42052186654364047","a5xbn000000JovY"
"a3fDV000001T9eQYAS","false","a3YDV000000vWf72AE","a18DV0000033qgZYAQ","42052274220903321","a3fbn000000fu42"
