"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c","LLC_BI__Description__c"
"a0Ebn000001gXr8EAE","005bn000003k2JdAAI","","CFG-CV00014442","Change Memo","CM_Name","","Change Memo","CM_Name",""
"a0Ebn000001gXrFEAU","005bn000003k2JdAAI","","CFG-CV00014449","Loan Stage","Closed","","Booked","Closed",""
"a0Ebn000001gXrEEAU","005bn000003k2JdAAI","","CFG-CV00014448","Loan Stage","Complete","","Complete","Complete",""
"a0Ebn000001gXr9EAE","005bn000003k2JdAAI","","CFG-CV00014443","General","CreditRole","","Credit","CreditRole",""
"a0Ebn000001gXrZEAU","005bn000003k2JdAAI","","CFG-CV00014469","Delete_Versions_Allowed","ALL","","LATEST","DELETE_VER_ALLOWED",""
"a0Ebn000001gXrQEAU","005bn000003k2JdAAI","","CFG-CV00014460","Delete_Feature_Enabled","ALL","","Enabled","DEL_FEATURE_ENABLE",""
"a0Ebn000001gXrREAU","005bn000003k2JdAAI","","CFG-CV00014461","Stages_Deletion_Allowed","ALL","","Qualification,Booked","DEL_STAGES_ALLOWED",""
"a0Ebn000001gXrSEAU","005bn000003k2JdAAI","","CFG-CV00014462","Status_Deletion_Allowed","ALL","","Open","DEL_STATUS_ALLOWED",""
"a0Ebn000001gXr7EAE","005bn000003k2JdAAI","","CFG-CV00014441","Document Manager","DM_AmzOrgBucketName","","","DM_OrgBucketName",""
"a0Ebn000001gXr5EAE","005bn000003k2JdAAI","","CFG-CV00014439","Document Manager","DM_ReviewerRoles","","nCino Administrator","DM_ReviewerRoles",""
"a0Ebn000001gXr6EAE","005bn000003k2JdAAI","","CFG-CV00014440","Loan Status","Declined","","Declined","Declined",""
"a0Ebn000001gXraEAE","005bn000003k2JdAAI","","CFG-CV00014470","Modification_Name_Format","ALL","","_M","MOD_NAME_FORMAT",""
"a0Ebn000001gXrPEAU","005bn000003k2JdAAI","","CFG-CV00014459","Renewal_Feature_Enabled","ALL","","Enabled","REN_FEATURE_ENABLE",""
"a0Ebn000001gXrBEAU","005bn000003k2JdAAI","","CFG-CV00014445","Renewal_History_Available_String","ALL","","Available","REN_HIST_AVAIL_STR",""
"a0Ebn000001gXrAEAU","005bn000003k2JdAAI","","CFG-CV00014444","Renewal_History_In_Progress_String","ALL","","In Progress","REN_HIST_PROG_STR",""
"a0Ebn000001gXrTEAU","005bn000003k2JdAAI","","CFG-CV00014463","Renewal_History_Superceded_String","ALL","","Superseded","REN_HIST_SUPER_STR",""
"a0Ebn000001gXrJEAU","005bn000003k2JdAAI","","CFG-CV00014453","Renewal_Name_Format","ALL","","_R","REN_NAME_FORMAT",""
"a0Ebn000001gXrLEAU","005bn000003k2JdAAI","","CFG-CV00014455","Stages_Renewal_Allowed","ALL","","Booked","REN_STAGES_ALLOWED",""
"a0Ebn000001gXrVEAU","005bn000003k2JdAAI","","CFG-CV00014465","Renewal_Stage_Superceded_String","ALL","","Complete","REN_STAG_SUPER_STR",""
"a0Ebn000001gXrMEAU","005bn000003k2JdAAI","","CFG-CV00014456","Renewal_Starting_Stage","ALL","","Qualification","REN_STARTING_STAGE",""
"a0Ebn000001gXrKEAU","005bn000003k2JdAAI","","CFG-CV00014454","Status_Renewal_Allowed","ALL","","Open","REN_STATUS_ALLOWED",""
"a0Ebn000001gXrWEAU","005bn000003k2JdAAI","","CFG-CV00014466","Renewal_Status_Deleted_String","ALL","","Deleted","REN_STATUS_DEL_STR",""
"a0Ebn000001gXrUEAU","005bn000003k2JdAAI","","CFG-CV00014464","Renewal_Status_Superceded_String","ALL","","Superseded","REN_STAT_SUPER_STR",""
"a0Ebn000001gXrNEAU","005bn000003k2JdAAI","","CFG-CV00014457","Renewal_Starting_Status","ALL","","Open","REN_STRTING_STATUS",""
"a0Ebn000001gXrOEAU","005bn000003k2JdAAI","","CFG-CV00014458","Renewal_Supported","ALL","","Enabled","REN_SUPPORTED",""
"a0Ebn000001gXrYEAU","005bn000003k2JdAAI","","CFG-CV00014468","Roles_For_Loan_Deletion","ALL","","nCino Administrator","ROLES_LOAN_DELETE",""
"a0Ebn000001gXrXEAU","005bn000003k2JdAAI","","CFG-CV00014467","Roles_For_Multi-Renewal_Delete","ALL","","nCino Administrator","ROLES_MULTI_DELETE",""
