"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Remaining__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","AutorabitExtId__c","YM_ExternalIDDestination__c","YM_ExternalIDSource__c"
"a1WWE000004pp2e2AA","005al00000RVvFOAA1","false","semi annual budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","136024.5723","1188.647","-1088.647","-135924.5723","-7000.0","874638.0","643.0","7643.0","-873995.0","42426512277583364","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYFG2A4","",""
"a1WWE000004pp2n2AA","005al00000RVvFOAA1","false","AA budget 3","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42499909363725076","","","","0.0","0.0","0.0","a1WWD000002QYEf2AO","",""
"a1WWE000004pp2c2AA","005al00000RVvFOAA1","false","overall budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","5.3028","100.2058","-0.2058","94.6972","-180.0","4638.0","87463.0","87643.0","82825.0","42507880177204313","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYFF2A4","",""
"a1WWE000004pp2m2AA","005al00000RVvFOAA1","false","AA budget 2","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42513768554706735","","","","0.0","0.0","0.0","a1WWD000002QYEe2AO","",""
"a1WWE000004pp1j2AA","005al00000RVvFOAA1","false","CLA Simple Budget 2 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42516101622084174","","","","0.0","0.0","0.0","a1WWD000002M0Rj2AK","",""
"a1WWE000004pp1k2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42522583177688671","","","","0.0","0.0","0.0","a1WWD000002M0Rk2AK","",""
"a1WWE000004pp2Y2AQ","005al00000RVvFOAA1","false","Security budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","83.3748","47.7401","52.2599","16.6252","3989.0","6364.0","7633.0","3644.0","1269.0","42529092827833181","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYF72AO","",""
"a1WWE000004pp1l2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42542914142876583","","","","0.0","0.0","0.0","a1WWD000002M0Rl2AK","",""
"a1WWE000004pp2I2AQ","005al00000RVvFOAA1","false","Programming Budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","Budget for programming tools and classes_Metzger","true","false","3000.0","80.0","50.0","20.0","20.0","2000.0","8000.0","10000.0","5000.0","2000.0","42580408335031508","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYF22AO","",""
"a1WWE000004pp2R2AQ","005al00000RVvFOAA1","false","Hello","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","false","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42591324258334766","","","","0.0","0.0","0.0","a1WWD000002QYEv2AO","",""
"a1WWE000004pp2T2AQ","005al00000RVvFOAA1","false","test1","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42599791086129440","","","","0.0","0.0","0.0","a1WWD000002QYFI2A4","",""
"a1WWE000004pp1m2AA","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42618541838166399","","","","0.0","0.0","0.0","a1WWD000002M0Rm2AK","",""
"a1WWE000004pp2l2AA","005al00000RVvFOAA1","false","AA budget 1","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","0.0","0.0","100.0","100.0","425.0","0.0","425.0","0.0","425.0","42630031178698104","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYEd2AO","",""
"a1WWE000004pp2j2AA","005al00000RVvFOAA1","false","A budget 1","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42649749863455617","","","","0.0","0.0","0.0","a1WWD000002QYEb2AO","",""
"a1WWE000004pp1n2AA","005al00000RVvFOAA1","false","CLA Simple Budget 2 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42658567736529257","","","","0.0","0.0","0.0","a1WWD000002M0Rn2AK","",""
"a1WWE000004pp1o2AA","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42663125339013752","","","","0.0","0.0","0.0","a1WWD000002M0Ro2AK","",""
"a1WWE000004pp2Q2AQ","005al00000RVvFOAA1","false","TravelBudget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","50.0","0.0","100.0","50.0","10000.0","5000.0","10000.0","0.0","5000.0","42663723825006159","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYFB2A4","",""
"a1WWE000004pp2o2AA","005al00000RVvFOAA1","false","AA budget 4","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42666151341517648","","","","0.0","0.0","0.0","a1WWD000002QYEg2AO","",""
"a1WWE000004pp1p2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","a1WWE000004pp1q2AA","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42677360520917603","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002M0Rp2AK","",""
"a1WWE000004pp2d2AA","005al00000RVvFOAA1","false","annual budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42690342141278924","","","","0.0","0.0","0.0","a1WWD000002QYFC2A4","",""
"a1WWE000004pp1R2AQ","005al00000RVvFOAA1","false","Test User Budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","500.0","150.0","100.0","-50.0","-50.0","-500.0","1500.0","1000.0","1000.0","-500.0","42693514141402985","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002M0Rq2AK","",""
"a1WWE000004pp1q2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42733685110282543","","","","0.0","0.0","0.0","a1WWD000002M0Rr2AK","",""
"a1WWE000004pp2i2AA","005al00000RVvFOAA1","false","RS budget 12","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42747788292289601","","","","0.0","0.0","0.0","a1WWD000002QYF32AO","",""
"a1WWE000004pp2g2AA","005al00000RVvFOAA1","false","semi annual budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42803096663066142","","","","0.0","0.0","0.0","a1WWD000002QYFH2A4","",""
"a1WWE000004pp2P2AQ","005al00000RVvFOAA1","false","TrainingBudget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","50.0","0.0","100.0","50.0","50.0","25.0","50.0","0.0","25.0","42816171803932625","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYFA2A4","",""
"a1WWE000004pp2h2AA","005al00000RVvFOAA1","false","RS budget `1","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","0.0","0.0","100.0","100.0","425.0","0.0","425.0","0.0","425.0","42825193374177769","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYF42AO","",""
"a1WWE000004pp2X2AQ","005al00000RVvFOAA1","false","Product budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","888.3011","1000.3052","-900.3052","-788.3011","-8850.0","8732.0","983.0","9833.0","-7749.0","42826301128788663","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYF12AO","",""
"a1WWE000004pp1N2AQ","005al00000RVvFOAA1","false","New Budgets","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","a1WWE000004pp1P2AQ","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42857882419607219","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYEy2AO","",""
"a1WWE000004pp1S2AQ","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template - Update01","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","a1WWE000004pp1d2AA","Test Description","false","false","2000.0","1.0","0.6","99.0","99.0","495000.0","5000.0","500000.0","3000.0","495000.0","42861041786945068","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002M0Rs2AK","",""
"a1WWE000004pp2U2AQ","005al00000RVvFOAA1","false","Sales budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","8.8774","303.7726","-203.7726","91.1226","-20039.0","873.0","9834.0","29873.0","8961.0","42890263054632906","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYF62AO","",""
"a1WWE000004pp2V2AQ","005al00000RVvFOAA1","false","Revenue Budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","7384.0","","","","","-9571.0","983.0","0.0","2187.0","-983.0","42932763487803675","","","","0.0","0.0","0.0","a1WWD000002QYF52AO","",""
"a1WWE000004pp2f2AA","005al00000RVvFOAA1","false","new annual budget","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42938810070504468","","","","0.0","0.0","0.0","a1WWD000002QYFD2A4","",""
"a1WWE000004pp1r2AA","005al00000RVvFOAA1","false","CLA Simple Budget 2 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42940878705367836","","","","0.0","0.0","0.0","a1WWD000002M0Rt2AK","",""
"a1WWE000004pp1c2AA","005al00000RVvFOAA1","false","Sreekar StartUp","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:58:57.000Z","005al00000RVvFOAA1","2026-08-13T16:58:57.000Z","","","","","","Sreekar Budget to start a new Business StartUp","true","false","0.0","50.0","0.0","100.0","50.0","10000.0","5000.0","10000.0","0.0","5000.0","42961264666946633","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002QYF92AO","",""
"a1WWE000004pp1T2AQ","005al00000RVvFOAA1","false","Construction of Warehouse","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:17.000Z","005al00000RVvFOAA1","2026-08-13T16:59:17.000Z","","","","","a1WWE000004pp292AA","Commercial construction budget for building and parking construction.","false","false","429300.0","57.3125","6.4333","64.9467","42.6875","974201.0","859688.0","1500000.0","96499.0","640312.0","5km030j6y3dyzx7o4o","32.1025","20.4667","4.7433","481538.0","307000.0","71150.0","a1WWD000002M0Ru2AK","",""
"a1WWE000004pp1s2AA","005al00000RVvFOAA1","false","Budget for the Construction of a Walgreens","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:17.000Z","005al00000RVvFOAA1","2026-08-13T16:59:17.000Z","","","","","a1WWE000004pp292AA","This budget is for the construction of a Walgreens.","false","false","5000.0","100.0","6.4333","93.2333","0.0","1398500.01","1500000.0","1500000.0","96499.99","0.0","96amx8tcv25dm4l1n8","0.0","100.0","0.0","0.0","1500000.0","0.0","a1WWD000002M0Rv2AK","",""
"a1WWE000004pp1t2AA","005al00000RVvFOAA1","false","Swimming Pool Construction Budget Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:17.000Z","005al00000RVvFOAA1","2026-08-13T16:59:17.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","96gcetgjg69r55mb72","","","","0.0","0.0","0.0","a1WWD000002M0Rw2AK","",""
"a1WWE000004pp1u2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","a1WWE000004pp1x2AA","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","a254S0000006XjdQAE","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002M0Rx2AK","",""
"a1WWE000004pp1v2AA","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","a254S0000006XjeQAE","","","","0.0","0.0","0.0","a1WWD000002M0Ry2AK","",""
"a1WWE000004pp1w2AA","005al00000RVvFOAA1","false","CLA Simple Budget 2 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","a254S0000006XjfQAE","","","","0.0","0.0","0.0","a1WWD000002M0Rz2AK","",""
"a1WWE000004pp1x2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:14.000Z","005al00000RVvFOAA1","2026-08-13T16:59:14.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","a254S0000006XjgQAE","","","","0.0","0.0","0.0","a1WWD000002M0S02AK","",""
"a1WWE000004pp1y2AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:15.000Z","005al00000RVvFOAA1","2026-08-13T16:59:15.000Z","","","","","a1WWE000004pp212AA","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","a254W000002ZgNyQAK","0.0","0.0","0.0","0.0","0.0","0.0","a1WWD000002M0S12AK","",""
"a1WWE000004pp1z2AA","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:15.000Z","005al00000RVvFOAA1","2026-08-13T16:59:15.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","a254W000002ZgNzQAK","","","","0.0","0.0","0.0","a1WWD000002M0S22AK","",""
"a1WWE000004pp202AA","005al00000RVvFOAA1","false","CLA Simple Budget 2 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:15.000Z","005al00000RVvFOAA1","2026-08-13T16:59:15.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","a254W000002ZgO0QAK","","","","0.0","0.0","0.0","a1WWD000002M0S32AK","",""
"a1WWE000004pp212AA","005al00000RVvFOAA1","false","CLA Complex Budget 1 Template","2026-05-12T13:54:24.000Z","005al00000RVcKvAAL","2026-08-13T16:59:15.000Z","005al00000RVvFOAA1","2026-08-13T16:59:15.000Z","","","","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","a254W000002ZgO1QAK","","","","0.0","0.0","0.0","a1WWD000002M0S42AK","",""
