"Id","IsDeleted","LLC_BI__Amount_Budgeted__c","LLC_BI__Budget__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","AutorabitExtId__c"
"a238c0000054J8jAAE","false","","","","","","","","","Landscaping","","3.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009599","","","","","","","","",""
"a238c0000054J8kAAE","false","","","","","","","","","Wood Doors","","56.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009600","","","","","","","","",""
"a238c0000054J8lAAE","false","","","","","","","","","Masonry/Building","","52.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009601","","","","","","","","",""
"a238c0000054J8mAAE","false","","","","","","","","","New Curb & Gutter","","11.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009602","","","","","","","","",""
"a238c0000054J8nAAE","false","","","","","","","","","Power Management System","","83.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009603","","","","","","","","",""
"a238c0000054J8oAAE","false","","","","","","","","","Corporate Decor Package Installation","","93.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009604","","","","","","","","",""
"a238c0000054J8pAAE","false","","","","","","","","","Bollard w/ Covers","","37.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009605","","","","","","","","",""
"a238c0000054J8qAAE","false","","","","","","","","","Misc.","","47.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009606","","","","","","","","",""
"a238c0000054J8rAAE","false","","","","","","","","","Insurance","","24.0","","a258c000004VBJqAAO","0.0","","CLA-BD-0009607","","","","","","","","",""
"a238c0000054J8sAAE","false","","","","","","","","","Concrete slabs/curbs (do not include in building slab)","","25.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009608","","","","","","","","",""
"a238c0000054J8tAAE","false","","","","","","","","","Site Stripping (ADA)","","17.0","","a258c000004VBJvAAO","0.0","","CLA-BD-0009609","","","","","","","","",""
"a238c0000054J8uAAE","false","","","","","","","","","Electrical site work/labor","","29.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009610","","","","","","","","",""
"a238c0000054J8vAAE","false","","","","","","","","","Electrical","","28.0","","a258c000004VBJrAAO","0.0","","CLA-BD-0009611","","","","","","","","",""
"a238c0000054J8wAAE","false","","","","","","","","","Plumbing sit work","","32.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009612","","","","","","","","",""
"a238c0000054J8xAAE","false","","","","","","","","","New electric service","","4.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009613","","","","","","","","",""
"a238c0000054J8yAAE","false","","","","","","","","","Storm Drain","","26.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009614","","","","","","","","",""
"a238c0000054J8zAAE","false","","","","","","","","","Roofing","","19.0","","a258c000004VBJzAAO","0.0","","CLA-BD-0009615","","","","","","","","",""
"a238c0000054J90AAE","false","","","","","","","","","H.V.A.C. System","","74.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009616","","","","","","","","",""
"a238c0000054J91AAE","false","","","","","","","","","Change Orders","","36.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009617","","","","","","","","",""
"a238c0000054J92AAE","false","","","","","","","","","Drywall & Metal Studs","","66.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009618","","","","","","","","",""
"a238c0000054J93AAE","false","","","","","","","","","New Curb & Gutter","","11.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009619","","","","","","","","",""
"a238c0000054J94AAE","false","","","","","","","","","Flooring","","5.0","","a258c000004VBJqAAO","0.0","","CLA-BD-0009620","","","","","","","","",""
"a238c0000054J95AAE","false","","","","","","","","","Glass & Glazing","","65.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009621","","","","","","","","",""
"a238c0000054J96AAE","false","","","","","","","","","Wood Doors","","56.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009622","","","","","","","","",""
"a238c0000054J97AAE","false","","","","","","","","","Erosion & Dust Control","","39.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009623","","","","","","","","",""
"a238c0000054J98AAE","false","","","","","","","","","100 ft secondary service","","84.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009624","","","","","","","","",""
"a238c0000054J99AAE","false","","","","","","","","","Demo","","9.0","","a258c000004VBJvAAO","0.0","","CLA-BD-0009625","","","","","","","","",""
"a238c0000054J9AAAU","false","","","","","","","","","Off site fire hydrant","","8.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009626","","","","","","","","",""
"a238c0000054J9BAAU","false","","","","","","","","","Rough Carpentry Labor","","61.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009627","","","","","","","","",""
"a238c0000054J9CAAU","false","","","","","","","","","Termite Treat","","80.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009628","","","","","","","","",""
"a238c0000054J9DAAU","false","","","","","","","","","Concrete paving","","34.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009629","","","","","","","","",""
"a238c0000054J9EAAU","false","","","","","","","","","Power Management System","","83.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009630","","","","","","","","",""
"a238c0000054J9FAAU","false","","","","","","","","","New approaches","","13.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009631","","","","","","","","",""
"a238c0000054J9GAAU","false","","","","","","","","","F.R.P. and marlite","","86.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009632","","","","","","","","",""
"a238c0000054J9HAAU","false","","","","","","","","","Fee","","31.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009633","","","","","","","","",""
"a238c0000054J9IAAU","false","","","","","","","","","Retaining wall","","23.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009634","","","","","","","","",""
"a238c0000054J9JAAU","false","","","","","","","","","Storm Drain","","26.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009635","","","","","","","","",""
"a238c0000054J9KAAU","false","","","","","","","","","Power pole - new or relocate","","5.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009636","","","","","","","","",""
"a238c0000054J9LAAU","false","","","","","","","","","Caulking","","91.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009637","","","","","","","","",""
"a238c0000054J9MAAU","false","","","","","","","","","New sidewalk","","12.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009638","","","","","","","","",""
"a238c0000054J9NAAU","false","","","","","","","","","Glass/Glazing","","15.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009639","","","","","","","","",""
"a238c0000054J9OAAU","false","","","","","","","","","Fire Hydrant","","40.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009640","","","","","","","","",""
"a238c0000054J9PAAU","false","","","","","","","","","Retaining wall","","23.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009641","","","","","","","","",""
"a238c0000054J9QAAU","false","","","","","","","","","New electric service","","4.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009642","","","","","","","","",""
"a238c0000054J9RAAU","false","","","","","","","","","Corporate Decor Package Installation","","93.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009643","","","","","","","","",""
"a238c0000054J9SAAU","false","","","","","","","","","Site Demolition","","22.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009644","","","","","","","","",""
"a238c0000054J9TAAU","false","","","","","","","","","Street light - new or relocate","","6.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009645","","","","","","","","",""
"a238c0000054J9UAAU","false","","","","","","","","","F.R.P. and marlite","","86.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009646","","","","","","","","",""
"a238c0000054J9VAAU","false","","","","","","","","","Survey","","18.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009647","","","","","","","","",""
"a238c0000054J9WAAU","false","","","","","","","","","Termite Control","","2.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009648","","","","","","","","",""
"a238c0000054J9XAAU","false","","","","","","","","","Finish Carpentry Labor","","60.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009649","","","","","","","","",""
"a238c0000054J9YAAU","false","","","","","","","","","Telephone Pole","","7.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009650","","","","","","","","",""
"a238c0000054J9ZAAU","false","","","","","","","","","Termite Treat","","80.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009651","","","","","","","","",""
"a238c0000054J9aAAE","false","","","","","","","","","Metal Fab","","78.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009652","","","","","","","","",""
"a238c0000054J9bAAE","false","","","","","","","","","Finish Lumber & Doors","","54.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009653","","","","","","","","",""
"a238c0000054J9cAAE","false","","","","","","","","","Roof Structure (Trusses, Sheeting, Labor)","","18.0","","a258c000004VBJqAAO","0.0","","CLA-BD-0009654","","","","","","","","",""
"a238c0000054J9dAAE","false","","","","","","","","","Cast in Place Concrete","","5.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009655","","","","","","","","",""
"a238c0000054J9eAAE","false","","","","","","","","","Roofing &Sheetmetal Flashing","","12.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009656","","","","","","","","",""
"a238c0000054J9fAAE","false","","","","","","","","","EIFS / Lath & Plaster","","70.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009657","","","","","","","","",""
"a238c0000054J9gAAE","false","","","","","","","","","Preasure Washing","","43.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009658","","","","","","","","",""
"a238c0000054J9hAAE","false","","","","","","","","","Caulking","","91.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009659","","","","","","","","",""
"a238c0000054J9iAAE","false","","","","","","","","","Structural Steel","","53.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009660","","","","","","","","",""
"a238c0000054J9jAAE","false","","","","","","","","","Misc. Specialities","","22.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009661","","","","","","","","",""
"a238c0000054J9kAAE","false","","","","","","","","","Concrete Foundation( Include building slab)","","51.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009662","","","","","","","","",""
"a238c0000054J9lAAE","false","","","","","","","","","Telephone Underground","","33.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009663","","","","","","","","",""
"a238c0000054J9mAAE","false","","","","","","","","","Misc. S.S.","","71.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009664","","","","","","","","",""
"a238c0000054J9nAAE","false","","","","","","","","","Finish Carpentry/Millwork","","10.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009665","","","","","","","","",""
"a238c0000054J9oAAE","false","","","","","","","","","Allowance - Drywall Support/Finishing","","34.0","","a258c000004VBJrAAO","0.0","","CLA-BD-0009666","","","","","","","","",""
"a238c0000054J9pAAE","false","","","","","","","","","Doors/Frames/Hardware","","14.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009667","","","","","","","","",""
"a238c0000054J9qAAE","false","","","","","","","","","H.V.A.C. System","","74.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009668","","","","","","","","",""
"a238c0000054J9rAAE","false","","","","","","","","","Storm Drain","","16.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009669","","","","","","","","",""
"a238c0000054J9sAAE","false","","","","","","","","","Storm Drain","","16.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009670","","","","","","","","",""
"a238c0000054J9tAAE","false","","","","","","","","","100 ft secondary service","","84.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009671","","","","","","","","",""
"a238c0000054J9uAAE","false","","","","","","","","","Fire Extinguishers","","87.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009672","","","","","","","","",""
"a238c0000054J9vAAE","false","","","","","","","","","Allowance - Precast Concrete Pane","","35.0","","a258c000004VBJrAAO","0.0","","CLA-BD-0009673","","","","","","","","",""
"a238c0000054J9wAAE","false","","","","","","","","","Misc. S.S.","","71.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009674","","","","","","","","",""
"a238c0000054J9xAAE","false","","","","","","","","","Plumbing","","3.0","","a258c000004VBJzAAO","0.0","","CLA-BD-0009675","","","","","","","","",""
"a238c0000054J9yAAE","false","","","","","","","","","Allowance - Add'l Steel Support","","33.0","","a258c000004VBJrAAO","0.0","","CLA-BD-0009676","","","","","","","","",""
"a238c0000054J9zAAE","false","","","","","","","","","TABC - Air Balance (Required)","","75.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009677","","","","","","","","",""
"a238c0000054JA0AAM","false","","","","","","","","","Electrical Material","","82.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009678","","","","","","","","",""
"a238c0000054JA1AAM","false","","","","","","","","","Concrete paving","","34.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009679","","","","","","","","",""
"a238c0000054JA2AAM","false","","","","","","","","","Relocate Transformer","","17.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009680","","","","","","","","",""
"a238c0000054JA3AAM","false","","","","","","","","","Street paving and markings","","14.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009681","","","","","","","","",""
"a238c0000054JA4AAM","false","","","","","","","","","Misc.","","92.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009682","","","","","","","","",""
"a238c0000054JA5AAM","false","","","","","","","","","Street light - new or relocate","","6.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009683","","","","","","","","",""
"a238c0000054JA6AAM","false","","","","","","","","","Landscaping w/ Irrigation (Required)","","36.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009684","","","","","","","","",""
"a238c0000054JA7AAM","false","","","","","","","","","Ceramic Tile","","17.0","","a258c000004VBJrAAO","0.0","","CLA-BD-0009685","","","","","","","","",""
"a238c0000054JA8AAM","false","","","","","","","","","Ceramic tile","","69.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009686","","","","","","","","",""
"a238c0000054JA9AAM","false","","","","","","","","","Landscaping w/ Irrigation (Required)","","36.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009687","","","","","","","","",""
"a238c0000054JAAAA2","false","","","","","","","","","Metal Doors & Frames","","55.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009688","","","","","","","","",""
"a238c0000054JABAA2","false","","","","","","","","","Soils","","20.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009689","","","","","","","","",""
"a238c0000054JACAA2","false","","","","","","","","","Masonry/Building","","52.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009690","","","","","","","","",""
"a238c0000054JADAA2","false","","","","","","","","","Concrete slabs/curbs (do not include in building slab)","","25.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009691","","","","","","","","",""
"a238c0000054JAEAA2","false","","","","","","","","","Caulking","","91.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009692","","","","","","","","",""
"a238c0000054JAFAA2","false","","","","","","","","","Rough Carpentry Material","","62.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009693","","","","","","","","",""
"a238c0000054JAGAA2","false","","","","","","","","","Grade fill / cut","","21.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009694","","","","","","","","",""
"a238c0000054JAHAA2","false","","","","","","","","","Metal Fab","","78.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009695","","","","","","","","",""
"a238c0000054JAIAA2","false","","","","","","","","","Trash Enclosure","","24.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009696","","","","","","","","",""
"a238c0000054JAJAA2","false","","","","","","","","","Structural Steel","","53.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009697","","","","","","","","",""
"a238c0000054JAKAA2","false","","","","","","","","","Soils","","20.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009698","","","","","","","","",""
"a238c0000054JALAA2","false","","","","","","","","","Service Yard Conc/CMU","","44.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009699","","","","","","","","",""
"a238c0000054JAMAA2","false","","","","","","","","","Ceramic tile","","69.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009700","","","","","","","","",""
"a238c0000054JANAA2","false","","","","","","","","","Traffic signals - new or relocate","","9.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009701","","","","","","","","",""
"a238c0000054JAOAA2","false","","","","","","","","","Temp sidewalk","","15.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009702","","","","","","","","",""
"a238c0000054JAPAA2","false","","","","","","","","","Allowance - Mis Paving Earthwork","","32.0","","a258c000004VBJrAAO","0.0","","CLA-BD-0009703","","","","","","","","",""
"a238c0000054JAQAA2","false","","","","","","","","","Sitework","","1.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009704","","","","","","","","",""
"a238c0000054JARAA2","false","","","","","","","","","Plumbing sit work","","32.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009705","","","","","","","","",""
"a238c0000054JASAA2","false","","","","","","","","","Metal Doors & Frames","","55.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009706","","","","","","","","",""
"a238c0000054JATAA2","false","","","","","","","","","Storm Drain","","26.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009707","","","","","","","","",""
"a238c0000054JAUAA2","false","","","","","","","","","Fire Hydrant","","40.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009708","","","","","","","","",""
"a238c0000054JAVAA2","false","","","","","","","","","Asphalt paving & striping","","35.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009709","","","","","","","","",""
"a238c0000054JAWAA2","false","","","","","","","","","Metal Doors & Frames","","55.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009710","","","","","","","","",""
"a238c0000054JAXAA2","false","","","","","","","","","Storm Drain","","26.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009711","","","","","","","","",""
"a238c0000054JAYAA2","false","","","","","","","","","Wheel stops","","42.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009712","","","","","","","","",""
"a238c0000054JAZAA2","false","","","","","","","","","Glass & Glazing","","65.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009713","","","","","","","","",""
"a238c0000054JAaAAM","false","","","","","","","","","Retaining wall","","23.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009714","","","","","","","","",""
"a238c0000054JAbAAM","false","","","","","","","","","Glass/Glazing","","15.0","","a258c000004VBJrAAO","0.0","","CLA-BD-0009715","","","","","","","","",""
"a238c0000054JAcAAM","false","","","","","","","","","New approaches","","13.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009716","","","","","","","","",""
"a238c0000054JAdAAM","false","","","","","","","","","Masonry/Building","","52.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009717","","","","","","","","",""
"a238c0000054JAeAAM","false","","","","","","","","","Service Yard Conc/CMU","","44.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009718","","","","","","","","",""
"a238c0000054JAfAAM","false","","","","","","","","","Doors & Hardware (SC w/ Metal Frame)","","8.0","","a258c000004VBJzAAO","0.0","","CLA-BD-0009719","","","","","","","","",""
"a238c0000054JAgAAM","false","","","","","","","","","Framing Labor","","58.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009720","","","","","","","","",""
"a238c0000054JAhAAM","false","","","","","","","","","Fire Sprinkler (if required)","","77.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009721","","","","","","","","",""
"a238c0000054JAiAAM","false","","","","","","","","","Change Orders","","36.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009722","","","","","","","","",""
"a238c0000054JAjAAM","false","","","","","","","","","Acoustic Tile","","67.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009723","","","","","","","","",""
"a238c0000054JAkAAM","false","","","","","","","","","Caulking","","91.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009724","","","","","","","","",""
"a238c0000054JAlAAM","false","","","","","","","","","Studs/Drywall/EIFS","","16.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009725","","","","","","","","",""
"a238c0000054JAmAAM","false","","","","","","","","","Site Demolition","","22.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009726","","","","","","","","",""
"a238c0000054JAnAAM","false","","","","","","","","","HVAC","","27.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009727","","","","","","","","",""
"a238c0000054JAoAAM","false","","","","","","","","","Relocate Transformer","","17.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009728","","","","","","","","",""
"a238c0000054JApAAM","false","","","","","","","","","New electric service","","4.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009729","","","","","","","","",""
"a238c0000054JAqAAM","false","","","","","","","","","Concrete light bases","","28.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009730","","","","","","","","",""
"a238c0000054JArAAM","false","","","","","","","","","Rough Carpentry","","9.0","","a258c000004VBJyAAO","0.0","","CLA-BD-0009731","","","","","","","","",""
"a238c0000054JAsAAM","false","","","","","","","","","Street light - new or relocate","","6.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009732","","","","","","","","",""
"a238c0000054JAtAAM","false","","","","","","","","","Telephone Underground","","33.0","","a258c000004VBJwAAO","0.0","","CLA-BD-0009733","","","","","","","","",""
"a238c0000054JAuAAM","false","","","","","","","","","Sheet Metal","","63.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009734","","","","","","","","",""
"a238c0000054JAvAAM","false","","","","","","","","","Electrical","","28.0","","a258c000004VBJuAAO","0.0","","CLA-BD-0009735","","","","","","","","",""
"a238c0000054JAwAAM","false","","","","","","","","","Dumpster Approach","","41.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009736","","","","","","","","",""
"a238c0000054JAxAAM","false","","","","","","","","","Acoustic Tile","","67.0","","a258c000004VBJtAAO","0.0","","CLA-BD-0009737","","","","","","","","",""
"a238c0000054JAyAAM","false","","","","","","","","","Barricades/Signs","","45.0","","a258c000004VBK1AAO","0.0","","CLA-BD-0009738","","","","","","","","",""
"a238c0000054JAzAAM","false","","","","","","","","","Misc.","","92.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009739","","","","","","","","",""
"a238c0000054JB0AAM","false","","","","","","","","","Toilet accessories","","72.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009740","","","","","","","","",""
"a238c0000054JB1AAM","false","","","","","","","","","Water to Property line","","2.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009741","","","","","","","","",""
"a238c0000054JB2AAM","false","","","","","","","","","Concrete paving","","34.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009742","","","","","","","","",""
"a238c0000054JB3AAM","false","","","","","","","","","Water to Property line","","2.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009743","","","","","","","","",""
"a238c0000054JB4AAM","false","","","","","","","","","100 ft secondary service","","84.0","","a258c000004VBK2AAO","0.0","","CLA-BD-0009744","","","","","","","","",""
"a238c0000054JB5AAM","false","","","","","","","","","Misc.","","92.0","","a258c000004VBJxAAO","0.0","","CLA-BD-0009745","","","","","","","","",""
"a238c0000054JB6AAM","false","","","","","","","","","Power pole - new or relocate","","5.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009746","","","","","","","","",""
"a238c0000054JB7AAM","false","","","","","","","","","Building Demolition","","48.0","","a258c000004VBJsAAO","0.0","","CLA-BD-0009747","","","","","","","","",""
