"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Description__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a4eWD000000f5AJYAY","005al00000Q6IbCAAV","false","Portfolio Manager","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nal00000H3k6BAAR"
"a4eWD000000f5AKYAY","005al00000Q6IbCAAV","false","Loan Ops","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nal00000H3k6CAAR"
"a4eWD000000f5ADYAY","005al00000Q6IbCAAV","false","Loan Officer","2026-04-07T19:24:57.000Z","005al00000RVcKvAAL","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nal00000H3k6DAAR"
"a4eWE000001HxkkYAC","005al00000RVcKvAAL","false","Credit Analyst / Underwriter","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nbn000001OLhLAAW"
"a4eWE000001HxklYAC","005al00000RVcKvAAL","false","Closer","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nbn000001OLhMAAW"
"a4eWE000001HxkmYAC","005al00000RVcKvAAL","false","Portfolio Manager","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nbn000001OLhNAAW"
"a4eWE000001HxknYAC","005al00000RVcKvAAL","false","Loan Approver","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","","a1nbn000001OLhOAAW"
"a4eWE000001HxkoYAC","005al00000RVcKvAAL","false","Loan Approver Queue","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","","a1nbn000001OLhPAAW"
"a4eWE000001HxkpYAC","005al00000RVcKvAAL","false","Loan Ops","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nbn000001OLhQAAW"
"a4eWE000001HxkqYAC","005al00000RVcKvAAL","false","Loan Officer","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nbn000001OLhRAAW"
"a4eWE000001HxkrYAC","005al00000RVcKvAAL","false","Special Assets","2026-08-11T16:29:49.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","005al00000RVvFOAA1","2026-08-13T07:45:38.000Z","","","","","TEAM_ROLES","a1nbn000001OLhSAAW"
