"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Branch_Id__c","LLC_BI__City__c","LLC_BI__County__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Institution__c","LLC_BI__Location__Latitude__s","LLC_BI__Location__Longitude__s","LLC_BI__Location__c","LLC_BI__Mortgage_License_State__c","LLC_BI__Mortgage_License__c","LLC_BI__NMLS__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Zip_Code__c","LLC_BI__lookupKey__c","AutorabitExtId__c"
"a1TWD000001oxXf2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","","","","////""Test123////""","a1TVx00000F44z9MAB"
"a1TWD000001oxYf2AI","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","IL","","","/////""813154123/////""","a1TVx00000F4509MAB"
"a1TWD000001oxXj2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","","","","/////""Test123/////""","a1TVx00000F44zDMAR"
"a1TWD000001oxYl2AI","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","IL","","","//////""813154123//////""","a1TVx00000F450FMAR"
"a1TWD000001oxYg2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","","","","//////""Test123//////""","a1TVx00000F450AMAR"
"a1TWD000001oxaB2AQ","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","IL","","","///////""813154123///////""","a1TVx00000F451fMAB"
"a1TWD000001oxYm2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","","","","///////""Test123///////""","a1TVx00000F450GMAR"
"a1TWD000001oxaC2AQ","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","","","","////////""Test123////////""","a1TVx00000F451gMAB"
"a1TWD000001oxEZ2AY","005al00000RVcKvAAL","false","DT-5180-Record04-ForwardSlash","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","/123765123/","a1TVx00000F44g3MAB"
"a1TWD000001oxEi2AI","005al00000RVcKvAAL","false","Forwarequote-DT5180","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","/Test123/","a1TVx00000F44gCMAR"
"a1TWD000001ox8S2AQ","005al00000RVcKvAAL","false","Wilmington","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","1.23122E+13","a1TVx00000F44ZwMAJ"
"a1TWD000001oxCi2AI","005al00000RVcKvAAL","false","Wilmington","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","1.23E+13","a1TVx00000F44eCMAR"
"a1TWD000001ox7z2AA","005al00000RVcKvAAL","false","Wilmington","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","12312231987262","a1TVx00000F44ZTMAZ"
"a1TWD000001ox9I2AQ","005al00000RVcKvAAL","false","testbranch","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","1234567","a1TVx00000F44amMAB"
"a1TWD000001oxBl2AI","005al00000RVcKvAAL","false","Naples","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.20065E+16","a1TVx00000F44dFMAR"
"a1TWD000001oxCR2AY","005al00000RVcKvAAL","false","Wilmington","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.20087E+16","a1TVx00000F44dvMAB"
"a1TWD000001oxCN2AY","005al00000RVcKvAAL","false","Ap","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","ap01","","","","","","","","","","","","","4.20316E+16","a1TVx00000F44drMAB"
"a1TWD000001oxBz2AI","005al00000RVcKvAAL","false","London City","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-00","London","","","","","","","","","","","","","4.20327E+16","a1TVx00000F44dTMAR"
"a1TWD000001oxCZ2AY","005al00000RVcKvAAL","false","Lyon","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","1","","","","","","","","","","","","","","4.2035E+16","a1TVx00000F44e3MAB"
"a1TWD000001ox8h2AA","005al00000RVcKvAAL","false","Naples","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.20415E+16","a1TVx00000F44aBMAR"
"a1TWD000001oxC42AI","005al00000RVcKvAAL","false","Paris","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","2","Paris","","","","","","","","","","","","","4.20419E+16","a1TVx00000F44dYMAR"
"a1TWD000001ox8b2AA","005al00000RVcKvAAL","false","Madrid","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.20603E+16","a1TVx00000F44a5MAB"
"a1TWD000001oxBE2AY","005al00000RVcKvAAL","false","AR-Branch-Test","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.20619E+16","a1TVx00000F44ciMAB"
"a1TWD000001oxCC2AY","005al00000RVcKvAAL","false","Naples","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Naples","","","","","","","","","","","","","4.2065E+16","a1TVx00000F44dgMAB"
"a1TWD000001oxC92AI","005al00000RVcKvAAL","false","Valencia","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Valencia","","","","","","","","","","","","","4.20661E+16","a1TVx00000F44ddMAB"
"a1TWD000001oxAv2AI","005al00000RVcKvAAL","false","Mumbai","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","502","Mumbai","","","","","","","","","","MT","Andheri East","","4.20672E+16","a1TVx00000F44cPMAR"
"a1TWD000001oxB32AI","005al00000RVcKvAAL","false","Mayfaire","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","13647","Wilmington","","","","","","","","","","","","","4.20715E+16","a1TVx00000F44cXMAR"
"a1TWD000001ox852AA","005al00000RVcKvAAL","false","Naples","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.20E+16","a1TVx00000F44ZZMAZ"
"a1TWD000001oxCG2AY","005al00000RVcKvAAL","false","SriBranchesTest1","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.21013E+16","a1TVx00000F44dkMAB"
"a1TWD000001oxBI2AY","005al00000RVcKvAAL","false","Bristol","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-02","","","","","","","","","","","","","","4.21072E+16","a1TVx00000F44cmMAB"
"a1TWD000001ox8Z2AQ","005al00000RVcKvAAL","false","Toulouse","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","4","","","","","","","","","","","","","","4.21137E+16","a1TVx00000F44a3MAB"
"a1TWD000001oxAw2AI","005al00000RVcKvAAL","false","Hyd Qa","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","test-001","test01","","","","","","","","","","","","","4.21173E+16","a1TVx00000F44cQMAR"
"a1TWD000001oxBg2AI","005al00000RVcKvAAL","false","Barcelona","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.21218E+16","a1TVx00000F44dAMAR"
"a1TWD000001oxBQ2AY","005al00000RVcKvAAL","false","shiva001","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.2133E+16","a1TVx00000F44cuMAB"
"a1TWD000001oxCP2AY","005al00000RVcKvAAL","false","Bangalore-01","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Uppal","","","","","","","","","","","","","4.21354E+16","a1TVx00000F44dtMAB"
"a1TWD000001oxBH2AY","005al00000RVcKvAAL","false","Manchester","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-01","","","","","","","","","","","","","","4.21562E+16","a1TVx00000F44clMAB"
"a1TWD000001oxCo2AI","005al00000RVcKvAAL","false","sreekanth","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.21578E+16","a1TVx00000F44eIMAR"
"a1TWD000001ox8j2AA","005al00000RVcKvAAL","false","Berlin","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.2161E+16","a1TVx00000F44aDMAR"
"a1TWD000001ox7x2AA","005al00000RVcKvAAL","false","Mumbai","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","502","Mumbai","","","","","","","","","","","","","4.21749E+16","a1TVx00000F44ZRMAZ"
"a1TWD000001oxCV2AY","005al00000RVcKvAAL","false","Liverpool","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-03","","","","","","","","","","","","","","4.21791E+16","a1TVx00000F44dzMAB"
"a1TWD000001oxC22AI","005al00000RVcKvAAL","false","Seville","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Seville","","","","","","","","","","","","","4.21796E+16","a1TVx00000F44dWMAR"
"a1TWD000001oxBw2AI","005al00000RVcKvAAL","false","Shiva","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.21834E+16","a1TVx00000F44dQMAR"
"a1TWD000001ox8X2AQ","005al00000RVcKvAAL","false","Paris","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","2","","","","","","","","","","","","","","4.21874E+16","a1TVx00000F44a1MAB"
"a1TWD000001oxBT2AY","005al00000RVcKvAAL","false","DryRunBranchUpdate","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","123","Hyderabad","","","","","","","","","","","","","4.21903E+16","a1TVx00000F44cxMAB"
"a1TWD000001ox8g2AA","005al00000RVcKvAAL","false","Milan","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.21937E+16","a1TVx00000F44aAMAR"
"a1TWD000001oxBm2AI","005al00000RVcKvAAL","false","Turin","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.21938E+16","a1TVx00000F44dGMAR"
"a1TWD000001ox822AA","005al00000RVcKvAAL","false","Toulouse","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","4","","","","","","","","","","","","","","4.21E+16","a1TVx00000F44ZWMAZ"
"a1TWD000001oxCX2AY","005al00000RVcKvAAL","false","Marseille","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","3","","","","","","","","","","","","","","4.22047E+16","a1TVx00000F44e1MAB"
"a1TWD000001oxC12AI","005al00000RVcKvAAL","false","Bristol","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-02","Bristol","","","","","","","","","","","","","4.22242E+16","a1TVx00000F44dVMAR"
"a1TWD000001ox8Y2AQ","005al00000RVcKvAAL","false","Marseille","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","3","","","","","","","","","","","","","","4.22324E+16","a1TVx00000F44a2MAB"
"a1TWD000001oxCK2AY","005al00000RVcKvAAL","false","QA - Branch 002","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","52","Bangalore","","","","","","","","","","","","","4.2232E+16","a1TVx00000F44doMAB"
"a1TWD000001ox8W2AQ","005al00000RVcKvAAL","false","Liverpool","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-03","","","","","","","","","","","","","","4.22343E+16","a1TVx00000F44a0MAB"
"a1TWD000001oxBR2AY","005al00000RVcKvAAL","false","Bangalore-01-Update","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","500","Bangalore","","","","","","","","","","","","","4.22373E+16","a1TVx00000F44cvMAB"
"a1TWD000001oxBA2AY","005al00000RVcKvAAL","false","testbranch","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.22589E+16","a1TVx00000F44ceMAB"
"a1TWD000001oxCg2AI","005al00000RVcKvAAL","false","Khmm","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","KHMM","","","","","","","","","","","","","","4.22659E+16","a1TVx00000F44eAMAR"
"a1TWD000001oxCE2AY","005al00000RVcKvAAL","false","Berlin","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Berlin","","","","","","","","","","","","","4.22673E+16","a1TVx00000F44diMAB"
"a1TWD000001ox7w2AA","005al00000RVcKvAAL","false","Wilmington","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Wilmington","","","","","","","","","","","","","4.22704E+16","a1TVx00000F44ZQMAZ"
"a1TWD000001oxBY2AY","005al00000RVcKvAAL","false","Manchester","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-01","","","","","","","","","","","","","","4.22748E+16","a1TVx00000F44d2MAB"
"a1TWD000001ox8R2AQ","005al00000RVcKvAAL","false","AR-Branch-Test","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.22773E+16","a1TVx00000F44ZvMAJ"
"a1TWD000001oxBb2AI","005al00000RVcKvAAL","false","Paris","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","2","","","","","","","","","","","","","","4.22794E+16","a1TVx00000F44d5MAB"
"a1TWD000001oxC62AI","005al00000RVcKvAAL","false","Toulouse01","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","4","Toulouse","","","","","","","","","","","","","4.22823E+16","a1TVx00000F44daMAB"
"a1TWD000001ox8l2AA","005al00000RVcKvAAL","false","Munich","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.22874E+16","a1TVx00000F44aFMAR"
"a1TWD000001oxBK2AY","005al00000RVcKvAAL","false","Paris","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","2","","","","","","","","","","","","","","4.22937E+16","a1TVx00000F44coMAB"
"a1TWD000001oxCm2AI","005al00000RVcKvAAL","false","Liverpool","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-03","","","","","","","","","","","","","","4.22E+16","a1TVx00000F44eGMAR"
"a1TWD000001ox8e2AA","005al00000RVcKvAAL","false","Seville","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.23041E+16","a1TVx00000F44a8MAB"
"a1TWD000001oxBe2AI","005al00000RVcKvAAL","false","Lyon","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","1","","","","","","","","","","","","","","4.23202E+16","a1TVx00000F44d8MAB"
"a1TWD000001oxAx2AI","005al00000RVcKvAAL","false","UK","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","Test-02","","","","","","","","","","","","","","4.23223E+16","a1TVx00000F44cRMAR"
"a1TWD000001oxCF2AY","005al00000RVcKvAAL","false","QA - Branch 004","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","54","myCityTest","","","","","","","","","","","","","4.23276E+16","a1TVx00000F44djMAB"
"a1TWD000001oxCQ2AY","005al00000RVcKvAAL","false","AR-Branch-Test","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.2333E+16","a1TVx00000F44duMAB"
"a1TWD000001oxCM2AY","005al00000RVcKvAAL","false","Hyd","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Hbd","","","","","","","","","","","","","4.23443E+16","a1TVx00000F44dqMAB"
"a1TWD000001oxCD2AY","005al00000RVcKvAAL","false","Turin","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","Turin","","","","","","","","","","","","","4.23469E+16","a1TVx00000F44dhMAB"
"a1TWD000001oxCU2AY","005al00000RVcKvAAL","false","Bristol","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","00-00-02","","","","","","","","","","","","","","4.23503E+16","a1TVx00000F44dyMAB"
"a1TWD000001oxBk2AI","005al00000RVcKvAAL","false","Milan","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","4.23554E+16","a1TVx00000F44dEMAR"
