"Id","IsDeleted","Name","OwnerId","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003RDTaYAO","false","ID Scan","005al00000RVcKvAAL","perdep-owner-id-scan","","NPORTAL__IdScan","","","","false","NPORTAL__ApplicationNavigation","15.0","","","","","","","NPORTAL__LoanTopbar","42127310994342821"
"a0mWD000003RDTbYAO","false","Underwriting","005al00000RVcKvAAL","sbl-unsec-sub-underwriting","","nretail__underwritingdetails","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7WBYAZ","nFORCE__sub_navigation","sbl-unsec-sub-underwriting","","nretail__summaryheadertopbar","42127682014606400"
"a0mWD000003RDTcYAO","false","Business Type","005al00000RVcKvAAL","sba-form-1919A","","nforce__kodatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7ZgYAJ","nforce__sub_navigation","","","nforce__topbar","42128640607217909"
"a0mWD000003RDTdYAO","false","Personal Info","005al00000RVcKvAAL","sbl-secured-personal","","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","60.0","","","a0sWD00000Xo7mEYAR","","sbl-secured-personal","","NPORTAL__LoanTopbar","42132380272078300"
"a0mWD000003RDTeYAO","false","Application","005al00000RVcKvAAL","sbl-apply-ind-other","","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","sbl-apply-ind-other","","NPORTAL__LoanTopbar","42132505447223900"
"a0mWD000003RDy3YAG","false","Application","005al00000RVcKvAAL","term-loan-detail","","nretail__applicationdetails","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7kzYAB","nFORCE__Blank","term-loan-detail","","nretail__summaryheadertopbar","42132536541151300"
"a0mWD000003RDy4YAG","false","Credit Memo","005al00000RVcKvAAL","action-tm-credit-mem","","llc_bi__tmo_credit_memo_redirect","","","","false","nforce__blank","","","","","nforce__blank","action-tm-credit-mem","","nforce__blank","42132604129518500"
"a0mWD000003RDkZYAW","false","Signers","005al00000RVcKvAAL","dep-owners","","NPORTAL__Owners","","","","false","NPORTAL__ApplicationNavigation","70.0","","","","","dep-owners","","NPORTAL__LoanTopbar","42133129078123039"
"a0mWD000003RDy5YAG","false","Total Exposure Summary","005al00000RVcKvAAL","total-exposure","","llc_bi__totalexposureaccount","","","","false","nforce__inline_navigation","","","","a0sWD00000Xo7l0YAB","nforce__sub_navigation","total-exposure","","nforce__blank","42133487890776500"
"a0mWD000003RDy6YAG","false","Credit Analysis Data Mapping","005al00000RVcKvAAL","spreads-configuration-data-import","","nCRED__Spreads_Import_Administration","","","","false","nFORCE__navigation","","mappingType=SpreadsAPIAdmin","","","nFORCE__sub_navigation","spreads-configuration-data-import","","nFORCE__ngtopbar","42134673052841700"
"a0mWD000003RDnkYAG","false","Reg O","005al00000RVcKvAAL","loan-pre-reg-o-read-lob-pwc","","nforce__korelatedlist","","","n-icon-hmda","false","nforce__navigation","","","","a0sWD00000Xo7hDYAR","nforce__sub_navigation","","","nforce__topbar","42136595800442628"
"a0mWD000003RDTfYAO","false","Borrowing Structure","005al00000RVcKvAAL","sba-la-borrowing-structure","","nforce__korelatedlist","","","n-icon-relationship","false","nforce__navigation","","action_new=sba.add-entity","","a0sWD00000Xo7YlYAJ","nforce__sub_navigation","","","nforce__topbar","42137228750541050"
"a0mWD000003RDTgYAO","false","Review & Submit","005al00000RVcKvAAL","rl-secured-review","","NPORTAL__PortalReview","","","","false","NPORTAL__ApplicationNavigation","70.0","","","","","","","NPORTAL__LoanTopbar","42139597499405134"
"a0mWD000003RDy7YAG","false","Overview","005al00000RVcKvAAL","relationship-overview-business","Lightning Web Component","nforce__ncdatagrid","","","n-icon-entity","false","nforce__inline_navigation","","","","a0sWD00000XoCGrYAN","nforce__sub_navigation","relationship-overview-business","","nforce__topbar","42139978074017000"
"a0mWD000003RDkaYAG","false","Collateral","005al00000RVcKvAAL","retail-collateral","Visualforce Page","nFORCE__Blank","This productized route is the retail template for the Collateral route. Users clone this route to reduce configuration and implementation time.","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","retail-collateral","","nforce__topbar","42142243130259596"
"a0mWD000003RDThYAO","false","SBA Form 4506T","005al00000RVcKvAAL","sba-account-form-4506t","","nsba__sba_form_contact","","","","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42142676625724000"
"a0mWD000003RDsxYAG","false","Frequency Template Builder","005al00000RVcKvAAL","frequency-template-builder","","LLC_BI__DateBasedTemplateBuilderAdmin","","","","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","","","nFORCE__ngtopbar","42150821486474043"
"a0mWD000003RDnlYAG","false","Loan Information","005al00000RVcKvAAL","loe-booked-loan-information-parent","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42153958000941062"
"a0mWD000003RDy8YAG","false","Account Structure & Roles","005al00000RVcKvAAL","pm-account-structure-and-roles","","llc_bi__structure_and_roles_maintenance_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pm-account-structure-and-roles","","llc_bi__nctopbar","42155286412104000"
"a0mWD000003RDTiYAO","false","Offers","005al00000RVcKvAAL","sbl-offers","","NPORTAL__Offers","","","","false","NPORTAL__ApplicationNavigation","85.0","","","","","","","NPORTAL__LoanTopbar","42157086963713717"
"a0mWD000003RDTjYAO","false","Send to SBA","005al00000RVcKvAAL","sba-forgiveness-send","Visualforce Page","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","sba-forgiveness-send","","nforce__topbar","42158092106625055"
"a0mWD000003RDTkYAO","false","SBA Transfer Details","005al00000RVcKvAAL","sba-forgiveness-senddetails","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","sba-forgiveness-senddetails","","nforce__topbar","42158092106625058"
"a0mWD000003RDTlYAO","false","Add a New Scanner","005al00000RVcKvAAL","tmmcr-remotedeposit(AddaNewScanner)-00","","","","","","false","","","","","a0sWD00000Xo7YoYAJ","","","","","42158739190059035"
"a0mWD000003RDy9YAG","false","Loan Team","005al00000RVcKvAAL","loan-team-m","Lightning Web Component","nforce__ncrelatedlist","","","n-icon-team","false","nforce__navigation","","","","a0sWD00000Xo7l1YAB","nforce__sub_navigation","loan-team-m","","nforce__topbar","42160814162644600"
"a0mWD000003RDyAYAW","false","Covenants","005al00000RVcKvAAL","pp-sn-covenants","","llc_bi__prodpkguiloancovenantspage","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pp-sn-covenants","","nforce__topbar","42162682385917800"
"a0mWD000003RDyBYAW","false","Relationship Search","005al00000RVcKvAAL","loan-ind-connected-relationship-search","","llc_bi__relationship_search_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","loan-ind-connected-relationship-search","","nforce__nctopbar","42164356490763400"
"a0mWD000003RDyCYAW","false","Loan Compliance","005al00000RVcKvAAL","compliance-2018","Lightning Web Component","nforce__ncrelatedlist","","","n-icon-hmda","false","nforce__navigation","","","","","nforce__sub_navigation","compliance-2018","","nforce__topbar","42165183690607700"
"a0mWD000003RDTmYAO","false","Return","005al00000RVcKvAAL","sba-document-generate-return","","llc_bi__docusignreturn","","","","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42166894716442443"
"a0mWD000003RDyDYAW","false","Fees","005al00000RVcKvAAL","loan-fees-blank","","nforce__blank","","","n-icon-relationship","false","nforce__navigation","","","","","nforce__sub_navigation","loan-fees-blank","","nforce__topbar","42167038047541266"
"a0mWD000003RDkbYAG","false","Rental Expense","005al00000RVcKvAAL","secured-retail-loan-online-application-rent-other-involved","Visualforce Page","nPORTAL__MultiRecordForm","","","","false","NPORTAL__ApplicationNavigation","","","","a0sWD00000Xo7cVYAR","","secured-retail-loan-online-application-rent-other-involved","","NPORTAL__LoanTopbar","42169091026311878"
"a0mWD000003RDkcYAG","false","Unable to Process","005al00000RVcKvAAL","dep-unable-to-process","","csChexSystemsDecline","","","","false","NPORTAL__ApplicationNavigation","","","","","","dep-unable-to-process","","NPORTAL__LoanTopbar","42170872155074059"
"a0mWD000003RDTnYAO","false","New Entity Involvement","005al00000RVcKvAAL","relationship-new-involvement-default","","llc_bi__relationship_new_entity_involvement","","","n-icon-relationship","false","nforce__inline_navigation","","","","","nforce__sub_navigation","relationship-new-involvement-default","","nforce__blank","42171007645958900"
"a0mWD000003RDkdYAG","false","Personal Info","005al00000RVcKvAAL","secured-retail-loan-online-application--individual-other-involved--personal-info","Visualforce Page","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","20.0","","","a0sWD00000Xo7bkYAB","","secured-retail-loan-online-application--individual-other-involved--personal-info","","NPORTAL__LoanTopbar","42171602603021066"
"a0mWD000003RDyEYAW","false","Primary Relationship","005al00000RVcKvAAL","ind-primary-relationship","","nforce__blank","","","","false","nforce__navigation","","","","","nforce__sub_navigation","ind-primary-relationship","","nforce__nctopbar","42171688121393200"
"a0mWD000003RDToYAO","false","Narrative","005al00000RVcKvAAL","loan-narrative-booked","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000XnoK9YAJ","nforce__sub_navigation","loan-narrative-booked","","nforce__topbar","42174053163080200"
"a0mWD000003RDnmYAG","false","Loan Information","005al00000RVcKvAAL","loe-post-loan-information-sba","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7dzYAB","nforce__sub_navigation","","","nforce__topbar","42174529732654836"
"a0mWD000003RDTpYAO","false","Ongoing Servicing","005al00000RVcKvAAL","relationship-ongoing-servicing","","nforce__ncrelatedlist","","","n-icon-analyze","false","nforce__inline_navigation","","","","a0sWD00000XoCGmYAN","nforce__sub_navigation","relationship-ongoing-servicing","","nforce__topbar","42175424850611300"
"a0mWD000003RDTqYAO","false","Document Preparation - CSI","005al00000RVcKvAAL","docprep-csi-loan","","c__GenerateDocumentsCSIPCC2","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42177131204066967"
"a0mWD000003RDyFYAW","false","Add Sub-Loan","005al00000RVcKvAAL","dmw-list-view-booked-loans.dmw-row-action-add-sub-loan","","llc_bi:dealManagementWorkspace","","","","false","","","","","a0sWD00000Xo7jmYAB","","","","","42178289300485199"
"a0mWD000003RDTrYAO","false","Use of Proceeds","005al00000RVcKvAAL","sba-la-use-of-proceeds","","nforce__korelatedlistchild","","","n-icon-entity","false","nforce__navigation","","","","a0sWD00000Xo7VtYAJ","nforce__sub_navigation","","","nforce__topbar","42178294095460311"
"a0mWD000003RDTsYAO","false","Decision History","005al00000RVcKvAAL","m-retail-decision-history","","llc_bi__loanautodecisionscorecardhistory","","","n-icon-analyze","false","nforce__navigation","","","","","nforce__sub_navigation","m-retail-decision-history","","nforce__topbar","42181560278866600"
"a0mWD000003RDTtYAO","false","Application","005al00000RVcKvAAL","perdep-owner-apply","","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","","","NPORTAL__LoanTopbar","42181683507388246"
"a0mWD000003RDTuYAO","false","Documents","005al00000RVcKvAAL","sbl-unsec-document","","nDOC__UniversalDocman","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","sbl-unsec-document","","nretail__summaryheadertopbar","42182729713493400"
"a0mWD000003RDTvYAO","false","Approval Details","005al00000RVcKvAAL","loan-approval-details","","LLC_BI__Loan_Approval_History","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42183409535456088"
"a0mWD000003RDyGYAW","false","Feature Management","005al00000RVcKvAAL","feature-management-admin","","nforce__featuremanagement","","","","false","nforce__navigation","","","","","nforce__sub_navigation","feature-management-admin","","nforce__topbar","42183966680332000"
"a0mWD000003RDyHYAW","false","Relationship Type","005al00000RVcKvAAL","ind-connected-relationship-type","","llc_bi__relationship_type_selection_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","ind-connected-relationship-type","","nforce__nctopbar","42184742836072900"
"a0mWD000003RDyIYAW","false","Loan Covenants","005al00000RVcKvAAL","pp-tn-covenants-loan-m","","llc_bi__prodpkguiloancovenantspage","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pp-tn-covenants-loan-m","","nforce__topbar","42185840305712900"
"a0mWD000003RDkeYAG","false","Beneficial Owners","005al00000RVcKvAAL","dep-add-beneficial-owner","Visualforce Page","nPORTAL__MultiRecordForm","","","","false","nPORTAL__ApplicationNavigation","","","","a0sWD00000Xo7cIYAR","","dep-add-beneficial-owner","","nPORTAL__LoanTopbar","42186480571830508"
"a0mWD000003RDkfYAG","false","Booked Information","005al00000RVcKvAAL","small-business-loan-post-approval-ui-booked-information-approved","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7cDYAR","nforce__sub_navigation","","","n-icon-loan","42187887202144181"
"a0mWD000003RDyJYAW","false","Proforma Product Selection","005al00000RVcKvAAL","proforma-product-selection","","llc_bi__proforma_product_selection","","","","false","","","","","","","proforma-product-selection","","llc_bi__nctopbar","42188786789462500"
"a0mWD000003RDyKYAW","false","Pricing","005al00000RVcKvAAL","loan-pricing-approved-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7jQYAR","nforce__sub_navigation","loan-pricing-approved-m","","nforce__topbar","42190124760937500"
"a0mWD000003RDTwYAO","false","Change of Ownership","005al00000RVcKvAAL","sba-change-of-ownership","","nforce__korelatedlistchild","","","n-icon-misc19","false","nforce__navigation","","","","a0sWD00000Xo7VZYAZ","nforce__sub_navigation","","","nforce__topbar","42191548535256077"
"a0mWD000003RDTxYAO","false","Review","005al00000RVcKvAAL","action-relationship-review","","llc_bi__accountreview","","","n-icon-search","false","nforce__navigation","","","","","nforce__sub_navigation","action-relationship-review","","nforce__topbar","42193887480614600"
"a0mWD000003RDyLYAW","false","Consolidation Mapping","005al00000RVcKvAAL","spreads-configuration-consolidation-mapping","","nCRED__Spreads_Import_Administration","","","","false","nFORCE__navigation","","mappingType=consolidation","","","nFORCE__sub_navigation","spreads-configuration-consolidation-mapping","","nforce__nctopbar","42197062216074895"
"a0mWD000003RDyMYAW","false","Loan Auto Decision Detail","005al00000RVcKvAAL","term-decision-detail","","AutoDecisionDetails","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__Blank","term-decision-detail","","nretail__summaryheadertopbar","42197935116870500"
"a0mWD000003RDyNYAW","false","Loan Application","005al00000RVcKvAAL","sba-application-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-misc5","false","nforce__navigation","","","","a0sWD00000XoCH3YAN","nforce__sub_navigation","sba-application-m","","nforce__topbar","42198002497026500"
"a0mWD000003RDTyYAO","false","Injections","005al00000RVcKvAAL","sba-la-injections","","nforce__korelatedlistchild","","","","false","nforce__navigation","","","","a0sWD00000Xo7VyYAJ","nforce__sub_navigation","","","nforce__topbar","42198362042803499"
"a0mWD000003RDTzYAO","false","Approved Fees","005al00000RVcKvAAL","fees-approved-m","","nforce__korelatedtable","","","n-icon-relationship","false","nforce__navigation","","","","a0sWD00000Xo7a6YAB","nforce__sub_navigation","fees-approved-m","","nforce__topbar","42199926702699300"
"a0mWD000003RDyOYAW","false","Documents","005al00000RVcKvAAL","bus-documents","","llc_bi__retail_customer_creation_docman","","","","false","nforce__Navigation","","","","","nFORCE__Sub_Navigation","bus-documents","","nforce__nctopbar","42199983195651400"
"a0mWD000003RDsvYAG","false","Current Covenants","005al00000RVcKvAAL","loan_current","","","","","","false","","","","","a0sWD00000Xo7jLYAR","","","","","42201189323852449"
"a0mWD000003RDyPYAW","false","Auto-Decision Detail","005al00000RVcKvAAL","loan-auto-decision-detail","","llc_bi__loanautodecisionscorecarddetail","","","n-icon-analyze","false","nforce__navigation","","","","","nforce__blank","loan-auto-decision-detail","","nforce__topbar","42201550993067600"
"a0mWD000003RDkgYAG","false","Auto-Decision Detail","005al00000RVcKvAAL","small-business-loan-ui-loan-auto-decision-detail","","llc_bi__loanautodecisionscorecarddetail","","","n-icon-analyze","false","nforce__navigation","","","","","nforce__blank","loan-auto-decision-detail","","nforce__topbar","42201550993067606"
"a0mWD000003U61RYAS","false","DT1.1Route Name","005al00000RVcKvAAL","DT1.1App","Visualforce Page","DT1.1Body","","","","false","","","","","a0sWD00000Y3iaRYAR","","","","","42202122107086473"
"a0mWD000003RDyQYAW","false","Add Sub-Loan","005al00000RVcKvAAL","dmw-list-view-all-loans.dmw-row-action-add-sub-loan","","llc_bi:dealManagementWorkspace","","","","false","","","","","a0sWD00000Xo7l2YAB","","","","","42202242336910868"
"a0mWD000003RDU0YAO","false","Document Manager","005al00000RVcKvAAL","tool-unidocman","","NDOC__UniversalDocman","","","n-icon-misc15","false","nFORCE__Navigation","","","","","nFORCE__Sub_Navigation","","","nFORCE__Topbar","42202367183603810"
"a0mWD000003RDyRYAW","false","Loan Auto Decision Detail","005al00000RVcKvAAL","veh-decision-detail","","AutoDecisionDetails","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__Blank","veh-decision-detail","","nretail__summaryheadertopbar","42202921736341000"
"a0mWD000003RDkhYAG","false","Loan Team","005al00000RVcKvAAL","retail-loan-ui-loan-team","Visualforce Page","nforce__ncrelatedlist","","","n-icon-team","false","nforce__navigation","","","","a0sWD00000Xo7cgYAB","nforce__sub_navigation","retail-loan-ui-loan-team","","nforce__topbar","42204337172288567"
"a0mWD000003RDySYAW","false","Manage Bill Points","005al00000RVcKvAAL","product-bill-points","","llc_bi__productbillpoints","","","","false","nforce__navigation","","","","a0sWD00000Xo7l3YAB","nforce__sub_navigation","product-bill-points","","nforce__topbar","42205410667607300"
"a0mWD000003RDyTYAW","false","Beneficial Ownership","005al00000RVcKvAAL","relationship-beneficial-ownership-summary","Lightning Web Component","nforce__ncrelatedlist","","","","false","nforce__inline_navigation","","","","a0sWD00000Xo7l4YAB","nforce__sub_navigation","relationship-beneficial-ownership-summary","","nforce__topbar","42206727345973537"
"a0mWD000003RDyUYAW","false","Layout Editor","005al00000RVcKvAAL","layout-editor","","nforce__layouteditor","","","n-icon-misc18","false","nforce__navigation","","","","","nforce__sub_navigation","layout-editor","","nforce__topbar","42207090954158400"
"a0mWD000003RDU1YAO","false","New Facility","005al00000RVcKvAAL","action-pp-new-facility-m","","llc_bi__newfacility","","","fa fa-plus-square-o","false","nforce__navigation","","complex=1","","a0sWD00000Xo7mKYAR","nforce__sub_navigation","action-pp-new-facility-m","","nforce__topbar","42209309489467600"
"a0mWD000003RDyVYAW","false","Change Product","005al00000RVcKvAAL","action-change-product-m","","llc_bi__loanproducts","","","n-icon-counter_offer","false","nforce__navigation","","","","","nforce__sub_navigation","action-change-product-m","","nforce__topbar","42210701083918500"
"a0mWD000003RDyWYAW","false","Deposits","005al00000RVcKvAAL","relationship-deposits","Lightning Web Component","nforce__korelatedtable","","","n-icon-deposit","false","nforce__inline_navigation","","readonly=true","","a0sWD00000XoCGqYAN","nforce__sub_navigation","relationship-deposits","","nforce__topbar","42210924393466700"
"a0mWD000003RDyXYAW","false","Know Your Customer","005al00000RVcKvAAL","loan-bus-kyc","","llc_bi__questionnaire_relationship_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","loan-bus-kyc","","nforce__nctopbar","42211704224266000"
"a0mWD000003RDkiYAG","false","Income Manager","005al00000RVcKvAAL","relationship-incomes","","llc_bi__income","","","fa fa-money fa-lg","false","nforce__inline_navigation","","incomeFieldSet=LLC_BI__Income_Schedule;","","","nforce__sub_navigation","relationship-incomes","","nforce__topbar","42213696024887322"
"a0mWD000003RDyYYAW","false","Run Auto-Decision","005al00000RVcKvAAL","action-auto-decision","","llc_bi__loanautodecision","","","n-icon-analyze","false","nforce__navigation","","","","","nforce__sub_navigation","action-auto-decision","","nforce__topbar","42215434473184500"
"a0mWD000003RDyZYAW","false","Balance Details","005al00000RVcKvAAL","balance-information-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7l5YAB","nforce__sub_navigation","balance-information-m","","nforce__topbar","42215548263675700"
"a0mWD000003RDU2YAO","false","Certifications","005al00000RVcKvAAL","certifications","","nforce__kogridlist","","","","false","nforce__navigation","","","","a0sWD00000Xo7bSYAR","nforce__sub_navigation","","","nforce__topbar","42217133810009794"
"a0mWD000003RDyaYAG","false","Application","005al00000RVcKvAAL","loc-loan-detail","","nretail__applicationdetails","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7l6YAB","nFORCE__Blank","loc-loan-detail","","nretail__summaryheadertopbar","42218280546390400"
"a0mWD000003RDybYAG","false","Counterparty Report","005al00000RVcKvAAL","counterparty-report","Lightning Web Component","nforce__korelatedtable","","","n-icon-loan","false","nforce__inline_navigation","","readonly=true","","a0sWD00000Xo7l7YAB","nforce__sub_navigation","counterparty-report","","nforce__topbar","42218930709551500"
"a0mWD000003RDU3YAO","false","Site Visits","005al00000RVcKvAAL","relationship-site-visits","","nforce__ncrelatedlist","","","n-icon-loan","false","nforce__inline_navigation","","","","a0sWD00000XoCH0YAN","nforce__sub_navigation","relationship-site-visits","","nforce__topbar","42219624150727000"
"a0mWD000003RDU4YAO","false","Memos","005al00000RVcKvAAL","memos-booked","","nforce__korelatedtable","","","n-icon-memo","false","nforce__navigation","","","","a0sWD00000XnoKBYAZ","nforce__sub_navigation","memos-booked","","nforce__topbar","42220153360337800"
"a0mWD000003RDycYAG","false","Loan","005al00000RVcKvAAL","checklist-loan-admin","","ncino__checklistadmin","","","","false","nforce__navigation","","sObjectType=LLC_BI__Loan__c","","","nforce__sub_navigation","checklist-loan-admin","","nforce__nctopbar","42221239962855900"
"a0mWD000003RDU5YAO","false","Document Manager","005al00000RVcKvAAL","tm-universal-docman","","NDOC__UniversalDocman","","","n-icon.treasury_management","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42221473631783194"
"a0mWD000003RDU6YAO","false","Your Account","005al00000RVcKvAAL","perdep-owner-account","","NPORTAL__DepositAccount","","","","false","NPORTAL__ApplicationNavigation","50.0","","","","","","","NPORTAL__LoanTopbar","42222447576515812"
"a0mWD000003RDU7YAO","false","Application","005al00000RVcKvAAL","sbl-secured-apply-other","","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","sbl-secured-apply-other","","NPORTAL__LoanTopbar","42224456560663400"
"a0mWD000003RDU8YAO","false","SBA Form 912","005al00000RVcKvAAL","sba-account-form-912","","nsba__sba_form_contact","","","","false","nforce__navigation","","","","a0sWD00000Xo7W6YAJ","nforce__sub_navigation","","","nforce__topbar","42226735222982788"
"a0mWD000003RDydYAG","false","Pricing","005al00000RVcKvAAL","loan-pricing-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7l8YAB","nforce__sub_navigation","loan-pricing-m","","nforce__topbar","42226911374389700"
"a0mWD000003RDyeYAG","false","Bulk Edit Booked","005al00000RVcKvAAL","dmw-list-view-booked-loans.dmw-bulk-action-bulk-edit","","llc_bi:dealManagementWorkspace","","","","false","","","","","a0sWD00000Xo7l9YAB","","","","","42229861494508958"
"a0mWD000003RDyfYAG","false","Product Selection","005al00000RVcKvAAL","pc-product-selection","","llc_bi__product_selection_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pc-product-selection","","nforce__ncTopbar","42230393977873600"
"a0mWD000003RDnnYAG","false","Certifications","005al00000RVcKvAAL","comp-certifications-read-loan-post-lob-pwc","","nforce__ncdatagrid","","","n-icon-hmda","false","nforce__navigation","","","","a0sWD00000Xo7gxYAB","nforce__sub_navigation","","","nforce__topbar","42233507745617642"
"a0mWD000003RDygYAG","false","Policy Exceptions","005al00000RVcKvAAL","policy-exception","","llc_bi__policyexceptions","","","n-icon-exception","false","nforce__navigation","","","","","nforce__sub_navigation","policy-exception","","nforce__topbar","42235049208165200"
"a0mWD000003RDnoYAG","false","Insurance","005al00000RVcKvAAL","booked-Insurance-lob-pwc","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7dpYAB","nforce__sub_navigation","","","nforce__topbar","42235618700282619"
"a0mWD000003RDU9YAO","false","Review & Submit","005al00000RVcKvAAL","dep-review","","NPORTAL__PortalReview","","","","false","NPORTAL__ApplicationNavigation","40.0","","","","","","","NPORTAL__LoanTopbar","42235714181844477"
"a0mWD000003RDUAYA4","false","PPP Borrower Ownership","005al00000RVcKvAAL","ppp-borrower-ownership","","nforce__KoRelatedListChild","","","","false","nforce__navigation","","","","","nforce__sub_navigation","ppp-borrower-ownership","","nforce__topbar","42236282504805337"
"a0mWD000003RDkjYAG","false","Disclosures","005al00000RVcKvAAL","retail-loan-ui-disclosures","Visualforce Page","nFORCE__Blank","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","retail-loan-ui-application","","nforce__topbar","42236511525579994"
"a0mWD000003RDyhYAG","false","Payment Calculator","005al00000RVcKvAAL","tool-payment-calculator-m","","llc_bi__paymentcalculator","","","n-icon-misc17","false","nforce__navigation","","","","","nforce__sub_navigation","tool-payment-calculator-m","","nforce__topbar","42240195331805100"
"a0mWD000003RDkkYAG","false","Verifying","005al00000RVcKvAAL","dep-business-pending-info","Visualforce Page","cm_Portal_PendingBusinessInformation","","","","false","NPORTAL__ApplicationNavigation","","","","","","dep-business-pending-info","","NPORTAL__LoanTopbar","42241627079830134"
"a0mWD000003RDyiYAG","false","Loan Auto Decision Detail","005al00000RVcKvAAL","heloc-decision-detail","","AutoDecisionDetails","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__Blank","heloc-decision-detail","","nretail__summaryheadertopbar","42243143127043900"
"a0mWD000003RDyjYAG","false","Details","005al00000RVcKvAAL","loan-ind-connected-relationship-details","","llc_bi__relationship_details_app","","","","false","nforce__navigation","","","","a0sWD00000Xo7jrYAB","nforce__sub_navigation","loan-ind-connected-relationship-details","","nforce__nctopbar","42243622946115800"
"a0mWD000003RDykYAG","false","Covenants","005al00000RVcKvAAL","covenant-management-m-lwc","Lightning Web Component","nCino:covenantContainer","","","","false","nforce__navigation","","flyoutPanelWidth=X-Large;hideLoanAssociation=true;hidePerformanceRules=false;stagesToHideCreation=Booked","","","nforce__navigation_subnavigation","","","nforce__topbar","42244445891079253"
"a0mWD000003RDUBYA4","false","Portal Access","005al00000RVcKvAAL","tool-portal-access","","nportal__portalaccess","","","n-icon-team","false","nforce__navigation","","","","","nforce__sub_navigation","tool-portal-access","","nforce__topbar","42244814648666600"
"a0mWD000003RDylYAG","false","Finish","005al00000RVcKvAAL","pc-finish","","llc_bi__product_creation_finish_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pc-finish","","nforce__nctopbar","42246369030104100"
"a0mWD000003RDnpYAG","false","Referrals","005al00000RVcKvAAL","post-editable-referral-info","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7eCYAR","nforce__sub_navigation","","","nforce__topbar","42248038117445251"
