"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c"
"a1ZWD000002I6At2AK","005al00000Q6IbCAAV","false","CFG-CV00000630","Credit Action","This specifies what the status a renewed or modified loan is placed in.","Credit_Action_Starting_Status","","Open","42807171020083101"
"a1ZWD000002I6Au2AK","005al00000Q6IbCAAV","false","CFG-CV00000631","Credit Action","","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42813871210569191"
"a1ZWD000002I6Av2AK","005al00000Q6IbCAAV","false","CFG-CV00000632","Credit Action","This specifies what related lists should clone immediately when you renew or modify the loan.","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42941812476047246"
"a1ZWD000002I6Aw2AK","005al00000Q6IbCAAV","false","CFG-CV00000633","Credit Action","This specifies what the stage a renewed or modified loan is placed in.","Credit_Action_Starting_Stage","","Qualification","42958440805630604"
"a1ZWD000002I6Ax2AK","005al00000Q6IbCAAV","false","CFG-CV00000634","Change Product","","Allowed_Stages","","Qualification, Proposal, Credit Underwriting, Final Review","Allowed_Stages"
"a1ZWD000002I6Ay2AK","005al00000Q6IbCAAV","false","CFG-CV00000635","Change Product","","Allowed_Status","","Open","Allowed_Status"
"a1ZWD000002I6Az2AK","005al00000Q6IbCAAV","false","CFG-CV00000636","General","","Bankr_BI_Prefix","","LLC_BI__","Bankr_BI_Prefix"
"a1ZWD000002I6B12AK","005al00000Q6IbCAAV","false","CFG-CV00000638","Change Memo","","CM_DocManLookupKey","","LLC_Loan","CM_DocManLookupKey"
"a1ZWD000002I6B22AK","005al00000Q6IbCAAV","false","CFG-CV00000639","Change Memo","","CM_DocTabLookupKey","","TAB-LOAN-CREDIT","CM_DocTabLookupKey"
"a1ZWD000002I6B32AK","005al00000Q6IbCAAV","false","CFG-CV00000640","Change Memo","","CM_DocTypeLookupKey","","DM-DT-001","CM_DocTypLookupKey"
"a1ZWD000002I6B42AK","005al00000Q6IbCAAV","false","CFG-CV00000641","Change Memo","","CM_Enabled","","Enabled","CM_Enabled"
"a1ZWD000002I6B52AK","005al00000Q6IbCAAV","false","CFG-CV00000642","Change Memo","","CM_Name","","Change Memo","CM_Name"
"a1ZWD000002I6B02AK","005al00000Q6IbCAAV","false","CFG-CV00000637","Loan Stage","","Closed","","Booked","Closed"
"a1ZWD000002I6B62AK","005al00000Q6IbCAAV","false","CFG-CV00000643","Loan Stage","","Complete","","Complete","Complete"
"a1ZWD000002I6B72AK","005al00000Q6IbCAAV","false","CFG-CV00000644","General","","CreditRole","","nCino Administrator","CreditRole"
"a1ZWD000002I6BC2A0","005al00000Q6IbCAAV","false","CFG-CV00000649","Delete_Versions_Allowed","","ALL","","LATEST","DELETE_VER_ALLOWED"
"a1ZWD000002I6B92AK","005al00000Q6IbCAAV","false","CFG-CV00000646","Delete_Feature_Enabled","","ALL","","Enabled","DEL_FEATURE_ENABLE"
"a1ZWD000002I6BA2A0","005al00000Q6IbCAAV","false","CFG-CV00000647","Stages_Deletion_Allowed","","ALL","","Qualification,Booked","DEL_STAGES_ALLOWED"
"a1ZWD000002I6BB2A0","005al00000Q6IbCAAV","false","CFG-CV00000648","Status_Deletion_Allowed","","ALL","","Open","DEL_STATUS_ALLOWED"
"a1ZWD000002I6BD2A0","005al00000Q6IbCAAV","false","CFG-CV00000650","Document Manager","","DM_AmzOrgBucketName","","","DM_OrgBucketName"
"a1ZWD000002I6BE2A0","005al00000Q6IbCAAV","false","CFG-CV00000651","Document Manager","","DM_ReviewerRoles","","nCino Administrator","DM_ReviewerRoles"
"a1ZWD000002I6B82AK","005al00000Q6IbCAAV","false","CFG-CV00000645","Loan Status","","Declined","","Declined","Declined"
"a1ZWD000002I6BF2A0","005al00000Q6IbCAAV","false","CFG-CV00000652","Modification_Name_Format","","ALL","","_M","MOD_NAME_FORMAT"
"a1ZWD000002I6BG2A0","005al00000Q6IbCAAV","false","CFG-CV00000653","Renewal_Feature_Enabled","","ALL","","Enabled","REN_FEATURE_ENABLE"
"a1ZWD000002I6BH2A0","005al00000Q6IbCAAV","false","CFG-CV00000654","Renewal_History_Available_String","","ALL","","Available","REN_HIST_AVAIL_STR"
"a1ZWD000002I6BI2A0","005al00000Q6IbCAAV","false","CFG-CV00000655","Renewal_History_In_Progress_String","","ALL","","In Progress","REN_HIST_PROG_STR"
"a1ZWD000002I6BJ2A0","005al00000Q6IbCAAV","false","CFG-CV00000656","Renewal_History_Superceded_String","","ALL","","Superseded","REN_HIST_SUPER_STR"
"a1ZWD000002I6BK2A0","005al00000Q6IbCAAV","false","CFG-CV00000657","Renewal_Name_Format","","ALL","","_R","REN_NAME_FORMAT"
"a1ZWD000002I6BM2A0","005al00000Q6IbCAAV","false","CFG-CV00000659","Stages_Renewal_Allowed","","ALL","","Booked","REN_STAGES_ALLOWED"
"a1ZWD000002I6BL2A0","005al00000Q6IbCAAV","false","CFG-CV00000658","Renewal_Stage_Superceded_String","","ALL","","Complete","REN_STAG_SUPER_STR"
"a1ZWD000002I6BN2A0","005al00000Q6IbCAAV","false","CFG-CV00000660","Renewal_Starting_Stage","","ALL","","Qualification","REN_STARTING_STAGE"
"a1ZWD000002I6BP2A0","005al00000Q6IbCAAV","false","CFG-CV00000662","Status_Renewal_Allowed","","ALL","","Open","REN_STATUS_ALLOWED"
"a1ZWD000002I6BQ2A0","005al00000Q6IbCAAV","false","CFG-CV00000663","Renewal_Status_Deleted_String","","ALL","","Deleted","REN_STATUS_DEL_STR"
"a1ZWD000002I6BO2A0","005al00000Q6IbCAAV","false","CFG-CV00000661","Renewal_Status_Superceded_String","","ALL","","Superseded","REN_STAT_SUPER_STR"
"a1ZWD000002I6BR2A0","005al00000Q6IbCAAV","false","CFG-CV00000664","Renewal_Starting_Status","","ALL","","Open","REN_STRTING_STATUS"
"a1ZWD000002I6BS2A0","005al00000Q6IbCAAV","false","CFG-CV00000665","Renewal_Supported","","ALL","","Enabled","REN_SUPPORTED"
"a1ZWD000002I6BT2A0","005al00000Q6IbCAAV","false","CFG-CV00000666","Roles_For_Loan_Deletion","","ALL","","nCino Administrator","ROLES_LOAN_DELETE"
"a1ZWD000002I6BU2A0","005al00000Q6IbCAAV","false","CFG-CV00000667","Roles_For_Multi-Renewal_Delete","","ALL","","nCino Administrator","ROLES_MULTI_DELETE"
