"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","AutorabitExtId__c"
"a1UWE000009JuG72AK","false","CLA-BD-0001061","a1WWE000004pbOD2AY","0.0","","Painting","","68.0","","","","","a23bn000001w0QlAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG82AK","false","CLA-BD-0001062","a1WWE000004pbOD2AY","0.0","","EIFS / Lath & Plaster","","70.0","","","","","a23bn000001w0QmAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuG92AK","false","CLA-BD-0001063","a1WWE000004pbOD2AY","0.0","","Misc. S.S.","","71.0","","","","","a23bn000001w0QnAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGA2A0","false","CLA-BD-0001064","a1WWE000004pbOD2AY","0.0","","Toilet accessories","","72.0","","","","","a23bn000001w0QoAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGB2A0","false","CLA-BD-0001065","a1WWE000004pbOD2AY","0.0","","GC Installed Items","","73.0","","","","","a23bn000001w0QpAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGC2A0","false","CLA-BD-0001066","a1WWE000004pbOD2AY","0.0","","H.V.A.C. System","","74.0","","","","","a23bn000001w0QqAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGD2A0","false","CLA-BD-0001067","a1WWE000004pbOD2AY","0.0","","TABC - Air Balance (Required)","","75.0","","","","","a23bn000001w0QrAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGE2A0","false","CLA-BD-0001068","a1WWE000004pbOD2AY","0.0","","Plumbing","","76.0","","","","","a23bn000001w0QsAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGF2A0","false","CLA-BD-0001069","a1WWE000004pbOD2AY","0.0","","Fire Sprinkler (if required)","","77.0","","","","","a23bn000001w0QtAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGG2A0","false","CLA-BD-0001070","a1WWE000004pbOD2AY","0.0","","Metal Fab","","78.0","","","","","a23bn000001w0QuAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGH2A0","false","CLA-BD-0001071","a1WWE000004pbOD2AY","0.0","","Electrical Material","","82.0","","","","","a23bn000001w0QvAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGI2A0","false","CLA-BD-0001072","a1WWE000004pbOD2AY","0.0","","Cedar brackets","","79.0","","","","","a23bn000001w0QwAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGJ2A0","false","CLA-BD-0001073","a1WWE000004pbOD2AY","0.0","","Termite Treat","","80.0","","","","","a23bn000001w0QxAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGK2A0","false","CLA-BD-0001074","a1WWE000004pbOD2AY","0.0","","Electrical Labor","","81.0","","","","","a23bn000001w0QyAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGL2A0","false","CLA-BD-0001075","a1WWE000004pbOD2AY","0.0","","Power Management System","","83.0","","","","","a23bn000001w0QzAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGM2A0","false","CLA-BD-0001076","a1WWE000004pbOD2AY","0.0","","F.R.P. and marlite","","86.0","","","","","a23bn000001w0R0AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGN2A0","false","CLA-BD-0001077","a1WWE000004pbOD2AY","0.0","","Gas to Property Line","","1.0","","","","","a23bn000001w0R1AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGO2A0","false","CLA-BD-0001078","a1WWE000004pbOD2AY","0.0","","Water to Property line","","2.0","","","","","a23bn000001w0R2AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGP2A0","false","CLA-BD-0001079","a1WWE000004pbOD2AY","0.0","","Sewer to Property Line","","3.0","","","","","a23bn000001w0R3AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGQ2A0","false","CLA-BD-0001080","a1WWE000004pbOD2AY","0.0","","New electric service","","4.0","","","","","a23bn000001w0R4AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGR2A0","false","CLA-BD-0001081","a1WWE000004pbOD2AY","0.0","","Power pole - new or relocate","","5.0","","","","","a23bn000001w0R5AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGS2A0","false","CLA-BD-0001082","a1WWE000004pbOD2AY","0.0","","Street light - new or relocate","","6.0","","","","","a23bn000001w0R6AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGT2A0","false","CLA-BD-0001083","a1WWE000004pbOD2AY","0.0","","Telephone Pole","","7.0","","","","","a23bn000001w0R7AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGU2A0","false","CLA-BD-0001084","a1WWE000004pbOD2AY","0.0","","Off site fire hydrant","","8.0","","","","","a23bn000001w0R8AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGV2A0","false","CLA-BD-0001085","a1WWE000004pbOD2AY","0.0","","Traffic signals - new or relocate","","9.0","","","","","a23bn000001w0R9AAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGW2A0","false","CLA-BD-0001086","a1WWE000004pbOD2AY","0.0","","Offsite Demolition","","10.0","","","","","a23bn000001w0RAAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGX2A0","false","CLA-BD-0001087","a1WWE000004pbOD2AY","0.0","","New Curb & Gutter","","11.0","","","","","a23bn000001w0RBAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGY2A0","false","CLA-BD-0001088","a1WWE000004pbOD2AY","0.0","","New sidewalk","","12.0","","","","","a23bn000001w0RCAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGZ2A0","false","CLA-BD-0001089","a1WWE000004pbOD2AY","0.0","","New approaches","","13.0","","","","","a23bn000001w0RDAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGa2AK","false","CLA-BD-0001090","a1WWE000004pbOD2AY","0.0","","Street paving and markings","","14.0","","","","","a23bn000001w0REAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGb2AK","false","CLA-BD-0001091","a1WWE000004pbOD2AY","0.0","","Temp sidewalk","","15.0","","","","","a23bn000001w0RFAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGc2AK","false","CLA-BD-0001092","a1WWE000004pbOD2AY","0.0","","Storm Drain","","16.0","","","","","a23bn000001w0RGAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGd2AK","false","CLA-BD-0001093","a1WWE000004pbOD2AY","0.0","","Relocate Transformer","","17.0","","","","","a23bn000001w0RHAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGe2AK","false","CLA-BD-0001094","a1WWE000004pbOD2AY","0.0","","Survey","","18.0","","","","","a23bn000001w0RIAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGf2AK","false","CLA-BD-0001095","a1WWE000004pbOD2AY","0.0","","Soils","","20.0","","","","","a23bn000001w0RJAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGg2AK","false","CLA-BD-0001096","a1WWE000004pbOD2AY","0.0","","Landscaping w/ Irrigation (Required)","","36.0","","","","","a23bn000001w0RKAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGh2AK","false","CLA-BD-0001097","a1WWE000004pbOD2AY","0.0","","Bollard w/ Covers","","37.0","","","","","a23bn000001w0RLAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGi2AK","false","CLA-BD-0001098","a1WWE000004pbOD2AY","0.0","","Fire Sprinkler Service","","38.0","","","","","a23bn000001w0RMAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGj2AK","false","CLA-BD-0001099","a1WWE000004pbOD2AY","0.0","","Erosion & Dust Control","","39.0","","","","","a23bn000001w0RNAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGk2AK","false","CLA-BD-0001100","a1WWE000004pbOD2AY","0.0","","Fire Hydrant","","40.0","","","","","a23bn000001w0ROAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGl2AK","false","CLA-BD-0001101","a1WWE000004pbOD2AY","0.0","","Dumpster Approach","","41.0","","","","","a23bn000001w0RPAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGm2AK","false","CLA-BD-0001102","a1WWE000004pbOD2AY","0.0","","Wheel stops","","42.0","","","","","a23bn000001w0RQAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGn2AK","false","CLA-BD-0001103","a1WWE000004pbOD2AY","0.0","","Preasure Washing","","43.0","","","","","a23bn000001w0RRAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGo2AK","false","CLA-BD-0001104","a1WWE000004pbOD2AY","0.0","","Service Yard Conc/CMU","","44.0","","","","","a23bn000001w0RSAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGp2AK","false","CLA-BD-0001105","a1WWE000004pbOD2AY","0.0","","Barricades/Signs","","45.0","","","","","a23bn000001w0RTAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGq2AK","false","CLA-BD-0001106","a1WWE000004pbOD2AY","0.0","","Signage","","46.0","","","","","a23bn000001w0RUAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGr2AK","false","CLA-BD-0001107","a1WWE000004pbOD2AY","0.0","","Misc.","","47.0","","","","","a23bn000001w0RVAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGs2AK","false","CLA-BD-0001108","a1WWE000004pbOD2AY","0.0","","Building Demolition","","48.0","","","","","a23bn000001w0RWAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGt2AK","false","CLA-BD-0001109","a1WWE000004pbOD2AY","0.0","","Building Concrete Material","","49.0","","","","","a23bn000001w0RXAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGu2AK","false","CLA-BD-0001110","a1WWE000004pbOD2AY","0.0","","Building Concrete Labor","","50.0","","","","","a23bn000001w0RYAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGv2AK","false","CLA-BD-0001111","a1WWE000004pbOD2AY","0.0","","Concrete Foundation( Include building slab)","","51.0","","","","","a23bn000001w0RZAAY","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGw2AK","false","CLA-BD-0001112","a1WWE000004pbOD2AY","0.0","","Masonry/Building","","52.0","","","","","a23bn000001w0RaAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGx2AK","false","CLA-BD-0001113","a1WWE000004pbOD2AY","0.0","","Structural Steel","","53.0","","","","","a23bn000001w0RbAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGy2AK","false","CLA-BD-0001114","a1WWE000004pbOD2AY","0.0","","Wood Doors","","56.0","","","","","a23bn000001w0RcAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuGz2AK","false","CLA-BD-0001115","a1WWE000004pbOD2AY","0.0","","Finish Lumber & Doors","","54.0","","","","","a23bn000001w0RdAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH02AK","false","CLA-BD-0001116","a1WWE000004pbOD2AY","0.0","","Metal Doors & Frames","","55.0","","","","","a23bn000001w0ReAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH12AK","false","CLA-BD-0001117","a1WWE000004pbOD2AY","0.0","","Finish Hardware","","57.0","","","","","a23bn000001w0RfAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH22AK","false","CLA-BD-0001118","a1WWE000004pbOD2AY","0.0","","Framing Labor","","58.0","","","","","a23bn000001w0RgAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH32AK","false","CLA-BD-0001119","a1WWE000004pbOD2AY","0.0","","Misc.","","92.0","","","","","a23bn000001w0RhAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH42AK","false","CLA-BD-0001120","a1WWE000004pbOD2AY","0.0","","Grade fill / cut","","21.0","","","","","a23bn000001w0RiAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH52AK","false","CLA-BD-0001121","a1WWE000004pbOD2AY","0.0","","Site Demolition","","22.0","","","","","a23bn000001w0RjAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH62AK","false","CLA-BD-0001122","a1WWE000004pbOD2AY","0.0","","Retaining wall","","23.0","","","","","a23bn000001w0RkAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH72AK","false","CLA-BD-0001123","a1WWE000004pbOD2AY","0.0","","Trash Enclosure","","24.0","","","","","a23bn000001w0RlAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH82AK","false","CLA-BD-0001124","a1WWE000004pbOD2AY","0.0","","Concrete slabs/curbs (do not include in building slab)","","25.0","","","","","a23bn000001w0RmAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuH92AK","false","CLA-BD-0001125","a1WWE000004pbOD2AY","0.0","","Storm Drain","","26.0","","","","","a23bn000001w0RnAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHA2A0","false","CLA-BD-0001126","a1WWE000004pbOD2AY","0.0","","Concrete Sidewalks","","27.0","","","","","a23bn000001w0RoAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHB2A0","false","CLA-BD-0001127","a1WWE000004pbOD2AY","0.0","","Concrete light bases","","28.0","","","","","a23bn000001w0RpAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHC2A0","false","CLA-BD-0001128","a1WWE000004pbOD2AY","0.0","","Electrical site work/labor","","29.0","","","","","a23bn000001w0RqAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHD2A0","false","CLA-BD-0001129","a1WWE000004pbOD2AY","0.0","","Site Lighting Material","","30.0","","","","","a23bn000001w0RrAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHE2A0","false","CLA-BD-0001130","a1WWE000004pbOD2AY","0.0","","Monument sign base construction Lang to verify if applicable","","31.0","","","","","a23bn000001w0RsAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHF2A0","false","CLA-BD-0001131","a1WWE000004pbOD2AY","0.0","","Plumbing sit work","","32.0","","","","","a23bn000001w0RtAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHG2A0","false","CLA-BD-0001132","a1WWE000004pbOD2AY","0.0","","Telephone Underground","","33.0","","","","","a23bn000001w0RuAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHH2A0","false","CLA-BD-0001133","a1WWE000004pbOD2AY","0.0","","Concrete paving","","34.0","","","","","a23bn000001w0RvAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHI2A0","false","CLA-BD-0001134","a1WWE000004pbOD2AY","0.0","","Asphalt paving & striping","","35.0","","","","","a23bn000001w0RwAAI","0.0","0.0","0.0","0.0",""
"a1UWE000009JuHJ2A0","false","CLA-BD-0001135","a1WWE000004pbOE2AY","0.0","","Landscaping","","3.0","","","","","a23bn000001w0RxAAI","0.0","0.0","","0.0",""
"a1UWE000009JuHK2A0","false","CLA-BD-0001136","a1WWE000004pbOE2AY","0.0","","Bituminous Damproofing","","11.0","","","","","a23bn000001w0RyAAI","0.0","0.0","","0.0",""
"a1UWE000009JuHL2A0","false","CLA-BD-0001137","a1WWE000004pbOE2AY","0.0","","Linear Metal Ceilings","","19.0","","","","","a23bn000001w0RzAAI","0.0","0.0","","0.0",""
"a1UWE000009JuHM2A0","false","CLA-BD-0001138","a1WWE000004pbOE2AY","0.0","","Hydraulic Elevators","","24.0","","","","","a23bn000001w0S0AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHN2A0","false","CLA-BD-0001139","a1WWE000004pbOE2AY","0.0","","Glass/Glazing","","15.0","","","","","a23bn000001w0S1AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHO2A0","false","CLA-BD-0001140","a1WWE000004pbOE2AY","0.0","","General Conditions","","29.0","","","","","a23bn000001w0S2AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHP2A0","false","CLA-BD-0001141","a1WWE000004pbOE2AY","0.0","","S & C Bond","","30.0","","","","","a23bn000001w0S3AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHQ2A0","false","CLA-BD-0001142","a1WWE000004pbOE2AY","0.0","","Rough Carpentry","","9.0","","","","","a23bn000001w0S4AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHR2A0","false","CLA-BD-0001143","a1WWE000004pbOE2AY","0.0","","Finish Carpentry/Millwork","","10.0","","","","","a23bn000001w0S5AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHS2A0","false","CLA-BD-0001144","a1WWE000004pbOE2AY","0.0","","HVAC","","27.0","","","","","a23bn000001w0S6AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHT2A0","false","CLA-BD-0001145","a1WWE000004pbOE2AY","0.0","","Acoustical Ceilings","","18.0","","","","","a23bn000001w0S7AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHU2A0","false","CLA-BD-0001146","a1WWE000004pbOE2AY","0.0","","Structural Steel","","8.0","","","","","a23bn000001w0S8AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHV2A0","false","CLA-BD-0001147","a1WWE000004pbOE2AY","0.0","","Plumbing","","25.0","","","","","a23bn000001w0S9AAI","0.0","0.0","","0.0",""
"a1UWE000009JuHW2A0","false","CLA-BD-0001148","a1WWE000004pbOE2AY","0.0","","Fabric Awnings","","23.0","","","","","a23bn000001w0SAAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHX2A0","false","CLA-BD-0001149","a1WWE000004pbOE2AY","0.0","","Doors/Frames/Hardware","","14.0","","","","","a23bn000001w0SBAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHY2A0","false","CLA-BD-0001150","a1WWE000004pbOE2AY","0.0","","Unit Masonry","","7.0","","","","","a23bn000001w0SCAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHZ2A0","false","CLA-BD-0001151","a1WWE000004pbOE2AY","0.0","","Termite Control","","2.0","","","","","a23bn000001w0SDAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHa2AK","false","CLA-BD-0001152","a1WWE000004pbOE2AY","0.0","","Fire Protection","","26.0","","","","","a23bn000001w0SEAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHb2AK","false","CLA-BD-0001153","a1WWE000004pbOE2AY","0.0","","Joint Sealers","","13.0","","","","","a23bn000001w0SFAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHc2AK","false","CLA-BD-0001154","a1WWE000004pbOE2AY","0.0","","Resilient and Carpet Flooring","","20.0","","","","","a23bn000001w0SGAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHd2AK","false","CLA-BD-0001155","a1WWE000004pbOE2AY","0.0","","Building Excavator","","4.0","","","","","a23bn000001w0SHAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHe2AK","false","CLA-BD-0001156","a1WWE000004pbOE2AY","0.0","","Painting","","21.0","","","","","a23bn000001w0SIAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHf2AK","false","CLA-BD-0001157","a1WWE000004pbOE2AY","0.0","","Sitework","","1.0","","","","","a23bn000001w0SJAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHg2AK","false","CLA-BD-0001158","a1WWE000004pbOE2AY","0.0","","Misc. Specialities","","22.0","","","","","a23bn000001w0SKAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHh2AK","false","CLA-BD-0001159","a1WWE000004pbOE2AY","0.0","","Electrical","","28.0","","","","","a23bn000001w0SLAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHi2AK","false","CLA-BD-0001160","a1WWE000004pbOE2AY","0.0","","Ceramic Tile","","17.0","","","","","a23bn000001w0SMAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHj2AK","false","CLA-BD-0001161","a1WWE000004pbOE2AY","0.0","","Cast in Place Concrete","","5.0","","","","","a23bn000001w0SNAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHk2AK","false","CLA-BD-0001162","a1WWE000004pbOE2AY","0.0","","Roofing &Sheetmetal Flashing","","12.0","","","","","a23bn000001w0SOAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHl2AK","false","CLA-BD-0001163","a1WWE000004pbOE2AY","0.0","","Studs/Drywall/EIFS","","16.0","","","","","a23bn000001w0SPAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHm2AK","false","CLA-BD-0001164","a1WWE000004pbOE2AY","0.0","","Tilt-Up Precast Concrete","","6.0","","","","","a23bn000001w0SQAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHn2AK","false","CLA-BD-0001165","a1WWE000004pbOE2AY","0.0","","Change Orders","","36.0","","","","","a23bn000001w0SRAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHo2AK","false","CLA-BD-0001166","a1WWE000004pbOE2AY","0.0","","Allowance - Precast Concrete Pane","","35.0","","","","","a23bn000001w0SSAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHp2AK","false","CLA-BD-0001167","a1WWE000004pbOE2AY","0.0","","Allowance - Drywall Support/Finishing","","34.0","","","","","a23bn000001w0STAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHq2AK","false","CLA-BD-0001168","a1WWE000004pbOE2AY","0.0","","Fee","","31.0","","","","","a23bn000001w0SUAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHr2AK","false","CLA-BD-0001169","a1WWE000004pbOE2AY","0.0","","Allowance - Add'l Steel Support","","33.0","","","","","a23bn000001w0SVAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHs2AK","false","CLA-BD-0001170","a1WWE000004pbOE2AY","0.0","","Allowance - Mis Paving Earthwork","","32.0","","","","","a23bn000001w0SWAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHt2AK","false","CLA-BD-0001171","a1WWE000004pbOF2AY","0.0","","Exterior Glass (7xS450)","","21.0","","","","","a23bn000001w0SXAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHu2AK","false","CLA-BD-0001172","a1WWE000004pbOF2AY","0.0","","General Conditions","","22.0","","","","","a23bn000001w0SYAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHv2AK","false","CLA-BD-0001173","a1WWE000004pbOF2AY","0.0","","O&P","","23.0","","","","","a23bn000001w0SZAAY","0.0","0.0","","0.0",""
"a1UWE000009JuHw2AK","false","CLA-BD-0001174","a1WWE000004pbOF2AY","0.0","","Insurance","","24.0","","","","","a23bn000001w0SaAAI","0.0","0.0","","0.0",""
"a1UWE000009JuHx2AK","false","CLA-BD-0001175","a1WWE000004pbOF2AY","0.0","","Millwork","","14.0","","","","","a23bn000001w0SbAAI","0.0","0.0","","0.0",""
"a1UWE000009JuHy2AK","false","CLA-BD-0001176","a1WWE000004pbOF2AY","0.0","","Structural ( Entry Feature)","","15.0","","","","","a23bn000001w0ScAAI","0.0","0.0","","0.0",""
"a1UWE000009JuHz2AK","false","CLA-BD-0001177","a1WWE000004pbOF2AY","0.0","","Concrete Fill In Plumbing Trenches","","16.0","","","","","a23bn000001w0SdAAI","0.0","0.0","","0.0",""
"a1UWE000009JuI02AK","false","CLA-BD-0001178","a1WWE000004pbOF2AY","0.0","","Site Stripping (ADA)","","17.0","","","","","a23bn000001w0SeAAI","0.0","0.0","","0.0",""
