"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWD000006OG5d2AG","false","CLA-BD-0004464","a1WWD0000033wfG2AQ","0.0","","Insurance","","24.0","","","","","a23al000006gvsjAAA","0.0","0.0","","0.0"
"a1UWD000006OG5e2AG","false","CLA-BD-0004465","a1WWD0000033wfF2AQ","0.0","","Doors/Frames/Hardware","","14.0","","","","","a23al000006gvskAAA","0.0","0.0","","0.0"
"a1UWD000006OG5f2AG","false","CLA-BD-0004466","a1WWD0000033wfG2AQ","0.0","","Millwork","","14.0","","","","","a23al000006gvslAAA","0.0","0.0","","0.0"
"a1UWD000006OG5g2AG","false","CLA-BD-0004467","a1WWD0000033wfF2AQ","0.0","","Unit Masonry","","7.0","","","","","a23al000006gvsmAAA","0.0","0.0","","0.0"
"a1UWD000006OG5h2AG","false","CLA-BD-0004468","a1WWD0000033wfG2AQ","0.0","","Structural ( Entry Feature)","","15.0","","","","","a23al000006gvsnAAA","0.0","0.0","","0.0"
"a1UWD000006OG5i2AG","false","CLA-BD-0004469","a1WWD0000033wfF2AQ","0.0","","Termite Control","","2.0","","","","","a23al000006gvsoAAA","0.0","0.0","","0.0"
"a1UWD000006OG5j2AG","false","CLA-BD-0004470","a1WWD0000033wfG2AQ","0.0","","Concrete Fill In Plumbing Trenches","","16.0","","","","","a23al000006gvspAAA","0.0","0.0","","0.0"
"a1UWD000006OG5k2AG","false","CLA-BD-0004471","a1WWD0000033wfG2AQ","0.0","","Site Stripping (ADA)","","17.0","","","","","a23al000006gvsqAAA","0.0","0.0","","0.0"
"a1UWD000006OG5l2AG","false","CLA-BD-0004472","a1WWD0000033wfG2AQ","0.0","","Roof Structure (Trusses, Sheeting, Labor)","","18.0","","","","","a23al000006gvuTAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5m2AG","false","CLA-BD-0004473","a1WWD0000033wfG2AQ","0.0","","Roofing","","19.0","","","","","a23al000006gvuUAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5n2AG","false","CLA-BD-0004474","a1WWD0000033wfG2AQ","0.0","","Lights - LED","","20.0","","","","","a23al000006gvuVAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5o2AG","false","CLA-BD-0004475","a1WWD0000033wfG2AQ","0.0","","Electrical and Low Voltage","","1.0","","","","","a23al000006gvuWAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5p2AG","false","CLA-BD-0004476","a1WWD0000033wfG2AQ","0.0","","Mechanical","","2.0","","","","","a23al000006gvuXAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5q2AG","false","CLA-BD-0004477","a1WWD0000033wfG2AQ","0.0","","Plumbing","","3.0","","","","","a23al000006gvuYAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5r2AG","false","CLA-BD-0004478","a1WWD0000033wfG2AQ","0.0","","Painting (Interior and Exterior)","","4.0","","","","","a23al000006gvuZAAQ","0.0","0.0","","0.0"
"a1UWD000006OG5s2AG","false","CLA-BD-0004479","a1WWD0000033wfG2AQ","0.0","","Flooring","","5.0","","","","","a23al000006gvuaAAA","0.0","0.0","","0.0"
"a1UWD000006OG5t2AG","false","CLA-BD-0004480","a1WWD0000033wfG2AQ","0.0","","Ceiling","","6.0","","","","","a23al000006gvubAAA","0.0","0.0","","0.0"
"a1UWD000006OG5u2AG","false","CLA-BD-0004481","a1WWD0000033wfG2AQ","0.0","","Drywall and Framing","","7.0","","","","","a23al000006gvucAAA","0.0","0.0","","0.0"
"a1UWD000006OG5v2AG","false","CLA-BD-0004482","a1WWD0000033wfH2AQ","0.0","","GC Installed Items","","73.0","","","","","a23al000006gvudAAA","0.0","0.0","","0.0"
"a1UWD000006OG5w2AG","false","CLA-BD-0004483","a1WWD0000033wfG2AQ","0.0","","Doors & Hardware (SC w/ Metal Frame)","","8.0","","","","","a23al000006gvueAAA","0.0","0.0","","0.0"
"a1UWD000006OG5x2AG","false","CLA-BD-0004484","a1WWD0000033wfH2AQ","0.0","","H.V.A.C. System","","74.0","","","","","a23al000006gvufAAA","0.0","0.0","","0.0"
"a1UWD000006OG5y2AG","false","CLA-BD-0004485","a1WWD0000033wfG2AQ","0.0","","Demo","","9.0","","","","","a23al000006gvugAAA","0.0","0.0","","0.0"
"a1UWD000006OG5z2AG","false","CLA-BD-0004486","a1WWD0000033wfH2AQ","0.0","","TABC - Air Balance (Required)","","75.0","","","","","a23al000006gvuhAAA","0.0","0.0","","0.0"
"a1UWD000006OG602AG","false","CLA-BD-0004487","a1WWD0000033wfG2AQ","0.0","","CMU - Stucco","","11.0","","","","","a23al000006gvuiAAA","0.0","0.0","","0.0"
"a1UWD000006OG612AG","false","CLA-BD-0004488","a1WWD0000033wfH2AQ","0.0","","Plumbing","","76.0","","","","","a23al000006gvujAAA","0.0","0.0","","0.0"
"a1UWD000006OG622AG","false","CLA-BD-0004489","a1WWD0000033wfH2AQ","0.0","","Cabinets / Millwork","","88.0","","","","","a23al000006gvukAAA","0.0","0.0","","0.0"
"a1UWD000006OG632AG","false","CLA-BD-0004490","a1WWD0000033wfH2AQ","0.0","","Fire Sprinkler (if required)","","77.0","","","","","a23al000006gvulAAA","0.0","0.0","","0.0"
"a1UWD000006OG642AG","false","CLA-BD-0004491","a1WWD0000033wfH2AQ","0.0","","Flooring (Rubber Floor/Silica/ Res-Tek)","","90.0","","","","","a23al000006gvumAAA","0.0","0.0","","0.0"
"a1UWD000006OG652AG","false","CLA-BD-0004492","a1WWD0000033wfH2AQ","0.0","","Metal Fab","","78.0","","","","","a23al000006gvunAAA","0.0","0.0","","0.0"
"a1UWD000006OG662AG","false","CLA-BD-0004493","a1WWD0000033wfH2AQ","0.0","","Lighting Fixtures","","85.0","","","","","a23al000006gvuoAAA","0.0","0.0","","0.0"
"a1UWD000006OG672AG","false","CLA-BD-0004494","a1WWD0000033wfH2AQ","0.0","","Cedar brackets","","79.0","","","","","a23al000006gvupAAA","0.0","0.0","","0.0"
"a1UWD000006OG682AG","false","CLA-BD-0004495","a1WWD0000033wfH2AQ","0.0","","Corporate Decor Package Installation","","93.0","","","","","a23al000006gvuqAAA","0.0","0.0","","0.0"
"a1UWD000006OG692AG","false","CLA-BD-0004496","a1WWD0000033wfH2AQ","0.0","","Termite Treat","","80.0","","","","","a23al000006gvurAAA","0.0","0.0","","0.0"
"a1UWD000006OG6A2AW","false","CLA-BD-0004497","a1WWD0000033wfH2AQ","0.0","","100 ft secondary service","","84.0","","","","","a23al000006gvusAAA","0.0","0.0","","0.0"
"a1UWD000006OG6B2AW","false","CLA-BD-0004498","a1WWD0000033wfH2AQ","0.0","","Electrical Labor","","81.0","","","","","a23al000006gvutAAA","0.0","0.0","","0.0"
"a1UWD000006OG6C2AW","false","CLA-BD-0004499","a1WWD0000033wfH2AQ","0.0","","Fire Extinguishers","","87.0","","","","","a23al000006gvuuAAA","0.0","0.0","","0.0"
"a1UWD000006OG6D2AW","false","CLA-BD-0004500","a1WWD0000033wfH2AQ","0.0","","Electrical Material","","82.0","","","","","a23al000006gvuvAAA","0.0","0.0","","0.0"
"a1UWD000006OG6E2AW","false","CLA-BD-0004501","a1WWD0000033wfH2AQ","0.0","","Caulking","","91.0","","","","","a23al000006gvuwAAA","0.0","0.0","","0.0"
"a1UWD000006OG6F2AW","false","CLA-BD-0004502","a1WWD0000033wfH2AQ","0.0","","Power Management System","","83.0","","","","","a23al000006gvuxAAA","0.0","0.0","","0.0"
"a1UWD000006OG6G2AW","false","CLA-BD-0004503","a1WWD0000033wfH2AQ","0.0","","Toilet Partitions","","89.0","","","","","a23al000006gvuyAAA","0.0","0.0","","0.0"
"a1UWD000006OG6H2AW","false","CLA-BD-0004504","a1WWD0000033wfH2AQ","0.0","","F.R.P. and marlite","","86.0","","","","","a23al000006gvuzAAA","0.0","0.0","","0.0"
"a1UWD000006OG6I2AW","false","CLA-BD-0004505","a1WWD0000033wfH2AQ","0.0","","Roofing","","59.0","","","","","a23al000006gvv0AAA","0.0","0.0","","0.0"
"a1UWD000006OG6J2AW","false","CLA-BD-0004506","a1WWD0000033wfH2AQ","0.0","","Gas to Property Line","","1.0","","","","","a23al000006gvv1AAA","0.0","0.0","","0.0"
"a1UWD000006OG6K2AW","false","CLA-BD-0004507","a1WWD0000033wfH2AQ","0.0","","Finish Carpentry Labor","","60.0","","","","","a23al000006gvv2AAA","0.0","0.0","","0.0"
"a1UWD000006OG6L2AW","false","CLA-BD-0004508","a1WWD0000033wfH2AQ","0.0","","Water to Property line","","2.0","","","","","a23al000006gvv3AAA","0.0","0.0","","0.0"
"a1UWD000006OG6M2AW","false","CLA-BD-0004509","a1WWD0000033wfH2AQ","0.0","","Rough Carpentry Labor","","61.0","","","","","a23al000006gvv4AAA","0.0","0.0","","0.0"
"a1UWD000006OG6N2AW","false","CLA-BD-0004510","a1WWD0000033wfH2AQ","0.0","","Sewer to Property Line","","3.0","","","","","a23al000006gvv5AAA","0.0","0.0","","0.0"
"a1UWD000006OG6O2AW","false","CLA-BD-0004511","a1WWD0000033wfH2AQ","0.0","","Rough Carpentry Material","","62.0","","","","","a23al000006gvv6AAA","0.0","0.0","","0.0"
"a1UWD000006OG6P2AW","false","CLA-BD-0004512","a1WWD0000033wfH2AQ","0.0","","New electric service","","4.0","","","","","a23al000006gvv7AAA","0.0","0.0","","0.0"
"a1UWD000006OG6Q2AW","false","CLA-BD-0004513","a1WWD0000033wfH2AQ","0.0","","Sheet Metal","","63.0","","","","","a23al000006gvv8AAA","0.0","0.0","","0.0"
"a1UWD000006OG6R2AW","false","CLA-BD-0004514","a1WWD0000033wfH2AQ","0.0","","Power pole - new or relocate","","5.0","","","","","a23al000006gvv9AAA","0.0","0.0","","0.0"
"a1UWD000006OG6S2AW","false","CLA-BD-0004515","a1WWD0000033wfH2AQ","0.0","","Insulation","","64.0","","","","","a23al000006gvvAAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6T2AW","false","CLA-BD-0004516","a1WWD0000033wfH2AQ","0.0","","Street light - new or relocate","","6.0","","","","","a23al000006gvvBAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6U2AW","false","CLA-BD-0004517","a1WWD0000033wfH2AQ","0.0","","Glass & Glazing","","65.0","","","","","a23al000006gvvCAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6V2AW","false","CLA-BD-0004518","a1WWD0000033wfH2AQ","0.0","","Telephone Pole","","7.0","","","","","a23al000006gvvDAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6W2AW","false","CLA-BD-0004519","a1WWD0000033wfH2AQ","0.0","","Drywall & Metal Studs","","66.0","","","","","a23al000006gvvEAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6X2AW","false","CLA-BD-0004520","a1WWD0000033wfH2AQ","0.0","","Off site fire hydrant","","8.0","","","","","a23al000006gvvFAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6Y2AW","false","CLA-BD-0004521","a1WWD0000033wfH2AQ","0.0","","Acoustic Tile","","67.0","","","","","a23al000006gvvGAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6Z2AW","false","CLA-BD-0004522","a1WWD0000033wfH2AQ","0.0","","Traffic signals - new or relocate","","9.0","","","","","a23al000006gvvHAAQ","0.0","0.0","","0.0"
"a1UWD000006OG6a2AG","false","CLA-BD-0004523","a1WWD0000033wfH2AQ","0.0","","Painting","","68.0","","","","","a23al000006gvvIAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoL2AW","false","CLA-BD-0004524","a1WWD0000033wfH2AQ","0.0","","Offsite Demolition","","10.0","","","","","a23al000006gvvJAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoM2AW","false","CLA-BD-0004525","a1WWD0000033wfH2AQ","0.0","","Ceramic tile","","69.0","","","","","a23al000006gvvKAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoN2AW","false","CLA-BD-0004526","a1WWD0000033wfH2AQ","0.0","","New Curb & Gutter","","11.0","","","","","a23al000006gvvLAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoO2AW","false","CLA-BD-0004527","a1WWD0000033wfH2AQ","0.0","","EIFS / Lath & Plaster","","70.0","","","","","a23al000006gvvMAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoP2AW","false","CLA-BD-0004528","a1WWD0000033wfH2AQ","0.0","","New sidewalk","","12.0","","","","","a23al000006gvvNAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoQ2AW","false","CLA-BD-0004529","a1WWD0000033wfH2AQ","0.0","","Misc. S.S.","","71.0","","","","","a23al000006gvvOAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoR2AW","false","CLA-BD-0004530","a1WWD0000033wfH2AQ","0.0","","New approaches","","13.0","","","","","a23al000006gvvPAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoS2AW","false","CLA-BD-0004531","a1WWD0000033wfH2AQ","0.0","","Toilet accessories","","72.0","","","","","a23al000006gvvQAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoT2AW","false","CLA-BD-0004532","a1WWD0000033wfH2AQ","0.0","","Street paving and markings","","14.0","","","","","a23al000006gvvRAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoU2AW","false","CLA-BD-0004533","a1WWD0000033wfH2AQ","0.0","","Temp sidewalk","","15.0","","","","","a23al000006gvvSAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoV2AW","false","CLA-BD-0004534","a1WWD0000033wfH2AQ","0.0","","Storm Drain","","16.0","","","","","a23al000006gvvTAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoW2AW","false","CLA-BD-0004535","a1WWD0000033wfH2AQ","0.0","","Relocate Transformer","","17.0","","","","","a23al000006gvvUAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoX2AW","false","CLA-BD-0004536","a1WWD0000033wfH2AQ","0.0","","Survey","","18.0","","","","","a23al000006gvvVAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoY2AW","false","CLA-BD-0004537","a1WWD0000033wfH2AQ","0.0","","Soils","","20.0","","","","","a23al000006gvvWAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoZ2AW","false","CLA-BD-0004538","a1WWD0000033wfH2AQ","0.0","","Grade fill / cut","","21.0","","","","","a23al000006gvvXAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoa2AG","false","CLA-BD-0004539","a1WWD0000033wfH2AQ","0.0","","Site Demolition","","22.0","","","","","a23al000006gvvYAAQ","0.0","0.0","","0.0"
"a1UWD000006OIob2AG","false","CLA-BD-0004540","a1WWD0000033wfH2AQ","0.0","","Retaining wall","","23.0","","","","","a23al000006gvvZAAQ","0.0","0.0","","0.0"
"a1UWD000006OIoc2AG","false","CLA-BD-0004541","a1WWD0000033wfH2AQ","0.0","","Trash Enclosure","","24.0","","","","","a23al000006gvvaAAA","0.0","0.0","","0.0"
"a1UWD000006OIod2AG","false","CLA-BD-0004542","a1WWD0000033wfH2AQ","0.0","","Concrete slabs/curbs (do not include in building slab)","","25.0","","","","","a23al000006gvvbAAA","0.0","0.0","","0.0"
"a1UWD000006OIoe2AG","false","CLA-BD-0004543","a1WWD0000033wfH2AQ","0.0","","Storm Drain","","26.0","","","","","a23al000006gvvcAAA","0.0","0.0","","0.0"
"a1UWD000006OIof2AG","false","CLA-BD-0004544","a1WWD0000033wfH2AQ","0.0","","Masonry/Building","","52.0","","","","","a23al000006gvvdAAA","0.0","0.0","","0.0"
"a1UWD000006OIog2AG","false","CLA-BD-0004545","a1WWD0000033wfH2AQ","0.0","","Concrete Sidewalks","","27.0","","","","","a23al000006gvveAAA","0.0","0.0","","0.0"
"a1UWD000006OIoh2AG","false","CLA-BD-0004546","a1WWD0000033wfH2AQ","0.0","","Structural Steel","","53.0","","","","","a23al000006gvvfAAA","0.0","0.0","","0.0"
"a1UWD000006OIoi2AG","false","CLA-BD-0004547","a1WWD0000033wfH2AQ","0.0","","Concrete light bases","","28.0","","","","","a23al000006gvvgAAA","0.0","0.0","","0.0"
"a1UWD000006OIoj2AG","false","CLA-BD-0004548","a1WWD0000033wfH2AQ","0.0","","Finish Lumber & Doors","","54.0","","","","","a23al000006gvvhAAA","0.0","0.0","","0.0"
"a1UWD000006OIok2AG","false","CLA-BD-0004549","a1WWD0000033wfH2AQ","0.0","","Electrical site work/labor","","29.0","","","","","a23al000006gvviAAA","0.0","0.0","","0.0"
"a1UWD000006OIol2AG","false","CLA-BD-0004550","a1WWD0000033wfH2AQ","0.0","","Metal Doors & Frames","","55.0","","","","","a23al000006gvvjAAA","0.0","0.0","","0.0"
"a1UWD000006OIom2AG","false","CLA-BD-0004551","a1WWD0000033wfH2AQ","0.0","","Site Lighting Material","","30.0","","","","","a23al000006gvvkAAA","0.0","0.0","","0.0"
"a1UWD000006OIon2AG","false","CLA-BD-0004552","a1WWD0000033wfH2AQ","0.0","","Wood Doors","","56.0","","","","","a23al000006gvvlAAA","0.0","0.0","","0.0"
"a1UWD000006OIoo2AG","false","CLA-BD-0004553","a1WWD0000033wfH2AQ","0.0","","Monument sign base construction Lang to verify if applicable","","31.0","","","","","a23al000006gvvmAAA","0.0","0.0","","0.0"
"a1UWD000006OIop2AG","false","CLA-BD-0004554","a1WWD0000033wfH2AQ","0.0","","Finish Hardware","","57.0","","","","","a23al000006gvvnAAA","0.0","0.0","","0.0"
"a1UWD000006OIoq2AG","false","CLA-BD-0004555","a1WWD0000033wfH2AQ","0.0","","Plumbing sit work","","32.0","","","","","a23al000006gvvoAAA","0.0","0.0","","0.0"
"a1UWD000006OIor2AG","false","CLA-BD-0004556","a1WWD0000033wfH2AQ","0.0","","Framing Labor","","58.0","","","","","a23al000006gvvpAAA","0.0","0.0","","0.0"
"a1UWD000006OIos2AG","false","CLA-BD-0004557","a1WWD0000033wfH2AQ","0.0","","Telephone Underground","","33.0","","","","","a23al000006gvvqAAA","0.0","0.0","","0.0"
"a1UWD000006OIot2AG","false","CLA-BD-0004558","a1WWD0000033wfH2AQ","0.0","","Misc.","","92.0","","","","","a23al000006gvvrAAA","0.0","0.0","","0.0"
"a1UWD000006OIou2AG","false","CLA-BD-0004559","a1WWD0000033wfH2AQ","0.0","","Concrete paving","","34.0","","","","","a23al000006gvvsAAA","0.0","0.0","","0.0"
"a1UWD000006OIov2AG","false","CLA-BD-0004560","a1WWD0000033wfH2AQ","0.0","","Asphalt paving & striping","","35.0","","","","","a23al000006gvvtAAA","0.0","0.0","","0.0"
"a1UWD000006OIow2AG","false","CLA-BD-0004561","a1WWD0000033wfH2AQ","0.0","","Landscaping w/ Irrigation (Required)","","36.0","","","","","a23al000006gvvuAAA","0.0","0.0","","0.0"
"a1UWD000006OIox2AG","false","CLA-BD-0004562","a1WWD0000033wfH2AQ","0.0","","Bollard w/ Covers","","37.0","","","","","a23al000006gvvvAAA","0.0","0.0","","0.0"
"a1UWD000006OIoy2AG","false","CLA-BD-0004563","a1WWD0000033wfH2AQ","0.0","","Fire Sprinkler Service","","38.0","","","","","a23al000006gvvwAAA","0.0","0.0","","0.0"
"a1UWD000006OIoz2AG","false","CLA-BD-0004564","a1WWD0000033wfH2AQ","0.0","","Erosion & Dust Control","","39.0","","","","","a23al000006gvvxAAA","0.0","0.0","","0.0"
"a1UWD000006OIp02AG","false","CLA-BD-0004565","a1WWD0000033wfH2AQ","0.0","","Fire Hydrant","","40.0","","","","","a23al000006gvvyAAA","0.0","0.0","","0.0"
"a1UWD000006OIp12AG","false","CLA-BD-0004566","a1WWD0000033wfH2AQ","0.0","","Dumpster Approach","","41.0","","","","","a23al000006gvvzAAA","0.0","0.0","","0.0"
"a1UWD000006OIp22AG","false","CLA-BD-0004567","a1WWD0000033wfH2AQ","0.0","","Wheel stops","","42.0","","","","","a23al000006gvw0AAA","0.0","0.0","","0.0"
"a1UWD000006OIp32AG","false","CLA-BD-0004568","a1WWD0000033wfH2AQ","0.0","","Preasure Washing","","43.0","","","","","a23al000006gvw1AAA","0.0","0.0","","0.0"
