"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Is_Template__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","Product_Type__c"
"a2HWD000000cT9F2AU","005al00000Q6IbCAAV","false","48 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","ConsumerDepositCD48 Month CD",""
"a2HWD000000cT9G2AU","005al00000Q6IbCAAV","false","48 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","BusinessDepositCD48 Month CD",""
"a2HWD000000cT9H2AU","005al00000Q6IbCAAV","false","60 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","BusinessDepositCD60 Month CD",""
"a2HWD000000cT9I2AU","005al00000Q6IbCAAV","false","60 Month IRA CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","ConsumerDepositIRA60 Month IRA CD",""
"a2HWD000000cT9J2AU","005al00000Q6IbCAAV","false","60 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","ConsumerDepositCD60 Month CD",""
"a2HWD000000cT9K2AU","005al00000Q6IbCAAV","false","6 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","BusinessDepositCD6 Month CD",""
"a2HWD000000cT9L2AU","005al00000Q6IbCAAV","false","9 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","BusinessDepositCD9 Month CD",""
"a2HWD000000cT9M2AU","005al00000Q6IbCAAV","false","9 Month CD","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","ConsumerDepositCD9 Month CD",""
"a2HWD000000cT9N2AU","005al00000Q6IbCAAV","false","Business Interest Checking","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","BusinessDepositCheckingBusiness Interest Checking",""
"a2HWD000000cT9O2AU","005al00000Q6IbCAAV","false","Business Savings","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","BusinessDepositSavingsBusiness Savings",""
"a2HWD000000cT9P2AU","005al00000Q6IbCAAV","false","Business Select Savings","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","BusinessDepositSavingsBusiness Select Savings",""
"a2HWD000000cT9R2AU","005al00000Q6IbCAAV","false","Free Savings","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","ConsumerDepositSavingsFree Savings",""
"a2HWD000000cT9S2AU","005al00000Q6IbCAAV","false","High Yield Money Market","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","ConsumerDepositCheckingHigh Yield Money Market",""
"a2HWD000000cT9T2AU","005al00000Q6IbCAAV","false","High Yield Money Market","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","BusinessDepositCheckingHigh Yield Money Market",""
"a2HWD000000cT9U2AU","005al00000Q6IbCAAV","false","Traditional Savings","2026-04-07T19:10:06.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","ConsumerDepositSavingsTraditional Savings",""
"a2HWD000001C3MX2A0","005al00000RVcKvAAL","false","6 Month CD","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","42723928686341252",""
"a2HWD000001C3MY2A0","005al00000RVcKvAAL","false","Platinum Savings","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","42780403575539527",""
"a2HWD000001C3MZ2A0","005al00000RVcKvAAL","false","Silver Savings","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","42244523527536086",""
"a2HWD000001C3Ma2AK","005al00000RVcKvAAL","false","Gold Savings","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","42820560982611726",""
"a2HWD000001C3Mb2AK","005al00000RVcKvAAL","false","12 Month CD","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","42672927583424186",""
"a2HWD000001C3Mc2AK","005al00000RVcKvAAL","false","Advantage Savings","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Single","42690931093276273",""
"a2HWD000001C3Me2AK","005al00000RVcKvAAL","false","Traditional Fixed IRA","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","42188463157965038",""
"a2HWD000001C3Mf2AK","005al00000RVcKvAAL","false","Roth Fixed IRA","2026-07-20T14:10:23.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","005al00000RVcKvAAL","2026-08-06T11:31:32.000Z","","","true","Tiered","42180522650340896",""
"a3ybn0000002k0dAAA","005bn000003k2JdAAI","false","6 Month CD","","","","","","","","true","Single","42723928686341252","Consumer CD"
"a3ybn0000002k0eAAA","005bn000003k2JdAAI","false","Platinum Savings","","","","","","","","true","Tiered","42780403575539527","Consumer Savings"
"a3ybn0000002k0fAAA","005bn000003k2JdAAI","false","Silver Savings","","","","","","","","true","Single","42244523527536086","Consumer Savings"
"a3ybn0000002k0gAAA","005bn000003k2JdAAI","false","Gold Savings","","","","","","","","true","Single","42820560982611726","Consumer Savings"
"a3ybn0000002k0hAAA","005bn000003k2JdAAI","false","12 Month CD","","","","","","","","true","Single","42672927583424186","Consumer CD"
"a3ybn0000002k0iAAA","005bn000003k2JdAAI","false","Advantage Savings","","","","","","","","true","Single","42690931093276273","Business Savings"
"a3ybn0000002k0jAAA","005bn000003k2JdAAI","false","Money Market Savings","","","","","","","","true","Tiered","42937064733993273","Business Savings"
"a3ybn0000002k0kAAA","005bn000003k2JdAAI","false","Traditional Fixed IRA","","","","","","","","true","Tiered","42188463157965038","IRA"
"a3ybn0000002k0lAAA","005bn000003k2JdAAI","false","Roth Fixed IRA","","","","","","","","true","Tiered","42180522650340896","IRA"
