"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c","AutorabitExtId__c","YM_ExternalIDDestination__c","YM_ExternalIDSource__c"
"a1WWE000005dBFr2AM","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42020657447939532","","","","","","","","0.0","0.0","","",""
"a1WWD00000360wa2AA","005al00000RVvFOAA1","false","LLC BI  Budget 007-ed7281","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42020931794699530","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBGS2A2","005al00000RVcKvAAL","false","Product budget","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42023937371582598","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJD2A2","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42024206732928966","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBAW2A2","005al00000RVcKvAAL","false","RS budget 65","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","","","","","","","true","false","0.0","634.0","0.0","763.0","0.0","0.0","0.0","42024469346205912","","","","","","","","-763.0","-634.0","","",""
"a1WWE000005dBGx2AM","005al00000RVcKvAAL","false","LLC BI  Budget 003-95ae78","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42025530680103701","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBAQ2A2","005al00000RVcKvAAL","false","a1WWD000002VhFi","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","","","","","a1WWE000005dBAG2A2","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42026726401074624","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBHt2AM","005al00000RVcKvAAL","false","a1WWD000002Vb0g","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42027419371622770","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJw2AM","005al00000RVcKvAAL","false","semi annual budget","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42028314342556895","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBMH2A2","005al00000RVcKvAAL","false","Porters Neck","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42028443994422277","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBK02AM","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template2","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42030432725915464","","","","","","","","0.0","0.0","","",""
"a1WWD00000361e82AA","005al00000RVvFOAA1","false","LLC BI  Budget 007-ed7281","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42031437603532531","","","","","","","","0.0","0.0","","",""
"a1WWD0000036Wpu2AE","005al00000RVvFOAA1","false","LLC BI  Budget 001-3b8992","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42033145547390041","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBLN2A2","005al00000RVcKvAAL","false","a1WWD000002VbDW","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42035163875917901","","","","","","","","0.0","0.0","","",""
"a1WWD0000035hkH2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 006-fa9477","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42035992797166711","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBKh2AM","005al00000RVcKvAAL","false","a1WWD000002VOzW","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42036397381292172","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBMK2A2","005al00000RVcKvAAL","false","Branch 2-Updated 2","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42036620140452000","","","","","","","","0.0","0.0","","",""
"a1WWD00000361B22AI","005al00000RVvFOAA1","false","LLC BI  Budget 003-c93a45","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42036970655249701","","","","","","","","0.0","0.0","","",""
"a1WWD0000036dPx2AI","005al00000RVvFOAA1","false","CLA Simple Budget 1 Template Update","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42037229474972861","","","","","","","","0.0","0.0","","",""
"a1WWD00000361e22AA","005al00000RVvFOAA1","false","LLC BI  Budget 001-3b8992","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42037327590197604","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBLY2A2","005al00000RVcKvAAL","false","a1WWD000002VhE3","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42038214342092411","","","","","","","","0.0","0.0","","",""
"a1WWD0000035ztx2AA","005al00000RVvFOAA1","false","LLC BI  Budget 010-6b5a1e","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42038445146010237","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJJ2A2","005al00000RVcKvAAL","false","AA budget 2","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42039076384927290","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBIZ2A2","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42040354040604251","","","","","","","","0.0","0.0","","",""
"a1WWD00000368J42AI","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42041106515070157","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBAt2AM","005al00000RVcKvAAL","false","Budgets-05","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","","","","","","Updated","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42041988819572484","","","","","","","","0.0","0.0","","",""
"a1WWD00000361e72AA","005al00000RVvFOAA1","false","LLC BI  Budget 006-fa9477","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42042515627029516","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBKB2A2","005al00000RVcKvAAL","false","LLC BI  Budget 003-95ae78","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42043687903898400","","","","","","","","0.0","0.0","","",""
"a1WWD0000036dQ42AI","005al00000RVvFOAA1","false","New Budgets","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42044364988283049","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBGo2AM","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template4","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42047096457704492","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBLq2AM","005al00000RVcKvAAL","false","nov24","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42047492555640954","","","","","","","","0.0","0.0","","",""
"a1WWD0000035Vfl2AE","005al00000RVvFOAA1","false","LLC BI  Budget 010-6b5a1e","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42049364650794802","","","","","","","","0.0","0.0","","",""
"a1WWD00000361B02AI","005al00000RVvFOAA1","false","LLC BI  Budget 001-3b8992","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42051561154300596","","","","","","","","0.0","0.0","","",""
"a1WWD0000035Tqu2AE","005al00000RVvFOAA1","false","LLC BI  Budget 003-c93a45","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42051706535307256","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBHx2AM","005al00000RVcKvAAL","false","a1WWD000002VbAO","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42052293951291868","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBAH2A2","005al00000RVcKvAAL","false","a1WWD000002VhE7","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T07:46:40.000Z","005al00000RVvFOAA1","2026-09-04T07:46:40.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42052679731092714","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBB22AM","005al00000RVcKvAAL","false","Porters Neck","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42053038360885424","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBFD2A2","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42053257349582021","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJK2A2","005al00000RVcKvAAL","false","AA budget 3","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42055134469990308","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBKI2A2","005al00000RVcKvAAL","false","LLC BI  Budget 010-6b5a1e","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42057765064674623","","","","","","","","0.0","0.0","","",""
"a1WWD00000368J32AI","005al00000RVvFOAA1","false","LLC BI  Budget 008-248f83","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42058922311709535","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJN2A2","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42059638415287686","","","","","","","","0.0","0.0","","",""
"a1WWD0000035hkK2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 009-9c3f69","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42060880167768301","","","","","","","","0.0","0.0","","",""
"a1WWD00000362Dd2AI","005al00000RVvFOAA1","false","LLC BI  Budget 008-248f83","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42061966552558595","","","","","","","","0.0","0.0","","",""
"a1WWD0000035zM92AI","005al00000RVvFOAA1","false","LLC BI  Budget 004-db7112","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42063806043987387","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJ02AM","005al00000RVcKvAAL","false","Maple Construction Loan Budget","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42066913824487900","","","","","","","","0.0","0.0","","",""
"a1WWD00000363hT2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 002-0912e8","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42067949373524535","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBKm2AM","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template Update","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42069032626082419","","","","","","","","0.0","0.0","","",""
"a1WWD00000368Ix2AI","005al00000RVvFOAA1","false","LLC BI  Budget 002-0912e8","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42069054720661640","","","","","","","","0.0","0.0","","",""
"a1WWD0000035Vfs2AE","005al00000RVvFOAA1","false","LLC BI  Budget 007-ed7281","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42070949135891993","","","","","","","","0.0","0.0","","",""
"a1WWD00000361Az2AI","005al00000RVvFOAA1","false","LLC BI  Budget 010-6b5a1e","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42071146548825466","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBJp2AM","005al00000RVcKvAAL","false","TrainingBudget","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42071510963941270","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBGV2A2","005al00000RVcKvAAL","false","RS budget `1","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42072482671779865","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBM02AM","005al00000RVcKvAAL","false","Budget-4","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42072666167533587","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBMn2AM","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42073430389788094","","","","","","","","0.0","0.0","","",""
"a1WWD00000362yN2AQ","005al00000RVvFOAA1","false","LLC BI  Budget 006-fa9477","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42073499141419362","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBLh2AM","005al00000RVcKvAAL","false","a1WWD000002VhFe","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42073901915911953","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBIU2A2","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42074112690138873","","","","","","","","0.0","0.0","","",""
"a1WWD0000035Vfp2AE","005al00000RVvFOAA1","false","LLC BI  Budget 004-db7112","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42074993553831822","","","","","","","","0.0","0.0","","",""
"a1WWD0000036eDy2AI","005al00000RVvFOAA1","false","LLC BI  Budget 001-3b8992","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42075323025719172","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBHG2A2","005al00000RVcKvAAL","false","a1WWD000002VOhe","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42075810040783667","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBKr2AM","005al00000RVcKvAAL","false","a1WWD000002Vayy","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42076764857252133","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBHn2AM","005al00000RVcKvAAL","false","a1WWD000002Vb0a","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42077244205280179","","","","","","","","0.0","0.0","","",""
"a1WWD0000036aYc2AI","005al00000RVvFOAA1","false","LLC BI  Budget 005-854d6d","","","","","","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42079539345246109","","","","","","","","0.0","0.0","","",""
"a1WWE000005dB9k2AE","005al00000RVcKvAAL","false","a1WWD000002Vb0e","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T09:45:54.000Z","005al00000RVvFOAA1","2026-09-04T09:45:57.000Z","","","","","","","false","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42082837881536120","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBKb2AM","005al00000RVcKvAAL","false","a1WWD000002VOzQ","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42083047318046422","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBAf2AM","005al00000RVcKvAAL","false","Budget-4","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42083606090626195","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBAR2A2","005al00000RVcKvAAL","false","a1WWD000002VhFj","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","005al00000RVvFOAA1","2026-09-04T07:46:14.000Z","","","","","a1WWE000005dBAH2A2","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42085349333259218","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBK42AM","005al00000RVcKvAAL","false","CLA Simple Budget 2 Template6","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42085364025705723","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBFH2A2","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42085454010940914","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBEy2AM","005al00000RVcKvAAL","false","Budgets-05","2026-09-03T07:16:45.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","005al00000RVvFOAA1","2026-09-03T07:16:58.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42085555617750394","","","","","","","","0.0","0.0","","",""
"a1WWE000005dBMh2AM","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template - Update01","2026-09-03T07:16:46.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","005al00000RVvFOAA1","2026-09-03T07:16:59.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42086130466756437","","","","","","","","0.0","0.0","","",""
